股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Enphase Energy Inc,ENPH,2012-07-25,5.87,5.76,6.01,5.65,61894,0.0,6.0,-4.0,-0.24,0.15
Enphase Energy Inc,ENPH,2012-07-26,5.81,5.87,5.92,5.64,96095,0.0,4.86,1.91,0.11,0.24
Enphase Energy Inc,ENPH,2012-07-27,5.93,5.84,5.93,5.77,20683,0.0,2.73,-0.51,-0.03,0.05
Enphase Energy Inc,ENPH,2012-07-30,5.89,5.9,6.23,5.76,71870,0.0,8.05,1.03,0.06,0.18
Enphase Energy Inc,ENPH,2012-07-31,5.91,5.81,5.91,5.63,65191,0.0,4.75,-1.53,-0.09,0.16
Enphase Energy Inc,ENPH,2012-08-01,5.87,5.64,6.11,5.63,27335,0.0,8.26,-2.93,-0.17,0.07
Enphase Energy Inc,ENPH,2012-08-02,5.63,5.78,5.89,5.61,22674,0.0,4.96,2.48,0.14,0.06
Enphase Energy Inc,ENPH,2012-08-03,5.89,6.03,6.06,5.65,26155,0.0,7.09,4.33,0.25,0.06
Enphase Energy Inc,ENPH,2012-08-06,6.02,6.33,6.33,5.98,28803,0.0,5.8,4.98,0.3,0.07
Enphase Energy Inc,ENPH,2012-08-07,6.25,6.67,6.89,6.22,193555,0.0,10.58,5.37,0.34,0.47
Enphase Energy Inc,ENPH,2012-08-08,6.59,5.07,6.59,4.81,632157,0.0,26.69,-23.99,-1.6,1.55
Enphase Energy Inc,ENPH,2012-08-09,5.43,5.56,5.75,5.19,210998,0.0,11.05,9.66,0.49,0.52
Enphase Energy Inc,ENPH,2012-08-10,5.58,5.63,5.86,5.55,90565,0.0,5.58,1.26,0.07,0.22
Enphase Energy Inc,ENPH,2012-08-13,5.65,5.07,5.72,5.01,144848,0.0,12.61,-9.95,-0.56,0.36
Enphase Energy Inc,ENPH,2012-08-14,5.07,5.17,5.32,5.06,128478,0.0,5.13,1.97,0.1,0.32
Enphase Energy Inc,ENPH,2012-08-15,5.17,5.04,5.21,4.66,152754,0.0,10.64,-2.51,-0.13,0.37
Enphase Energy Inc,ENPH,2012-08-16,5.04,5.06,5.18,5.0,34896,0.0,3.57,0.4,0.02,0.09
Enphase Energy Inc,ENPH,2012-08-17,5.1,5.22,5.25,5.07,28768,0.0,3.56,3.16,0.16,0.07
Enphase Energy Inc,ENPH,2012-08-20,5.1,5.22,5.25,5.07,28768,0.0,3.45,0.0,0.0,0.07
Enphase Energy Inc,ENPH,2012-08-21,5.1,5.22,5.25,5.07,28768,0.0,3.45,0.0,0.0,0.07
Enphase Energy Inc,ENPH,2012-08-22,5.05,5.0,5.12,4.99,69457,0.0,2.49,-4.21,-0.22,0.17
