股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
公平住屋,EQR,2000-01-03,-36.78,-36.9,-36.75,-37.05,152600,0.0,-0.82,-0.65,-0.24,0.12
公平住屋,EQR,2000-01-04,-37.05,-37.05,-37.02,-37.24,246400,0.0,-0.6,-0.41,-0.15,0.19
公平住屋,EQR,2000-01-05,-37.24,-36.63,-36.63,-37.24,290200,0.0,-1.65,1.13,0.42,0.23
公平住屋,EQR,2000-01-06,-36.75,-36.41,-36.29,-36.75,343800,0.0,-1.26,0.6,0.22,0.27
公平住屋,EQR,2000-01-07,-36.26,-36.01,-35.86,-36.29,362200,0.0,-1.18,1.1,0.4,0.28
公平住屋,EQR,2000-01-10,-36.01,-35.86,-35.77,-36.07,313200,0.0,-0.83,0.42,0.15,0.25
公平住屋,EQR,2000-01-11,-35.83,-35.98,-35.77,-36.1,265400,0.0,-0.92,-0.33,-0.12,0.21
公平住屋,EQR,2000-01-12,-35.98,-36.07,-35.95,-36.14,215200,0.0,-0.53,-0.25,-0.09,0.17
公平住屋,EQR,2000-01-13,-36.07,-36.32,-36.04,-36.32,226600,0.0,-0.78,-0.69,-0.25,0.18
公平住屋,EQR,2000-01-14,-36.44,-36.69,-36.2,-36.69,218400,0.0,-1.35,-1.02,-0.37,0.17
公平住屋,EQR,2000-01-18,-36.75,-36.87,-36.72,-37.09,334800,0.0,-1.01,-0.49,-0.18,0.26
公平住屋,EQR,2000-01-19,-36.99,-36.78,-36.75,-36.99,336800,0.0,-0.65,0.24,0.09,0.26
公平住屋,EQR,2000-01-20,-36.87,-36.9,-36.56,-36.9,219800,0.0,-0.92,-0.33,-0.12,0.17
公平住屋,EQR,2000-01-21,-36.9,-36.69,-36.69,-36.93,169200,0.0,-0.65,0.57,0.21,0.13
公平住屋,EQR,2000-01-24,-36.75,-36.93,-36.72,-36.96,232800,0.0,-0.65,-0.65,-0.24,0.18
公平住屋,EQR,2000-01-25,-36.96,-36.96,-36.81,-36.99,354400,0.0,-0.49,-0.08,-0.03,0.28
公平住屋,EQR,2000-01-26,-36.99,-36.93,-36.81,-37.36,437600,0.0,-1.49,0.08,0.03,0.34
公平住屋,EQR,2000-01-27,-36.99,-36.87,-36.87,-37.15,181000,0.0,-0.76,0.16,0.06,0.14
公平住屋,EQR,2000-01-28,-36.84,-37.05,-36.84,-37.18,165400,0.0,-0.92,-0.49,-0.18,0.13
公平住屋,EQR,2000-01-31,-36.99,-37.24,-36.96,-37.24,209600,0.0,-0.76,-0.51,-0.19,0.16
公平住屋,EQR,2000-02-01,-37.24,-36.99,-36.99,-37.27,182800,0.0,-0.75,0.67,0.25,0.14
公平住屋,EQR,2000-02-02,-37.12,-37.02,-36.9,-37.12,187200,0.0,-0.59,-0.08,-0.03,0.15
公平住屋,EQR,2000-02-03,-37.12,-37.15,-36.96,-37.24,496000,0.0,-0.76,-0.35,-0.13,0.39
公平住屋,EQR,2000-02-04,-37.21,-37.12,-37.02,-37.21,145400,0.0,-0.51,0.08,0.03,0.11
公平住屋,EQR,2000-02-07,-37.3,-37.18,-37.05,-37.3,127400,0.0,-0.67,-0.16,-0.06,0.1
公平住屋,EQR,2000-02-08,-37.15,-37.05,-36.99,-37.21,266800,0.0,-0.59,0.35,0.13,0.21
公平住屋,EQR,2000-02-09,-37.02,-37.15,-36.99,-37.18,141400,0.0,-0.51,-0.27,-0.1,0.11
公平住屋,EQR,2000-02-10,-37.24,-37.51,-37.15,-37.55,277200,0.0,-1.08,-0.97,-0.36,0.22
公平住屋,EQR,2000-02-11,-37.48,-37.73,-37.3,-37.76,460400,0.0,-1.23,-0.59,-0.22,0.36
公平住屋,EQR,2000-02-14,-38.46,-37.91,-37.73,-38.46,346800,0.0,-1.93,-0.48,-0.18,0.27
公平住屋,EQR,2000-02-15,-37.97,-37.88,-37.85,-38.04,332800,0.0,-0.5,0.08,0.03,0.26
公平住屋,EQR,2000-02-16,-38.0,-38.04,-37.91,-38.13,370800,0.0,-0.58,-0.42,-0.16,0.29
公平住屋,EQR,2000-02-17,-38.0,-38.16,-38.0,-38.16,563000,0.0,-0.42,-0.32,-0.12,0.44
公平住屋,EQR,2000-02-18,-38.16,-38.13,-38.07,-38.19,262000,0.0,-0.31,0.08,0.03,0.21
公平住屋,EQR,2000-02-22,-38.19,-38.16,-38.07,-38.19,244400,0.0,-0.31,-0.08,-0.03,0.19
公平住屋,EQR,2000-02-24,-38.1,-38.22,-38.0,-38.22,234000,0.0,-0.58,-0.16,-0.06,0.18
公平住屋,EQR,2000-02-25,-38.19,-38.22,-38.1,-38.28,359200,0.0,-0.47,0.0,0.0,0.28
公平住屋,EQR,2000-02-28,-38.22,-38.31,-38.22,-38.34,203600,0.0,-0.31,-0.24,-0.09,0.16
公平住屋,EQR,2000-02-29,-38.34,-38.0,-37.97,-38.46,564400,0.0,-1.28,0.81,0.31,0.44
公平住屋,EQR,2000-03-01,-37.97,-37.97,-37.91,-38.19,169200,0.0,-0.74,0.08,0.03,0.13
公平住屋,EQR,2000-03-02,-38.22,-37.94,-37.85,-38.25,290400,0.0,-1.05,0.08,0.03,0.23
公平住屋,EQR,2000-03-03,-37.97,-37.94,-37.85,-38.0,357600,0.0,-0.4,0.0,0.0,0.28
公平住屋,EQR,2000-03-06,-38.1,-37.94,-37.91,-38.1,162400,0.0,-0.5,0.0,0.0,0.13
公平住屋,EQR,2000-03-07,-37.97,-37.91,-37.91,-38.1,507600,0.0,-0.5,0.08,0.03,0.4
公平住屋,EQR,2000-03-08,-38.07,-38.31,-37.97,-38.34,343400,0.0,-0.98,-1.06,-0.4,0.27
公平住屋,EQR,2000-03-09,-38.31,-38.28,-38.1,-38.31,627600,0.0,-0.55,0.08,0.03,0.49
公平住屋,EQR,2000-03-10,-38.34,-38.28,-38.19,-38.46,485600,0.0,-0.71,0.0,0.0,0.38
公平住屋,EQR,2000-03-13,-38.4,-38.37,-38.34,-38.53,186800,0.0,-0.5,-0.24,-0.09,0.15
公平住屋,EQR,2000-03-14,-38.31,-38.43,-38.22,-38.46,324400,0.0,-0.63,-0.16,-0.06,0.25
公平住屋,EQR,2000-03-15,-38.37,-38.31,-38.28,-38.4,739200,0.0,-0.31,0.31,0.12,0.58
公平住屋,EQR,2000-03-16,-37.86,-37.58,-37.46,-37.86,351600,0.0,-1.04,1.91,0.73,0.27
公平住屋,EQR,2000-03-17,-37.55,-37.36,-37.36,-37.68,449200,0.0,-0.85,0.59,0.22,0.35
公平住屋,EQR,2000-03-20,-37.49,-37.46,-37.27,-37.58,266400,0.0,-0.83,-0.27,-0.1,0.21
公平住屋,EQR,2000-03-21,-37.52,-37.21,-37.21,-37.64,135200,0.0,-1.15,0.67,0.25,0.11
公平住屋,EQR,2000-03-22,-37.15,-37.24,-37.11,-37.27,282400,0.0,-0.43,-0.08,-0.03,0.22
公平住屋,EQR,2000-03-23,-37.24,-37.11,-37.11,-37.27,177600,0.0,-0.43,0.35,0.13,0.14
公平住屋,EQR,2000-03-24,-37.21,-37.02,-37.02,-37.21,432800,0.0,-0.51,0.24,0.09,0.34
公平住屋,EQR,2000-03-27,-37.24,-37.3,-37.02,-37.33,583200,0.0,-0.84,-0.76,-0.28,0.46
公平住屋,EQR,2000-03-28,-37.27,-37.27,-37.11,-37.33,151200,0.0,-0.59,0.08,0.03,0.12
公平住屋,EQR,2000-03-29,-37.08,-37.11,-37.08,-37.24,178000,0.0,-0.43,0.43,0.16,0.14
公平住屋,EQR,2000-03-30,-37.05,-36.99,-36.99,-37.21,473600,0.0,-0.59,0.32,0.12,0.37
公平住屋,EQR,2000-03-31,-37.05,-37.11,-36.96,-37.21,339200,0.0,-0.68,-0.32,-0.12,0.27
公平住屋,EQR,2000-04-03,-37.08,-36.93,-36.71,-37.21,604400,0.0,-1.35,0.49,0.18,0.47
公平住屋,EQR,2000-04-04,-36.83,-36.77,-36.49,-37.02,530800,0.0,-1.44,0.43,0.16,0.41
