股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
能源方案,ES,2008-02-11,-5.6,-5.08,-4.71,-6.35,228300,0.0,0.0,0.0,0.0,0.15
能源方案,ES,2008-02-12,-5.01,-4.82,-4.69,-5.35,171840,0.0,-12.99,5.12,0.26,0.11
能源方案,ES,2008-02-13,-4.44,-3.7,-3.46,-5.19,271256,0.0,-35.89,23.24,1.12,0.17
能源方案,ES,2008-02-14,-3.35,-4.08,-3.35,-4.45,281100,0.0,-29.73,-10.27,-0.38,0.18
能源方案,ES,2008-02-15,-4.21,-3.85,-3.7,-4.71,773000,0.0,-24.75,5.64,0.23,0.5
能源方案,ES,2008-02-19,-3.65,-2.4,-2.4,-3.75,662932,0.0,-35.06,37.66,1.45,0.43
能源方案,ES,2008-02-20,-2.53,-2.7,-2.26,-3.0,349208,0.0,-30.83,-12.5,-0.3,0.23
能源方案,ES,2008-02-21,-2.1,-2.14,-1.95,-2.7,504900,0.0,-27.78,20.74,0.56,0.33
能源方案,ES,2008-02-22,-2.14,-3.34,-2.14,-3.52,564086,0.0,-64.49,-56.07,-1.2,0.36
能源方案,ES,2008-02-25,-2.8,-2.95,-2.42,-3.25,203000,0.0,-24.85,11.68,0.39,0.13
能源方案,ES,2008-02-26,-2.96,-2.73,-2.46,-3.13,179900,0.0,-22.71,7.46,0.22,0.12
能源方案,ES,2008-02-27,-2.35,-3.02,-2.35,-3.17,194300,0.0,-30.04,-10.62,-0.29,0.13
能源方案,ES,2008-02-28,-3.12,-3.63,-3.0,-3.7,248900,0.0,-23.18,-20.2,-0.61,0.16
能源方案,ES,2008-02-29,-3.63,-5.7,-3.5,-5.86,684789,0.0,-65.01,-57.02,-2.07,0.44
能源方案,ES,2008-03-03,-5.69,-5.51,-4.72,-5.76,797424,0.0,-18.25,3.33,0.19,0.51
能源方案,ES,2008-03-04,-5.82,-6.1,-5.18,-6.62,394800,0.0,-26.13,-10.71,-0.59,0.25
能源方案,ES,2008-03-05,-5.86,-5.6,-5.31,-6.19,199600,0.0,-14.43,8.2,0.5,0.13
能源方案,ES,2008-03-06,-5.55,-6.64,-5.26,-6.85,219000,0.0,-28.39,-18.57,-1.04,0.14
能源方案,ES,2008-03-07,-7.04,-6.25,-5.96,-7.19,353200,0.0,-18.52,5.87,0.39,0.23
能源方案,ES,2008-03-10,-6.19,-6.33,-5.84,-6.57,235700,0.0,-11.68,-1.28,-0.08,0.15
能源方案,ES,2008-03-11,-5.86,-6.28,-5.77,-7.35,419600,0.0,-24.96,0.79,0.05,0.27
