股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
埃塞克斯信托,ESS,2001-01-02,-67.68,-68.12,-67.49,-68.18,36500,0.0,0.0,0.0,0.0,0.06
埃塞克斯信托,ESS,2001-01-03,-68.05,-66.49,-66.49,-68.05,77300,0.0,-2.29,2.39,1.63,0.12
埃塞克斯信托,ESS,2001-01-04,-66.74,-67.37,-66.62,-67.43,92300,0.0,-1.22,-1.32,-0.88,0.14
埃塞克斯信托,ESS,2001-01-05,-67.43,-70.62,-67.37,-70.93,192300,0.0,-5.28,-4.82,-3.25,0.3
埃塞克斯信托,ESS,2001-01-08,-70.24,-70.37,-69.93,-70.55,130900,0.0,-0.88,0.35,0.25,0.2
埃塞克斯信托,ESS,2001-01-09,-70.31,-70.43,-70.18,-70.81,70600,0.0,-0.9,-0.09,-0.06,0.11
埃塞克斯信托,ESS,2001-01-10,-70.18,-69.93,-69.93,-70.99,142600,0.0,-1.51,0.71,0.5,0.22
埃塞克斯信托,ESS,2001-01-11,-69.81,-70.43,-69.81,-70.49,42100,0.0,-0.97,-0.72,-0.5,0.07
埃塞克斯信托,ESS,2001-01-12,-70.31,-70.24,-70.12,-70.37,10500,0.0,-0.35,0.27,0.19,0.02
埃塞克斯信托,ESS,2001-01-16,-70.31,-70.43,-70.31,-70.93,34000,0.0,-0.88,-0.27,-0.19,0.05
埃塞克斯信托,ESS,2001-01-17,-70.49,-70.74,-70.49,-71.12,25700,0.0,-0.89,-0.44,-0.31,0.04
埃塞克斯信托,ESS,2001-01-18,-70.81,-70.74,-70.62,-71.18,46500,0.0,-0.79,0.0,0.0,0.07
埃塞克斯信托,ESS,2001-01-19,-70.87,-71.05,-70.74,-71.12,31100,0.0,-0.54,-0.44,-0.31,0.05
埃塞克斯信托,ESS,2001-01-22,-70.81,-71.49,-70.81,-71.68,52400,0.0,-1.22,-0.62,-0.44,0.08
埃塞克斯信托,ESS,2001-01-23,-71.24,-70.74,-70.74,-71.31,19500,0.0,-0.8,1.05,0.75,0.03
埃塞克斯信托,ESS,2001-01-24,-70.62,-71.24,-70.62,-71.37,13300,0.0,-1.06,-0.71,-0.5,0.02
埃塞克斯信托,ESS,2001-01-25,-71.43,-70.99,-70.81,-71.43,39400,0.0,-0.87,0.35,0.25,0.06
埃塞克斯信托,ESS,2001-01-26,-71.62,-71.68,-71.43,-71.93,32800,0.0,-0.7,-0.97,-0.69,0.05
