股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Evergy,EVRG,2022-12-28,61.0,60.75,61.33,60.4,1034528,65431940.0,0.0,0.0,0.0,0.45
Evergy,EVRG,2022-12-29,61.06,61.04,61.37,60.88,796320,50630825.0,0.81,0.48,0.29,0.35
Evergy,EVRG,2022-12-30,61.04,60.45,61.24,59.9,742780,46728479.0,2.2,-0.97,-0.59,0.32
Evergy,EVRG,2023-01-03,61.2,60.45,61.2,59.38,1194626,74957556.0,3.01,0.0,0.0,0.52
Evergy,EVRG,2023-01-04,60.87,61.41,61.98,60.57,1454732,92774346.0,2.33,1.59,0.96,0.63
Evergy,EVRG,2023-01-05,61.02,60.51,61.36,60.16,1301087,82052136.0,1.95,-1.47,-0.9,0.57
Evergy,EVRG,2023-01-06,61.06,62.3,62.91,60.88,1646450,106640293.0,3.35,2.96,1.79,0.72
Evergy,EVRG,2023-01-09,62.1,61.8,62.63,61.63,1312577,84500451.0,1.61,-0.8,-0.5,0.57
Evergy,EVRG,2023-01-10,61.33,61.7,61.79,61.0,1315918,84269390.0,1.28,-0.16,-0.1,0.57
Evergy,EVRG,2023-01-11,61.7,61.93,62.11,61.61,1128319,72625564.0,0.81,0.37,0.23,0.49
Evergy,EVRG,2023-01-12,61.9,61.44,62.18,61.2,1102639,70685336.0,1.58,-0.79,-0.49,0.48
Evergy,EVRG,2023-01-13,61.03,60.41,61.44,60.32,1008980,63596727.0,1.82,-1.68,-1.03,0.44
Evergy,EVRG,2023-01-17,60.41,60.09,60.81,59.6,1655302,103579634.0,2.0,-0.53,-0.32,0.72
Evergy,EVRG,2023-01-18,60.39,58.04,60.39,57.99,2224035,136057909.0,3.99,-3.41,-2.05,0.97
Evergy,EVRG,2023-01-19,57.96,56.77,58.1,56.72,1643612,97983185.0,2.38,-2.19,-1.27,0.72
Evergy,EVRG,2023-01-20,56.45,57.16,57.28,55.6,2006780,118617331.0,2.96,0.69,0.39,0.87
Evergy,EVRG,2023-01-23,56.87,57.66,58.02,56.7,1493877,89679755.0,2.31,0.87,0.5,0.65
Evergy,EVRG,2023-01-24,57.77,58.87,59.09,57.28,1316186,80748011.0,3.14,2.1,1.21,0.57
Evergy,EVRG,2023-01-25,58.76,59.45,59.69,58.32,1888676,116518856.0,2.33,0.99,0.58,0.82
Evergy,EVRG,2023-01-26,59.36,58.92,59.69,58.87,903928,55676015.0,1.38,-0.89,-0.53,0.39
Evergy,EVRG,2023-01-27,58.86,59.26,59.48,58.57,969068,59771649.0,1.54,0.58,0.34,0.42
Evergy,EVRG,2023-01-30,59.16,59.21,59.57,58.93,1137854,70257330.0,1.08,-0.08,-0.05,0.5
Evergy,EVRG,2023-01-31,59.5,60.17,60.24,58.93,1709724,106709420.0,2.21,1.62,0.96,0.74
Evergy,EVRG,2023-02-01,59.82,60.41,60.75,59.3,1761688,110431619.0,2.41,0.4,0.24,0.77
Evergy,EVRG,2023-02-02,60.46,60.76,61.27,59.95,1453877,91968901.0,2.19,0.58,0.35,0.63
Evergy,EVRG,2023-02-03,60.4,59.16,60.57,57.89,1547622,94912635.0,4.41,-2.63,-1.6,0.67
