股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
爱德华兹生命科学,EW,2000-06-23,1.63,1.66,1.69,1.63,1529200,0.0,0.0,0.0,0.0,2.63
爱德华兹生命科学,EW,2000-06-26,1.67,1.66,1.69,1.6,1048200,0.0,5.42,0.0,0.0,1.8
爱德华兹生命科学,EW,2000-06-27,1.66,1.59,1.67,1.56,1151600,0.0,6.63,-4.22,-0.07,1.98
爱德华兹生命科学,EW,2000-06-28,1.56,1.7,1.71,1.51,983400,0.0,12.58,6.92,0.11,1.69
爱德华兹生命科学,EW,2000-06-29,1.71,1.69,1.75,1.69,725200,0.0,3.53,-0.59,-0.01,1.25
爱德华兹生命科学,EW,2000-06-30,1.69,1.54,1.71,1.54,1915400,0.0,10.06,-8.88,-0.15,3.3
爱德华兹生命科学,EW,2000-07-03,1.57,1.71,1.73,1.57,517600,0.0,10.39,11.04,0.17,0.89
爱德华兹生命科学,EW,2000-07-05,1.71,1.64,1.73,1.64,332800,0.0,5.26,-4.09,-0.07,0.57
爱德华兹生命科学,EW,2000-07-06,1.65,1.69,1.7,1.65,330000,0.0,3.05,3.05,0.05,0.57
爱德华兹生命科学,EW,2000-07-07,1.71,1.71,1.72,1.67,524200,0.0,2.96,1.18,0.02,0.9
爱德华兹生命科学,EW,2000-07-10,1.71,1.77,1.78,1.71,861800,0.0,4.09,3.51,0.06,1.48
爱德华兹生命科学,EW,2000-07-11,1.79,1.83,1.86,1.78,1161600,0.0,4.52,3.39,0.06,2.0
爱德华兹生命科学,EW,2000-07-12,1.85,1.84,1.94,1.82,651200,0.0,6.56,0.55,0.01,1.12
爱德华兹生命科学,EW,2000-07-13,1.83,1.94,1.98,1.83,1148200,0.0,8.15,5.43,0.1,1.98
爱德华兹生命科学,EW,2000-07-14,1.96,1.91,1.96,1.89,740200,0.0,3.61,-1.55,-0.03,1.27
爱德华兹生命科学,EW,2000-07-17,1.93,1.9,1.94,1.88,533200,0.0,3.14,-0.52,-0.01,0.92
爱德华兹生命科学,EW,2000-07-18,1.94,1.99,2.0,1.94,894600,0.0,3.16,4.74,0.09,1.54
爱德华兹生命科学,EW,2000-07-19,2.01,2.02,2.13,2.0,950800,0.0,6.53,1.51,0.03,1.64
爱德华兹生命科学,EW,2000-07-20,2.03,2.01,2.04,1.98,367200,0.0,2.97,-0.5,-0.01,0.63
爱德华兹生命科学,EW,2000-07-21,2.0,2.07,2.08,1.97,765800,0.0,5.47,2.99,0.06,1.32
爱德华兹生命科学,EW,2000-07-24,2.08,2.06,2.08,2.04,448000,0.0,1.93,-0.48,-0.01,0.77
爱德华兹生命科学,EW,2000-07-25,2.06,2.04,2.08,2.04,465600,0.0,1.94,-0.97,-0.02,0.8
爱德华兹生命科学,EW,2000-07-26,2.04,2.0,2.04,1.97,429600,0.0,3.43,-1.96,-0.04,0.74
爱德华兹生命科学,EW,2000-07-27,1.97,1.96,2.0,1.91,402400,0.0,4.5,-2.0,-0.04,0.69
爱德华兹生命科学,EW,2000-07-28,1.95,1.92,1.96,1.91,313000,0.0,2.55,-2.04,-0.04,0.54
爱德华兹生命科学,EW,2000-07-31,1.92,1.82,1.94,1.8,550200,0.0,7.29,-5.21,-0.1,0.95
爱德华兹生命科学,EW,2000-08-01,1.81,1.89,1.89,1.81,436600,0.0,4.4,3.85,0.07,0.75
爱德华兹生命科学,EW,2000-08-02,1.89,1.9,1.92,1.89,850800,0.0,1.59,0.53,0.01,1.46
爱德华兹生命科学,EW,2000-08-03,1.88,1.93,1.93,1.78,923400,0.0,7.89,1.58,0.03,1.59
爱德华兹生命科学,EW,2000-08-04,1.91,1.92,1.94,1.88,239000,0.0,3.11,-0.52,-0.01,0.41
爱德华兹生命科学,EW,2000-08-07,1.92,1.89,1.94,1.89,144000,0.0,2.6,-1.56,-0.03,0.25
爱德华兹生命科学,EW,2000-08-08,1.89,1.88,1.9,1.83,112000,0.0,3.7,-0.53,-0.01,0.19
爱德华兹生命科学,EW,2000-08-09,1.87,1.84,1.88,1.81,282800,0.0,3.72,-2.13,-0.04,0.49
爱德华兹生命科学,EW,2000-08-10,1.82,1.81,1.83,1.77,327000,0.0,3.26,-1.63,-0.03,0.56
爱德华兹生命科学,EW,2000-08-11,1.82,1.87,1.89,1.82,251200,0.0,3.87,3.31,0.06,0.43
爱德华兹生命科学,EW,2000-08-14,1.86,1.88,1.89,1.86,185600,0.0,1.6,0.53,0.01,0.32
爱德华兹生命科学,EW,2000-08-15,1.88,1.9,1.91,1.86,251000,0.0,2.66,1.06,0.02,0.43
爱德华兹生命科学,EW,2000-08-16,1.9,1.91,1.91,1.89,330800,0.0,1.05,0.53,0.01,0.57
爱德华兹生命科学,EW,2000-08-17,1.9,1.9,1.91,1.89,284600,0.0,1.05,-0.52,-0.01,0.49
爱德华兹生命科学,EW,2000-08-18,1.89,1.88,1.91,1.85,281000,0.0,3.16,-1.05,-0.02,0.48
爱德华兹生命科学,EW,2000-08-21,1.88,1.93,1.93,1.88,345600,0.0,2.66,2.66,0.05,0.59
爱德华兹生命科学,EW,2000-08-22,1.92,1.91,1.92,1.88,163400,0.0,2.07,-1.04,-0.02,0.28
爱德华兹生命科学,EW,2000-08-23,1.91,1.91,1.91,1.88,110000,0.0,1.57,0.0,0.0,0.19
爱德华兹生命科学,EW,2000-08-24,1.9,1.9,1.91,1.87,354200,0.0,2.09,-0.52,-0.01,0.61
爱德华兹生命科学,EW,2000-08-25,1.9,1.89,1.91,1.88,136000,0.0,1.58,-0.53,-0.01,0.23
爱德华兹生命科学,EW,2000-08-30,1.98,2.03,2.06,1.97,370200,0.0,4.76,7.41,0.14,0.64
爱德华兹生命科学,EW,2000-08-31,2.15,2.19,2.2,2.15,1318800,0.0,2.46,7.88,0.16,2.27
爱德华兹生命科学,EW,2000-09-01,2.12,1.89,2.14,1.85,2223600,0.0,13.24,-13.7,-0.3,3.83
爱德华兹生命科学,EW,2000-09-05,1.89,1.89,1.94,1.83,1140600,0.0,5.82,0.0,0.0,1.96
爱德华兹生命科学,EW,2000-09-06,1.9,1.87,1.91,1.81,645400,0.0,5.29,-1.06,-0.02,1.11
爱德华兹生命科学,EW,2000-09-07,1.88,1.89,1.89,1.85,389800,0.0,2.14,1.07,0.02,0.67
爱德华兹生命科学,EW,2000-09-08,1.9,1.85,1.9,1.82,270200,0.0,4.23,-2.12,-0.04,0.47
爱德华兹生命科学,EW,2000-09-11,1.87,1.86,1.87,1.84,132200,0.0,1.62,0.54,0.01,0.23
爱德华兹生命科学,EW,2000-09-12,1.88,1.85,1.88,1.79,188000,0.0,4.84,-0.54,-0.01,0.32
爱德华兹生命科学,EW,2000-09-13,1.85,1.75,1.85,1.72,677600,0.0,7.03,-5.41,-0.1,1.17
爱德华兹生命科学,EW,2000-09-14,1.77,1.78,1.79,1.74,293600,0.0,2.86,1.71,0.03,0.51
爱德华兹生命科学,EW,2000-09-15,1.73,1.74,1.76,1.72,444600,0.0,2.25,-2.25,-0.04,0.77
爱德华兹生命科学,EW,2000-09-18,1.74,1.65,1.74,1.62,849000,0.0,6.9,-5.17,-0.09,1.46
爱德华兹生命科学,EW,2000-09-19,1.65,1.66,1.69,1.64,711000,0.0,3.03,0.61,0.01,1.22
爱德华兹生命科学,EW,2000-09-20,1.67,1.68,1.69,1.65,167200,0.0,2.41,1.2,0.02,0.29
爱德华兹生命科学,EW,2000-09-21,1.67,1.66,1.7,1.65,827200,0.0,2.98,-1.19,-0.02,1.42
爱德华兹生命科学,EW,2000-09-22,1.64,1.69,1.69,1.62,311800,0.0,4.22,1.81,0.03,0.54
爱德华兹生命科学,EW,2000-09-25,1.67,1.7,1.71,1.67,344800,0.0,2.37,0.59,0.01,0.59
爱德华兹生命科学,EW,2000-09-26,1.69,1.72,1.73,1.68,598800,0.0,2.94,1.18,0.02,1.03
爱德华兹生命科学,EW,2000-09-27,1.7,1.71,1.77,1.7,822000,0.0,4.07,-0.58,-0.01,1.42
爱德华兹生命科学,EW,2000-09-28,1.7,1.75,1.77,1.7,801600,0.0,4.09,2.34,0.04,1.38
爱德华兹生命科学,EW,2000-09-29,1.75,1.82,1.84,1.72,588200,0.0,6.86,4.0,0.07,1.01
爱德华兹生命科学,EW,2000-10-02,1.8,1.68,1.81,1.68,405800,0.0,7.14,-7.69,-0.14,0.7
爱德华兹生命科学,EW,2000-10-03,1.69,1.68,1.74,1.66,526200,0.0,4.76,0.0,0.0,0.91
爱德华兹生命科学,EW,2000-10-04,1.66,1.66,1.68,1.64,492000,0.0,2.38,-1.19,-0.02,0.85
爱德华兹生命科学,EW,2000-10-05,1.67,1.71,1.79,1.66,555400,0.0,7.83,3.01,0.05,0.96
爱德华兹生命科学,EW,2000-10-06,1.71,1.76,1.76,1.69,545400,0.0,4.09,2.92,0.05,0.94
爱德华兹生命科学,EW,2000-10-09,1.75,1.72,1.76,1.69,304000,0.0,3.98,-2.27,-0.04,0.52
爱德华兹生命科学,EW,2000-10-10,1.71,1.72,1.73,1.7,304800,0.0,1.74,0.0,0.0,0.52
爱德华兹生命科学,EW,2000-10-11,1.71,1.73,1.75,1.7,431200,0.0,2.91,0.58,0.01,0.74
爱德华兹生命科学,EW,2000-10-12,1.74,1.76,1.82,1.74,507800,0.0,4.62,1.73,0.03,0.87
爱德华兹生命科学,EW,2000-10-13,1.75,1.87,1.87,1.73,628200,0.0,7.95,6.25,0.11,1.08
爱德华兹生命科学,EW,2000-10-16,1.87,1.84,1.9,1.82,638000,0.0,4.28,-1.6,-0.03,1.1
爱德华兹生命科学,EW,2000-10-17,1.84,1.9,1.9,1.82,403800,0.0,4.35,3.26,0.06,0.7
爱德华兹生命科学,EW,2000-10-18,1.85,1.91,1.91,1.83,370800,0.0,4.21,0.53,0.01,0.64
爱德华兹生命科学,EW,2000-10-19,1.91,1.95,1.95,1.89,268600,0.0,3.14,2.09,0.04,0.46
爱德华兹生命科学,EW,2000-10-20,1.95,1.94,1.95,1.91,235800,0.0,2.05,-0.51,-0.01,0.41
爱德华兹生命科学,EW,2000-10-23,1.94,1.97,1.97,1.93,344200,0.0,2.06,1.55,0.03,0.59
爱德华兹生命科学,EW,2000-10-24,1.96,2.02,2.04,1.93,563800,0.0,5.58,2.54,0.05,0.97
爱德华兹生命科学,EW,2000-10-25,2.01,1.99,2.04,1.95,817000,0.0,4.46,-1.49,-0.03,1.41
爱德华兹生命科学,EW,2000-10-26,1.98,1.94,2.0,1.92,259600,0.0,4.02,-2.51,-0.05,0.45
爱德华兹生命科学,EW,2000-10-27,1.94,1.92,1.96,1.92,131000,0.0,2.06,-1.03,-0.02,0.23
爱德华兹生命科学,EW,2000-10-30,1.92,1.91,1.92,1.86,495800,0.0,3.13,-0.52,-0.01,0.85
爱德华兹生命科学,EW,2000-10-31,1.27,1.12,1.33,1.12,8972200,0.0,10.99,-41.36,-0.79,15.45
爱德华兹生命科学,EW,2000-11-01,1.13,1.08,1.13,1.0,9536600,0.0,11.61,-3.57,-0.04,16.42
爱德华兹生命科学,EW,2000-11-02,1.1,1.18,1.19,1.09,1909800,0.0,9.26,9.26,0.1,3.29
爱德华兹生命科学,EW,2000-11-03,1.17,1.27,1.27,1.17,1087600,0.0,8.47,7.63,0.09,1.87
爱德华兹生命科学,EW,2000-11-06,1.28,1.25,1.28,1.23,1226600,0.0,3.94,-1.57,-0.02,2.11
爱德华兹生命科学,EW,2000-11-07,1.25,1.27,1.31,1.21,1202200,0.0,8.0,1.6,0.02,2.07
爱德华兹生命科学,EW,2000-11-08,1.28,1.29,1.29,1.23,582600,0.0,4.72,1.57,0.02,1.0
爱德华兹生命科学,EW,2000-11-09,1.28,1.27,1.28,1.23,386400,0.0,3.88,-1.55,-0.02,0.67
爱德华兹生命科学,EW,2000-11-10,1.27,1.22,1.27,1.2,946800,0.0,5.51,-3.94,-0.05,1.63
爱德华兹生命科学,EW,2000-11-13,1.21,1.19,1.22,1.18,449600,0.0,3.28,-2.46,-0.03,0.77
爱德华兹生命科学,EW,2000-11-14,1.2,1.16,1.21,1.16,388800,0.0,4.2,-2.52,-0.03,0.67
爱德华兹生命科学,EW,2000-11-15,1.17,1.18,1.21,1.15,273400,0.0,5.17,1.72,0.02,0.47
爱德华兹生命科学,EW,2000-11-16,1.18,1.19,1.22,1.18,803800,0.0,3.39,0.85,0.01,1.38
爱德华兹生命科学,EW,2000-11-17,1.2,1.18,1.2,1.13,595000,0.0,5.88,-0.84,-0.01,1.02
爱德华兹生命科学,EW,2000-11-20,1.19,1.15,1.19,1.13,265400,0.0,5.08,-2.54,-0.03,0.46
爱德华兹生命科学,EW,2000-11-21,1.15,1.25,1.26,1.14,960400,0.0,10.43,8.7,0.1,1.65
爱德华兹生命科学,EW,2000-11-22,1.23,1.3,1.3,1.22,695800,0.0,6.4,4.0,0.05,1.2
爱德华兹生命科学,EW,2000-11-24,1.29,1.33,1.33,1.27,417800,0.0,4.62,2.31,0.03,0.72
爱德华兹生命科学,EW,2000-11-27,1.32,1.33,1.33,1.31,778000,0.0,1.5,0.0,0.0,1.34
爱德华兹生命科学,EW,2000-11-28,1.33,1.34,1.35,1.31,1012400,0.0,3.01,0.75,0.01,1.74
爱德华兹生命科学,EW,2000-11-29,1.34,1.34,1.37,1.32,368200,0.0,3.73,0.0,0.0,0.63
爱德华兹生命科学,EW,2000-11-30,1.34,1.34,1.35,1.29,732400,0.0,4.48,0.0,0.0,1.26
爱德华兹生命科学,EW,2000-12-01,1.33,1.37,1.37,1.33,318600,0.0,2.99,2.24,0.03,0.55
爱德华兹生命科学,EW,2000-12-04,1.36,1.32,1.36,1.32,494400,0.0,2.92,-3.65,-0.05,0.85
爱德华兹生命科学,EW,2000-12-05,1.32,1.36,1.38,1.32,371800,0.0,4.55,3.03,0.04,0.64
爱德华兹生命科学,EW,2000-12-06,1.34,1.32,1.37,1.31,542200,0.0,4.41,-2.94,-0.04,0.93
爱德华兹生命科学,EW,2000-12-07,1.33,1.34,1.35,1.32,351000,0.0,2.27,1.52,0.02,0.6
爱德华兹生命科学,EW,2000-12-08,1.34,1.41,1.41,1.32,747600,0.0,6.72,5.22,0.07,1.29
爱德华兹生命科学,EW,2000-12-11,1.4,1.38,1.41,1.37,498800,0.0,2.84,-2.13,-0.03,0.86
爱德华兹生命科学,EW,2000-12-12,1.38,1.33,1.39,1.33,345200,0.0,4.35,-3.62,-0.05,0.59
爱德华兹生命科学,EW,2000-12-13,1.32,1.32,1.34,1.31,373400,0.0,2.26,-0.75,-0.01,0.64
爱德华兹生命科学,EW,2000-12-14,1.33,1.26,1.33,1.25,428000,0.0,6.06,-4.55,-0.06,0.74
爱德华兹生命科学,EW,2000-12-15,1.24,1.32,1.32,1.23,566000,0.0,7.14,4.76,0.06,0.97
爱德华兹生命科学,EW,2000-12-18,1.32,1.31,1.32,1.28,392000,0.0,3.03,-0.76,-0.01,0.67
爱德华兹生命科学,EW,2000-12-19,1.3,1.4,1.42,1.29,2055400,0.0,9.92,6.87,0.09,3.54
爱德华兹生命科学,EW,2000-12-20,1.39,1.38,1.39,1.37,387200,0.0,1.43,-1.43,-0.02,0.67
爱德华兹生命科学,EW,2000-12-21,1.38,1.38,1.4,1.37,297600,0.0,2.17,0.0,0.0,0.51
爱德华兹生命科学,EW,2000-12-22,1.39,1.4,1.4,1.38,276200,0.0,1.45,1.45,0.02,0.48
爱德华兹生命科学,EW,2000-12-26,1.4,1.39,1.4,1.38,415000,0.0,1.43,-0.71,-0.01,0.71
爱德华兹生命科学,EW,2000-12-27,1.39,1.4,1.41,1.38,655600,0.0,2.16,0.72,0.01,1.13
爱德华兹生命科学,EW,2000-12-28,1.4,1.45,1.47,1.4,919800,0.0,5.0,3.57,0.05,1.58
爱德华兹生命科学,EW,2000-12-29,1.45,1.48,1.51,1.44,1492200,0.0,4.83,2.07,0.03,2.57
爱德华兹生命科学,EW,2001-01-02,0.74,0.72,0.74,0.72,464000,0.0,1.35,-51.35,-0.76,0.79
