股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
F5,FFIV,2000-01-03,60.63,59.75,61.5,56.5,793000,0.0,8.77,4.82,2.75,3.78
F5,FFIV,2000-01-04,58.5,58.97,65.0,58.0,1151800,0.0,11.72,-1.31,-0.78,5.48
F5,FFIV,2000-01-05,60.1,55.41,60.1,54.1,1616800,0.0,10.17,-6.04,-3.56,7.7
F5,FFIV,2000-01-06,55.5,51.07,55.57,50.94,978400,0.0,8.36,-7.83,-4.34,4.66
F5,FFIV,2000-01-07,50.0,49.31,53.94,47.25,1324200,0.0,13.1,-3.45,-1.76,6.3
F5,FFIV,2000-01-10,52.5,51.03,52.5,49.25,1196200,0.0,6.59,3.49,1.72,5.7
F5,FFIV,2000-01-11,51.78,50.25,54.25,49.53,1348400,0.0,9.25,-1.53,-0.78,6.42
F5,FFIV,2000-01-12,51.22,47.38,51.47,46.75,1019600,0.0,9.39,-5.71,-2.87,4.85
F5,FFIV,2000-01-13,48.5,46.47,49.5,44.63,1556600,0.0,10.28,-1.92,-0.91,7.41
F5,FFIV,2000-01-14,48.19,49.0,52.5,45.78,1901600,0.0,14.46,5.44,2.53,9.05
F5,FFIV,2000-01-18,50.94,56.44,57.0,49.97,1752600,0.0,14.35,15.18,7.44,8.34
F5,FFIV,2000-01-19,57.44,55.28,59.75,54.0,1073000,0.0,10.19,-2.06,-1.16,5.11
F5,FFIV,2000-01-20,57.0,59.74,60.0,55.53,921000,0.0,8.09,8.07,4.46,4.38
F5,FFIV,2000-01-21,60.94,64.91,67.5,58.88,2146000,0.0,14.43,8.65,5.17,10.22
F5,FFIV,2000-01-24,67.0,65.0,71.06,64.0,2114800,0.0,10.88,0.14,0.09,10.07
F5,FFIV,2000-01-25,66.5,66.75,68.0,62.44,2125800,0.0,8.55,2.69,1.75,10.12
F5,FFIV,2000-01-26,64.5,57.25,64.81,57.0,4603000,0.0,11.7,-14.23,-9.5,21.91
