股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
FMC Corp,FMC,2000-01-03,-1.37,-1.99,-1.34,-2.02,594000,0.0,-47.89,-40.14,-0.57,1.96
FMC Corp,FMC,2000-01-04,-2.04,-2.17,-2.01,-2.21,301200,0.0,-10.05,-9.05,-0.18,0.99
FMC Corp,FMC,2000-01-05,-2.17,-1.92,-1.77,-2.17,576800,0.0,-18.43,11.52,0.25,1.9
FMC Corp,FMC,2000-01-06,-2.02,-1.93,-1.81,-2.04,886800,0.0,-11.98,-0.52,-0.01,2.92
FMC Corp,FMC,2000-01-07,-1.93,-1.95,-1.62,-2.02,1200400,0.0,-20.73,-1.04,-0.02,3.95
FMC Corp,FMC,2000-01-10,-1.68,-1.43,-1.31,-1.76,744000,0.0,-23.08,26.67,0.52,2.45
FMC Corp,FMC,2000-01-11,-1.46,-1.29,-0.99,-1.71,987200,0.0,-50.35,9.79,0.14,3.25
FMC Corp,FMC,2000-01-12,-1.27,-0.99,-0.81,-1.27,1868000,0.0,-35.66,23.26,0.3,6.15
FMC Corp,FMC,2000-01-13,-0.96,-0.87,-0.62,-0.96,1373600,0.0,-34.34,12.12,0.12,4.52
FMC Corp,FMC,2000-01-14,-0.81,-0.84,-0.74,-0.99,1086400,0.0,-28.74,3.45,0.03,3.58
FMC Corp,FMC,2000-01-18,-0.79,-1.07,-0.77,-1.12,708400,0.0,-41.67,-27.38,-0.23,2.33
FMC Corp,FMC,2000-01-19,-1.09,-1.49,-1.09,-1.52,1177600,0.0,-40.19,-39.25,-0.42,3.88
FMC Corp,FMC,2000-01-20,-1.46,-1.85,-1.46,-1.92,700800,0.0,-30.87,-24.16,-0.36,2.31
FMC Corp,FMC,2000-01-21,-1.82,-1.95,-1.77,-2.09,787200,0.0,-17.3,-5.41,-0.1,2.59
FMC Corp,FMC,2000-01-24,-1.71,-2.06,-1.49,-2.24,1271600,0.0,-38.46,-5.64,-0.11,4.19
FMC Corp,FMC,2000-01-25,-2.09,-2.43,-1.81,-2.56,699200,0.0,-36.41,-17.96,-0.37,2.3
FMC Corp,FMC,2000-01-26,-2.43,-2.06,-1.99,-2.49,812000,0.0,-20.58,15.23,0.37,2.67
FMC Corp,FMC,2000-01-27,-2.09,-1.93,-1.71,-2.12,398400,0.0,-19.9,6.31,0.13,1.31
FMC Corp,FMC,2000-01-28,-1.93,-2.34,-1.93,-2.38,323600,0.0,-23.32,-21.24,-0.41,1.07
FMC Corp,FMC,2000-01-31,-2.27,-2.31,-2.12,-2.34,457200,0.0,-9.4,1.28,0.03,1.51
FMC Corp,FMC,2000-02-01,-2.31,-2.26,-2.15,-2.35,667600,0.0,-8.66,2.16,0.05,2.2
FMC Corp,FMC,2000-02-02,-2.31,-2.35,-2.24,-2.38,484400,0.0,-6.19,-3.98,-0.09,1.6
FMC Corp,FMC,2000-02-03,-2.32,-2.31,-2.21,-2.43,518800,0.0,-9.36,1.7,0.04,1.71
