股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-07-10,21.49,21.378,21.49,21.378,864,18567.0,0.0,0.0,0.0,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-07-11,21.28,21.21,21.28,21.21,468,9959.0,0.33,-0.79,-0.168,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-07-26,21.885,21.855,21.885,21.855,1828,40005.0,0.14,3.04,0.645,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-07-31,22.015,21.835,22.015,21.835,267,0.0,0.82,-0.09,-0.02,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-08-05,20.44,20.165,20.44,20.165,1255,25631.0,1.26,-7.65,-1.67,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-10-28,21.005,21.005,21.005,21.005,0,0.0,0.0,4.17,0.84,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-10-29,20.77,20.77,20.77,20.77,0,0.0,0.0,-1.12,-0.235,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-10-30,20.663,20.663,20.663,20.663,0,0.0,0.0,-0.52,-0.107,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-10-31,20.505,20.505,20.505,20.505,0,0.0,0.0,-0.76,-0.158,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-01,20.89,20.89,20.89,20.89,0,0.0,0.0,1.88,0.385,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-04,21.275,21.275,21.275,21.275,0,0.0,0.0,1.84,0.385,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-05,21.48,21.48,21.48,21.48,0,0.0,0.0,0.96,0.205,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-06,21.517,21.517,21.517,21.517,0,0.0,0.0,0.17,0.037,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-07,21.805,21.805,21.805,21.805,0,0.0,0.0,1.34,0.288,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-08,21.688,21.688,21.688,21.688,0,0.0,0.0,-0.54,-0.117,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-11,21.225,21.225,21.225,21.225,0,0.0,0.0,-2.13,-0.463,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-12,21.225,21.265,21.265,21.225,0,0.0,0.19,0.19,0.04,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-13,21.265,20.948,21.265,20.948,137,0.0,1.49,-1.49,-0.317,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-14,20.82,20.82,20.82,20.82,0,0.0,0.0,-0.61,-0.128,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-15,20.855,20.89,20.89,20.855,2191,45693.0,0.17,0.34,0.07,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-18,21.01,20.868,21.01,20.868,5419,113549.0,0.68,-0.11,-0.022,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-19,21.032,21.032,21.032,21.032,0,0.0,0.0,0.79,0.164,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-20,21.02,21.02,21.02,21.02,0,0.0,0.0,-0.06,-0.012,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-21,20.918,20.918,20.918,20.918,0,0.0,0.0,-0.49,-0.102,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-22,21.055,21.055,21.055,21.055,0,0.0,0.0,0.65,0.137,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-25,21.247,21.247,21.247,21.247,0,0.0,0.0,0.91,0.192,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-26,21.247,21.295,21.295,21.247,984,0.0,0.23,0.23,0.048,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-27,21.295,21.415,21.415,21.295,0,0.0,0.56,0.56,0.12,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-28,21.438,21.438,21.438,21.438,0,0.0,0.0,0.11,0.023,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-11-29,21.012,21.012,21.012,21.012,0,0.0,0.0,-1.99,-0.426,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-12-02,20.955,20.955,20.955,20.955,0,0.0,0.0,-0.27,-0.057,0.0
FRANKLIN LIBERTYSHARES ICAV FRK,FRCH,2019-12-03,20.625,20.625,20.625,20.625,0,0.0,0.0,-1.57,-0.33,0.0
