股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
FRT信托,FRT,2001-01-02,-52.25,-52.31,-52.12,-52.31,41800,0.0,0.0,0.0,0.0,0.11
FRT信托,FRT,2001-01-03,-52.25,-51.87,-51.87,-52.31,102600,0.0,-0.84,0.84,0.44,0.26
FRT信托,FRT,2001-01-04,-51.87,-51.75,-51.49,-51.87,86700,0.0,-0.73,0.23,0.12,0.22
FRT信托,FRT,2001-01-05,-51.81,-51.93,-51.68,-52.06,47000,0.0,-0.73,-0.35,-0.18,0.12
FRT信托,FRT,2001-01-08,-51.93,-51.99,-51.87,-52.06,44300,0.0,-0.37,-0.12,-0.06,0.11
FRT信托,FRT,2001-01-09,-51.99,-51.87,-51.87,-51.99,31700,0.0,-0.23,0.23,0.12,0.08
FRT信托,FRT,2001-01-10,-51.87,-51.75,-51.43,-51.93,83100,0.0,-0.96,0.23,0.12,0.21
FRT信托,FRT,2001-01-11,-51.62,-51.75,-51.43,-51.75,61400,0.0,-0.62,0.0,0.0,0.16
FRT信托,FRT,2001-01-12,-51.68,-51.75,-51.62,-51.87,82200,0.0,-0.48,0.0,0.0,0.21
FRT信托,FRT,2001-01-16,-51.87,-51.68,-51.46,-51.87,74900,0.0,-0.79,0.14,0.07,0.19
FRT信托,FRT,2001-01-17,-51.75,-51.87,-51.62,-51.87,289800,0.0,-0.48,-0.37,-0.19,0.73
FRT信托,FRT,2001-01-18,-51.81,-51.93,-51.68,-51.99,176300,0.0,-0.6,-0.12,-0.06,0.45
FRT信托,FRT,2001-01-19,-51.99,-51.62,-51.62,-51.99,216500,0.0,-0.71,0.6,0.31,0.55
FRT信托,FRT,2001-01-22,-51.56,-51.68,-51.56,-51.87,414100,0.0,-0.6,-0.12,-0.06,1.05
FRT信托,FRT,2001-01-23,-51.75,-51.68,-51.49,-51.75,214600,0.0,-0.5,0.0,0.0,0.54
FRT信托,FRT,2001-01-24,-51.68,-51.75,-51.68,-51.75,137100,0.0,-0.14,-0.14,-0.07,0.35
FRT信托,FRT,2001-01-25,-51.68,-51.93,-51.68,-51.93,66000,0.0,-0.48,-0.35,-0.18,0.17
FRT信托,FRT,2001-01-26,-51.87,-51.93,-51.87,-52.06,116600,0.0,-0.37,0.0,0.0,0.3
FRT信托,FRT,2001-01-29,-51.87,-51.77,-51.69,-51.87,49200,0.0,-0.35,0.31,0.16,0.12
FRT信托,FRT,2001-01-30,-51.72,-51.53,-51.43,-51.74,41700,0.0,-0.6,0.46,0.24,0.11
FRT信托,FRT,2001-01-31,-51.42,-51.65,-51.38,-51.66,89600,0.0,-0.54,-0.23,-0.12,0.23
FRT信托,FRT,2001-02-01,-51.57,-51.52,-51.49,-51.87,167100,0.0,-0.74,0.25,0.13,0.42
FRT信托,FRT,2001-02-02,-51.57,-51.75,-51.48,-51.77,158200,0.0,-0.56,-0.45,-0.23,0.4
FRT信托,FRT,2001-02-05,-51.67,-51.71,-51.57,-51.76,49800,0.0,-0.37,0.08,0.04,0.13
FRT信托,FRT,2001-02-06,-51.67,-52.07,-51.62,-52.07,125500,0.0,-0.87,-0.7,-0.36,0.32
FRT信托,FRT,2001-02-07,-52.01,-51.9,-51.89,-52.05,39700,0.0,-0.31,0.33,0.17,0.1
FRT信托,FRT,2001-02-08,-51.97,-51.97,-51.89,-52.0,48600,0.0,-0.21,-0.13,-0.07,0.12
FRT信托,FRT,2001-02-09,-51.93,-51.92,-51.92,-52.02,37000,0.0,-0.19,0.1,0.05,0.09
FRT信托,FRT,2001-02-12,-51.87,-51.87,-51.83,-51.97,90300,0.0,-0.27,0.1,0.05,0.23
FRT信托,FRT,2001-02-13,-51.87,-51.96,-51.87,-51.96,41900,0.0,-0.17,-0.17,-0.09,0.11
FRT信托,FRT,2001-02-14,-51.89,-51.92,-51.89,-52.06,50200,0.0,-0.33,0.08,0.04,0.13
FRT信托,FRT,2001-02-15,-51.9,-51.89,-51.84,-51.92,58000,0.0,-0.15,0.06,0.03,0.15
FRT信托,FRT,2001-02-16,-51.82,-51.89,-51.67,-51.92,79200,0.0,-0.48,0.0,0.0,0.2
FRT信托,FRT,2001-02-20,-51.89,-51.92,-51.81,-51.92,45600,0.0,-0.21,-0.06,-0.03,0.12
FRT信托,FRT,2001-02-21,-51.91,-51.91,-51.86,-51.95,78000,0.0,-0.17,0.02,0.01,0.2
FRT信托,FRT,2001-02-22,-51.9,-51.87,-51.82,-51.9,71700,0.0,-0.15,0.08,0.04,0.18
FRT信托,FRT,2001-02-23,-51.86,-51.69,-51.67,-51.92,68700,0.0,-0.48,0.35,0.18,0.17
FRT信托,FRT,2001-02-26,-51.62,-51.62,-51.47,-51.7,66300,0.0,-0.44,0.14,0.07,0.17
FRT信托,FRT,2001-02-27,-51.52,-51.65,-51.42,-51.65,37500,0.0,-0.45,-0.06,-0.03,0.1
FRT信托,FRT,2001-02-28,-51.57,-51.57,-51.42,-51.72,102100,0.0,-0.58,0.15,0.08,0.26
FRT信托,FRT,2001-03-01,-51.58,-51.51,-51.41,-51.67,92800,0.0,-0.5,0.12,0.06,0.24
FRT信托,FRT,2001-03-02,-51.51,-51.47,-51.38,-51.52,65800,0.0,-0.27,0.08,0.04,0.17
FRT信托,FRT,2001-03-05,-51.48,-51.47,-51.39,-51.51,98000,0.0,-0.23,0.0,0.0,0.25
FRT信托,FRT,2001-03-06,-51.52,-51.33,-51.32,-51.52,77600,0.0,-0.39,0.27,0.14,0.2
