股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
通用动力,GD,2000-01-03,-29.77,-31.3,-29.77,-31.33,1925600,0.0,-5.3,-6.25,-1.84,0.96
通用动力,GD,2000-01-04,-30.33,-30.27,-29.93,-30.64,2649600,0.0,-2.27,3.29,1.03,1.32
通用动力,GD,2000-01-05,-29.84,-28.53,-27.66,-29.9,3474800,0.0,-7.4,5.75,1.74,1.73
通用动力,GD,2000-01-06,-28.53,-28.44,-28.06,-28.84,2897000,0.0,-2.73,0.32,0.09,1.44
通用动力,GD,2000-01-07,-28.22,-27.72,-27.07,-28.25,2273400,0.0,-4.15,2.53,0.72,1.13
通用动力,GD,2000-01-10,-27.53,-27.97,-27.22,-28.22,2437600,0.0,-3.61,-0.9,-0.25,1.21
通用动力,GD,2000-01-11,-28.09,-28.34,-28.06,-28.53,798400,0.0,-1.68,-1.32,-0.37,0.4
通用动力,GD,2000-01-12,-28.41,-29.1,-28.32,-29.23,2704800,0.0,-3.21,-2.68,-0.76,1.35
通用动力,GD,2000-01-13,-28.6,-29.1,-28.41,-29.54,1233000,0.0,-3.88,0.0,0.0,0.61
通用动力,GD,2000-01-14,-28.85,-28.91,-28.41,-29.57,1270200,0.0,-3.99,0.65,0.19,0.63
通用动力,GD,2000-01-18,-29.79,-29.7,-29.01,-29.85,1846000,0.0,-2.91,-2.73,-0.79,0.92
通用动力,GD,2000-01-19,-29.98,-30.23,-29.79,-30.54,1348800,0.0,-2.53,-1.78,-0.53,0.67
通用动力,GD,2000-01-20,-30.35,-30.94,-30.32,-31.26,1827200,0.0,-3.11,-2.35,-0.71,0.91
通用动力,GD,2000-01-21,-30.79,-30.92,-30.73,-30.98,1740400,0.0,-0.81,0.06,0.02,0.87
通用动力,GD,2000-01-24,-30.79,-32.38,-30.6,-32.73,1681600,0.0,-6.89,-4.72,-1.46,0.84
通用动力,GD,2000-01-25,-32.38,-32.07,-31.91,-32.91,2450000,0.0,-3.09,0.96,0.31,1.22
通用动力,GD,2000-01-26,-31.95,-32.13,-31.7,-32.76,2838600,0.0,-3.31,-0.19,-0.06,1.41
通用动力,GD,2000-01-27,-31.13,-32.1,-31.1,-32.2,2105400,0.0,-3.42,0.09,0.03,1.05
通用动力,GD,2000-01-28,-31.98,-31.98,-31.6,-32.29,2294600,0.0,-2.15,0.37,0.12,1.14
通用动力,GD,2000-01-31,-32.04,-32.04,-31.95,-32.6,808800,0.0,-2.03,-0.19,-0.06,0.4
通用动力,GD,2000-02-01,-31.98,-31.45,-31.38,-32.38,1133600,0.0,-3.12,1.84,0.59,0.56
通用动力,GD,2000-02-02,-31.04,-31.85,-30.88,-31.95,1519800,0.0,-3.4,-1.27,-0.4,0.76
通用动力,GD,2000-02-03,-31.48,-32.48,-31.41,-32.66,1770400,0.0,-3.92,-1.98,-0.63,0.88
通用动力,GD,2000-02-04,-32.29,-32.82,-31.98,-32.85,2248000,0.0,-2.68,-1.05,-0.34,1.12
通用动力,GD,2000-02-07,-32.57,-33.35,-32.54,-34.48,5385800,0.0,-5.91,-1.61,-0.53,2.68
通用动力,GD,2000-02-08,-33.54,-34.1,-33.29,-34.26,4143400,0.0,-2.91,-2.25,-0.75,2.06
通用动力,GD,2000-02-09,-34.35,-34.73,-34.35,-35.13,3313800,0.0,-2.29,-1.85,-0.63,1.65
通用动力,GD,2000-02-10,-34.7,-34.51,-33.98,-34.76,1207200,0.0,-2.25,0.63,0.22,0.6
通用动力,GD,2000-02-11,-34.54,-34.88,-34.51,-34.88,1554000,0.0,-1.07,-1.07,-0.37,0.77
通用动力,GD,2000-02-14,-34.6,-34.82,-34.57,-35.1,1143000,0.0,-1.52,0.17,0.06,0.57
通用动力,GD,2000-02-15,-34.82,-34.95,-34.6,-35.16,2330000,0.0,-1.61,-0.37,-0.13,1.16
