股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
通用电气(US),GE,2000-01-03,286.4,278.4,288.24,276.24,22069800,0.0,4.12,-4.35,-12.67,0.67
通用电气(US),GE,2000-01-04,271.07,262.4,273.07,262.4,22121400,0.0,3.83,-5.75,-16.0,0.67
通用电气(US),GE,2000-01-05,261.73,261.73,270.4,258.56,27292800,0.0,4.51,-0.26,-0.67,0.83
通用电气(US),GE,2000-01-06,260.08,266.85,270.24,258.75,19873200,0.0,4.39,1.96,5.12,0.6
通用电气(US),GE,2000-01-07,273.07,281.89,283.41,270.4,20141400,0.0,4.88,5.64,15.04,0.61
通用电气(US),GE,2000-01-10,285.57,281.73,289.23,281.41,15226500,0.0,2.77,-0.06,-0.16,0.46
通用电气(US),GE,2000-01-11,281.07,282.4,285.57,280.08,15123000,0.0,1.95,0.24,0.67,0.46
通用电气(US),GE,2000-01-12,281.23,283.73,287.07,279.89,18342300,0.0,2.54,0.47,1.33,0.56
通用电气(US),GE,2000-01-13,286.75,288.4,291.57,286.4,14953500,0.0,1.82,1.65,4.67,0.46
通用电气(US),GE,2000-01-14,287.41,281.07,290.75,277.23,18480300,0.0,4.69,-2.54,-7.33,0.56
通用电气(US),GE,2000-01-18,277.41,273.07,277.41,269.73,18296700,0.0,2.73,-2.85,-8.0,0.56
通用电气(US),GE,2000-01-19,269.07,274.99,280.91,268.4,14849700,0.0,4.58,0.7,1.92,0.45
通用电气(US),GE,2000-01-20,275.89,267.57,277.73,258.75,30759000,0.0,6.9,-2.7,-7.42,0.94
通用电气(US),GE,2000-01-21,272.91,262.75,273.73,262.24,24005400,0.0,4.29,-1.8,-4.82,0.73
通用电气(US),GE,2000-01-24,265.89,246.75,267.57,242.24,27116100,0.0,9.64,-6.09,-16.0,0.83
通用电气(US),GE,2000-01-25,246.56,247.73,252.75,243.73,25387500,0.0,3.66,0.4,0.98,0.77
通用电气(US),GE,2000-01-26,253.07,255.57,257.57,248.75,15856800,0.0,3.56,3.16,7.84,0.48
通用电气(US),GE,2000-01-27,255.89,256.4,256.4,243.89,19243500,0.0,4.89,0.32,0.83,0.59
通用电气(US),GE,2000-01-28,252.56,235.73,253.07,234.75,29846700,0.0,7.15,-8.06,-20.67,0.91
通用电气(US),GE,2000-01-31,235.73,235.73,240.91,233.23,21782700,0.0,3.26,0.0,0.0,0.66
通用电气(US),GE,2000-02-01,236.4,241.07,243.73,235.73,27339000,0.0,3.39,2.27,5.34,0.83
通用电气(US),GE,2000-02-02,244.08,235.89,245.41,235.89,21820200,0.0,3.95,-2.15,-5.18,0.66
通用电气(US),GE,2000-02-03,240.91,249.73,251.23,239.07,20232000,0.0,5.15,5.87,13.84,0.62
通用电气(US),GE,2000-02-04,254.4,255.89,260.08,253.07,18167100,0.0,2.81,2.47,6.16,0.55
通用电气(US),GE,2000-02-07,256.24,242.4,256.4,240.75,18285000,0.0,6.12,-5.27,-13.49,0.56
通用电气(US),GE,2000-02-08,242.56,243.89,247.57,242.4,18695100,0.0,2.13,0.61,1.49,0.57
通用电气(US),GE,2000-02-09,243.73,235.89,245.57,235.89,16023900,0.0,3.97,-3.28,-8.0,0.49
通用电气(US),GE,2000-02-10,237.23,239.57,243.57,233.41,19167600,0.0,4.31,1.56,3.68,0.58
通用电气(US),GE,2000-02-11,238.56,235.07,244.56,234.56,20552400,0.0,4.17,-1.88,-4.5,0.63
通用电气(US),GE,2000-02-14,235.07,236.75,240.91,234.56,14541900,0.0,2.7,0.71,1.68,0.44
通用电气(US),GE,2000-02-15,235.73,245.07,249.07,235.57,18823500,0.0,5.7,3.51,8.32,0.57
通用电气(US),GE,2000-02-16,242.75,240.16,243.57,236.75,14530800,0.0,2.78,-2.0,-4.91,0.44
