股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
通用磨坊,GIS,2000-01-03,-13.85,-14.32,-13.79,-14.51,2078200,0.0,-5.27,-4.75,-0.65,0.69
通用磨坊,GIS,2000-01-04,-14.51,-14.64,-14.32,-14.76,1546800,0.0,-3.07,-2.23,-0.32,0.51
通用磨坊,GIS,2000-01-05,-14.95,-14.73,-14.45,-14.95,2018800,0.0,-3.42,-0.61,-0.09,0.67
通用磨坊,GIS,2000-01-06,-14.62,-14.62,-14.4,-14.93,3292600,0.0,-3.6,0.75,0.11,1.09
通用磨坊,GIS,2000-01-07,-14.18,-14.59,-14.12,-14.65,4529000,0.0,-3.63,0.21,0.03,1.51
通用磨坊,GIS,2000-01-10,-14.59,-14.93,-14.5,-14.97,1466200,0.0,-3.22,-2.33,-0.34,0.49
通用磨坊,GIS,2000-01-11,-14.9,-14.71,-14.62,-14.93,1852400,0.0,-2.08,1.47,0.22,0.62
通用磨坊,GIS,2000-01-12,-14.78,-14.75,-14.43,-14.81,2186800,0.0,-2.58,-0.27,-0.04,0.73
通用磨坊,GIS,2000-01-13,-14.9,-14.68,-14.46,-14.97,1377600,0.0,-3.46,0.47,0.07,0.46
通用磨坊,GIS,2000-01-14,-14.93,-15.06,-14.71,-15.18,1515000,0.0,-3.2,-2.59,-0.38,0.5
通用磨坊,GIS,2000-01-18,-15.4,-14.9,-14.78,-15.5,1883200,0.0,-4.78,1.06,0.16,0.63
通用磨坊,GIS,2000-01-19,-14.97,-15.06,-14.75,-15.25,2575400,0.0,-3.36,-1.07,-0.16,0.86
通用磨坊,GIS,2000-01-20,-15.21,-15.34,-15.06,-15.5,1936600,0.0,-2.92,-1.86,-0.28,0.64
通用磨坊,GIS,2000-01-21,-15.34,-15.65,-15.28,-15.75,2287200,0.0,-3.06,-2.02,-0.31,0.76
通用磨坊,GIS,2000-01-24,-15.65,-15.81,-15.4,-15.9,1962800,0.0,-3.19,-1.02,-0.16,0.65
通用磨坊,GIS,2000-01-25,-16.03,-16.31,-15.75,-16.31,1157200,0.0,-3.54,-3.16,-0.5,0.38
通用磨坊,GIS,2000-01-26,-15.68,-15.9,-15.62,-16.12,1387600,0.0,-3.07,2.51,0.41,0.46
通用磨坊,GIS,2000-01-27,-15.78,-16.21,-15.62,-16.25,1320800,0.0,-3.96,-1.95,-0.31,0.44
通用磨坊,GIS,2000-01-28,-15.96,-16.28,-15.93,-16.4,1486000,0.0,-2.9,-0.43,-0.07,0.49
通用磨坊,GIS,2000-01-31,-16.34,-15.81,-15.75,-16.37,1343000,0.0,-3.81,2.89,0.47,0.45
通用磨坊,GIS,2000-02-01,-15.62,-16.28,-15.59,-16.4,3256000,0.0,-5.12,-2.97,-0.47,1.08
通用磨坊,GIS,2000-02-02,-16.28,-16.34,-16.0,-16.65,2574800,0.0,-3.99,-0.37,-0.06,0.86
通用磨坊,GIS,2000-02-03,-16.34,-16.09,-16.06,-16.71,1993800,0.0,-3.98,1.53,0.25,0.66
通用磨坊,GIS,2000-02-04,-16.15,-16.21,-16.12,-16.4,1435000,0.0,-1.74,-0.75,-0.12,0.48
通用磨坊,GIS,2000-02-07,-15.96,-16.12,-15.84,-16.65,2410400,0.0,-5.0,0.56,0.09,0.8
通用磨坊,GIS,2000-02-08,-15.93,-16.0,-15.9,-16.12,2358400,0.0,-1.36,0.74,0.12,0.78
通用磨坊,GIS,2000-02-09,-16.0,-16.15,-15.93,-16.18,3026800,0.0,-1.56,-0.94,-0.15,1.01
通用磨坊,GIS,2000-02-10,-16.21,-16.37,-16.15,-16.53,3784000,0.0,-2.35,-1.36,-0.22,1.26
通用磨坊,GIS,2000-02-11,-16.18,-16.18,-16.06,-16.34,1827400,0.0,-1.71,1.16,0.19,0.61
通用磨坊,GIS,2000-02-14,-16.15,-15.9,-15.9,-16.15,2413200,0.0,-1.55,1.73,0.28,0.8
通用磨坊,GIS,2000-02-15,-15.78,-15.18,-15.18,-15.78,2802800,0.0,-3.77,4.53,0.72,0.93
通用磨坊,GIS,2000-02-16,-15.37,-15.37,-15.28,-15.62,1733600,0.0,-2.24,-1.25,-0.19,0.58
通用磨坊,GIS,2000-02-17,-15.34,-15.21,-15.12,-15.53,1963200,0.0,-2.67,1.04,0.16,0.65
通用磨坊,GIS,2000-02-18,-15.34,-15.37,-15.21,-15.56,1428200,0.0,-2.3,-1.05,-0.16,0.47
通用磨坊,GIS,2000-02-22,-15.37,-14.68,-14.62,-15.37,2340200,0.0,-4.88,4.49,0.69,0.78
通用磨坊,GIS,2000-02-24,-14.71,-14.84,-14.71,-15.09,3046800,0.0,-2.59,-1.09,-0.16,1.01
