股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
国美零售,00493,2000-01-03,121.842,138.791,135.401,121.842,2250,34400.0,10.54,7.91,10.17,0.0
国美零售,00493,2000-01-04,145.57,145.57,145.57,145.57,2250,38700.0,0.0,4.88,6.779,0.0
国美零售,00493,2000-01-05,150.655,152.35,152.35,137.096,5000,84240.0,10.48,4.66,6.78,0.0
国美零售,00493,2000-01-06,145.57,223.536,230.316,132.011,35100,716110.0,64.53,46.73,71.186,0.0
国美零售,00493,2000-01-07,237.096,193.028,237.096,193.028,24000,601040.0,19.71,-13.65,-30.508,0.0
国美零售,00493,2000-01-10,237.096,237.096,237.096,237.096,0,0.0,0.0,22.83,44.068,0.0
国美零售,00493,2000-01-13,254.045,254.045,338.791,237.096,57338,1841670.0,42.89,7.15,16.949,0.0
国美零售,00493,2000-01-14,254.045,264.214,274.384,247.265,46750,1470720.0,10.67,4.0,10.169,0.0
国美零售,00493,2000-01-17,257.435,233.706,257.435,216.757,16250,0.0,15.4,-11.55,-30.508,0.0
国美零售,00493,2000-01-18,220.147,203.197,220.147,203.197,10250,0.0,7.25,-13.05,-30.509,0.0
国美零售,00493,2000-01-19,189.638,237.096,237.096,189.638,14650,0.0,23.36,16.68,33.899,0.0
国美零售,00493,2000-01-20,223.536,257.435,287.943,223.536,25900,799680.0,27.16,8.58,20.339,0.0
国美零售,00493,2000-01-21,243.875,315.062,321.842,243.875,75400,2634460.0,30.29,22.39,57.627,0.0
国美零售,00493,2000-01-24,342.18,355.74,379.469,318.452,108850,4484720.0,19.37,12.91,40.678,0.0
国美零售,00493,2000-01-25,355.74,321.842,355.74,315.062,11000,426700.0,11.43,-9.53,-33.898,0.0
国美零售,00493,2000-01-26,335.401,264.214,335.401,254.045,28200,910300.0,25.28,-17.91,-57.628,0.0
国美零售,00493,2000-01-27,240.486,254.045,254.045,240.486,5100,129540.0,5.13,-3.85,-10.169,0.0
国美零售,00493,2000-01-28,267.604,281.164,301.503,267.604,12350,408720.0,13.34,10.67,27.119,0.0
国美零售,00493,2000-01-31,287.943,270.994,287.943,270.994,14300,471380.0,6.03,-3.62,-10.17,0.0
国美零售,00493,2000-02-01,264.214,270.994,281.164,264.214,8800,284720.0,6.25,0.0,0.0,0.0
国美零售,00493,2000-02-02,284.553,454.045,528.621,284.553,106850,4952480.0,90.06,67.55,183.051,0.0
国美零售,00493,2000-02-03,464.214,670.994,804.892,464.214,163250,12893280.0,75.03,47.78,216.949,0.0
国美零售,00493,2000-02-08,686.248,576.079,686.248,548.96,39850,2853040.0,20.46,-14.15,-94.915,0.0
国美零售,00493,2000-02-09,589.638,484.553,589.638,454.045,37450,2215880.0,23.54,-15.89,-91.526,0.0
国美零售,00493,2000-02-10,470.994,481.164,518.452,457.435,20300,1194440.0,12.59,-0.7,-3.389,0.0
国美零售,00493,2000-02-11,460.825,474.384,484.553,437.096,19550,1047800.0,9.86,-1.41,-6.78,0.0
国美零售,00493,2000-02-14,460.825,470.994,481.164,433.706,15150,836340.0,10.0,-0.71,-3.39,0.0
国美零售,00493,2000-02-15,470.994,576.079,664.214,470.994,17050,1194740.0,41.02,22.31,105.085,0.0
国美零售,00493,2000-02-16,576.079,620.147,640.486,576.079,43600,3164320.0,11.18,7.65,44.068,0.0
国美零售,00493,2000-02-17,633.706,804.892,821.841,633.706,129600,11115800.0,30.34,29.79,184.745,0.0
