股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
佳明,GRMN,2021-12-07,130.22,130.66,133.01,129.03,1413610,193499471.0,48.42,1489.54,122.44,0.74
佳明,GRMN,2021-12-08,130.83,133.19,133.71,130.83,632068,87542454.0,2.2,1.94,2.53,0.33
佳明,GRMN,2021-12-09,133.46,129.58,133.46,129.48,661821,90037992.0,2.99,-2.71,-3.61,0.34
佳明,GRMN,2021-12-10,131.22,130.33,131.73,129.92,745160,101598688.0,1.4,0.58,0.75,0.39
佳明,GRMN,2021-12-13,129.81,128.91,131.1,128.77,701119,94780277.0,1.79,-1.09,-1.42,0.36
佳明,GRMN,2021-12-14,127.42,128.35,128.84,127.22,1138597,152559305.0,1.26,-0.43,-0.56,0.59
佳明,GRMN,2021-12-15,128.91,129.65,129.84,127.07,723252,97362789.0,2.16,1.01,1.3,0.38
佳明,GRMN,2021-12-16,129.29,128.51,130.85,128.24,1168373,157384753.0,2.01,-0.88,-1.14,0.61
佳明,GRMN,2021-12-17,128.03,126.45,128.59,126.36,2104708,279493504.0,1.74,-1.6,-2.06,1.09
佳明,GRMN,2021-12-20,124.91,123.53,125.01,122.25,989581,127832172.0,2.18,-2.31,-2.92,0.51
佳明,GRMN,2021-12-21,124.53,127.06,127.25,124.53,739046,97945745.0,2.2,2.86,3.53,0.38
佳明,GRMN,2021-12-22,126.32,128.32,128.53,126.32,553542,74085893.0,1.74,0.99,1.26,0.29
佳明,GRMN,2021-12-23,128.85,128.7,129.66,128.59,389988,52532057.0,0.83,0.3,0.38,0.2
佳明,GRMN,2021-12-27,129.22,130.16,130.29,128.57,333643,45216915.0,1.34,1.13,1.46,0.17
佳明,GRMN,2021-12-28,130.43,129.98,130.99,129.31,426298,57907384.0,1.29,-0.14,-0.18,0.22
佳明,GRMN,2021-12-29,130.21,130.24,130.91,129.45,669890,91172312.0,1.12,0.2,0.26,0.35
佳明,GRMN,2021-12-30,131.0,130.93,132.01,130.25,351098,48104783.0,1.35,0.53,0.69,0.18
佳明,GRMN,2021-12-31,130.77,130.39,131.23,129.65,393025,53510153.0,1.21,-0.41,-0.54,0.2
佳明,GRMN,2022-01-03,130.8,127.77,131.18,127.13,812044,108835452.0,3.11,-2.01,-2.62,0.42
佳明,GRMN,2022-01-04,128.78,127.79,129.53,127.27,743204,99438010.0,1.77,0.02,0.02,0.39
佳明,GRMN,2022-01-05,130.78,127.27,132.47,127.27,1479558,199604042.0,4.07,-0.41,-0.52,0.77
佳明,GRMN,2022-01-06,127.06,127.0,128.23,125.68,821551,109082209.0,2.0,-0.21,-0.27,0.43
佳明,GRMN,2022-01-07,126.72,125.17,127.28,125.09,729629,95924563.0,1.72,-1.44,-1.83,0.38
佳明,GRMN,2022-01-10,124.26,124.27,125.31,122.26,960949,124617459.0,2.44,-0.72,-0.9,0.5
佳明,GRMN,2022-01-11,124.49,126.0,126.5,123.69,667415,87777088.0,2.26,1.39,1.73,0.35
佳明,GRMN,2022-01-12,125.76,126.22,126.97,125.49,738901,97524164.0,1.17,0.17,0.22,0.38
佳明,GRMN,2022-01-13,126.42,126.37,127.02,125.12,885056,116930183.0,1.51,0.12,0.15,0.46
佳明,GRMN,2022-01-14,125.78,126.6,126.88,124.43,1051884,138625018.0,1.94,0.18,0.23,0.55
佳明,GRMN,2022-01-18,125.36,127.0,127.82,125.03,1464343,194053302.0,2.2,0.32,0.4,0.76
佳明,GRMN,2022-01-19,127.54,125.45,128.01,125.38,1118500,147939698.0,2.07,-1.22,-1.55,0.58
佳明,GRMN,2022-01-20,126.21,117.51,126.21,117.42,1941039,245627874.0,7.01,-6.33,-7.94,1.01
佳明,GRMN,2022-01-21,116.93,115.66,118.6,115.1,3342308,407273936.0,2.98,-1.57,-1.85,1.74
佳明,GRMN,2022-01-24,113.22,117.63,117.91,112.19,1621219,195896094.0,4.95,1.7,1.97,0.84
佳明,GRMN,2022-01-25,115.78,115.59,117.0,112.42,1091569,131900470.0,3.89,-1.73,-2.04,0.57
佳明,GRMN,2022-01-26,117.16,114.74,118.73,113.86,825842,100567643.0,4.21,-0.74,-0.85,0.43
佳明,GRMN,2022-01-27,115.22,113.08,116.69,112.33,686220,82228114.0,3.8,-1.45,-1.66,0.36
佳明,GRMN,2022-01-28,113.43,115.47,115.63,111.93,880966,105793202.0,3.27,2.11,2.39,0.46
佳明,GRMN,2022-01-31,115.74,118.64,118.71,115.12,926270,114568012.0,3.11,2.75,3.17,0.48
佳明,GRMN,2022-02-01,118.75,119.58,119.75,116.83,630125,78398001.0,2.46,0.79,0.94,0.33
佳明,GRMN,2022-02-02,121.09,121.45,122.52,120.08,1213332,154596477.0,2.04,1.56,1.87,0.63
佳明,GRMN,2022-02-03,120.46,119.32,122.05,119.24,773279,97505591.0,2.31,-1.75,-2.13,0.4
佳明,GRMN,2022-02-04,118.43,118.98,120.58,117.48,857707,107060245.0,2.6,-0.28,-0.34,0.45
佳明,GRMN,2022-02-07,119.0,119.31,120.68,118.9,917556,115070478.0,1.5,0.28,0.33,0.48
佳明,GRMN,2022-02-08,119.92,120.58,120.88,118.84,571563,71945711.0,1.71,1.06,1.27,0.3
佳明,GRMN,2022-02-09,121.82,122.92,123.03,121.7,410482,52735349.0,1.1,1.94,2.34,0.21
佳明,GRMN,2022-02-10,121.19,118.43,123.29,118.28,1096746,137512141.0,4.08,-3.65,-4.49,0.57
佳明,GRMN,2022-02-11,118.66,117.45,119.98,116.89,788571,97718623.0,2.61,-0.83,-0.98,0.41
佳明,GRMN,2022-02-14,116.97,114.98,117.73,114.35,855097,103653170.0,2.88,-2.1,-2.47,0.44
佳明,GRMN,2022-02-15,116.18,114.1,117.21,112.95,1673879,200889073.0,3.7,-0.77,-0.88,0.87
佳明,GRMN,2022-02-16,110.5,113.81,115.22,108.47,1617983,191981648.0,5.92,-0.25,-0.29,0.84
佳明,GRMN,2022-02-17,111.78,107.54,112.54,106.97,1778424,203752931.0,4.89,-5.51,-6.27,0.92
佳明,GRMN,2022-02-18,107.11,108.74,109.79,106.26,1610454,183610536.0,3.28,1.12,1.2,0.84
佳明,GRMN,2022-02-22,108.64,106.05,108.87,105.44,1448941,162756766.0,3.15,-2.47,-2.69,0.75
佳明,GRMN,2022-02-23,106.44,104.01,107.3,103.83,1243490,137162063.0,3.27,-1.92,-2.04,0.65
佳明,GRMN,2022-02-24,101.12,104.63,104.66,100.88,3863634,421760592.0,3.63,0.6,0.62,2.0
佳明,GRMN,2022-02-25,104.54,106.05,106.53,104.07,1905511,212632374.0,2.35,1.36,1.42,0.99
佳明,GRMN,2022-02-28,104.22,104.66,105.48,103.71,2018914,222580034.0,1.67,-1.31,-1.39,1.05
佳明,GRMN,2022-03-01,104.35,104.22,104.95,103.3,2111381,231980603.0,1.58,-0.42,-0.44,1.1
佳明,GRMN,2022-03-02,104.25,108.13,109.43,104.22,2971281,337375536.0,5.0,3.75,3.91,1.54
佳明,GRMN,2022-03-03,107.95,106.27,108.68,105.72,1160095,130376463.0,2.74,-1.72,-1.86,0.6
佳明,GRMN,2022-03-04,105.03,104.79,105.22,103.73,1056659,116550581.0,1.4,-1.39,-1.48,0.55
佳明,GRMN,2022-03-07,104.22,102.86,104.43,100.96,3009847,326981504.0,3.31,-1.84,-1.93,1.56
佳明,GRMN,2022-03-08,102.27,104.2,106.03,102.0,1979731,217480502.0,3.92,1.3,1.34,1.03
佳明,GRMN,2022-03-09,106.05,104.94,106.7,104.21,2000066,221733685.0,2.39,0.71,0.74,1.04
佳明,GRMN,2022-03-10,103.91,105.35,106.05,103.26,1391110,153452116.0,2.66,0.39,0.41,0.72
佳明,GRMN,2022-03-11,106.14,104.02,106.53,104.02,1121427,123611864.0,2.38,-1.26,-1.33,0.58
佳明,GRMN,2022-03-14,103.76,104.25,104.62,103.1,1806846,197101436.0,1.46,0.22,0.23,0.94
佳明,GRMN,2022-03-15,104.53,104.58,105.08,102.98,1753196,191740055.0,2.01,0.32,0.33,0.91
佳明,GRMN,2022-03-16,104.96,106.82,106.86,104.69,857259,95337912.0,2.07,2.14,2.24,0.44
佳明,GRMN,2022-03-17,106.0,111.4,111.71,105.9,2194593,253030076.0,5.44,4.29,4.58,1.14
佳明,GRMN,2022-03-18,113.89,114.5,115.43,113.34,3346446,399873696.0,1.88,2.78,3.1,1.74
佳明,GRMN,2022-03-21,114.42,111.59,115.13,111.02,1244580,146380883.0,3.59,-2.54,-2.91,0.65
佳明,GRMN,2022-03-22,112.73,113.43,114.16,112.55,750889,88990163.0,1.44,1.65,1.84,0.39
佳明,GRMN,2022-03-23,112.55,110.76,113.74,110.26,858773,99876422.0,3.07,-2.35,-2.67,0.45
佳明,GRMN,2022-03-24,111.26,111.71,111.78,109.31,983406,114111284.0,2.23,0.86,0.95,0.51
佳明,GRMN,2022-03-25,111.94,111.46,112.38,111.03,949709,110821245.0,1.21,-0.22,-0.25,0.49
佳明,GRMN,2022-03-28,111.32,113.76,113.99,111.05,709600,83813661.0,2.64,2.06,2.3,0.37
佳明,GRMN,2022-03-29,115.58,116.28,116.63,115.06,762125,92304086.0,1.38,2.22,2.52,0.39
佳明,GRMN,2022-03-30,115.89,115.18,116.57,114.57,778637,93713464.0,1.72,-0.95,-1.1,0.4
佳明,GRMN,2022-03-31,114.77,113.5,115.87,113.4,1024393,122153368.0,2.14,-1.46,-1.68,0.53
佳明,GRMN,2022-04-01,114.39,111.0,114.92,110.39,1001641,116781488.0,3.99,-2.2,-2.5,0.52
佳明,GRMN,2022-04-04,111.71,113.64,114.1,111.63,707535,83845225.0,2.23,2.38,2.64,0.37
佳明,GRMN,2022-04-05,113.47,111.93,113.56,111.53,684498,80385374.0,1.79,-1.5,-1.71,0.35
佳明,GRMN,2022-04-06,110.59,109.17,110.86,108.25,965374,110202310.0,2.33,-2.47,-2.76,0.5
佳明,GRMN,2022-04-07,107.94,110.24,110.76,107.91,963039,110366255.0,2.61,0.98,1.07,0.5
佳明,GRMN,2022-04-08,110.08,109.13,110.56,108.32,875842,100309299.0,2.03,-1.01,-1.11,0.45
佳明,GRMN,2022-04-11,108.89,106.63,109.21,106.35,777139,87201646.0,2.62,-2.29,-2.5,0.4
佳明,GRMN,2022-04-12,108.02,106.71,109.72,106.03,764373,86009775.0,3.46,0.08,0.08,0.4
佳明,GRMN,2022-04-13,106.64,107.96,108.14,106.33,544594,61577243.0,1.7,1.17,1.25,0.28
佳明,GRMN,2022-04-14,108.32,106.2,108.68,106.16,538996,60366544.0,2.33,-1.63,-1.76,0.28
佳明,GRMN,2022-04-18,105.48,105.46,106.34,104.78,603354,66670744.0,1.47,-0.7,-0.74,0.31
佳明,GRMN,2022-04-19,105.89,108.09,108.14,105.89,607231,68530808.0,2.13,2.49,2.63,0.31
佳明,GRMN,2022-04-20,109.22,109.57,110.23,108.08,555411,63653749.0,1.99,1.37,1.48,0.29
佳明,GRMN,2022-04-21,111.0,108.12,112.09,107.8,565434,64626499.0,3.92,-1.32,-1.45,0.29
佳明,GRMN,2022-04-22,107.49,105.39,108.12,104.89,826134,91504429.0,2.99,-2.52,-2.73,0.43
佳明,GRMN,2022-04-25,105.03,107.7,107.85,104.3,953606,106105819.0,3.37,2.19,2.31,0.49
佳明,GRMN,2022-04-26,107.45,104.89,107.45,104.88,1471714,162853807.0,2.39,-2.61,-2.81,0.76
佳明,GRMN,2022-04-27,103.89,104.39,105.02,102.42,2376961,259475811.0,2.48,-0.48,-0.5,1.23
佳明,GRMN,2022-04-28,104.16,105.53,107.15,103.9,1285467,142290964.0,3.11,1.09,1.14,0.67
佳明,GRMN,2022-04-29,104.67,104.63,107.23,104.5,1388074,153134912.0,2.59,-0.85,-0.9,0.72
佳明,GRMN,2022-05-02,104.79,106.7,107.0,104.5,1231773,136453485.0,2.39,1.98,2.07,0.64
佳明,GRMN,2022-05-03,106.08,106.68,107.53,105.82,779937,87258381.0,1.6,-0.02,-0.02,0.4
佳明,GRMN,2022-05-04,106.39,109.09,109.28,104.89,731848,82349095.0,4.12,2.26,2.41,0.38
佳明,GRMN,2022-05-05,107.3,103.64,107.71,102.45,750068,81999193.0,4.82,-5.0,-5.45,0.39
佳明,GRMN,2022-05-06,102.35,100.92,103.06,99.6,709534,75182777.0,3.34,-2.62,-2.72,0.37
佳明,GRMN,2022-05-09,99.07,97.59,100.39,97.22,700359,72482941.0,3.14,-3.3,-3.33,0.36
佳明,GRMN,2022-05-10,99.24,96.13,99.87,94.72,832628,84330757.0,5.28,-1.5,-1.46,0.43
佳明,GRMN,2022-05-11,95.61,92.84,97.74,92.51,870347,86167719.0,5.44,-3.42,-3.29,0.45
佳明,GRMN,2022-05-12,92.49,94.36,95.18,92.25,759190,75062902.0,3.16,1.64,1.52,0.39
佳明,GRMN,2022-05-13,95.32,96.25,97.28,95.13,570965,57853728.0,2.28,2.0,1.89,0.3
佳明,GRMN,2022-05-16,95.41,96.16,96.88,94.64,668805,67609282.0,2.33,-0.09,-0.09,0.35
佳明,GRMN,2022-05-17,98.12,99.44,99.85,97.15,793205,82648400.0,2.81,3.41,3.28,0.41
佳明,GRMN,2022-05-18,97.97,96.09,98.29,95.33,1053391,106666233.0,2.98,-3.37,-3.35,0.55
佳明,GRMN,2022-05-19,95.78,95.67,96.88,95.14,964497,97489685.0,1.81,-0.44,-0.42,0.5
佳明,GRMN,2022-05-20,97.01,95.54,97.3,92.31,1250591,124571414.0,5.22,-0.14,-0.13,0.65
佳明,GRMN,2022-05-23,96.69,96.26,96.76,94.9,579354,58657836.0,1.95,0.75,0.72,0.3
