股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
固安捷,GWW,2000-01-03,-30.19,-31.87,-30.12,-32.61,334100,0.0,-8.3,-6.23,-1.87,0.36
固安捷,GWW,2000-01-04,-32.05,-33.18,-31.81,-33.24,216500,0.0,-4.49,-4.11,-1.31,0.23
固安捷,GWW,2000-01-05,-33.42,-32.55,-32.55,-33.42,277100,0.0,-2.62,1.9,0.63,0.3
固安捷,GWW,2000-01-06,-32.8,-32.74,-32.68,-33.05,206300,0.0,-1.14,-0.58,-0.19,0.22
固安捷,GWW,2000-01-07,-35.29,-33.42,-32.05,-36.54,1686300,0.0,-13.71,-2.08,-0.68,1.81
固安捷,GWW,2000-01-10,-33.18,-31.49,-31.49,-34.23,562100,0.0,-8.2,5.77,1.93,0.6
固安捷,GWW,2000-01-11,-31.74,-29.31,-28.94,-32.18,942300,0.0,-10.29,6.92,2.18,1.01
固安捷,GWW,2000-01-12,-29.38,-27.69,-27.07,-29.38,1412800,0.0,-7.88,5.53,1.62,1.51
固安捷,GWW,2000-01-13,-27.32,-25.83,-25.83,-27.57,892200,0.0,-6.28,6.72,1.86,0.96
固安捷,GWW,2000-01-14,-25.08,-22.21,-21.59,-25.08,1107900,0.0,-13.51,14.01,3.62,1.19
固安捷,GWW,2000-01-18,-22.21,-23.21,-22.15,-24.21,582300,0.0,-9.28,-4.5,-1.0,0.62
固安捷,GWW,2000-01-19,-23.96,-22.96,-22.96,-24.14,305500,0.0,-5.08,1.08,0.25,0.33
固安捷,GWW,2000-01-20,-22.84,-23.21,-22.59,-23.96,534900,0.0,-5.97,-1.09,-0.25,0.57
固安捷,GWW,2000-01-21,-24.45,-23.77,-23.58,-24.45,537000,0.0,-3.75,-2.41,-0.56,0.58
固安捷,GWW,2000-01-24,-23.77,-23.65,-23.33,-23.83,890100,0.0,-2.1,0.5,0.12,0.95
固安捷,GWW,2000-01-25,-23.65,-26.39,-23.58,-28.32,796300,0.0,-20.04,-11.59,-2.74,0.85
固安捷,GWW,2000-01-26,-27.38,-27.44,-26.45,-27.94,617500,0.0,-5.65,-3.98,-1.05,0.66
固安捷,GWW,2000-01-27,-27.38,-27.57,-25.83,-28.57,426300,0.0,-9.99,-0.47,-0.13,0.46
固安捷,GWW,2000-01-28,-27.82,-29.69,-27.76,-29.69,374800,0.0,-7.0,-7.69,-2.12,0.4
固安捷,GWW,2000-01-31,-29.56,-29.87,-28.38,-30.75,595600,0.0,-7.98,-0.61,-0.18,0.64
固安捷,GWW,2000-02-01,-29.81,-30.87,-29.81,-31.18,541300,0.0,-4.59,-3.35,-1.0,0.58
固安捷,GWW,2000-02-02,-30.81,-30.37,-30.0,-30.81,479100,0.0,-2.62,1.62,0.5,0.51
固安捷,GWW,2000-02-03,-30.49,-29.99,-28.61,-31.61,695900,0.0,-9.88,1.25,0.38,0.75
固安捷,GWW,2000-02-04,-30.11,-29.49,-29.18,-30.49,301400,0.0,-4.37,1.67,0.5,0.32
固安捷,GWW,2000-02-07,-29.74,-29.49,-29.24,-29.87,204400,0.0,-2.14,0.0,0.0,0.22
固安捷,GWW,2000-02-08,-29.49,-29.49,-29.24,-29.68,318100,0.0,-1.49,0.0,0.0,0.34
固安捷,GWW,2000-02-09,-29.11,-28.74,-28.49,-29.87,664300,0.0,-4.68,2.54,0.75,0.71
固安捷,GWW,2000-02-10,-28.87,-27.37,-27.37,-29.05,683400,0.0,-5.85,4.77,1.37,0.73
固安捷,GWW,2000-02-11,-27.49,-25.93,-25.8,-28.61,628700,0.0,-10.27,5.26,1.44,0.67
固安捷,GWW,2000-02-14,-25.87,-24.68,-24.43,-26.11,718000,0.0,-6.48,4.82,1.25,0.77
固安捷,GWW,2000-02-15,-24.68,-26.49,-24.68,-26.74,433700,0.0,-8.35,-7.33,-1.81,0.46
固安捷,GWW,2000-02-16,-26.49,-26.93,-26.49,-27.8,490900,0.0,-4.95,-1.66,-0.44,0.53
固安捷,GWW,2000-02-17,-26.87,-27.55,-26.87,-27.68,371500,0.0,-3.01,-2.3,-0.62,0.4
固安捷,GWW,2000-02-18,-28.24,-29.87,-27.99,-30.49,260000,0.0,-9.07,-8.42,-2.32,0.28
固安捷,GWW,2000-02-22,-29.74,-30.74,-29.74,-31.99,345300,0.0,-7.53,-2.91,-0.87,0.37
固安捷,GWW,2000-02-24,-30.99,-31.74,-30.86,-32.43,340800,0.0,-5.11,-3.25,-1.0,0.36
