股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中国恒大,03333,2009-11-05,-1.863,-1.163,-1.063,-2.053,1205691008,4951375104.0,-41.9,50.78,1.2,8.04
中国恒大,03333,2009-11-06,-1.213,-1.283,-1.063,-1.453,485523008,2211907008.0,-33.53,-10.32,-0.12,3.24
中国恒大,03333,2009-11-09,-1.263,-1.173,-1.013,-1.283,167349730,789367808.0,-21.04,8.57,0.11,1.12
中国恒大,03333,2009-11-10,-1.133,-1.283,-1.093,-1.413,108415000,497236896.0,-27.28,-9.38,-0.11,0.72
中国恒大,03333,2009-11-11,-1.273,-1.453,-1.263,-1.503,68496000,305624304.0,-18.71,-13.25,-0.17,0.46
中国恒大,03333,2009-11-12,-1.483,-1.483,-1.363,-1.593,73655000,322186800.0,-15.83,-2.06,-0.03,0.49
中国恒大,03333,2009-11-13,-1.503,-1.553,-1.423,-1.573,43882000,190492700.0,-10.11,-4.72,-0.07,0.29
中国恒大,03333,2009-11-16,-1.593,-1.493,-1.423,-1.593,50525000,220086100.0,-10.95,3.86,0.06,0.34
中国恒大,03333,2009-11-17,-1.513,-1.373,-1.333,-1.523,83172000,370667600.0,-12.73,8.04,0.12,0.55
中国恒大,03333,2009-11-18,-1.413,-1.473,-1.373,-1.543,49837000,218787700.0,-12.38,-7.28,-0.1,0.33
中国恒大,03333,2009-11-19,-1.473,-1.473,-1.383,-1.553,52196000,229456500.0,-11.54,0.0,0.0,0.35
中国恒大,03333,2009-11-20,-1.463,-1.463,-1.413,-1.503,36809000,162286800.0,-6.11,0.68,0.01,0.25
中国恒大,03333,2009-11-23,-1.473,-1.493,-1.243,-1.513,98408600,441413296.0,-18.46,-2.05,-0.03,0.66
中国恒大,03333,2009-11-24,-1.463,-1.593,-1.413,-1.603,59192000,256998400.0,-12.73,-6.7,-0.1,0.39
中国恒大,03333,2009-11-25,-1.563,-1.733,-1.563,-1.753,64324000,269151600.0,-11.93,-8.79,-0.14,0.43
中国恒大,03333,2009-11-26,-1.713,-1.763,-1.673,-1.833,35283900,144202100.0,-9.23,-1.73,-0.03,0.24
中国恒大,03333,2009-11-27,-1.963,-1.963,-1.883,-2.063,94270270,364964608.0,-10.21,-11.34,-0.2,0.63
中国恒大,03333,2009-11-30,-1.883,-1.813,-1.793,-1.933,27180000,108388000.0,-7.13,7.64,0.15,0.18
中国恒大,03333,2009-12-01,-1.813,-1.743,-1.733,-1.883,21134000,85698550.0,-8.27,3.86,0.07,0.14
中国恒大,03333,2009-12-02,-1.733,-1.663,-1.593,-1.783,64225900,265717200.0,-10.9,4.59,0.08,0.43
中国恒大,03333,2009-12-03,-1.613,-1.563,-1.533,-1.683,44980000,192001700.0,-9.02,6.01,0.1,0.3
中国恒大,03333,2009-12-04,-1.613,-1.593,-1.563,-1.663,25587000,108812100.0,-6.4,-1.92,-0.03,0.17
中国恒大,03333,2009-12-07,-1.593,-1.633,-1.563,-1.683,26325000,111421200.0,-7.53,-2.51,-0.04,0.18
中国恒大,03333,2009-12-08,-1.613,-1.573,-1.493,-1.663,58698000,252563800.0,-10.41,3.67,0.06,0.39
中国恒大,03333,2009-12-09,-1.563,-1.523,-1.423,-1.583,85161000,370019408.0,-10.17,3.18,0.05,0.57
中国恒大,03333,2009-12-10,-1.503,-1.643,-1.473,-1.733,44007000,185466400.0,-17.07,-7.88,-0.12,0.29
中国恒大,03333,2009-12-11,-1.573,-1.583,-1.553,-1.693,32115000,135840800.0,-8.52,3.65,0.06,0.21
中国恒大,03333,2009-12-14,-1.483,-1.583,-1.483,-1.653,29476000,126146600.0,-10.74,0.0,0.0,0.2
中国恒大,03333,2009-12-15,-1.673,-1.713,-1.603,-1.783,49144371,202847500.0,-11.37,-8.21,-0.13,0.33
中国恒大,03333,2009-12-16,-1.753,-1.673,-1.663,-1.783,33721000,139101600.0,-7.01,2.34,0.04,0.22
中国恒大,03333,2009-12-17,-1.653,-1.723,-1.643,-1.763,30891873,127767000.0,-7.17,-2.99,-0.05,0.21
中国恒大,03333,2009-12-18,-1.783,-1.843,-1.743,-1.863,30228778,122939100.0,-6.96,-6.96,-0.12,0.2
中国恒大,03333,2009-12-21,-1.763,-2.013,-1.763,-2.033,18907000,74380110.0,-14.65,-9.22,-0.17,0.13
中国恒大,03333,2009-12-22,-1.963,-1.903,-1.863,-1.983,9253000,36610460.0,-5.96,5.46,0.11,0.06
中国恒大,03333,2009-12-23,-1.863,-1.773,-1.763,-1.903,10861000,43504700.0,-7.36,6.83,0.13,0.07
中国恒大,03333,2009-12-24,-1.773,-1.673,-1.673,-1.803,10865000,45065830.0,-7.33,5.64,0.1,0.07
中国恒大,03333,2009-12-28,-1.663,-1.723,-1.663,-1.803,7281000,30069320.0,-8.37,-2.99,-0.05,0.05
中国恒大,03333,2009-12-29,-1.743,-1.663,-1.663,-1.753,9104000,37741190.0,-5.22,3.48,0.06,0.06
中国恒大,03333,2009-12-30,-1.663,-1.663,-1.643,-1.703,23728000,99521890.0,-3.61,0.0,0.0,0.16
中国恒大,03333,2009-12-31,-1.653,-1.573,-1.523,-1.683,15173000,64138090.0,-9.62,5.41,0.09,0.1
中国恒大,03333,2010-01-04,-1.613,-1.703,-1.573,-1.723,11123000,46419810.0,-9.54,-8.26,-0.13,0.07
中国恒大,03333,2010-01-05,-1.683,-1.803,-1.633,-1.813,22329000,91175490.0,-10.57,-5.87,-0.1,0.15
中国恒大,03333,2010-01-06,-1.663,-1.773,-1.663,-1.813,42046970,173303400.0,-8.32,1.66,0.03,0.28
中国恒大,03333,2010-01-07,-1.753,-1.773,-1.623,-1.783,29806000,123770000.0,-9.02,0.0,0.0,0.2
中国恒大,03333,2010-01-08,-1.713,-1.783,-1.713,-1.813,17132000,70237240.0,-5.64,-0.56,-0.01,0.11
中国恒大,03333,2010-01-11,-1.783,-1.823,-1.723,-1.853,16749000,68025140.0,-7.29,-2.24,-0.04,0.11
中国恒大,03333,2010-01-12,-1.803,-1.853,-1.793,-1.863,17319000,70044500.0,-3.84,-1.65,-0.03,0.12
中国恒大,03333,2010-01-13,-1.903,-1.953,-1.793,-1.963,29954000,119279700.0,-9.17,-5.4,-0.1,0.2
中国恒大,03333,2010-01-14,-1.933,-1.953,-1.873,-1.963,17212000,67868690.0,-4.61,0.0,0.0,0.11
