股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
豪洛捷,HOLX,2001-11-01,0.28,0.28,0.3,0.27,1880000,0.0,0.0,0.0,0.0,12.03
豪洛捷,HOLX,2001-11-02,0.29,0.29,0.29,0.28,800000,0.0,3.57,3.57,0.01,5.12
豪洛捷,HOLX,2001-11-05,0.28,0.3,0.3,0.28,1074400,0.0,6.9,3.45,0.01,6.88
豪洛捷,HOLX,2001-11-06,0.29,0.34,0.35,0.29,1719200,0.0,20.0,13.33,0.04,11.0
豪洛捷,HOLX,2001-11-07,0.31,0.31,0.35,0.3,1543200,0.0,14.71,-8.82,-0.03,9.88
豪洛捷,HOLX,2001-11-08,0.31,0.31,0.32,0.3,879200,0.0,6.45,0.0,0.0,5.63
豪洛捷,HOLX,2001-11-09,0.31,0.33,0.33,0.3,770400,0.0,9.68,6.45,0.02,4.93
豪洛捷,HOLX,2001-11-12,0.32,0.33,0.33,0.31,881600,0.0,6.06,0.0,0.0,5.64
豪洛捷,HOLX,2001-11-13,0.32,0.32,0.33,0.31,1493600,0.0,6.06,-3.03,-0.01,9.56
豪洛捷,HOLX,2001-11-14,0.31,0.33,0.33,0.28,1663200,0.0,15.63,3.13,0.01,10.64
豪洛捷,HOLX,2001-11-15,0.33,0.31,0.33,0.31,1117600,0.0,6.06,-6.06,-0.02,7.15
豪洛捷,HOLX,2001-11-16,0.31,0.32,0.32,0.31,581600,0.0,3.23,3.23,0.01,3.72
豪洛捷,HOLX,2001-11-19,0.31,0.29,0.31,0.28,963200,0.0,9.38,-9.38,-0.03,6.16
豪洛捷,HOLX,2001-11-20,0.28,0.3,0.3,0.28,340000,0.0,6.9,3.45,0.01,2.18
豪洛捷,HOLX,2001-11-21,0.29,0.3,0.31,0.29,246400,0.0,6.67,0.0,0.0,1.58
豪洛捷,HOLX,2001-11-23,0.31,0.32,0.32,0.3,131200,0.0,6.67,6.67,0.02,0.84
豪洛捷,HOLX,2001-11-26,0.32,0.32,0.32,0.31,695200,0.0,3.13,0.0,0.0,4.45
豪洛捷,HOLX,2001-11-27,0.32,0.34,0.34,0.31,1380800,0.0,9.38,6.25,0.02,8.84
豪洛捷,HOLX,2001-11-28,0.33,0.33,0.34,0.32,457600,0.0,5.88,-2.94,-0.01,2.93
豪洛捷,HOLX,2001-11-29,0.33,0.35,0.36,0.32,744800,0.0,12.12,6.06,0.02,4.77
豪洛捷,HOLX,2001-11-30,0.35,0.34,0.35,0.32,1227200,0.0,8.57,-2.86,-0.01,7.85
豪洛捷,HOLX,2001-12-03,0.34,0.34,0.34,0.33,327200,0.0,2.94,0.0,0.0,2.09
豪洛捷,HOLX,2001-12-04,0.34,0.34,0.34,0.33,122400,0.0,2.94,0.0,0.0,0.78
豪洛捷,HOLX,2001-12-05,0.33,0.34,0.34,0.32,480000,0.0,5.88,0.0,0.0,3.07
豪洛捷,HOLX,2001-12-06,0.33,0.34,0.34,0.32,1374400,0.0,5.88,0.0,0.0,8.8
豪洛捷,HOLX,2001-12-07,0.33,0.33,0.34,0.32,431200,0.0,5.88,-2.94,-0.01,2.72
豪洛捷,HOLX,2001-12-10,0.33,0.31,0.34,0.31,379200,0.0,9.09,-6.06,-0.02,2.39
豪洛捷,HOLX,2001-12-11,0.31,0.31,0.32,0.29,477600,0.0,9.68,0.0,0.0,3.01
豪洛捷,HOLX,2001-12-12,0.31,0.33,0.33,0.31,460800,0.0,6.45,6.45,0.02,2.91
豪洛捷,HOLX,2001-12-13,0.32,0.31,0.33,0.3,635200,0.0,9.09,-6.06,-0.02,4.01
豪洛捷,HOLX,2001-12-14,0.29,0.29,0.3,0.29,12716800,0.0,3.23,-6.45,-0.02,80.27
豪洛捷,HOLX,2001-12-17,0.3,0.31,0.31,0.29,4125600,0.0,6.9,6.9,0.02,26.04
豪洛捷,HOLX,2001-12-18,0.3,0.31,0.31,0.3,1196800,0.0,3.23,0.0,0.0,7.55
豪洛捷,HOLX,2001-12-19,0.31,0.31,0.31,0.3,956000,0.0,3.23,0.0,0.0,6.03
豪洛捷,HOLX,2001-12-20,0.31,0.31,0.31,0.3,548000,0.0,3.23,0.0,0.0,3.46
豪洛捷,HOLX,2001-12-21,0.3,0.31,0.31,0.3,475200,0.0,3.23,0.0,0.0,3.0
豪洛捷,HOLX,2001-12-24,0.31,0.31,0.31,0.31,366400,0.0,0.0,0.0,0.0,2.31
豪洛捷,HOLX,2001-12-26,0.31,0.31,0.32,0.31,552800,0.0,3.23,0.0,0.0,3.49
豪洛捷,HOLX,2001-12-27,0.31,0.31,0.32,0.31,424000,0.0,3.23,0.0,0.0,2.68
豪洛捷,HOLX,2001-12-28,0.31,0.31,0.31,0.31,2272000,0.0,0.0,0.0,0.0,14.34
豪洛捷,HOLX,2001-12-31,0.31,0.29,0.31,0.28,2030400,0.0,9.68,-6.45,-0.02,12.82
豪洛捷,HOLX,2002-01-02,0.29,0.31,0.31,0.28,672000,0.0,10.34,6.9,0.02,4.24
豪洛捷,HOLX,2002-01-03,0.31,0.31,0.31,0.3,1199200,0.0,3.23,0.0,0.0,7.57
豪洛捷,HOLX,2002-01-04,0.31,0.34,0.34,0.31,1838400,0.0,9.68,9.68,0.03,11.6
豪洛捷,HOLX,2002-01-07,0.34,0.34,0.34,0.32,2760800,0.0,5.88,0.0,0.0,17.43
豪洛捷,HOLX,2002-01-08,0.34,0.33,0.34,0.33,386400,0.0,2.94,-2.94,-0.01,2.44
豪洛捷,HOLX,2002-01-09,0.33,0.33,0.36,0.33,1496800,0.0,9.09,0.0,0.0,9.45
豪洛捷,HOLX,2002-01-10,0.34,0.37,0.37,0.33,9211200,0.0,12.12,12.12,0.04,58.14
豪洛捷,HOLX,2002-01-11,0.38,0.38,0.39,0.37,9452000,0.0,5.41,2.7,0.01,59.66
豪洛捷,HOLX,2002-01-14,0.38,0.42,0.42,0.38,4638400,0.0,10.53,10.53,0.04,29.28
豪洛捷,HOLX,2002-01-15,0.41,0.43,0.43,0.4,4600800,0.0,7.14,2.38,0.01,29.04
豪洛捷,HOLX,2002-01-16,0.42,0.46,0.46,0.42,4654400,0.0,9.3,6.98,0.03,29.38
豪洛捷,HOLX,2002-01-17,0.45,0.43,0.45,0.43,3068800,0.0,4.35,-6.52,-0.03,19.37
豪洛捷,HOLX,2002-01-18,0.43,0.42,0.43,0.41,2064800,0.0,4.65,-2.33,-0.01,13.03
