股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
惠普,HPQ,2000-01-03,44.66,46.51,47.19,44.41,8342800,0.0,6.22,4.14,1.85,0.83
惠普,HPQ,2000-01-04,45.54,42.07,45.54,41.69,7380400,0.0,8.28,-9.55,-4.44,0.74
惠普,HPQ,2000-01-05,42.07,41.72,43.04,39.91,10175000,0.0,7.44,-0.83,-0.35,1.02
惠普,HPQ,2000-01-06,41.69,38.29,41.69,38.29,7250000,0.0,8.15,-8.22,-3.43,0.72
惠普,HPQ,2000-01-07,38.32,39.72,40.79,38.32,7404000,0.0,6.45,3.73,1.43,0.74
惠普,HPQ,2000-01-10,41.44,43.32,43.66,41.44,6927600,0.0,5.59,9.06,3.6,0.69
惠普,HPQ,2000-01-11,43.32,42.07,43.66,41.6,4748200,0.0,4.76,-2.89,-1.25,0.47
惠普,HPQ,2000-01-12,42.07,43.97,44.35,40.88,6624400,0.0,8.25,4.52,1.9,0.66
惠普,HPQ,2000-01-13,43.97,44.16,44.41,42.66,5316200,0.0,3.98,0.43,0.19,0.53
惠普,HPQ,2000-01-14,44.16,44.04,45.26,43.29,5723400,0.0,4.46,-0.27,-0.12,0.57
惠普,HPQ,2000-01-18,44.04,44.57,46.04,43.26,6455000,0.0,6.31,1.2,0.53,0.64
惠普,HPQ,2000-01-19,44.57,45.79,45.97,43.47,6960400,0.0,5.61,2.74,1.22,0.7
惠普,HPQ,2000-01-20,45.79,45.85,46.72,44.22,6150400,0.0,5.46,0.13,0.06,0.61
惠普,HPQ,2000-01-21,45.85,44.35,46.04,44.26,5869600,0.0,3.88,-3.27,-1.5,0.59
惠普,HPQ,2000-01-24,44.35,44.29,45.13,43.63,5703800,0.0,3.38,-0.14,-0.06,0.57
惠普,HPQ,2000-01-25,44.29,44.1,44.41,41.72,7264000,0.0,6.07,-0.43,-0.19,0.73
惠普,HPQ,2000-01-26,43.41,42.16,43.41,41.29,7411000,0.0,4.81,-4.4,-1.94,0.74
惠普,HPQ,2000-01-27,42.16,42.04,44.76,41.29,9049400,0.0,8.23,-0.28,-0.12,0.9
惠普,HPQ,2000-01-28,42.04,42.16,43.72,41.41,5905000,0.0,5.49,0.29,0.12,0.59
惠普,HPQ,2000-01-31,42.16,41.91,42.69,39.72,5561000,0.0,7.04,-0.59,-0.25,0.56
惠普,HPQ,2000-02-01,41.91,40.69,42.47,39.79,6560400,0.0,6.39,-2.91,-1.22,0.66
惠普,HPQ,2000-02-02,41.01,43.07,44.13,41.01,6843400,0.0,7.67,5.85,2.38,0.68
惠普,HPQ,2000-02-03,43.29,44.54,46.04,43.29,7941000,0.0,6.38,3.41,1.47,0.79
