股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
荷美尔食品,HRL,2000-01-03,-5.42,-5.47,-5.4,-5.5,488400,0.0,-1.85,-0.92,-0.05,0.68
荷美尔食品,HRL,2000-01-04,-5.52,-5.54,-5.47,-5.56,727600,0.0,-1.65,-1.28,-0.07,1.02
荷美尔食品,HRL,2000-01-05,-5.51,-5.46,-5.42,-5.52,352000,0.0,-1.81,1.44,0.08,0.49
荷美尔食品,HRL,2000-01-06,-5.47,-5.38,-5.38,-5.5,385600,0.0,-2.2,1.47,0.08,0.54
荷美尔食品,HRL,2000-01-07,-5.4,-5.33,-5.3,-5.4,304800,0.0,-1.86,0.93,0.05,0.43
荷美尔食品,HRL,2000-01-10,-5.35,-5.35,-5.3,-5.38,262800,0.0,-1.5,-0.38,-0.02,0.37
荷美尔食品,HRL,2000-01-11,-5.38,-5.34,-5.26,-5.38,240000,0.0,-2.24,0.19,0.01,0.34
荷美尔食品,HRL,2000-01-12,-5.34,-5.48,-5.27,-5.53,444800,0.0,-4.87,-2.62,-0.14,0.62
荷美尔食品,HRL,2000-01-13,-5.47,-5.42,-5.42,-5.53,832400,0.0,-2.01,1.09,0.06,1.17
荷美尔食品,HRL,2000-01-14,-5.41,-5.44,-5.41,-5.52,487600,0.0,-2.03,-0.37,-0.02,0.68
荷美尔食品,HRL,2000-01-18,-5.47,-5.41,-5.4,-5.49,285200,0.0,-1.65,0.55,0.03,0.4
荷美尔食品,HRL,2000-01-19,-5.41,-5.52,-5.41,-5.53,468800,0.0,-2.22,-2.03,-0.11,0.66
荷美尔食品,HRL,2000-01-20,-5.49,-5.5,-5.49,-5.56,266000,0.0,-1.27,0.36,0.02,0.37
荷美尔食品,HRL,2000-01-21,-5.46,-5.53,-5.46,-5.57,603600,0.0,-2.0,-0.55,-0.03,0.85
荷美尔食品,HRL,2000-01-24,-5.53,-5.61,-5.5,-5.67,569200,0.0,-3.07,-1.45,-0.08,0.8
荷美尔食品,HRL,2000-01-25,-5.62,-5.64,-5.6,-5.67,536000,0.0,-1.25,-0.53,-0.03,0.75
荷美尔食品,HRL,2000-01-26,-5.64,-5.53,-5.49,-5.64,590000,0.0,-2.66,1.95,0.11,0.83
荷美尔食品,HRL,2000-01-27,-5.5,-5.61,-5.46,-5.61,329200,0.0,-2.71,-1.45,-0.08,0.46
荷美尔食品,HRL,2000-01-28,-5.61,-5.66,-5.61,-5.83,834400,0.0,-3.92,-0.89,-0.05,1.17
荷美尔食品,HRL,2000-01-31,-5.66,-5.38,-5.38,-5.69,499200,0.0,-5.48,4.95,0.28,0.7
荷美尔食品,HRL,2000-02-01,-5.41,-5.6,-5.41,-5.71,545200,0.0,-5.58,-4.09,-0.22,0.76
荷美尔食品,HRL,2000-02-02,-5.6,-5.69,-5.6,-5.73,667200,0.0,-2.32,-1.61,-0.09,0.93
荷美尔食品,HRL,2000-02-03,-5.69,-5.72,-5.68,-5.8,1265200,0.0,-2.11,-0.53,-0.03,1.77
荷美尔食品,HRL,2000-02-04,-5.78,-5.72,-5.67,-5.78,749600,0.0,-1.92,0.0,0.0,1.05
荷美尔食品,HRL,2000-02-07,-5.75,-5.82,-5.74,-5.83,501600,0.0,-1.57,-1.75,-0.1,0.7
荷美尔食品,HRL,2000-02-08,-5.82,-5.71,-5.67,-5.83,397200,0.0,-2.75,1.89,0.11,0.56
荷美尔食品,HRL,2000-02-09,-5.67,-5.66,-5.63,-5.71,362400,0.0,-1.4,0.88,0.05,0.51
荷美尔食品,HRL,2000-02-10,-5.6,-5.78,-5.58,-5.83,766000,0.0,-4.42,-2.12,-0.12,1.07
荷美尔食品,HRL,2000-02-11,-5.78,-5.97,-5.78,-6.03,834400,0.0,-4.33,-3.29,-0.19,1.17
荷美尔食品,HRL,2000-02-14,-5.97,-6.01,-5.92,-6.02,560400,0.0,-1.68,-0.67,-0.04,0.79
荷美尔食品,HRL,2000-02-15,-6.02,-5.99,-5.94,-6.25,1310800,0.0,-5.16,0.33,0.02,1.84
荷美尔食品,HRL,2000-02-16,-5.96,-5.96,-5.85,-6.18,636400,0.0,-5.51,0.5,0.03,0.45
荷美尔食品,HRL,2000-02-17,-6.05,-5.91,-5.89,-6.13,585800,0.0,-4.03,0.84,0.05,0.41
荷美尔食品,HRL,2000-02-18,-5.97,-5.96,-5.83,-6.08,561400,0.0,-4.23,-0.85,-0.05,0.4
荷美尔食品,HRL,2000-02-22,-5.86,-5.97,-5.86,-6.0,572200,0.0,-2.35,-0.17,-0.01,0.4
荷美尔食品,HRL,2000-02-24,-6.08,-6.08,-6.05,-6.21,818200,0.0,-2.68,-1.84,-0.11,0.58
荷美尔食品,HRL,2000-02-25,-5.99,-6.11,-5.99,-6.14,907800,0.0,-2.47,-0.49,-0.03,0.64
荷美尔食品,HRL,2000-02-28,-6.13,-6.22,-6.08,-6.25,479400,0.0,-2.78,-1.8,-0.11,0.34
荷美尔食品,HRL,2000-02-29,-6.19,-6.28,-6.11,-6.3,605800,0.0,-3.05,-0.96,-0.06,0.43
荷美尔食品,HRL,2000-03-01,-6.3,-6.22,-6.14,-6.3,668600,0.0,-2.55,0.96,0.06,0.47
荷美尔食品,HRL,2000-03-02,-6.28,-6.38,-6.27,-6.38,795400,0.0,-1.77,-2.57,-0.16,0.56
荷美尔食品,HRL,2000-03-03,-6.36,-6.66,-6.36,-6.71,1781200,0.0,-5.49,-4.39,-0.28,1.26
荷美尔食品,HRL,2000-03-06,-6.64,-6.6,-6.46,-6.64,963000,0.0,-2.7,0.9,0.06,0.68
荷美尔食品,HRL,2000-03-07,-6.58,-6.83,-6.55,-6.83,1174400,0.0,-4.24,-3.48,-0.23,0.83
荷美尔食品,HRL,2000-03-08,-6.71,-6.68,-6.63,-6.72,811600,0.0,-1.32,2.2,0.15,0.57
荷美尔食品,HRL,2000-03-09,-6.46,-6.69,-6.46,-6.71,699600,0.0,-3.74,-0.15,-0.01,0.49
荷美尔食品,HRL,2000-03-10,-6.71,-6.8,-6.64,-6.82,450600,0.0,-2.69,-1.64,-0.11,0.32
荷美尔食品,HRL,2000-03-13,-6.83,-6.88,-6.71,-6.91,366200,0.0,-2.94,-1.18,-0.08,0.26
荷美尔食品,HRL,2000-03-14,-6.88,-6.93,-6.86,-7.05,903400,0.0,-2.76,-0.73,-0.05,0.64
荷美尔食品,HRL,2000-03-15,-6.89,-6.64,-6.22,-6.99,1223200,0.0,-11.11,4.18,0.29,0.86
荷美尔食品,HRL,2000-03-16,-6.64,-6.19,-6.19,-6.64,1033000,0.0,-6.78,6.78,0.45,0.73
荷美尔食品,HRL,2000-03-17,-6.52,-6.71,-6.33,-6.71,689200,0.0,-6.14,-8.4,-0.52,0.49
