股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
洲际交易所,ICE,2007-09-17,12.74,12.48,12.95,12.32,1441200,0.0,0.0,0.0,0.0,0.25
洲际交易所,ICE,2007-09-18,12.72,14.31,14.55,12.31,2505000,0.0,17.95,14.66,1.83,0.44
洲际交易所,ICE,2007-09-19,14.83,13.5,15.08,13.28,2093575,0.0,12.58,-5.66,-0.81,0.37
洲际交易所,ICE,2007-09-20,13.36,14.25,14.9,13.23,2508400,0.0,12.37,5.56,0.75,0.44
洲际交易所,ICE,2007-09-21,14.58,14.27,14.75,14.05,1742700,0.0,4.91,0.14,0.02,0.3
洲际交易所,ICE,2007-09-24,14.19,15.54,15.55,13.93,2901900,0.0,11.35,8.9,1.27,0.51
洲际交易所,ICE,2007-09-25,16.37,17.41,17.61,16.36,19427696,0.0,8.04,12.03,1.87,3.39
洲际交易所,ICE,2007-09-26,17.78,17.56,18.05,17.36,3745977,0.0,3.96,0.86,0.15,0.65
洲际交易所,ICE,2007-09-27,17.67,17.67,18.06,17.33,2208149,0.0,4.16,0.63,0.11,0.39
洲际交易所,ICE,2007-09-28,17.56,17.56,17.67,17.24,1653000,0.0,2.43,-0.62,-0.11,0.29
洲际交易所,ICE,2007-10-01,17.64,17.98,18.33,17.53,1505000,0.0,4.56,2.39,0.42,0.26
洲际交易所,ICE,2007-10-02,18.28,18.11,19.02,18.02,2408500,0.0,5.56,0.72,0.13,0.42
洲际交易所,ICE,2007-10-03,18.08,17.89,18.1,17.54,1468300,0.0,3.09,-1.21,-0.22,0.26
洲际交易所,ICE,2007-10-04,17.83,18.02,18.21,17.57,1192400,0.0,3.58,0.73,0.13,0.21
洲际交易所,ICE,2007-10-05,18.32,18.73,18.92,18.13,1585300,0.0,4.38,3.94,0.71,0.28
洲际交易所,ICE,2007-10-08,18.78,19.41,19.83,18.78,1373060,0.0,5.61,3.63,0.68,0.24
洲际交易所,ICE,2007-10-09,19.75,19.89,19.89,19.05,1742467,0.0,4.33,2.47,0.48,0.3
洲际交易所,ICE,2007-10-10,19.87,19.72,20.27,19.46,1145300,0.0,4.07,-0.85,-0.17,0.2
洲际交易所,ICE,2007-10-11,20.16,18.46,20.18,17.8,1829900,0.0,12.07,-6.39,-1.26,0.32
洲际交易所,ICE,2007-10-12,18.61,19.43,19.57,18.17,1245199,0.0,7.58,5.25,0.97,0.22
洲际交易所,ICE,2007-10-15,19.44,18.64,19.63,18.4,1077100,0.0,6.33,-4.07,-0.79,0.19
洲际交易所,ICE,2007-10-16,18.55,18.26,18.55,17.75,1116400,0.0,4.29,-2.04,-0.38,0.2
洲际交易所,ICE,2007-10-17,18.58,18.78,19.07,18.23,1426600,0.0,4.6,2.85,0.52,0.25
洲际交易所,ICE,2007-10-18,18.58,19.55,19.88,18.35,1609000,0.0,8.15,4.1,0.77,0.28
洲际交易所,ICE,2007-10-19,19.97,19.97,20.55,19.32,3690700,0.0,6.29,2.15,0.42,0.64
洲际交易所,ICE,2007-10-22,19.74,19.44,20.18,18.95,2260510,0.0,6.16,-2.65,-0.53,0.39
洲际交易所,ICE,2007-10-23,19.86,20.88,21.03,19.68,2287300,0.0,6.94,7.41,1.44,0.4
洲际交易所,ICE,2007-10-24,20.75,22.27,22.37,20.38,3947300,0.0,9.53,6.66,1.39,0.69
洲际交易所,ICE,2007-10-25,21.55,20.91,22.05,20.64,3137393,0.0,6.33,-6.11,-1.36,0.55
洲际交易所,ICE,2007-10-26,21.47,21.23,21.57,20.78,1515871,0.0,3.78,1.53,0.32,0.26
洲际交易所,ICE,2007-10-29,21.26,21.78,22.11,21.14,1303700,0.0,4.57,2.59,0.55,0.23
洲际交易所,ICE,2007-10-30,21.66,21.36,22.24,21.31,1577400,0.0,4.27,-1.93,-0.42,0.28
洲际交易所,ICE,2007-10-31,21.75,22.77,22.82,21.44,2040800,0.0,6.46,6.6,1.41,0.36
洲际交易所,ICE,2007-11-01,22.38,21.64,22.56,21.35,1910600,0.0,5.31,-4.96,-1.13,0.33
洲际交易所,ICE,2007-11-02,22.04,22.1,22.22,20.82,1374200,0.0,6.47,2.13,0.46,0.24
洲际交易所,ICE,2007-11-05,21.58,22.13,22.53,21.14,1653094,0.0,6.29,0.14,0.03,0.29
洲际交易所,ICE,2007-11-06,21.8,22.84,23.06,21.8,1824800,0.0,5.69,3.21,0.71,0.32
洲际交易所,ICE,2007-11-07,22.38,21.86,23.19,21.82,1538688,0.0,6.0,-4.29,-0.98,0.27
洲际交易所,ICE,2007-11-08,21.81,21.39,22.31,19.95,2258801,0.0,10.8,-2.15,-0.47,0.39
洲际交易所,ICE,2007-11-09,20.73,20.26,21.33,20.08,1581542,0.0,5.84,-5.28,-1.13,0.28
洲际交易所,ICE,2007-11-12,20.35,19.45,20.65,19.43,1635267,0.0,6.02,-4.0,-0.81,0.29
洲际交易所,ICE,2007-11-13,19.46,20.76,20.76,19.46,1258246,0.0,6.68,6.74,1.31,0.22
洲际交易所,ICE,2007-11-14,20.89,21.4,22.08,20.84,1815551,0.0,5.97,3.08,0.64,0.32
洲际交易所,ICE,2007-11-15,21.54,21.68,21.92,20.89,1481560,0.0,4.81,1.31,0.28,0.26
洲际交易所,ICE,2007-11-16,21.84,22.18,22.18,21.43,1489885,0.0,3.46,2.31,0.5,0.26
洲际交易所,ICE,2007-11-19,22.1,23.23,24.08,22.07,2937140,0.0,9.06,4.73,1.05,0.51
洲际交易所,ICE,2007-11-20,22.98,21.1,23.27,20.21,2756384,0.0,13.17,-9.17,-2.13,0.48
洲际交易所,ICE,2007-11-21,20.25,20.22,21.04,19.67,1460296,0.0,6.49,-4.17,-0.88,0.26
洲际交易所,ICE,2007-11-23,20.5,20.78,20.91,20.18,485129,0.0,3.61,2.77,0.56,0.08
洲际交易所,ICE,2007-11-26,20.97,19.85,21.31,19.78,1549428,0.0,7.36,-4.48,-0.93,0.27
洲际交易所,ICE,2007-11-27,19.98,19.27,20.27,18.39,2192127,0.0,9.47,-2.92,-0.58,0.38
洲际交易所,ICE,2007-11-28,19.5,21.1,21.1,19.38,1575874,0.0,8.93,9.5,1.83,0.28
洲际交易所,ICE,2007-11-29,20.75,21.02,21.37,20.46,1188726,0.0,4.31,-0.38,-0.08,0.21
洲际交易所,ICE,2007-11-30,21.81,20.57,21.81,20.02,1336736,0.0,8.52,-2.14,-0.45,0.23
洲际交易所,ICE,2007-12-03,20.57,19.72,20.57,19.56,1247053,0.0,4.91,-4.13,-0.85,0.22
洲际交易所,ICE,2007-12-04,19.58,19.69,20.36,19.58,1128830,0.0,3.96,-0.15,-0.03,0.2
洲际交易所,ICE,2007-12-05,19.92,21.48,21.56,19.82,1651536,0.0,8.84,9.09,1.79,0.29
洲际交易所,ICE,2007-12-06,21.61,22.14,22.18,20.94,975690,0.0,5.77,3.07,0.66,0.17
洲际交易所,ICE,2007-12-07,21.94,22.29,22.67,21.78,792613,0.0,4.02,0.68,0.15,0.14
洲际交易所,ICE,2007-12-10,22.67,22.44,23.01,22.25,704747,0.0,3.41,0.67,0.15,0.12
洲际交易所,ICE,2007-12-11,22.78,21.41,23.38,21.28,1204509,0.0,9.36,-4.59,-1.03,0.21
洲际交易所,ICE,2007-12-12,22.3,22.21,22.77,21.47,1353631,0.0,6.07,3.74,0.8,0.24
洲际交易所,ICE,2007-12-13,21.87,23.34,23.46,21.84,1618517,0.0,7.29,5.09,1.13,0.28
洲际交易所,ICE,2007-12-14,22.95,24.32,25.4,22.95,2113914,0.0,10.5,4.2,0.98,0.37
洲际交易所,ICE,2007-12-17,24.51,23.24,24.84,23.18,1266025,0.0,6.83,-4.44,-1.08,0.22
洲际交易所,ICE,2007-12-18,23.57,22.75,24.03,22.24,1292625,0.0,7.7,-2.11,-0.49,0.23
洲际交易所,ICE,2007-12-19,23.05,24.35,24.53,22.57,1677745,0.0,8.62,7.03,1.6,0.29
洲际交易所,ICE,2007-12-20,24.75,24.84,24.96,23.83,1072812,0.0,4.64,2.01,0.49,0.19
洲际交易所,ICE,2007-12-21,25.42,24.47,25.42,24.09,1749421,0.0,5.35,-1.49,-0.37,0.31
洲际交易所,ICE,2007-12-24,24.55,25.71,25.78,24.18,589881,0.0,6.54,5.07,1.24,0.1
洲际交易所,ICE,2007-12-26,25.48,26.08,26.16,25.08,698475,0.0,4.2,1.44,0.37,0.12
洲际交易所,ICE,2007-12-27,25.83,25.1,25.95,25.08,650514,0.0,3.34,-3.76,-0.98,0.11
洲际交易所,ICE,2007-12-28,25.34,25.06,25.68,24.81,675970,0.0,3.47,-0.16,-0.04,0.12
洲际交易所,ICE,2007-12-31,25.01,25.68,25.93,24.85,599319,0.0,4.31,2.47,0.62,0.1
洲际交易所,ICE,2008-01-02,25.95,24.28,25.95,24.13,1316423,0.0,7.09,-5.45,-1.4,0.23
洲际交易所,ICE,2008-01-03,24.55,23.16,24.55,22.91,1725247,0.0,6.75,-4.61,-1.12,0.3
洲际交易所,ICE,2008-01-04,22.38,21.33,22.81,21.01,1443819,0.0,7.77,-7.9,-1.83,0.25
洲际交易所,ICE,2008-01-07,21.58,20.01,21.96,19.11,2487234,0.0,13.36,-6.19,-1.32,0.43
洲际交易所,ICE,2008-01-08,20.28,20.2,22.12,20.13,2295766,0.0,9.95,0.95,0.19,0.4
洲际交易所,ICE,2008-01-09,19.95,19.74,20.92,18.49,2131887,0.0,12.03,-2.28,-0.46,0.37
洲际交易所,ICE,2008-01-10,19.38,21.87,22.38,19.34,2066664,0.0,15.4,10.79,2.13,0.36
洲际交易所,ICE,2008-01-11,21.58,21.8,22.3,20.89,1361736,0.0,6.45,-0.32,-0.07,0.24
洲际交易所,ICE,2008-01-14,21.68,21.67,22.18,21.16,1173367,0.0,4.68,-0.6,-0.13,0.21
洲际交易所,ICE,2008-01-15,21.21,19.84,21.64,19.68,1480968,0.0,9.04,-8.44,-1.83,0.26
洲际交易所,ICE,2008-01-16,19.5,16.87,19.73,15.98,4112876,0.0,18.9,-14.97,-2.97,0.72
洲际交易所,ICE,2008-01-17,16.91,13.37,17.17,13.32,3776378,0.0,22.82,-20.75,-3.5,0.66
洲际交易所,ICE,2008-01-18,14.14,14.9,15.14,13.8,4792046,0.0,10.02,11.44,1.53,0.84
洲际交易所,ICE,2008-01-22,12.96,14.75,15.57,12.55,2696674,0.0,20.27,-1.01,-0.15,0.47
洲际交易所,ICE,2008-01-23,13.95,15.86,15.9,13.26,3040235,0.0,17.9,7.53,1.11,0.53
洲际交易所,ICE,2008-01-24,16.03,17.29,17.55,15.58,2693489,0.0,12.42,9.02,1.43,0.47
洲际交易所,ICE,2008-01-25,18.12,16.24,18.12,16.11,2226991,0.0,11.63,-6.07,-1.05,0.39
洲际交易所,ICE,2008-01-28,17.67,15.23,17.71,14.24,4669326,0.0,21.37,-6.22,-1.01,0.82
洲际交易所,ICE,2008-01-29,15.5,15.55,15.68,14.62,2044928,0.0,6.96,2.1,0.32,0.36
洲际交易所,ICE,2008-01-30,15.21,14.85,16.18,14.58,2129748,0.0,10.29,-4.5,-0.7,0.37
洲际交易所,ICE,2008-01-31,14.08,15.01,15.43,13.01,3761545,0.0,16.3,1.08,0.16,0.66
洲际交易所,ICE,2008-02-01,14.98,14.27,15.6,14.03,2588751,0.0,10.46,-4.93,-0.74,0.45
洲际交易所,ICE,2008-02-04,14.66,14.43,15.18,14.28,1798677,0.0,6.31,1.12,0.16,0.31
洲际交易所,ICE,2008-02-05,13.98,12.11,14.64,12.08,3690057,0.0,17.74,-16.08,-2.32,0.64
洲际交易所,ICE,2008-02-06,12.32,10.36,12.32,10.1,6960034,0.0,18.33,-14.45,-1.75,1.22
洲际交易所,ICE,2008-02-07,11.69,13.25,13.71,11.56,7112509,0.0,20.75,27.9,2.89,1.24
洲际交易所,ICE,2008-02-08,13.65,12.74,13.78,12.24,3894743,0.0,11.62,-3.85,-0.51,0.68
洲际交易所,ICE,2008-02-11,13.16,13.21,13.7,12.42,2074584,0.0,10.05,3.69,0.47,0.36
洲际交易所,ICE,2008-02-12,13.49,13.89,14.87,13.33,3294709,0.0,11.66,5.15,0.68,0.58
洲际交易所,ICE,2008-02-13,14.33,14.71,14.82,13.93,1915061,0.0,6.41,5.9,0.82,0.33
洲际交易所,ICE,2008-02-14,14.77,13.85,14.8,13.78,1382172,0.0,6.93,-5.85,-0.86,0.24
洲际交易所,ICE,2008-02-15,13.7,13.65,13.78,12.98,1304233,0.0,5.78,-1.44,-0.2,0.23
洲际交易所,ICE,2008-02-19,13.98,12.69,14.26,12.63,1440372,0.0,11.94,-7.03,-0.96,0.25
洲际交易所,ICE,2008-02-20,12.46,14.04,14.11,11.99,2106438,0.0,16.71,10.64,1.35,0.37
洲际交易所,ICE,2008-02-21,14.05,13.89,14.35,13.42,1658205,0.0,6.62,-1.07,-0.15,0.29
洲际交易所,ICE,2008-02-22,13.95,14.08,14.08,12.88,1303240,0.0,8.64,1.37,0.19,0.23
洲际交易所,ICE,2008-02-25,14.08,15.09,15.09,13.82,1942145,0.0,9.02,7.17,1.01,0.34
洲际交易所,ICE,2008-02-26,14.86,14.28,15.17,14.13,1770541,0.0,6.89,-5.37,-0.81,0.31
洲际交易所,ICE,2008-02-27,14.16,14.11,14.64,13.8,1301752,0.0,5.88,-1.19,-0.17,0.23
洲际交易所,ICE,2008-02-28,13.86,13.97,14.18,13.28,1361239,0.0,6.38,-0.99,-0.14,0.24
洲际交易所,ICE,2008-02-29,13.65,13.24,14.14,13.15,1397441,0.0,7.09,-5.23,-0.73,0.24
洲际交易所,ICE,2008-03-03,13.24,13.76,14.59,13.24,2091078,0.0,10.2,3.93,0.52,0.37
洲际交易所,ICE,2008-03-04,13.9,14.25,14.52,13.49,2210203,0.0,7.49,3.56,0.49,0.39
洲际交易所,ICE,2008-03-05,14.57,14.55,16.03,14.38,4800439,0.0,11.58,2.11,0.3,0.84
洲际交易所,ICE,2008-03-06,13.73,13.66,14.61,13.38,3201508,0.0,8.45,-6.12,-0.89,0.56
洲际交易所,ICE,2008-03-07,13.28,13.55,14.44,12.79,3381671,0.0,12.08,-0.81,-0.11,0.59
洲际交易所,ICE,2008-03-10,13.95,11.76,13.95,11.61,3566103,0.0,17.27,-13.21,-1.79,0.62
洲际交易所,ICE,2008-03-11,12.41,14.63,14.72,12.05,3061782,0.0,22.7,24.4,2.87,0.53
洲际交易所,ICE,2008-03-12,14.32,13.89,14.67,13.86,1833023,0.0,5.54,-5.06,-0.74,0.32
洲际交易所,ICE,2008-03-13,13.4,14.83,15.15,12.48,3473604,0.0,19.22,6.77,0.94,0.61
洲际交易所,ICE,2008-03-14,15.09,13.44,15.18,12.94,2671993,0.0,15.1,-9.37,-1.39,0.47
洲际交易所,ICE,2008-03-17,12.21,11.66,12.92,9.23,5190979,0.0,27.46,-13.24,-1.78,0.91
洲际交易所,ICE,2008-03-18,12.56,13.73,13.73,12.54,2477599,0.0,10.21,17.75,2.07,0.43
洲际交易所,ICE,2008-03-19,13.77,11.68,13.77,11.6,2191211,0.0,15.8,-14.93,-2.05,0.38
洲际交易所,ICE,2008-03-20,11.76,12.15,12.22,10.89,2682192,0.0,11.39,4.02,0.47,0.47
洲际交易所,ICE,2008-03-24,12.03,12.65,13.36,11.99,1544553,0.0,11.28,4.12,0.5,0.27
洲际交易所,ICE,2008-03-25,12.95,13.57,13.84,12.36,1323890,0.0,11.7,7.27,0.92,0.23
洲际交易所,ICE,2008-03-26,13.38,13.94,14.45,12.87,1720996,0.0,11.64,2.73,0.37,0.3
洲际交易所,ICE,2008-03-27,14.37,13.41,14.7,13.38,1385481,0.0,9.47,-3.8,-0.53,0.24
洲际交易所,ICE,2008-03-28,13.41,13.13,13.95,12.98,1098379,0.0,7.23,-2.09,-0.28,0.19
洲际交易所,ICE,2008-03-31,12.87,13.28,13.49,12.18,1750815,0.0,9.98,1.14,0.15,0.31
洲际交易所,ICE,2008-04-01,13.7,15.0,15.0,13.58,1598475,0.0,10.69,12.95,1.72,0.28
洲际交易所,ICE,2008-04-02,15.18,16.74,17.34,14.88,3595043,0.0,16.4,11.6,1.74,0.63
洲际交易所,ICE,2008-04-03,16.62,17.03,17.37,15.9,1469617,0.0,8.78,1.73,0.29,0.26
洲际交易所,ICE,2008-04-04,17.13,16.67,17.32,16.58,1369376,0.0,4.35,-2.11,-0.36,0.24
洲际交易所,ICE,2008-04-07,17.02,17.16,17.66,16.84,1185984,0.0,4.92,2.94,0.49,0.21
洲际交易所,ICE,2008-04-08,16.97,16.79,17.64,16.51,1392048,0.0,6.59,-2.16,-0.37,0.24
洲际交易所,ICE,2008-04-09,16.81,16.45,17.1,16.1,1317972,0.0,5.96,-2.03,-0.34,0.23
洲际交易所,ICE,2008-04-10,16.35,17.21,17.28,16.11,1376728,0.0,7.11,4.62,0.76,0.24
洲际交易所,ICE,2008-04-11,16.71,16.75,17.57,16.49,1470513,0.0,6.28,-2.67,-0.46,0.26
洲际交易所,ICE,2008-04-14,16.75,16.63,17.05,16.42,647397,0.0,3.76,-0.72,-0.12,0.11
洲际交易所,ICE,2008-04-15,17.01,16.82,17.22,16.4,939187,0.0,4.93,1.14,0.19,0.16
洲际交易所,ICE,2008-04-16,17.16,17.61,17.61,16.88,1228728,0.0,4.34,4.7,0.79,0.21
洲际交易所,ICE,2008-04-17,17.45,18.62,18.88,17.41,2915941,0.0,8.35,5.74,1.01,0.51
洲际交易所,ICE,2008-04-18,18.87,18.51,19.33,18.42,1668479,0.0,4.89,-0.59,-0.11,0.29
洲际交易所,ICE,2008-04-21,18.61,19.09,19.36,18.39,1348029,0.0,5.24,3.13,0.58,0.24
洲际交易所,ICE,2008-04-22,18.5,17.23,18.99,16.87,2602740,0.0,11.11,-9.74,-1.86,0.45
洲际交易所,ICE,2008-04-23,17.38,17.47,17.97,17.07,1077134,0.0,5.22,1.39,0.24,0.19
洲际交易所,ICE,2008-04-24,17.57,18.78,19.01,17.47,1393775,0.0,8.82,7.5,1.31,0.24
洲际交易所,ICE,2008-04-25,18.95,19.28,19.53,18.4,1519780,0.0,6.02,2.66,0.5,0.27
洲际交易所,ICE,2008-04-28,19.36,18.08,19.36,17.92,1584861,0.0,7.47,-6.22,-1.2,0.28
洲际交易所,ICE,2008-04-29,18.18,17.53,18.25,17.38,1203664,0.0,4.81,-3.04,-0.55,0.21
洲际交易所,ICE,2008-04-30,17.58,18.21,18.57,17.38,1241531,0.0,6.79,3.88,0.68,0.22
洲际交易所,ICE,2008-05-01,18.28,19.18,19.18,17.83,1718864,0.0,7.41,5.33,0.97,0.3
洲际交易所,ICE,2008-05-02,20.03,19.4,20.4,18.63,2490256,0.0,9.23,1.15,0.22,0.44
洲际交易所,ICE,2008-05-05,19.39,19.69,19.98,18.98,1152203,0.0,5.15,1.49,0.29,0.2
洲际交易所,ICE,2008-05-06,19.63,20.21,20.24,19.21,1285585,0.0,5.23,2.64,0.52,0.22
洲际交易所,ICE,2008-05-07,20.21,19.12,20.63,19.05,1181983,0.0,7.82,-5.39,-1.09,0.21
洲际交易所,ICE,2008-05-08,19.36,19.12,19.85,18.71,1092800,0.0,5.96,0.0,0.0,0.19
洲际交易所,ICE,2008-05-09,19.05,18.49,19.16,18.29,1035271,0.0,4.55,-3.29,-0.63,0.18
洲际交易所,ICE,2008-05-12,18.57,18.89,18.97,18.23,942440,0.0,4.0,2.16,0.4,0.16
洲际交易所,ICE,2008-05-13,19.17,19.32,19.55,18.69,913193,0.0,4.55,2.28,0.43,0.16
洲际交易所,ICE,2008-05-14,19.43,19.43,19.62,19.19,794845,0.0,2.23,0.57,0.11,0.14
洲际交易所,ICE,2008-05-15,19.34,18.98,19.85,18.78,1137724,0.0,5.51,-2.32,-0.45,0.2
