股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
IDEX Corp,IEX,2001-01-02,-17.8,-18.12,-17.78,-18.13,76500,0.0,0.0,0.0,0.0,0.25
IDEX Corp,IEX,2001-01-03,-18.15,-17.83,-17.83,-18.15,95400,0.0,-1.77,1.6,0.29,0.32
IDEX Corp,IEX,2001-01-04,-17.83,-17.67,-17.67,-17.83,117801,0.0,-0.9,0.9,0.16,0.39
IDEX Corp,IEX,2001-01-05,-17.7,-18.05,-17.7,-18.11,67500,0.0,-2.32,-2.15,-0.38,0.22
IDEX Corp,IEX,2001-01-08,-18.05,-18.07,-18.05,-18.18,55899,0.0,-0.72,-0.11,-0.02,0.18
IDEX Corp,IEX,2001-01-09,-18.06,-18.15,-18.06,-18.26,66699,0.0,-1.11,-0.44,-0.08,0.22
IDEX Corp,IEX,2001-01-10,-18.17,-17.99,-17.99,-18.22,72099,0.0,-1.27,0.88,0.16,0.24
IDEX Corp,IEX,2001-01-11,-18.04,-17.92,-17.92,-18.06,81999,0.0,-0.78,0.39,0.07,0.27
IDEX Corp,IEX,2001-01-12,-17.95,-17.94,-17.9,-18.01,63400,0.0,-0.61,-0.11,-0.02,0.21
IDEX Corp,IEX,2001-01-16,-17.99,-18.17,-17.99,-18.32,171099,0.0,-1.84,-1.28,-0.23,0.57
IDEX Corp,IEX,2001-01-17,-18.2,-18.16,-18.11,-18.2,148100,0.0,-0.5,0.06,0.01,0.49
IDEX Corp,IEX,2001-01-18,-18.21,-18.05,-18.04,-18.21,160900,0.0,-0.94,0.61,0.11,0.53
IDEX Corp,IEX,2001-01-19,-18.06,-17.95,-17.89,-18.06,165800,0.0,-0.94,0.55,0.1,0.55
IDEX Corp,IEX,2001-01-22,-17.95,-18.05,-17.94,-18.06,56700,0.0,-0.67,-0.56,-0.1,0.19
IDEX Corp,IEX,2001-01-23,-18.04,-17.72,-17.72,-18.04,75301,0.0,-1.77,1.83,0.33,0.25
IDEX Corp,IEX,2001-01-24,-17.72,-17.75,-17.72,-17.75,55800,0.0,-0.17,-0.17,-0.03,0.18
IDEX Corp,IEX,2001-01-25,-17.75,-17.74,-17.73,-17.79,74700,0.0,-0.34,0.06,0.01,0.25
IDEX Corp,IEX,2001-01-26,-17.76,-17.89,-17.76,-17.89,37899,0.0,-0.73,-0.85,-0.15,0.13
IDEX Corp,IEX,2001-01-29,-17.88,-17.88,-17.86,-17.9,54000,0.0,-0.22,0.06,0.01,0.18
IDEX Corp,IEX,2001-01-30,-17.88,-17.91,-17.88,-17.93,57699,0.0,-0.28,-0.17,-0.03,0.19
IDEX Corp,IEX,2001-01-31,-17.91,-18.29,-17.91,-18.29,200700,0.0,-2.12,-2.12,-0.38,0.66
IDEX Corp,IEX,2001-02-01,-18.29,-18.23,-18.23,-18.46,164000,0.0,-1.26,0.33,0.06,0.54
IDEX Corp,IEX,2001-02-02,-18.22,-18.44,-18.11,-18.44,280501,0.0,-1.81,-1.15,-0.21,0.92
IDEX Corp,IEX,2001-02-05,-18.41,-18.33,-18.32,-18.46,119200,0.0,-0.76,0.6,0.11,0.39
IDEX Corp,IEX,2001-02-06,-18.28,-18.13,-18.03,-18.28,99000,0.0,-1.36,1.09,0.2,0.33
IDEX Corp,IEX,2001-02-07,-18.18,-18.16,-18.14,-18.18,119601,0.0,-0.22,-0.17,-0.03,0.39
IDEX Corp,IEX,2001-02-08,-18.13,-18.19,-18.13,-18.2,71100,0.0,-0.39,-0.17,-0.03,0.23
IDEX Corp,IEX,2001-02-09,-18.2,-18.4,-18.2,-18.44,148401,0.0,-1.32,-1.15,-0.21,0.49
IDEX Corp,IEX,2001-02-12,-18.39,-18.22,-18.16,-18.39,210301,0.0,-1.25,0.98,0.18,0.69
IDEX Corp,IEX,2001-02-13,-18.17,-18.08,-18.03,-18.18,190400,0.0,-0.82,0.77,0.14,0.63
IDEX Corp,IEX,2001-02-14,-18.03,-18.06,-18.03,-18.1,51700,0.0,-0.39,0.11,0.02,0.17
IDEX Corp,IEX,2001-02-15,-18.06,-17.9,-17.9,-18.08,89100,0.0,-1.0,0.89,0.16,0.29
IDEX Corp,IEX,2001-02-16,-17.9,-18.02,-17.9,-18.04,111699,0.0,-0.78,-0.67,-0.12,0.37
IDEX Corp,IEX,2001-02-20,-18.01,-18.04,-18.01,-18.04,85599,0.0,-0.17,-0.11,-0.02,0.28
IDEX Corp,IEX,2001-02-21,-18.03,-18.04,-17.96,-18.04,146200,0.0,-0.44,0.0,0.0,0.48
IDEX Corp,IEX,2001-02-22,-17.99,-18.04,-17.99,-18.04,81999,0.0,-0.28,0.0,0.0,0.27
IDEX Corp,IEX,2001-02-23,-17.99,-17.98,-17.98,-18.19,131000,0.0,-1.16,0.33,0.06,0.43
IDEX Corp,IEX,2001-02-26,-18.0,-17.92,-17.89,-18.04,109899,0.0,-0.83,0.33,0.06,0.36
IDEX Corp,IEX,2001-02-27,-17.9,-17.96,-17.9,-17.96,55501,0.0,-0.33,-0.22,-0.04,0.18
IDEX Corp,IEX,2001-02-28,-17.96,-17.97,-17.92,-18.02,84100,0.0,-0.56,-0.06,-0.01,0.28
IDEX Corp,IEX,2001-03-01,-18.46,-18.13,-18.13,-18.46,182900,0.0,-1.84,-0.89,-0.16,0.6
IDEX Corp,IEX,2001-03-02,-18.18,-18.36,-18.18,-18.36,168100,0.0,-0.99,-1.27,-0.23,0.55
