股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
国际香料香精,IFF,2000-01-03,-3.13,-5.17,-2.82,-5.72,312300,0.0,-92.65,-65.18,-2.04,0.3
国际香料香精,IFF,2000-01-04,-5.72,-5.6,-5.23,-6.15,318300,0.0,-17.79,-8.32,-0.43,0.3
国际香料香精,IFF,2000-01-05,-5.85,-5.29,-4.98,-6.15,255400,0.0,-20.89,5.54,0.31,0.24
国际香料香精,IFF,2000-01-06,-5.6,-4.49,-3.62,-5.72,212700,0.0,-39.7,15.12,0.8,0.2
国际香料香精,IFF,2000-01-07,-4.24,-3.43,-3.13,-4.36,153000,0.0,-27.39,23.61,1.06,0.15
国际香料香精,IFF,2000-01-10,-3.99,-4.36,-3.87,-4.98,185400,0.0,-32.36,-27.11,-0.93,0.18
国际香料香精,IFF,2000-01-11,-4.49,-4.3,-3.93,-4.92,140500,0.0,-22.71,1.38,0.06,0.13
国际香料香精,IFF,2000-01-12,-4.05,-4.42,-3.5,-4.73,183400,0.0,-28.6,-2.79,-0.12,0.17
国际香料香精,IFF,2000-01-13,-4.49,-3.81,-3.19,-4.49,209400,0.0,-29.41,13.8,0.61,0.2
国际香料香精,IFF,2000-01-14,-4.36,-3.81,-3.5,-4.67,406000,0.0,-30.71,0.0,0.0,0.39
国际香料香精,IFF,2000-01-18,-4.73,-4.3,-3.99,-4.98,185100,0.0,-25.98,-12.86,-0.49,0.18
国际香料香精,IFF,2000-01-19,-4.42,-4.05,-3.68,-4.52,248300,0.0,-19.53,5.81,0.25,0.24
国际香料香精,IFF,2000-01-20,-4.05,-3.93,-3.68,-4.18,236200,0.0,-12.35,2.96,0.12,0.23
国际香料香精,IFF,2000-01-21,-3.25,-4.11,-3.25,-4.18,246300,0.0,-23.66,-4.58,-0.18,0.23
国际香料香精,IFF,2000-01-24,-4.36,-4.92,-4.18,-4.92,283600,0.0,-18.0,-19.71,-0.81,0.27
国际香料香精,IFF,2000-01-25,-5.17,-5.1,-4.55,-5.85,404600,0.0,-26.42,-3.66,-0.18,0.39
国际香料香精,IFF,2000-01-26,-5.1,-4.55,-4.49,-5.97,245600,0.0,-29.02,10.78,0.55,0.23
国际香料香精,IFF,2000-01-27,-4.98,-4.67,-4.36,-5.35,154900,0.0,-21.76,-2.64,-0.12,0.15
国际香料香精,IFF,2000-01-28,-4.67,-4.86,-4.55,-6.03,425100,0.0,-31.69,-4.07,-0.19,0.41
国际香料香精,IFF,2000-01-31,-4.86,-5.04,-4.61,-5.23,206000,0.0,-12.76,-3.7,-0.18,0.2
国际香料香精,IFF,2000-02-01,-5.29,-5.29,-5.1,-5.72,169500,0.0,-12.3,-4.96,-0.25,0.16
国际香料香精,IFF,2000-02-02,-5.35,-5.41,-5.1,-5.72,269300,0.0,-11.72,-2.27,-0.12,0.26
国际香料香精,IFF,2000-02-03,-5.72,-4.55,-4.42,-5.72,320200,0.0,-24.03,15.9,0.86,0.31
国际香料香精,IFF,2000-02-04,-4.55,-5.23,-4.55,-5.29,224700,0.0,-16.26,-14.95,-0.68,0.21
国际香料香精,IFF,2000-02-07,-5.47,-5.72,-5.23,-5.85,317700,0.0,-11.85,-9.37,-0.49,0.3
国际香料香精,IFF,2000-02-08,-6.71,-6.15,-6.15,-7.21,326900,0.0,-18.53,-7.52,-0.43,0.31
国际香料香精,IFF,2000-02-09,-6.83,-7.39,-6.83,-8.44,510600,0.0,-26.18,-20.16,-1.24,0.49
国际香料香精,IFF,2000-02-10,-7.39,-7.21,-6.96,-7.95,274700,0.0,-13.4,2.44,0.18,0.26
国际香料香精,IFF,2000-02-11,-7.7,-8.13,-6.96,-9.12,374900,0.0,-29.96,-12.76,-0.92,0.36
国际香料香精,IFF,2000-02-14,-8.69,-8.26,-8.26,-9.37,274300,0.0,-13.65,-1.6,-0.13,0.26
