股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
伊利诺伊机械,ITW,2000-01-03,-18.99,-17.3,-16.84,-19.05,6250200,0.0,-14.29,-11.9,-1.84,2.08
伊利诺伊机械,ITW,2000-01-04,-17.43,-18.74,-17.4,-18.99,2799600,0.0,-9.19,-8.32,-1.44,0.93
伊利诺伊机械,ITW,2000-01-05,-18.74,-18.37,-18.12,-19.21,2350800,0.0,-5.82,1.97,0.37,0.78
伊利诺伊机械,ITW,2000-01-06,-18.8,-18.59,-18.37,-18.99,2038800,0.0,-3.38,-1.2,-0.22,0.68
伊利诺伊机械,ITW,2000-01-07,-18.05,-16.62,-16.55,-18.12,3213800,0.0,-8.45,10.6,1.97,1.07
伊利诺伊机械,ITW,2000-01-10,-16.55,-15.99,-15.93,-16.59,1856800,0.0,-3.97,3.79,0.63,0.62
伊利诺伊机械,ITW,2000-01-11,-16.02,-16.34,-15.4,-16.65,1698200,0.0,-7.82,-2.19,-0.35,0.56
伊利诺伊机械,ITW,2000-01-12,-16.34,-16.74,-16.05,-16.84,1353000,0.0,-4.83,-2.45,-0.4,0.45
伊利诺伊机械,ITW,2000-01-13,-16.74,-15.09,-14.74,-16.74,2671600,0.0,-11.95,9.86,1.65,0.89
伊利诺伊机械,ITW,2000-01-14,-14.96,-15.49,-14.9,-15.59,1230200,0.0,-4.57,-2.65,-0.4,0.41
伊利诺伊机械,ITW,2000-01-18,-16.12,-16.96,-16.02,-16.99,1415200,0.0,-6.26,-9.49,-1.47,0.47
伊利诺伊机械,ITW,2000-01-19,-17.18,-17.05,-16.8,-17.49,1249200,0.0,-4.07,-0.53,-0.09,0.42
伊利诺伊机械,ITW,2000-01-20,-16.74,-17.77,-16.68,-17.99,884600,0.0,-7.68,-4.22,-0.72,0.29
伊利诺伊机械,ITW,2000-01-21,-17.12,-18.02,-17.05,-18.18,2320800,0.0,-6.36,-1.41,-0.25,0.77
伊利诺伊机械,ITW,2000-01-24,-17.87,-18.59,-17.87,-18.74,1092000,0.0,-4.83,-3.16,-0.57,0.36
伊利诺伊机械,ITW,2000-01-25,-18.59,-19.43,-18.56,-19.96,2350800,0.0,-7.53,-4.52,-0.84,0.78
伊利诺伊机械,ITW,2000-01-26,-19.31,-19.09,-19.05,-19.93,1829200,0.0,-4.53,1.75,0.34,0.61
伊利诺伊机械,ITW,2000-01-27,-19.05,-19.37,-18.46,-19.49,1382000,0.0,-5.4,-1.47,-0.28,0.46
伊利诺伊机械,ITW,2000-01-28,-19.49,-20.49,-19.37,-20.49,1109200,0.0,-5.78,-5.78,-1.12,0.37
伊利诺伊机械,ITW,2000-01-31,-20.24,-19.99,-19.43,-20.77,1644000,0.0,-6.54,2.44,0.5,0.55
伊利诺伊机械,ITW,2000-02-01,-19.87,-19.59,-19.4,-20.09,1235800,0.0,-3.45,2.0,0.4,0.41
伊利诺伊机械,ITW,2000-02-02,-19.59,-19.59,-19.27,-19.9,1505400,0.0,-3.22,0.0,0.0,0.5
伊利诺伊机械,ITW,2000-02-03,-19.24,-19.05,-18.37,-19.46,1542600,0.0,-5.56,2.76,0.54,0.51
伊利诺伊机械,ITW,2000-02-04,-18.93,-19.09,-18.93,-19.27,1257200,0.0,-1.78,-0.21,-0.04,0.42
伊利诺伊机械,ITW,2000-02-07,-19.15,-18.96,-18.8,-19.21,1020400,0.0,-2.15,0.68,0.13,0.34
伊利诺伊机械,ITW,2000-02-08,-18.84,-19.4,-18.59,-19.52,1516200,0.0,-4.91,-2.32,-0.44,0.5
伊利诺伊机械,ITW,2000-02-09,-19.43,-19.62,-19.31,-19.65,1234400,0.0,-1.75,-1.13,-0.22,0.41
伊利诺伊机械,ITW,2000-02-10,-19.52,-20.74,-19.43,-21.24,1108200,0.0,-9.23,-5.71,-1.12,0.37
伊利诺伊机械,ITW,2000-02-11,-20.62,-21.4,-20.62,-21.87,1299200,0.0,-6.03,-3.18,-0.66,0.43
伊利诺伊机械,ITW,2000-02-14,-21.4,-21.9,-21.3,-22.12,1680400,0.0,-3.83,-2.34,-0.5,0.56
伊利诺伊机械,ITW,2000-02-15,-21.93,-19.99,-19.4,-21.99,1787400,0.0,-11.83,8.72,1.91,0.59
伊利诺伊机械,ITW,2000-02-16,-20.02,-20.34,-19.43,-20.9,1355800,0.0,-7.35,-1.75,-0.35,0.45
伊利诺伊机械,ITW,2000-02-17,-20.34,-20.46,-20.09,-20.55,1224600,0.0,-2.26,-0.59,-0.12,0.41
伊利诺伊机械,ITW,2000-02-18,-21.24,-21.09,-20.12,-21.24,1978000,0.0,-5.47,-3.08,-0.63,0.66
伊利诺伊机械,ITW,2000-02-22,-20.55,-20.3,-20.09,-21.21,1065200,0.0,-5.31,3.75,0.79,0.35
伊利诺伊机械,ITW,2000-02-24,-20.24,-20.96,-20.21,-21.9,1966200,0.0,-8.33,-3.25,-0.66,0.65
伊利诺伊机械,ITW,2000-02-25,-21.24,-22.87,-21.24,-23.3,2002600,0.0,-9.83,-9.11,-1.91,0.67
伊利诺伊机械,ITW,2000-02-28,-23.68,-23.12,-22.77,-23.68,2485600,0.0,-3.98,-1.09,-0.25,0.83
