股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
江森自控,JCI,2000-01-03,215.3,211.4,215.8,209.06,1531200,0.0,3.13,-1.81,-3.9,0.22
江森自控,JCI,2000-01-04,210.35,198.63,211.11,197.33,1869000,0.0,6.52,-6.04,-12.77,0.27
江森自控,JCI,2000-01-05,199.17,203.32,205.41,199.17,1951800,0.0,3.14,2.36,4.69,0.29
江森自控,JCI,2000-01-06,203.32,207.46,208.26,199.67,1588800,0.0,4.22,2.04,4.14,0.23
江森自控,JCI,2000-01-07,208.51,227.53,230.37,208.51,2347800,0.0,10.54,9.67,20.07,0.34
江森自控,JCI,2000-01-10,226.48,217.89,226.48,216.09,1176600,0.0,4.57,-4.24,-9.64,0.17
江森自控,JCI,2000-01-11,221.03,233.52,238.71,212.95,4268400,0.0,11.82,7.17,15.63,0.63
江森自控,JCI,2000-01-12,229.37,229.37,232.22,224.39,1838400,0.0,3.35,-1.78,-4.15,0.27
江森自控,JCI,2000-01-13,231.42,236.36,242.65,230.37,2920800,0.0,5.35,3.05,6.99,0.43
江森自控,JCI,2000-01-14,235.32,233.52,236.66,227.02,1598400,0.0,4.08,-1.2,-2.84,0.23
江森自控,JCI,2000-01-18,225.73,223.09,226.73,223.09,2270400,0.0,1.56,-4.47,-10.43,0.33
江森自控,JCI,2000-01-19,224.68,216.59,226.23,215.55,2842800,0.0,4.79,-2.91,-6.5,0.42
江森自控,JCI,2000-01-20,217.89,218.44,220.49,212.95,1603200,0.0,3.48,0.85,1.85,0.24
江森自控,JCI,2000-01-21,218.44,217.1,218.44,214.25,4434600,0.0,1.92,-0.61,-1.34,0.65
江森自控,JCI,2000-01-24,216.85,210.35,217.1,209.56,2158800,0.0,3.47,-3.11,-6.75,0.32
江森自控,JCI,2000-01-25,210.1,202.27,214.0,197.08,3636600,0.0,8.04,-3.84,-8.08,0.53
江森自控,JCI,2000-01-26,207.46,205.41,207.46,202.81,2903400,0.0,2.3,1.55,3.14,0.43
江森自控,JCI,2000-01-27,205.41,208.26,212.95,204.36,2284800,0.0,4.18,1.39,2.85,0.34
江森自控,JCI,2000-01-28,208.26,211.9,215.8,205.41,2812200,0.0,4.99,1.75,3.64,0.41
江森自控,JCI,2000-01-31,211.9,208.51,212.15,206.17,1425600,0.0,2.82,-1.6,-3.39,0.21
