股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
瞻博网络,JNPR,2011-01-26,30.11,30.85,31.39,29.83,19072880,0.0,0.0,0.0,0.0,3.63
瞻博网络,JNPR,2011-01-27,30.66,31.0,31.21,30.64,6575091,0.0,1.85,0.49,0.15,1.25
瞻博网络,JNPR,2011-01-28,30.9,30.08,31.05,29.94,7040063,0.0,3.58,-2.97,-0.92,1.34
瞻博网络,JNPR,2011-01-31,30.0,30.92,31.0,29.9,4990370,0.0,3.66,2.79,0.84,0.95
瞻博网络,JNPR,2011-02-01,31.12,31.17,31.62,30.84,4754123,0.0,2.52,0.81,0.25,0.9
瞻博网络,JNPR,2011-02-02,30.9,31.78,32.03,30.9,4778568,0.0,3.63,1.96,0.61,0.91
瞻博网络,JNPR,2011-02-03,31.97,32.28,32.4,31.77,5441792,0.0,1.98,1.57,0.5,1.04
瞻博网络,JNPR,2011-02-04,32.34,33.86,33.91,32.34,8850747,0.0,4.86,4.89,1.58,1.68
瞻博网络,JNPR,2011-02-07,33.77,33.9,34.25,33.7,8097674,0.0,1.62,0.12,0.04,1.54
瞻博网络,JNPR,2011-02-08,33.97,34.09,34.51,33.87,7271417,0.0,1.89,0.56,0.19,1.38
瞻博网络,JNPR,2011-02-09,33.86,34.13,34.5,33.78,6499490,0.0,2.11,0.12,0.04,1.24
瞻博网络,JNPR,2011-02-10,33.7,37.2,37.33,33.55,19832122,0.0,11.08,9.0,3.07,3.77
瞻博网络,JNPR,2011-02-11,36.85,37.21,37.5,36.65,10110147,0.0,2.28,0.03,0.01,1.92
瞻博网络,JNPR,2011-02-14,37.42,37.42,37.6,36.99,6596679,0.0,1.64,0.56,0.21,1.26
瞻博网络,JNPR,2011-02-28,37.72,37.8,38.26,37.42,5661854,0.0,2.24,1.02,0.38,1.06
瞻博网络,JNPR,2011-03-01,38.07,36.92,38.26,36.81,7382533,0.0,3.84,-2.33,-0.88,1.38
瞻博网络,JNPR,2011-03-02,36.92,37.01,37.8,36.92,5611153,0.0,2.38,0.24,0.09,1.05
瞻博网络,JNPR,2011-03-03,37.55,37.56,38.07,37.2,5325144,0.0,2.35,1.49,0.55,1.0
瞻博网络,JNPR,2011-03-04,38.12,37.91,38.78,36.99,10046766,0.0,4.77,0.93,0.35,1.88
瞻博网络,JNPR,2011-03-07,38.39,38.12,38.44,37.22,8794623,0.0,3.22,0.55,0.21,1.64
瞻博网络,JNPR,2011-03-08,38.16,38.24,38.81,37.72,7306935,0.0,2.86,0.31,0.12,1.37
瞻博网络,JNPR,2011-03-25,35.14,34.7,35.15,34.41,4347744,0.0,1.94,-9.26,-3.54,0.81
瞻博网络,JNPR,2011-03-28,34.77,33.87,34.82,33.79,5414441,0.0,2.97,-2.39,-0.83,1.01
瞻博网络,JNPR,2011-03-29,33.8,34.56,34.67,33.47,3997029,0.0,3.54,2.04,0.69,0.75
瞻博网络,JNPR,2011-03-30,34.93,35.66,35.83,34.25,6074693,0.0,4.57,3.18,1.1,1.14
瞻博网络,JNPR,2011-03-31,35.62,35.88,36.0,35.02,5389766,0.0,2.75,0.62,0.22,1.01
瞻博网络,JNPR,2011-04-01,36.07,35.06,36.07,34.92,5485351,0.0,3.21,-2.29,-0.82,1.03
瞻博网络,JNPR,2011-04-04,35.12,33.56,35.38,33.19,8707580,0.0,6.25,-4.28,-1.5,1.63
瞻博网络,JNPR,2011-04-05,33.88,33.18,34.23,33.12,6105866,0.0,3.31,-1.13,-0.38,1.14
瞻博网络,JNPR,2011-04-06,32.89,32.63,33.31,31.77,14331070,0.0,4.64,-1.66,-0.55,2.68
瞻博网络,JNPR,2011-04-07,32.5,32.68,33.11,32.44,5973192,0.0,2.05,0.15,0.05,1.12
瞻博网络,JNPR,2011-04-08,32.89,32.12,33.18,32.02,4680303,0.0,3.55,-1.71,-0.56,0.88
瞻博网络,JNPR,2011-04-11,32.27,32.38,32.46,31.91,4682670,0.0,1.71,0.81,0.26,0.88
瞻博网络,JNPR,2011-04-12,32.07,31.65,32.21,31.36,6646788,0.0,2.63,-2.25,-0.73,1.24
瞻博网络,JNPR,2011-04-13,32.41,32.15,32.71,31.27,8203847,0.0,4.55,1.58,0.5,1.54
瞻博网络,JNPR,2011-04-14,31.8,32.29,32.41,31.62,6170294,0.0,2.46,0.44,0.14,1.15
瞻博网络,JNPR,2011-04-15,32.45,32.18,32.52,31.79,4375928,0.0,2.26,-0.34,-0.11,0.82
瞻博网络,JNPR,2011-04-18,31.72,32.06,32.18,31.24,5617468,0.0,2.92,-0.37,-0.12,1.05
瞻博网络,JNPR,2011-04-19,32.08,32.27,32.55,31.61,7301311,0.0,2.93,0.66,0.21,1.37
瞻博网络,JNPR,2011-04-20,31.86,33.06,33.4,30.28,22587954,0.0,9.67,2.45,0.79,4.23
瞻博网络,JNPR,2011-04-21,33.4,33.88,33.99,33.09,6745165,0.0,2.72,2.48,0.82,1.26
瞻博网络,JNPR,2011-04-25,33.27,33.59,34.2,33.21,5590690,0.0,2.92,-0.86,-0.29,1.05
瞻博网络,JNPR,2011-04-26,33.65,32.85,33.75,32.83,5497158,0.0,2.74,-2.2,-0.74,1.03
瞻博网络,JNPR,2011-04-27,32.88,32.57,33.16,32.3,6130169,0.0,2.62,-0.85,-0.28,1.15
瞻博网络,JNPR,2011-04-28,32.39,32.27,32.68,31.96,4562573,0.0,2.21,-0.92,-0.3,0.85
瞻博网络,JNPR,2011-04-29,32.36,32.13,32.5,31.94,4322226,0.0,1.74,-0.43,-0.14,0.81
瞻博网络,JNPR,2011-05-02,32.07,31.39,32.14,31.28,6954059,0.0,2.68,-2.3,-0.74,1.3
瞻博网络,JNPR,2011-05-03,31.04,31.3,31.42,30.85,5015736,0.0,1.82,-0.29,-0.09,0.94
瞻博网络,JNPR,2011-05-04,31.23,31.09,31.34,30.55,4070296,0.0,2.52,-0.67,-0.21,0.76
瞻博网络,JNPR,2011-05-05,30.82,31.34,32.12,30.82,7439438,0.0,4.18,0.8,0.25,1.4
瞻博网络,JNPR,2011-05-06,31.81,30.94,31.81,30.87,5137053,0.0,3.0,-1.28,-0.4,0.96
瞻博网络,JNPR,2011-05-09,30.96,31.1,31.42,30.71,4772777,0.0,2.29,0.52,0.16,0.9
瞻博网络,JNPR,2011-05-10,31.32,31.61,31.9,31.22,6459900,0.0,2.19,1.64,0.51,1.21
瞻博网络,JNPR,2011-05-11,31.58,32.27,32.95,31.43,8176242,0.0,4.81,2.09,0.66,1.53
瞻博网络,JNPR,2011-05-12,32.03,33.61,33.99,31.59,13428925,0.0,7.44,4.15,1.34,2.52
瞻博网络,JNPR,2011-05-13,33.45,33.43,34.09,33.18,8744899,0.0,2.71,-0.54,-0.18,1.64
瞻博网络,JNPR,2011-05-16,33.57,32.92,34.17,32.84,6099729,0.0,3.98,-1.53,-0.51,1.14
瞻博网络,JNPR,2011-05-17,32.81,32.36,32.81,31.88,6189542,0.0,2.83,-1.7,-0.56,1.16
瞻博网络,JNPR,2011-05-18,32.46,32.73,32.83,32.12,3944052,0.0,2.19,1.14,0.37,0.74
瞻博网络,JNPR,2011-05-19,32.96,32.85,33.11,32.55,3753582,0.0,1.71,0.37,0.12,0.7
瞻博网络,JNPR,2011-05-20,32.88,32.66,33.29,32.58,4301882,0.0,2.16,-0.58,-0.19,0.81
瞻博网络,JNPR,2011-05-23,32.01,31.55,32.17,31.39,7176345,0.0,2.39,-3.4,-1.11,1.35
瞻博网络,JNPR,2011-05-24,31.61,30.35,31.77,30.15,8928019,0.0,5.13,-3.8,-1.2,1.67
瞻博网络,JNPR,2011-05-25,29.92,30.5,30.89,29.85,11841554,0.0,3.43,0.49,0.15,2.22
瞻博网络,JNPR,2011-05-26,30.31,30.78,30.9,30.31,4446393,0.0,1.93,0.92,0.28,0.83
瞻博网络,JNPR,2011-05-27,30.94,30.85,31.32,30.76,4307133,0.0,1.82,0.23,0.07,0.81
瞻博网络,JNPR,2011-05-31,30.76,30.41,30.83,29.87,9270573,0.0,3.11,-1.43,-0.44,1.74
瞻博网络,JNPR,2011-06-01,30.3,26.76,30.67,26.41,26973540,0.0,14.01,-12.0,-3.65,5.06
瞻博网络,JNPR,2011-06-02,27.18,27.18,28.09,26.95,13172400,0.0,4.26,1.57,0.42,2.47
瞻博网络,JNPR,2011-06-03,27.0,26.13,27.05,25.95,10708657,0.0,4.05,-3.86,-1.05,2.01
瞻博网络,JNPR,2011-06-06,26.0,25.25,26.12,24.85,14997462,0.0,4.86,-3.37,-0.88,2.81
瞻博网络,JNPR,2011-06-07,25.96,26.42,26.75,25.36,13720999,0.0,5.5,4.63,1.17,2.57
瞻博网络,JNPR,2011-06-08,25.54,25.91,26.2,25.16,10873751,0.0,3.94,-1.93,-0.51,2.04
瞻博网络,JNPR,2011-06-09,26.06,25.7,26.39,25.68,8170364,0.0,2.74,-0.81,-0.21,1.53
瞻博网络,JNPR,2011-06-10,25.59,24.57,25.94,24.47,10855165,0.0,5.72,-4.4,-1.13,2.04
瞻博网络,JNPR,2011-06-13,24.72,23.71,24.72,23.58,12614436,0.0,4.64,-3.5,-0.86,2.37
瞻博网络,JNPR,2011-06-14,23.47,24.26,24.54,23.16,17675115,0.0,5.82,2.32,0.55,3.32
瞻博网络,JNPR,2011-06-15,23.91,23.17,24.32,23.0,12508723,0.0,5.44,-4.49,-1.09,2.35
瞻博网络,JNPR,2011-06-16,23.31,23.29,24.45,23.07,10706383,0.0,5.96,0.52,0.12,2.01
瞻博网络,JNPR,2011-06-17,23.59,23.13,23.68,22.99,9166021,0.0,2.96,-0.69,-0.16,1.72
瞻博网络,JNPR,2011-06-20,23.06,23.31,23.49,22.83,5549909,0.0,2.85,0.78,0.18,1.04
瞻博网络,JNPR,2011-06-21,23.5,24.05,24.23,23.43,6430122,0.0,3.43,3.17,0.74,1.21
瞻博网络,JNPR,2011-06-22,23.83,23.33,23.96,23.3,6763249,0.0,2.74,-2.99,-0.72,1.27
瞻博网络,JNPR,2011-06-23,23.07,24.07,24.18,22.91,12174241,0.0,5.44,3.17,0.74,2.28
瞻博网络,JNPR,2011-06-24,24.26,23.82,25.1,23.75,11469822,0.0,5.61,-1.04,-0.25,2.15
瞻博网络,JNPR,2011-06-27,23.6,24.3,24.37,23.3,8326842,0.0,4.49,2.02,0.48,1.56
瞻博网络,JNPR,2011-06-28,24.4,24.24,24.91,24.13,7881887,0.0,3.21,-0.25,-0.06,1.48
瞻博网络,JNPR,2011-06-29,24.8,24.62,25.03,24.07,8866171,0.0,3.96,1.57,0.38,1.66
瞻博网络,JNPR,2011-06-30,24.63,25.3,25.39,24.46,7937874,0.0,3.78,2.76,0.68,1.49
瞻博网络,JNPR,2011-07-01,25.34,25.77,25.91,24.98,7387745,0.0,3.68,1.86,0.47,1.39
瞻博网络,JNPR,2011-07-05,25.92,25.59,26.09,25.31,6640345,0.0,3.03,-0.7,-0.18,1.25
瞻博网络,JNPR,2011-07-06,25.43,25.3,25.58,25.02,6894233,0.0,2.19,-1.13,-0.29,1.29
瞻博网络,JNPR,2011-07-07,25.78,26.6,26.91,25.56,8975936,0.0,5.34,5.14,1.3,1.69
瞻博网络,JNPR,2011-07-08,26.08,25.86,26.1,25.35,10036230,0.0,2.82,-2.78,-0.74,1.88
瞻博网络,JNPR,2011-07-11,25.34,25.25,25.86,25.04,6460946,0.0,3.17,-2.36,-0.61,1.21
瞻博网络,JNPR,2011-07-12,25.22,24.98,25.58,24.75,9010658,0.0,3.29,-1.07,-0.27,1.69
瞻博网络,JNPR,2011-07-13,25.21,24.83,25.54,24.48,7670066,0.0,4.24,-0.6,-0.15,1.44
瞻博网络,JNPR,2011-07-14,24.99,24.16,25.05,23.94,7437855,0.0,4.47,-2.7,-0.67,1.4
瞻博网络,JNPR,2011-07-15,24.35,24.43,24.46,24.01,4781658,0.0,1.86,1.12,0.27,0.9
瞻博网络,JNPR,2011-07-18,24.22,23.83,24.55,23.55,7214193,0.0,4.09,-2.46,-0.6,1.35
瞻博网络,JNPR,2011-07-19,24.24,25.38,25.5,24.2,7578048,0.0,5.46,6.5,1.55,1.42
瞻博网络,JNPR,2011-07-20,24.92,24.95,25.16,24.49,7497688,0.0,2.64,-1.69,-0.43,1.41
瞻博网络,JNPR,2011-07-21,24.33,24.12,24.47,23.93,14213868,0.0,2.16,-3.33,-0.83,2.67
瞻博网络,JNPR,2011-07-22,24.21,25.07,25.42,24.13,8556224,0.0,5.35,3.94,0.95,1.61
瞻博网络,JNPR,2011-07-25,24.72,24.47,24.97,24.38,5579845,0.0,2.35,-2.39,-0.6,1.05
瞻博网络,JNPR,2011-07-26,24.58,24.97,25.97,24.58,15178352,0.0,5.68,2.04,0.5,2.85
瞻博网络,JNPR,2011-07-27,18.8,18.46,19.24,18.34,61328636,0.0,3.6,-26.07,-6.51,11.52
瞻博网络,JNPR,2011-07-28,18.51,17.59,18.52,17.57,25764554,0.0,5.15,-4.71,-0.87,4.84
瞻博网络,JNPR,2011-07-29,17.13,17.19,17.73,16.94,16971553,0.0,4.49,-2.27,-0.4,3.19
瞻博网络,JNPR,2011-08-01,17.23,16.82,17.44,16.61,15847719,0.0,4.83,-2.15,-0.37,2.97
瞻博网络,JNPR,2011-08-02,16.64,16.56,17.19,16.55,11774575,0.0,3.8,-1.55,-0.26,2.21
瞻博网络,JNPR,2011-08-03,16.6,17.39,17.45,16.2,16523562,0.0,7.55,5.01,0.83,3.1
瞻博网络,JNPR,2011-08-04,16.88,15.95,17.3,15.8,17417362,0.0,8.63,-8.28,-1.44,3.27
瞻博网络,JNPR,2011-08-05,16.36,16.03,16.81,15.56,17946041,0.0,7.84,0.5,0.08,3.37
瞻博网络,JNPR,2011-08-08,14.86,13.96,15.53,13.84,19258979,0.0,10.54,-12.91,-2.07,3.61
瞻博网络,JNPR,2011-08-09,14.57,15.32,15.65,13.98,21561485,0.0,11.96,9.74,1.36,4.05
瞻博网络,JNPR,2011-08-10,14.76,14.47,15.37,14.39,14018119,0.0,6.4,-5.55,-0.85,2.63
瞻博网络,JNPR,2011-08-11,14.7,15.93,16.37,14.67,21584861,0.0,11.75,10.09,1.46,4.05
瞻博网络,JNPR,2011-08-12,16.07,15.98,16.21,15.53,12017340,0.0,4.27,0.31,0.05,2.25
瞻博网络,JNPR,2011-08-15,15.6,16.27,16.28,15.59,6607647,0.0,4.32,1.81,0.29,1.24
瞻博网络,JNPR,2011-08-16,16.11,15.88,16.19,15.58,6276803,0.0,3.75,-2.4,-0.39,1.18
瞻博网络,JNPR,2011-08-17,15.98,15.49,16.19,15.34,7542050,0.0,5.35,-2.46,-0.39,1.42
瞻博网络,JNPR,2011-08-18,14.76,13.73,14.76,13.51,15794376,0.0,8.07,-11.36,-1.76,2.96
瞻博网络,JNPR,2011-08-19,13.62,13.53,14.09,13.43,8440937,0.0,4.81,-1.46,-0.2,1.58
瞻博网络,JNPR,2011-08-22,13.93,13.52,14.02,13.46,5414958,0.0,4.14,-0.07,-0.01,1.02
瞻博网络,JNPR,2011-08-23,13.8,14.7,14.7,13.6,6933075,0.0,8.14,8.73,1.18,1.3
瞻博网络,JNPR,2011-08-24,14.59,14.82,14.98,14.1,7515005,0.0,5.99,0.82,0.12,1.41
瞻博网络,JNPR,2011-08-25,14.88,14.16,14.97,14.06,7299179,0.0,6.14,-4.45,-0.66,1.37
瞻博网络,JNPR,2011-08-26,13.97,14.7,14.81,13.56,6827404,0.0,8.83,3.81,0.54,1.28
瞻博网络,JNPR,2011-08-29,15.02,15.7,15.73,14.84,4899903,0.0,6.05,6.8,1.0,0.92
瞻博网络,JNPR,2011-08-30,15.45,15.63,15.85,15.2,6424647,0.0,4.14,-0.45,-0.07,1.21
瞻博网络,JNPR,2011-08-31,15.94,14.73,15.94,14.59,13715154,0.0,8.64,-5.76,-0.9,2.57
瞻博网络,JNPR,2011-09-01,14.78,14.94,15.71,14.78,9937586,0.0,6.31,1.43,0.21,1.86
瞻博网络,JNPR,2011-09-02,14.6,14.0,14.7,13.8,7650659,0.0,6.02,-6.29,-0.94,1.44
瞻博网络,JNPR,2011-09-06,13.59,13.77,13.83,13.17,6153359,0.0,4.71,-1.64,-0.23,1.15
瞻博网络,JNPR,2011-09-07,14.3,15.34,15.55,14.22,9216202,0.0,9.66,11.4,1.57,1.73
瞻博网络,JNPR,2011-09-08,15.47,15.38,16.0,15.16,7984865,0.0,5.48,0.26,0.04,1.5
瞻博网络,JNPR,2011-09-09,15.08,14.92,15.74,14.68,7595615,0.0,6.89,-2.99,-0.46,1.43
瞻博网络,JNPR,2011-09-12,14.66,15.54,15.57,14.54,7868906,0.0,6.9,4.16,0.62,1.48
瞻博网络,JNPR,2011-09-13,15.6,15.28,15.88,15.04,9439767,0.0,5.41,-1.67,-0.26,1.77
瞻博网络,JNPR,2011-09-14,15.59,15.39,15.84,14.9,11906199,0.0,6.15,0.72,0.11,2.23
瞻博网络,JNPR,2011-09-15,15.7,14.5,15.75,14.25,17981647,0.0,9.75,-5.78,-0.89,3.37
瞻博网络,JNPR,2011-09-16,14.58,13.95,14.68,13.57,19588545,0.0,7.66,-3.79,-0.55,3.68
瞻博网络,JNPR,2011-09-19,13.74,13.7,13.85,13.46,8240469,0.0,2.8,-1.79,-0.25,1.55
瞻博网络,JNPR,2011-09-20,13.92,13.94,14.3,13.59,10750589,0.0,5.18,1.75,0.24,2.02
瞻博网络,JNPR,2011-09-21,14.12,13.58,14.46,13.55,8950200,0.0,6.53,-2.58,-0.36,1.68
