股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
摩根大通,JPM,2000-01-03,4.16,2.91,4.57,2.41,12019200,0.0,35.29,-52.45,-3.21,0.42
摩根大通,JPM,2000-01-04,1.68,1.85,2.06,0.73,11723400,0.0,45.7,-36.43,-1.06,0.41
摩根大通,JPM,2000-01-05,1.43,1.56,2.97,0.6,8714500,0.0,128.11,-15.68,-0.29,0.3
摩根大通,JPM,2000-01-06,1.35,2.23,3.23,1.1,8369200,0.0,136.54,42.95,0.67,0.29
摩根大通,JPM,2000-01-07,3.01,3.1,3.6,1.93,6571900,0.0,74.89,39.01,0.87,0.23
摩根大通,JPM,2000-01-10,3.1,2.27,3.51,2.27,4723500,0.0,40.0,-26.77,-0.83,0.16
摩根大通,JPM,2000-01-11,1.27,1.14,1.56,0.1,8405500,0.0,64.32,-49.78,-1.13,0.29
摩根大通,JPM,2000-01-12,1.06,1.43,1.85,0.93,7271800,0.0,80.7,25.44,0.29,0.25
摩根大通,JPM,2000-01-13,2.01,2.14,2.93,1.64,6918900,0.0,90.21,49.65,0.71,0.24
摩根大通,JPM,2000-01-14,3.89,3.85,5.1,3.14,9731800,0.0,91.59,79.91,1.71,0.34
摩根大通,JPM,2000-01-18,3.89,1.93,4.27,1.43,5296600,0.0,73.77,-49.87,-1.92,0.18
摩根大通,JPM,2000-01-19,2.77,4.01,4.85,2.77,15734700,0.0,107.77,107.77,2.08,0.54
摩根大通,JPM,2000-01-20,4.85,3.97,5.27,3.1,7770300,0.0,54.11,-1.0,-0.04,0.27
摩根大通,JPM,2000-01-21,3.85,3.23,3.93,3.01,5160600,0.0,23.17,-18.64,-0.74,0.18
摩根大通,JPM,2000-01-24,4.18,3.27,4.31,2.73,6459100,0.0,48.92,1.24,0.04,0.22
摩根大通,JPM,2000-01-25,3.27,4.35,5.1,3.27,7579900,0.0,55.96,33.03,1.08,0.26
摩根大通,JPM,2000-01-26,4.85,6.89,7.27,4.6,8386600,0.0,61.38,58.39,2.54,0.29
摩根大通,JPM,2000-01-27,7.56,8.39,8.93,6.97,8165800,0.0,28.45,21.77,1.5,0.28
摩根大通,JPM,2000-01-28,7.64,5.73,7.64,5.68,7500000,0.0,23.36,-31.7,-2.66,0.26
摩根大通,JPM,2000-01-31,5.81,8.39,8.93,5.81,7160200,0.0,54.45,46.42,2.66,0.25
摩根大通,JPM,2000-02-01,9.56,10.43,10.93,8.81,9651000,0.0,25.27,24.31,2.04,0.33
摩根大通,JPM,2000-02-02,9.93,9.51,10.73,8.85,7126200,0.0,18.02,-8.82,-0.92,0.25
摩根大通,JPM,2000-02-03,10.27,10.06,11.18,8.1,9200200,0.0,32.39,5.78,0.55,0.32
摩根大通,JPM,2000-02-04,9.6,9.1,10.14,8.97,5115100,0.0,11.63,-9.54,-0.96,0.18
摩根大通,JPM,2000-02-07,9.39,9.39,10.18,9.1,4684200,0.0,11.87,3.19,0.29,0.16
摩根大通,JPM,2000-02-08,10.64,11.31,12.01,10.6,6318600,0.0,15.02,20.45,1.92,0.22
摩根大通,JPM,2000-02-09,11.23,9.85,12.18,9.56,9818500,0.0,23.17,-12.91,-1.46,0.34
摩根大通,JPM,2000-02-10,10.01,10.01,10.43,8.85,6880500,0.0,16.04,1.62,0.16,0.24
摩根大通,JPM,2000-02-11,10.1,9.68,11.27,9.27,7052500,0.0,19.98,-3.3,-0.33,0.24
摩根大通,JPM,2000-02-14,9.43,7.31,10.23,7.31,5904700,0.0,30.17,-24.48,-2.37,0.2
摩根大通,JPM,2000-02-15,7.97,8.64,9.6,7.68,8965500,0.0,26.27,18.19,1.33,0.31
摩根大通,JPM,2000-02-16,8.6,7.6,9.39,7.27,4829700,0.0,24.54,-12.04,-1.04,0.17
摩根大通,JPM,2000-02-17,8.35,6.85,8.93,6.47,5716200,0.0,32.37,-9.87,-0.75,0.2
摩根大通,JPM,2000-02-18,6.64,4.43,6.97,4.31,8121300,0.0,38.83,-35.33,-2.42,0.28
摩根大通,JPM,2000-02-22,5.27,6.1,7.18,4.68,7068600,0.0,56.43,37.7,1.67,0.24
摩根大通,JPM,2000-02-23,6.18,6.18,7.39,5.64,4452900,0.0,28.69,1.31,0.08,0.15
摩根大通,JPM,2000-02-24,6.1,5.27,6.31,4.35,5199900,0.0,31.72,-14.72,-0.91,0.18
摩根大通,JPM,2000-02-25,5.68,5.18,7.1,4.51,4644300,0.0,49.15,-1.71,-0.09,0.16
