股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
KeyCorp,KEY,2000-01-03,3.8,3.07,3.93,2.88,1291100,0.0,23.76,-30.54,-1.35,0.29
KeyCorp,KEY,2000-01-04,2.82,2.82,2.94,2.27,1921900,0.0,21.82,-8.14,-0.25,0.43
KeyCorp,KEY,2000-01-05,3.13,2.45,3.25,2.39,1671500,0.0,30.5,-13.12,-0.37,0.38
KeyCorp,KEY,2000-01-06,2.45,3.19,3.31,2.27,1127500,0.0,42.45,30.2,0.74,0.25
KeyCorp,KEY,2000-01-07,3.56,3.74,3.74,3.13,909300,0.0,19.12,17.24,0.55,0.21
KeyCorp,KEY,2000-01-10,3.99,3.07,3.99,2.88,873000,0.0,29.68,-17.91,-0.67,0.2
KeyCorp,KEY,2000-01-11,2.57,3.07,3.25,2.57,1049500,0.0,22.15,0.0,0.0,0.24
KeyCorp,KEY,2000-01-12,3.01,3.31,3.5,2.94,846900,0.0,18.24,7.82,0.24,0.19
KeyCorp,KEY,2000-01-13,3.56,3.87,3.99,3.44,757100,0.0,16.62,16.92,0.56,0.17
KeyCorp,KEY,2000-01-14,4.24,4.3,4.42,3.93,920300,0.0,12.66,11.11,0.43,0.21
KeyCorp,KEY,2000-01-18,3.74,3.44,3.87,3.25,861500,0.0,14.42,-20.0,-0.86,0.19
KeyCorp,KEY,2000-01-19,3.56,2.94,4.11,2.82,1410600,0.0,37.5,-14.53,-0.5,0.32
KeyCorp,KEY,2000-01-20,3.19,2.82,3.19,2.57,999700,0.0,21.09,-4.08,-0.12,0.23
KeyCorp,KEY,2000-01-21,2.88,3.68,3.74,2.64,2572600,0.0,39.01,30.5,0.86,0.58
KeyCorp,KEY,2000-01-24,3.8,2.76,3.87,2.7,1335700,0.0,31.79,-25.0,-0.92,0.3
KeyCorp,KEY,2000-01-25,2.82,2.45,3.01,2.14,1966900,0.0,31.52,-11.23,-0.31,0.44
KeyCorp,KEY,2000-01-26,2.7,3.87,3.93,2.57,1775500,0.0,55.51,57.96,1.42,0.4
KeyCorp,KEY,2000-01-27,3.8,3.37,3.93,3.01,1158700,0.0,23.77,-12.92,-0.5,0.26
KeyCorp,KEY,2000-01-28,3.31,2.82,3.31,2.7,1075600,0.0,18.1,-16.32,-0.55,0.24
KeyCorp,KEY,2000-01-31,2.94,3.31,3.31,2.51,1499400,0.0,28.37,17.38,0.49,0.34
KeyCorp,KEY,2000-02-01,3.25,3.07,3.37,2.88,1311300,0.0,14.8,-7.25,-0.24,0.3
KeyCorp,KEY,2000-02-02,3.07,2.82,3.07,2.76,1037700,0.0,10.1,-8.14,-0.25,0.23
KeyCorp,KEY,2000-02-03,2.88,2.76,3.07,2.7,1351500,0.0,13.12,-2.13,-0.06,0.3
KeyCorp,KEY,2000-02-04,2.82,2.45,2.94,2.39,1255600,0.0,19.93,-11.23,-0.31,0.28
KeyCorp,KEY,2000-02-07,2.45,2.33,2.64,2.27,1078400,0.0,15.1,-4.9,-0.12,0.24
KeyCorp,KEY,2000-02-08,2.33,2.7,2.7,2.27,1166700,0.0,18.45,15.88,0.37,0.26
KeyCorp,KEY,2000-02-09,2.39,1.84,2.39,1.78,1393500,0.0,22.59,-31.85,-0.86,0.31
KeyCorp,KEY,2000-02-10,1.65,1.1,1.84,0.73,2713700,0.0,60.33,-40.22,-0.74,0.61
KeyCorp,KEY,2000-02-11,0.85,1.04,1.28,0.55,2172900,0.0,66.36,-5.45,-0.06,0.49
KeyCorp,KEY,2000-02-14,0.79,0.55,0.85,0.36,1438000,0.0,47.12,-47.12,-0.49,0.32
KeyCorp,KEY,2000-02-15,0.73,0.91,1.1,0.24,2061300,0.0,156.36,65.45,0.36,0.46
KeyCorp,KEY,2000-02-16,0.61,0.24,0.79,0.18,1970700,0.0,67.03,-73.63,-0.67,0.44
KeyCorp,KEY,2000-02-17,0.67,0.3,0.79,0.12,993600,0.0,279.17,25.0,0.06,0.22
KeyCorp,KEY,2000-02-18,0.05,-0.38,0.18,-0.62,2011700,0.0,266.67,-226.67,-0.68,0.45
KeyCorp,KEY,2000-02-22,-0.19,-0.19,0.05,-0.32,1760900,0.0,-97.37,50.0,0.19,0.4
KeyCorp,KEY,2000-02-24,-0.25,-0.19,-0.13,-0.81,1818600,0.0,-357.89,0.0,0.0,0.41
KeyCorp,KEY,2000-02-25,0.37,-0.07,0.49,-0.26,1988400,0.0,-394.74,63.16,0.12,0.45
KeyCorp,KEY,2000-02-28,-0.07,-0.07,0.18,-0.26,2103200,0.0,-628.57,0.0,0.0,0.47
KeyCorp,KEY,2000-02-29,-0.07,-0.13,0.05,-0.51,1340600,0.0,-800.0,-85.71,-0.06,0.3
KeyCorp,KEY,2000-03-01,-0.07,0.05,0.05,-0.51,1556100,0.0,-430.77,138.46,0.18,0.35
KeyCorp,KEY,2000-03-02,-0.07,-0.13,-0.01,-0.44,1080600,0.0,860.0,-360.0,-0.18,0.24
KeyCorp,KEY,2000-03-03,0.43,0.37,0.62,-0.13,1646600,0.0,-576.92,384.62,0.5,0.37
KeyCorp,KEY,2000-03-06,0.37,0.31,0.55,-0.07,1088500,0.0,167.57,-16.22,-0.06,0.25
KeyCorp,KEY,2000-03-07,0.18,-1.07,0.18,-1.13,2859400,0.0,422.58,-445.16,-1.38,0.65
KeyCorp,KEY,2000-03-08,-0.82,-1.38,-0.76,-1.51,2702700,0.0,-70.09,-28.97,-0.31,0.61
KeyCorp,KEY,2000-03-09,-1.38,-1.26,-1.26,-1.51,2084900,0.0,-18.12,8.7,0.12,0.47
