股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
是德科技,KEYS,2014-11-05,30.67,30.18,31.0,30.0,3957747,0.0,0.0,0.0,0.0,2.36
是德科技,KEYS,2014-11-06,30.2,30.05,30.45,29.88,2991334,0.0,1.89,-0.43,-0.13,1.79
是德科技,KEYS,2014-11-07,29.49,29.76,30.39,29.01,9453428,0.0,4.59,-0.97,-0.29,5.64
是德科技,KEYS,2014-11-10,29.03,29.78,30.23,28.56,5114207,0.0,5.61,0.07,0.02,3.05
是德科技,KEYS,2014-11-11,29.42,30.04,30.73,29.06,4535810,0.0,5.61,0.87,0.26,2.71
是德科技,KEYS,2014-11-12,30.4,30.83,31.23,30.0,4852125,0.0,4.09,2.63,0.79,2.9
是德科技,KEYS,2014-11-13,30.74,30.41,31.3,30.03,2428287,0.0,4.12,-1.36,-0.42,1.45
是德科技,KEYS,2014-11-14,30.29,30.7,30.91,30.22,1481271,0.0,2.27,0.95,0.29,0.88
是德科技,KEYS,2014-11-17,30.7,31.05,31.42,30.55,2388931,0.0,2.83,1.14,0.35,1.43
是德科技,KEYS,2014-11-18,30.59,31.0,31.13,30.21,2946201,0.0,2.96,-0.16,-0.05,1.76
是德科技,KEYS,2014-11-19,30.72,30.97,31.14,30.59,3012622,0.0,1.77,-0.1,-0.03,1.8
是德科技,KEYS,2014-11-20,30.77,31.41,31.5,30.65,2153949,0.0,2.74,1.42,0.44,1.29
是德科技,KEYS,2014-11-21,31.65,32.3,32.5,31.45,4702571,0.0,3.34,2.83,0.89,2.81
是德科技,KEYS,2014-11-24,32.88,33.0,33.04,32.34,2402554,0.0,2.17,2.17,0.7,1.43
是德科技,KEYS,2014-11-25,32.97,32.85,33.11,32.58,1769442,0.0,1.61,-0.45,-0.15,1.06
是德科技,KEYS,2014-11-26,33.0,34.2,34.98,33.0,1583374,0.0,6.03,4.11,1.35,0.95
是德科技,KEYS,2014-11-28,33.94,35.2,35.38,33.88,425327,0.0,4.39,2.92,1.0,0.25
是德科技,KEYS,2014-12-01,35.01,34.9,35.18,34.76,1480590,0.0,1.19,-0.85,-0.3,0.88
是德科技,KEYS,2014-12-02,34.73,34.78,34.93,34.3,1788955,0.0,1.81,-0.34,-0.12,1.07
是德科技,KEYS,2014-12-03,34.51,34.31,34.65,34.25,1149349,0.0,1.15,-1.35,-0.47,0.68
是德科技,KEYS,2014-12-04,33.89,34.14,34.3,33.71,1338938,0.0,1.72,-0.5,-0.17,0.8
是德科技,KEYS,2014-12-05,34.24,34.1,34.48,34.0,761670,0.0,1.41,-0.12,-0.04,0.45
是德科技,KEYS,2014-12-08,34.1,34.19,34.34,34.0,956913,0.0,1.0,0.26,0.09,0.57
是德科技,KEYS,2014-12-09,33.2,33.75,34.24,33.2,988176,0.0,3.04,-1.29,-0.44,0.59
是德科技,KEYS,2014-12-10,33.87,33.47,33.98,33.4,1442460,0.0,1.72,-0.83,-0.28,0.86
是德科技,KEYS,2014-12-11,33.5,33.49,33.89,33.45,598964,0.0,1.31,0.06,0.02,0.36
是德科技,KEYS,2014-12-12,33.48,32.86,33.6,32.58,1175163,0.0,3.05,-1.88,-0.63,0.7
是德科技,KEYS,2014-12-15,32.91,32.88,33.37,32.74,969030,0.0,1.92,0.06,0.02,0.58
是德科技,KEYS,2014-12-16,32.52,32.89,33.33,32.5,1880300,0.0,2.52,0.03,0.01,1.12
是德科技,KEYS,2014-12-17,32.82,33.83,34.21,32.39,1024962,0.0,5.53,2.86,0.94,0.61
是德科技,KEYS,2014-12-18,34.0,34.11,34.47,33.42,873950,0.0,3.1,0.83,0.28,0.52
是德科技,KEYS,2014-12-19,34.11,33.98,34.57,33.58,1490593,0.0,2.9,-0.38,-0.13,0.89
是德科技,KEYS,2014-12-22,33.9,33.94,34.19,33.82,735031,0.0,1.09,-0.12,-0.04,0.44
是德科技,KEYS,2014-12-23,33.93,33.63,34.2,33.54,731760,0.0,1.94,-0.91,-0.31,0.44
是德科技,KEYS,2014-12-24,33.65,33.8,34.38,33.51,1505693,0.0,2.59,0.51,0.17,0.9
是德科技,KEYS,2014-12-26,33.94,33.73,34.0,33.55,458517,0.0,1.33,-0.21,-0.07,0.27
是德科技,KEYS,2014-12-29,33.57,33.91,34.05,32.74,474313,0.0,3.88,0.53,0.18,0.28
是德科技,KEYS,2014-12-30,33.8,33.88,34.29,33.68,383175,0.0,1.8,-0.09,-0.03,0.23
是德科技,KEYS,2014-12-31,33.87,33.77,34.17,33.64,318367,0.0,1.56,-0.32,-0.11,0.19
是德科技,KEYS,2015-01-02,33.81,33.42,34.09,33.13,812678,0.0,2.84,-1.04,-0.35,0.48
是德科技,KEYS,2015-01-05,33.05,33.54,33.6,33.05,732154,0.0,1.65,0.36,0.12,0.44
是德科技,KEYS,2015-01-06,33.65,33.61,33.85,33.5,1485265,0.0,1.04,0.21,0.07,0.88
是德科技,KEYS,2015-01-07,33.67,33.88,34.43,33.67,2021876,0.0,2.26,0.8,0.27,1.2
是德科技,KEYS,2015-01-08,34.0,34.12,34.39,33.82,1289821,0.0,1.68,0.71,0.24,0.77
是德科技,KEYS,2015-01-09,34.04,33.96,34.24,33.77,709801,0.0,1.38,-0.47,-0.16,0.42
是德科技,KEYS,2015-01-12,33.9,34.46,34.58,33.9,901600,0.0,2.0,1.47,0.5,0.54
是德科技,KEYS,2015-01-13,34.44,34.69,34.9,34.11,816941,0.0,2.29,0.67,0.23,0.49
是德科技,KEYS,2015-01-14,34.29,34.93,34.94,34.17,500019,0.0,2.22,0.69,0.24,0.3
是德科技,KEYS,2015-01-15,34.92,34.47,34.99,34.2,953783,0.0,2.26,-1.32,-0.46,0.57
是德科技,KEYS,2015-01-16,34.26,34.96,35.0,34.21,1271075,0.0,2.29,1.42,0.49,0.76
是德科技,KEYS,2015-01-20,34.68,34.92,35.2,34.45,1031179,0.0,2.15,-0.11,-0.04,0.61
是德科技,KEYS,2015-01-21,34.66,35.5,35.61,34.52,611938,0.0,3.12,1.66,0.58,0.36
是德科技,KEYS,2015-01-22,35.67,35.78,36.33,35.38,1526666,0.0,2.68,0.79,0.28,0.91
是德科技,KEYS,2015-01-23,35.73,34.87,35.78,34.58,1305347,0.0,3.35,-2.54,-0.91,0.78
是德科技,KEYS,2015-01-26,34.76,34.33,34.91,34.02,1292364,0.0,2.55,-1.55,-0.54,0.77
是德科技,KEYS,2015-01-27,34.08,33.73,34.23,33.65,781047,0.0,1.69,-1.75,-0.6,0.46
是德科技,KEYS,2015-01-28,33.76,33.34,34.0,33.25,969314,0.0,2.22,-1.16,-0.39,0.58
是德科技,KEYS,2015-01-29,33.48,33.68,33.73,33.25,800452,0.0,1.44,1.02,0.34,0.48
是德科技,KEYS,2015-01-30,33.4,33.39,33.58,33.12,759216,0.0,1.37,-0.86,-0.29,0.45
是德科技,KEYS,2015-02-02,33.44,34.33,34.38,33.37,616122,0.0,3.02,2.82,0.94,0.37
