股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
金克地产,KIM,2000-01-03,-12.77,-12.83,-12.77,-12.96,107200,0.0,-1.48,0.0,0.0,0.18
金克地产,KIM,2000-01-04,-12.83,-12.94,-12.83,-13.04,238000,0.0,-1.64,-0.86,-0.11,0.39
金克地产,KIM,2000-01-05,-12.96,-12.87,-12.79,-13.02,225200,0.0,-1.78,0.54,0.07,0.37
金克地产,KIM,2000-01-06,-12.92,-12.54,-12.46,-12.92,318600,0.0,-3.57,2.56,0.33,0.52
金克地产,KIM,2000-01-07,-12.48,-12.35,-12.29,-12.48,354800,0.0,-1.52,1.52,0.19,0.58
金克地产,KIM,2000-01-10,-12.29,-12.17,-12.17,-12.31,298800,0.0,-1.13,1.46,0.18,0.49
金克地产,KIM,2000-01-11,-12.21,-12.31,-12.17,-12.33,101200,0.0,-1.31,-1.15,-0.14,0.17
金克地产,KIM,2000-01-12,-12.14,-12.42,-12.14,-12.46,694400,0.0,-2.6,-0.89,-0.11,1.14
金克地产,KIM,2000-01-13,-12.37,-12.29,-12.29,-12.44,287400,0.0,-1.21,1.05,0.13,0.47
金克地产,KIM,2000-01-14,-12.25,-12.25,-12.17,-12.25,125400,0.0,-0.65,0.33,0.04,0.21
金克地产,KIM,2000-01-18,-12.23,-12.25,-12.21,-12.58,243000,0.0,-3.02,0.0,0.0,0.4
金克地产,KIM,2000-01-19,-12.21,-12.23,-12.21,-12.39,320800,0.0,-1.47,0.16,0.02,0.53
金克地产,KIM,2000-01-20,-12.21,-12.27,-12.12,-12.27,175800,0.0,-1.23,-0.33,-0.04,0.29
金克地产,KIM,2000-01-21,-12.25,-12.33,-12.17,-12.37,136000,0.0,-1.63,-0.49,-0.06,0.22
金克地产,KIM,2000-01-24,-12.25,-12.37,-12.12,-12.37,90800,0.0,-2.03,-0.32,-0.04,0.15
金克地产,KIM,2000-01-25,-12.35,-12.39,-12.29,-12.52,179400,0.0,-1.86,-0.16,-0.02,0.3
金克地产,KIM,2000-01-26,-12.39,-12.27,-12.14,-12.39,310400,0.0,-2.02,0.97,0.12,0.51
金克地产,KIM,2000-01-27,-12.29,-12.27,-12.21,-12.31,346400,0.0,-0.81,0.0,0.0,0.57
金克地产,KIM,2000-01-28,-12.25,-12.27,-12.25,-12.29,91800,0.0,-0.33,0.0,0.0,0.15
金克地产,KIM,2000-01-31,-12.29,-12.37,-12.27,-12.42,135600,0.0,-1.22,-0.81,-0.1,0.22
金克地产,KIM,2000-02-01,-12.37,-12.48,-12.27,-12.48,111200,0.0,-1.7,-0.89,-0.11,0.18
金克地产,KIM,2000-02-02,-12.48,-12.42,-12.42,-12.54,196800,0.0,-0.96,0.48,0.06,0.32
金克地产,KIM,2000-02-03,-12.42,-12.29,-12.23,-12.46,180000,0.0,-1.85,1.05,0.13,0.3
金克地产,KIM,2000-02-04,-12.33,-12.39,-12.23,-12.46,178000,0.0,-1.87,-0.81,-0.1,0.29
金克地产,KIM,2000-02-07,-12.48,-12.42,-12.42,-12.5,270400,0.0,-0.65,-0.24,-0.03,0.44
金克地产,KIM,2000-02-08,-12.48,-12.42,-12.39,-12.56,175200,0.0,-1.37,0.0,0.0,0.29
金克地产,KIM,2000-02-09,-12.42,-12.52,-12.42,-12.71,444800,0.0,-2.33,-0.81,-0.1,0.73
金克地产,KIM,2000-02-10,-12.52,-12.69,-12.48,-12.75,268800,0.0,-2.16,-1.36,-0.17,0.44
金克地产,KIM,2000-02-11,-12.73,-12.67,-12.58,-12.77,210400,0.0,-1.5,0.16,0.02,0.35
金克地产,KIM,2000-02-14,-12.77,-12.87,-12.75,-12.96,237000,0.0,-1.66,-1.58,-0.2,0.39
