股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
金德摩根,KMI,2011-02-11,17.14,16.49,17.58,16.19,50592340,0.0,9.0,6.8,1.05,7.16
金德摩根,KMI,2011-02-14,16.49,16.14,16.74,16.14,6244459,0.0,3.64,-2.12,-0.35,0.88
金德摩根,KMI,2011-02-15,16.34,16.38,16.59,16.17,4139602,0.0,2.6,1.49,0.24,0.59
金德摩根,KMI,2011-02-16,16.49,16.16,16.88,16.1,4623464,0.0,4.76,-1.34,-0.22,0.57
金德摩根,KMI,2011-02-17,16.12,15.99,16.53,15.95,3283012,0.0,3.59,-1.05,-0.17,0.41
金德摩根,KMI,2011-02-18,16.09,16.81,16.83,15.84,6936545,0.0,6.19,5.13,0.82,0.86
金德摩根,KMI,2011-02-22,16.58,16.16,16.87,16.15,2454261,0.0,4.28,-3.87,-0.65,0.3
金德摩根,KMI,2011-02-23,16.2,15.86,16.34,15.69,2657818,0.0,4.02,-1.86,-0.3,0.33
金德摩根,KMI,2011-02-24,15.99,15.88,16.09,15.74,1684111,0.0,2.21,0.13,0.02,0.21
金德摩根,KMI,2011-02-25,15.97,15.94,16.19,15.74,2194623,0.0,2.83,0.38,0.06,0.27
金德摩根,KMI,2011-02-28,16.01,15.94,16.23,15.86,2371011,0.0,2.32,0.0,0.0,0.29
金德摩根,KMI,2011-03-01,16.09,15.89,16.22,15.67,1907921,0.0,3.45,-0.31,-0.05,0.24
金德摩根,KMI,2011-03-02,16.01,16.01,16.13,15.7,2196962,0.0,2.71,0.76,0.12,0.27
金德摩根,KMI,2011-03-03,16.12,16.21,16.21,15.97,1901092,0.0,1.5,1.25,0.2,0.23
金德摩根,KMI,2011-03-04,16.24,16.29,16.37,16.1,890981,0.0,1.67,0.49,0.08,0.11
金德摩根,KMI,2011-03-07,16.38,16.34,16.48,16.14,1041074,0.0,2.09,0.31,0.05,0.13
金德摩根,KMI,2011-03-08,16.24,16.41,16.48,16.24,827311,0.0,1.47,0.43,0.07,0.1
金德摩根,KMI,2011-03-09,16.34,16.19,16.42,16.18,294086,0.0,1.46,-1.34,-0.22,0.04
金德摩根,KMI,2011-03-10,16.15,15.54,16.15,15.19,2714586,0.0,5.93,-4.01,-0.65,0.34
金德摩根,KMI,2011-03-11,15.54,15.54,15.92,15.41,1886844,0.0,3.28,0.0,0.0,0.23
金德摩根,KMI,2011-03-14,15.44,15.43,15.66,15.24,1967278,0.0,2.7,-0.71,-0.11,0.24
金德摩根,KMI,2011-03-15,15.25,15.32,15.64,15.04,1932134,0.0,3.89,-0.71,-0.11,0.24
金德摩根,KMI,2011-03-16,15.33,15.49,15.6,15.2,2062105,0.0,2.61,1.11,0.17,0.25
金德摩根,KMI,2011-03-17,15.64,15.59,15.85,15.5,1494698,0.0,2.26,0.65,0.1,0.18
