股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
莱纳建筑-A,LEN,2000-01-03,-1.93,-2.02,-1.83,-2.11,381000,0.0,-15.05,-8.6,-0.16,0.15
莱纳建筑-A,LEN,2000-01-04,-2.14,-2.08,-1.99,-2.14,549600,0.0,-7.43,-2.97,-0.06,0.22
莱纳建筑-A,LEN,2000-01-05,-2.08,-2.05,-1.96,-2.08,229600,0.0,-5.77,1.44,0.03,0.09
莱纳建筑-A,LEN,2000-01-06,-2.08,-2.05,-2.02,-2.14,504000,0.0,-5.85,0.0,0.0,0.2
莱纳建筑-A,LEN,2000-01-07,-2.05,-1.89,-1.83,-2.08,909600,0.0,-12.2,7.8,0.16,0.37
莱纳建筑-A,LEN,2000-01-10,-1.89,-1.83,-1.74,-1.99,2076800,0.0,-13.23,3.17,0.06,0.84
莱纳建筑-A,LEN,2000-01-11,-1.8,-1.99,-1.8,-1.99,576800,0.0,-10.38,-8.74,-0.16,0.23
莱纳建筑-A,LEN,2000-01-12,-1.86,-1.93,-1.71,-2.11,901000,0.0,-20.1,3.02,0.06,0.36
莱纳建筑-A,LEN,2000-01-13,-1.8,-1.74,-1.61,-1.8,310600,0.0,-9.84,9.84,0.19,0.13
莱纳建筑-A,LEN,2000-01-14,-1.68,-1.71,-1.49,-1.71,402800,0.0,-12.64,1.72,0.03,0.16
莱纳建筑-A,LEN,2000-01-18,-1.68,-1.77,-1.64,-1.77,676000,0.0,-7.6,-3.51,-0.06,0.27
莱纳建筑-A,LEN,2000-01-19,-1.96,-1.83,-1.68,-1.96,443200,0.0,-15.82,-3.39,-0.06,0.18
莱纳建筑-A,LEN,2000-01-20,-1.83,-1.77,-1.74,-1.86,669400,0.0,-6.56,3.28,0.06,0.27
莱纳建筑-A,LEN,2000-01-21,-1.8,-1.83,-1.74,-1.93,1100000,0.0,-10.73,-3.39,-0.06,0.45
莱纳建筑-A,LEN,2000-01-24,-1.83,-1.83,-1.74,-1.86,1086800,0.0,-6.56,0.0,0.0,0.44
莱纳建筑-A,LEN,2000-01-25,-1.8,-1.89,-1.77,-1.93,1055400,0.0,-8.74,-3.28,-0.06,0.43
莱纳建筑-A,LEN,2000-01-26,-1.83,-1.93,-1.83,-1.96,1330600,0.0,-6.88,-2.12,-0.04,0.54
莱纳建筑-A,LEN,2000-01-27,-1.93,-1.89,-1.8,-1.96,806200,0.0,-8.29,2.07,0.04,0.33
莱纳建筑-A,LEN,2000-01-28,-1.83,-2.11,-1.83,-2.11,648800,0.0,-14.81,-11.64,-0.22,0.26
莱纳建筑-A,LEN,2000-01-31,-1.99,-2.02,-1.93,-2.05,451800,0.0,-5.69,4.27,0.09,0.18
莱纳建筑-A,LEN,2000-02-01,-1.99,-1.99,-1.93,-2.02,634000,0.0,-4.46,1.49,0.03,0.26
莱纳建筑-A,LEN,2000-02-02,-1.99,-1.99,-1.96,-2.02,310400,0.0,-3.02,0.0,0.0,0.13
莱纳建筑-A,LEN,2000-02-03,-1.95,-1.8,-1.48,-1.98,638800,0.0,-25.13,9.55,0.19,0.26
莱纳建筑-A,LEN,2000-02-04,-1.76,-1.67,-1.61,-1.83,2377400,0.0,-12.22,7.22,0.13,0.96
莱纳建筑-A,LEN,2000-02-07,-1.73,-1.83,-1.61,-1.86,1342400,0.0,-14.97,-9.58,-0.16,0.54
莱纳建筑-A,LEN,2000-02-08,-1.89,-1.92,-1.36,-1.92,471200,0.0,-30.6,-4.92,-0.09,0.97
