股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
徕博科,LH,2000-01-03,4.19,4.04,4.19,3.71,130700,0.0,11.46,-3.58,-0.15,0.1
徕博科,LH,2000-01-04,3.86,3.71,3.86,3.41,165400,0.0,11.14,-8.17,-0.33,0.13
徕博科,LH,2000-01-05,3.56,3.71,3.71,3.41,60000,0.0,8.09,0.0,0.0,0.05
徕博科,LH,2000-01-06,3.56,3.56,3.71,3.41,96300,0.0,8.09,-4.04,-0.15,0.07
徕博科,LH,2000-01-07,3.56,3.86,3.86,3.41,198600,0.0,12.64,8.43,0.3,0.15
徕博科,LH,2000-01-10,4.04,3.71,4.04,3.71,341800,0.0,8.55,-3.89,-0.15,0.27
徕博科,LH,2000-01-11,3.56,3.41,3.71,3.41,96800,0.0,8.09,-8.09,-0.3,0.08
徕博科,LH,2000-01-12,3.41,3.41,3.56,3.41,95600,0.0,4.4,0.0,0.0,0.07
徕博科,LH,2000-01-13,3.41,3.86,3.86,3.24,672900,0.0,18.18,13.2,0.45,0.52
徕博科,LH,2000-01-14,3.71,3.86,3.86,3.71,119200,0.0,3.89,0.0,0.0,0.09
徕博科,LH,2000-01-18,3.71,3.71,3.86,3.41,239400,0.0,11.66,-3.89,-0.15,0.19
徕博科,LH,2000-01-19,3.71,3.71,3.71,3.56,128900,0.0,4.04,0.0,0.0,0.1
徕博科,LH,2000-01-20,3.56,3.56,3.71,3.56,302800,0.0,4.04,-4.04,-0.15,0.24
徕博科,LH,2000-01-21,3.56,3.56,3.56,3.24,503400,0.0,8.99,0.0,0.0,0.39
徕博科,LH,2000-01-24,3.41,3.41,3.41,3.24,247300,0.0,4.78,-4.21,-0.15,0.19
徕博科,LH,2000-01-25,3.24,3.24,3.41,3.09,230000,0.0,9.38,-4.99,-0.17,0.18
徕博科,LH,2000-01-26,3.24,3.24,3.24,2.79,414400,0.0,13.89,0.0,0.0,0.32
徕博科,LH,2000-01-27,3.41,3.09,3.41,2.94,1868000,0.0,14.51,-4.63,-0.15,1.45
徕博科,LH,2000-01-28,3.24,3.41,3.41,3.24,166400,0.0,5.5,10.36,0.32,0.13
徕博科,LH,2000-01-31,3.09,3.24,3.24,2.94,211500,0.0,8.8,-4.99,-0.17,0.16
徕博科,LH,2000-02-01,3.24,3.24,3.41,3.09,142300,0.0,9.88,0.0,0.0,0.11
徕博科,LH,2000-02-02,3.24,3.41,3.56,3.24,272200,0.0,9.88,5.25,0.17,0.21
徕博科,LH,2000-02-03,3.56,3.56,3.56,3.41,103800,0.0,4.4,4.4,0.15,0.08
徕博科,LH,2000-02-04,3.41,3.41,3.56,3.24,107700,0.0,8.99,-4.21,-0.15,0.08
徕博科,LH,2000-02-07,3.41,4.49,4.49,3.24,2460400,0.0,36.66,31.67,1.08,1.91
徕博科,LH,2000-02-08,4.66,5.29,5.59,4.66,1993400,0.0,20.71,17.82,0.8,1.55
徕博科,LH,2000-02-09,5.29,4.96,5.29,4.66,423600,0.0,11.91,-6.24,-0.33,0.33
徕博科,LH,2000-02-10,4.96,4.66,4.96,4.66,414400,0.0,6.05,-6.05,-0.3,0.32
徕博科,LH,2000-02-11,4.81,4.66,4.81,4.66,340200,0.0,3.22,0.0,0.0,0.26
徕博科,LH,2000-02-14,4.34,4.81,4.81,4.19,522800,0.0,13.3,3.22,0.15,0.41
徕博科,LH,2000-02-15,4.96,4.96,5.11,3.86,3292500,0.0,25.99,3.12,0.15,2.56
