股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Linde plc,LIN,2023-11-07,388.69,388.03,389.69,383.85,2647373,1029837072.0,0.0,0.0,0.0,0.55
Linde plc,LIN,2023-11-08,390.14,390.99,392.86,387.87,1631383,639063968.0,1.29,0.76,2.96,0.34
Linde plc,LIN,2023-11-09,393.06,389.71,393.12,389.11,1305415,511815040.0,1.03,-0.33,-1.28,0.27
Linde plc,LIN,2023-11-10,390.24,398.57,399.1,390.24,1378076,549045504.0,2.27,2.27,8.86,0.28
Linde plc,LIN,2023-11-13,395.09,398.48,400.68,393.73,1420008,567285120.0,1.74,-0.02,-0.09,0.29
Linde plc,LIN,2023-11-14,398.3,402.49,405.51,398.3,1350547,545749072.0,1.81,1.01,4.01,0.28
Linde plc,LIN,2023-11-15,402.7,401.48,404.86,400.83,1139901,459940208.0,1.0,-0.25,-1.01,0.24
Linde plc,LIN,2023-11-16,401.91,407.12,407.69,401.05,1228118,500436752.0,1.65,1.4,5.64,0.25
Linde plc,LIN,2023-11-17,409.81,406.61,409.81,405.23,1542480,629903120.0,1.12,-0.13,-0.51,0.32
Linde plc,LIN,2023-11-20,406.28,407.0,408.85,404.93,1678508,685358304.0,0.96,0.1,0.39,0.35
Linde plc,LIN,2023-11-21,409.77,410.64,413.7,408.14,1225251,505132592.0,1.37,0.89,3.64,0.25
Linde plc,LIN,2023-11-22,409.47,410.35,411.24,406.84,1110974,456911456.0,1.07,-0.07,-0.29,0.23
Linde plc,LIN,2023-11-24,411.4,412.95,414.92,410.6,711306,294802176.0,1.05,0.63,2.6,0.15
Linde plc,LIN,2023-11-27,412.56,411.53,412.73,408.73,1301164,536320784.0,0.97,-0.34,-1.42,0.27
Linde plc,LIN,2023-11-28,410.74,409.46,412.55,408.75,1134339,466676064.0,0.92,-0.5,-2.07,0.23
Linde plc,LIN,2023-11-29,411.3,410.12,414.02,409.68,1405937,579742096.0,1.06,0.16,0.66,0.29
Linde plc,LIN,2023-11-30,409.19,412.5,414.73,408.52,4023877,1665154176.0,1.51,0.58,2.38,0.83
Linde plc,LIN,2023-12-01,412.45,411.7,415.05,409.97,2107310,868317856.0,1.23,-0.19,-0.8,0.43
Linde plc,LIN,2023-12-04,409.0,406.64,411.24,406.02,2092442,851837712.0,1.27,-1.23,-5.06,0.43
Linde plc,LIN,2023-12-05,406.0,403.97,406.61,402.15,2207044,892522272.0,1.1,-0.66,-2.67,0.46
Linde plc,LIN,2023-12-06,403.97,400.31,404.17,398.44,2263713,905930880.0,1.42,-0.91,-3.66,0.47
