股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
罗美特,832344,2016-03-03,4.21,4.21,4.21,4.21,10,8000.0,0.0,0.0,0.0,0.0
罗美特,832344,2016-06-28,5.21,5.21,5.21,5.21,10,9900.0,0.0,23.75,1.0,0.0
罗美特,832344,2016-08-16,10.47,10.47,10.47,10.47,10,19900.0,0.0,100.96,5.26,0.0
罗美特,832344,2017-05-05,5.24,5.24,5.24,5.24,10,9950.0,0.0,-49.95,-5.23,0.0
罗美特,832344,2017-05-08,2.62,2.62,2.62,2.62,10,4980.0,0.0,-50.0,-2.62,0.0
罗美特,832344,2017-05-09,2.11,5.24,5.24,2.11,3060,1229960.0,119.47,100.0,2.62,0.48
罗美特,832344,2017-05-10,9.47,9.47,9.47,9.47,10,18000.0,0.0,80.73,4.23,0.0
罗美特,832344,2017-05-15,4.74,4.74,4.74,4.74,200,180000.0,0.0,-49.95,-4.73,0.03
罗美特,832344,2017-05-18,9.47,9.47,9.47,9.47,10,18000.0,0.0,99.79,4.73,0.0
罗美特,832344,2017-05-31,4.74,4.93,9.47,4.74,250,234000.0,49.95,-47.94,-4.54,0.04
罗美特,832344,2017-06-01,9.47,9.47,9.47,9.47,10,18000.0,0.0,92.09,4.54,0.0
罗美特,832344,2017-06-23,5.26,5.26,5.26,5.26,10,10000.0,0.0,-44.46,-4.21,0.0
罗美特,832344,2017-06-26,3.16,3.16,3.16,3.16,500,300000.0,0.0,-39.92,-2.1,0.08
罗美特,832344,2017-06-27,3.16,3.16,3.16,3.16,500,300000.0,0.0,0.0,0.0,0.08
罗美特,832344,2017-06-28,5.26,5.26,5.26,5.26,10,10000.0,0.0,66.46,2.1,0.0
罗美特,832344,2017-06-29,7.89,7.89,7.89,7.89,10,15000.0,0.0,50.0,2.63,0.0
罗美特,832344,2017-07-17,4.21,4.21,4.21,4.21,820,656000.0,0.0,-46.64,-3.68,0.13
罗美特,832344,2017-07-19,4.21,4.21,4.21,4.21,700,560000.0,0.0,0.0,0.0,0.11
罗美特,832344,2017-07-28,4.21,4.21,4.21,4.21,600,480000.0,0.0,0.0,0.0,0.09
罗美特,832344,2017-08-07,7.89,7.89,7.89,7.89,10,15000.0,0.0,87.41,3.68,0.0
