股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
林肯国民,LNC,2000-01-03,11.24,11.43,11.68,10.62,512000,0.0,8.57,-7.6,-0.94,0.26
林肯国民,LNC,2000-01-04,11.24,10.31,11.43,9.93,729300,0.0,13.12,-9.8,-1.12,0.37
林肯国民,LNC,2000-01-05,10.31,8.99,11.43,8.93,520000,0.0,24.25,-12.8,-1.32,0.27
林肯国民,LNC,2000-01-06,9.66,9.66,10.16,8.85,518400,0.0,14.57,7.45,0.67,0.27
林肯国民,LNC,2000-01-07,10.41,10.6,11.72,9.85,279700,0.0,19.36,9.73,0.94,0.14
林肯国民,LNC,2000-01-10,11.16,10.66,11.35,9.04,624700,0.0,21.79,0.57,0.06,0.32
林肯国民,LNC,2000-01-11,9.78,10.1,10.29,9.78,330800,0.0,4.78,-5.25,-0.56,0.17
林肯国民,LNC,2000-01-12,10.16,9.91,10.16,8.16,794700,0.0,19.8,-1.88,-0.19,0.41
林肯国民,LNC,2000-01-13,10.66,12.16,12.28,10.54,786600,0.0,17.56,22.7,2.25,0.4
林肯国民,LNC,2000-01-14,14.04,11.53,14.04,11.1,470600,0.0,24.18,-5.18,-0.63,0.24
林肯国民,LNC,2000-01-18,10.66,10.6,11.1,10.29,335500,0.0,7.03,-8.07,-0.93,0.17
林肯国民,LNC,2000-01-19,9.66,9.28,10.29,8.28,603200,0.0,18.96,-12.45,-1.32,0.31
林肯国民,LNC,2000-01-20,9.28,7.41,9.28,7.03,702600,0.0,24.25,-20.15,-1.87,0.36
林肯国民,LNC,2000-01-21,7.66,8.47,9.16,6.28,999500,0.0,38.87,14.3,1.06,0.51
林肯国民,LNC,2000-01-24,9.16,7.6,9.41,7.22,710600,0.0,25.86,-10.27,-0.87,0.36
林肯国民,LNC,2000-01-25,7.29,8.53,8.66,7.16,1016700,0.0,19.74,12.24,0.93,0.52
林肯国民,LNC,2000-01-26,8.28,8.91,8.97,7.03,504900,0.0,22.74,4.45,0.38,0.26
林肯国民,LNC,2000-01-27,8.41,8.72,9.22,8.35,586400,0.0,9.76,-2.13,-0.19,0.3
林肯国民,LNC,2000-01-28,7.54,8.47,9.47,7.54,607200,0.0,22.13,-2.87,-0.25,0.31
林肯国民,LNC,2000-01-31,8.6,9.6,9.6,8.47,347100,0.0,13.34,13.34,1.13,0.18
林肯国民,LNC,2000-02-01,10.66,10.35,12.04,10.16,964500,0.0,19.58,7.81,0.75,0.49
林肯国民,LNC,2000-02-02,9.91,11.1,11.47,9.66,911400,0.0,17.49,7.25,0.75,0.47
林肯国民,LNC,2000-02-03,10.03,10.16,10.78,8.91,610800,0.0,16.85,-8.47,-0.94,0.31
林肯国民,LNC,2000-02-04,9.41,8.85,10.29,8.6,592000,0.0,16.63,-12.89,-1.31,0.3
林肯国民,LNC,2000-02-07,9.41,6.91,9.54,6.78,1175400,0.0,31.19,-21.92,-1.94,0.6
林肯国民,LNC,2000-02-08,7.35,7.91,8.22,7.03,776800,0.0,17.22,14.47,1.0,0.4
林肯国民,LNC,2000-02-09,7.1,6.22,7.78,6.22,511100,0.0,19.72,-21.37,-1.69,0.26
林肯国民,LNC,2000-02-10,5.72,5.72,6.54,5.16,483800,0.0,22.19,-8.04,-0.5,0.25
林肯国民,LNC,2000-02-11,5.47,4.91,6.54,4.91,387900,0.0,28.5,-14.16,-0.81,0.2
林肯国民,LNC,2000-02-14,5.41,4.91,5.41,4.41,355100,0.0,20.37,0.0,0.0,0.18
林肯国民,LNC,2000-02-15,5.1,5.28,5.72,4.78,503500,0.0,19.14,7.54,0.37,0.26
林肯国民,LNC,2000-02-16,3.41,4.16,4.6,3.41,551900,0.0,22.54,-21.21,-1.12,0.28
林肯国民,LNC,2000-02-17,4.29,3.6,4.66,3.54,489700,0.0,26.92,-13.46,-0.56,0.25
林肯国民,LNC,2000-02-18,3.54,3.04,4.35,2.97,537500,0.0,38.33,-15.56,-0.56,0.27
林肯国民,LNC,2000-02-22,2.16,2.41,3.35,1.03,834700,0.0,76.32,-20.72,-0.63,0.43
林肯国民,LNC,2000-02-24,2.16,2.22,2.6,1.16,853200,0.0,59.75,-7.88,-0.19,0.44
林肯国民,LNC,2000-02-25,2.22,1.03,2.35,0.66,1324600,0.0,76.13,-53.6,-1.19,0.68
林肯国民,LNC,2000-02-28,0.16,0.91,1.35,-0.21,1265700,0.0,151.46,-11.65,-0.12,0.65
