股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Lumen Technologies Inc,LUMN,2020-09-18,8.98,8.77,9.14,8.73,9867851,106868260.0,0.0,0.0,0.0,0.9
Lumen Technologies Inc,LUMN,2020-09-21,8.68,8.26,8.7,8.17,11473707,118595418.0,6.04,-5.82,-0.51,1.05
Lumen Technologies Inc,LUMN,2020-09-22,8.26,8.26,8.4,8.17,7852526,80491227.0,2.78,0.0,0.0,0.72
Lumen Technologies Inc,LUMN,2020-09-23,8.25,8.05,8.37,8.05,9110690,92952138.0,3.87,-2.54,-0.21,0.83
Lumen Technologies Inc,LUMN,2020-09-24,8.01,8.14,8.26,7.92,7261877,73367595.0,4.22,1.12,0.09,0.66
Lumen Technologies Inc,LUMN,2020-09-25,8.05,8.21,8.24,7.97,4969771,50470353.0,3.32,0.86,0.07,0.45
Lumen Technologies Inc,LUMN,2020-09-28,8.31,8.28,8.44,8.26,5795726,59775655.0,2.19,0.85,0.07,0.53
Lumen Technologies Inc,LUMN,2020-09-29,8.34,8.22,8.34,8.15,4760829,48763637.0,2.29,-0.72,-0.06,0.43
Lumen Technologies Inc,LUMN,2020-09-30,8.23,8.09,8.32,7.99,10412303,105468873.0,4.01,-1.58,-0.13,0.95
Lumen Technologies Inc,LUMN,2020-10-01,8.01,7.95,8.17,7.84,9934924,98878192.0,4.08,-1.73,-0.14,0.91
Lumen Technologies Inc,LUMN,2020-10-02,7.86,8.03,8.23,7.8,7683981,77115171.0,5.41,1.01,0.08,0.7
Lumen Technologies Inc,LUMN,2020-10-05,8.08,8.06,8.21,7.94,8382091,84111285.0,3.36,0.37,0.03,0.76
Lumen Technologies Inc,LUMN,2020-10-06,8.06,7.89,8.19,7.89,7018555,70375217.0,3.72,-2.11,-0.17,0.64
Lumen Technologies Inc,LUMN,2020-10-07,7.94,8.08,8.16,7.85,9221094,92189105.0,3.93,2.41,0.19,0.84
Lumen Technologies Inc,LUMN,2020-10-08,8.11,8.13,8.16,8.05,5846749,59179074.0,1.36,0.62,0.05,0.53
Lumen Technologies Inc,LUMN,2020-10-09,8.18,8.11,8.26,8.05,4588441,46427834.0,2.58,-0.25,-0.02,0.42
Lumen Technologies Inc,LUMN,2020-10-12,8.07,8.03,8.12,7.96,8161309,81799442.0,1.97,-0.99,-0.08,0.74
Lumen Technologies Inc,LUMN,2020-10-13,8.0,7.88,8.1,7.82,8923007,88303831.0,3.49,-1.87,-0.15,0.81
Lumen Technologies Inc,LUMN,2020-10-14,7.87,7.8,7.92,7.79,7559961,74345769.0,1.65,-1.02,-0.08,0.69
Lumen Technologies Inc,LUMN,2020-10-15,7.77,7.93,7.96,7.61,7606940,74867723.0,4.49,1.67,0.13,0.69
Lumen Technologies Inc,LUMN,2020-10-16,7.88,7.86,7.96,7.75,5226378,51449632.0,2.65,-0.88,-0.07,0.48
Lumen Technologies Inc,LUMN,2020-10-19,7.92,7.61,7.92,7.6,11360964,110554439.0,4.07,-3.18,-0.25,1.04
Lumen Technologies Inc,LUMN,2020-10-20,7.7,7.62,7.73,7.52,8634872,82944242.0,2.76,0.13,0.01,0.79
Lumen Technologies Inc,LUMN,2020-10-21,7.57,7.66,7.68,7.53,8940118,86031293.0,1.97,0.52,0.04,0.81
Lumen Technologies Inc,LUMN,2020-10-22,7.66,7.68,7.72,7.55,12042872,116269737.0,2.22,0.26,0.02,1.1
Lumen Technologies Inc,LUMN,2020-10-23,7.74,7.61,7.75,7.55,7411721,71387701.0,2.6,-0.91,-0.07,0.68
Lumen Technologies Inc,LUMN,2020-10-26,7.54,7.25,7.56,7.15,13554061,125814511.0,5.39,-4.73,-0.36,1.24
Lumen Technologies Inc,LUMN,2020-10-27,7.26,6.96,7.31,6.96,12182999,110435338.0,4.83,-4.0,-0.29,1.11
Lumen Technologies Inc,LUMN,2020-10-28,6.9,6.71,6.92,6.58,12436673,108433639.0,4.89,-3.59,-0.25,1.13
Lumen Technologies Inc,LUMN,2020-10-29,6.7,6.67,6.78,6.52,12001630,103978206.0,3.87,-0.6,-0.04,1.09
Lumen Technologies Inc,LUMN,2020-10-30,6.66,6.62,6.72,6.51,11144145,95690517.0,3.15,-0.75,-0.05,1.02
Lumen Technologies Inc,LUMN,2020-11-02,6.73,6.88,6.95,6.59,13357986,117880848.0,5.44,3.93,0.26,1.22
Lumen Technologies Inc,LUMN,2020-11-03,6.98,7.11,7.19,6.9,10728324,97457366.0,4.22,3.34,0.23,0.98
Lumen Technologies Inc,LUMN,2020-11-04,6.93,6.8,7.14,6.71,17473494,154276927.0,6.05,-4.36,-0.31,1.59
Lumen Technologies Inc,LUMN,2020-11-05,7.28,7.28,7.74,7.2,25046550,235890298.0,7.94,7.06,0.48,2.28
Lumen Technologies Inc,LUMN,2020-11-06,7.32,7.09,7.39,7.03,12335629,112805018.0,4.95,-2.61,-0.19,1.12
Lumen Technologies Inc,LUMN,2020-11-09,7.38,7.25,7.55,7.16,19468645,182126316.0,5.5,2.26,0.16,1.77
Lumen Technologies Inc,LUMN,2020-11-10,7.25,7.79,7.85,7.25,17308011,167318021.0,8.28,7.45,0.54,1.58
Lumen Technologies Inc,LUMN,2020-11-11,7.83,7.67,7.86,7.58,10195084,98762764.0,3.59,-1.54,-0.12,0.93
Lumen Technologies Inc,LUMN,2020-11-12,7.66,7.62,7.7,7.46,8412179,80584783.0,3.13,-0.65,-0.05,0.77
Lumen Technologies Inc,LUMN,2020-11-13,7.63,7.85,7.9,7.63,5632454,55117227.0,3.54,3.02,0.23,0.51
Lumen Technologies Inc,LUMN,2020-11-16,7.99,8.07,8.15,7.87,9663430,97123528.0,3.57,2.8,0.22,0.88
Lumen Technologies Inc,LUMN,2020-11-17,8.0,8.14,8.2,7.88,9659316,97684858.0,3.97,0.87,0.07,0.88
Lumen Technologies Inc,LUMN,2020-11-18,8.21,7.94,8.22,7.93,8031449,80795483.0,3.56,-2.46,-0.2,0.73
Lumen Technologies Inc,LUMN,2020-11-19,7.94,7.82,7.94,7.71,9530193,93377476.0,2.9,-1.51,-0.12,0.87
Lumen Technologies Inc,LUMN,2020-11-20,7.82,8.04,8.1,7.81,14069451,140782433.0,3.71,2.81,0.22,1.28
Lumen Technologies Inc,LUMN,2020-11-23,8.16,8.47,8.55,8.11,12037257,125103087.0,5.47,5.35,0.43,1.1
Lumen Technologies Inc,LUMN,2020-11-24,8.64,8.9,9.02,8.63,13541761,147615449.0,4.6,5.08,0.43,1.23
Lumen Technologies Inc,LUMN,2020-11-25,8.93,8.77,8.95,8.66,9089600,97803512.0,3.26,-1.46,-0.13,0.83
Lumen Technologies Inc,LUMN,2020-11-27,8.85,8.71,8.85,8.65,4241449,44443469.0,2.28,-0.68,-0.06,0.39
Lumen Technologies Inc,LUMN,2020-11-30,8.84,8.7,8.85,8.61,10618829,110989421.0,2.76,-0.11,-0.01,0.97
Lumen Technologies Inc,LUMN,2020-12-01,8.77,8.8,8.91,8.7,11116632,117161895.0,2.41,1.15,0.1,1.01
Lumen Technologies Inc,LUMN,2020-12-02,8.81,8.75,8.88,8.7,6176653,64978409.0,2.05,-0.57,-0.05,0.56
Lumen Technologies Inc,LUMN,2020-12-03,8.75,8.76,8.87,8.71,6968181,73389026.0,1.83,0.11,0.01,0.64
Lumen Technologies Inc,LUMN,2020-12-04,8.78,8.81,8.9,8.75,8411115,88829668.0,1.71,0.57,0.05,0.77
Lumen Technologies Inc,LUMN,2020-12-07,8.81,8.11,8.99,8.01,21218322,215392088.0,11.12,-7.95,-0.7,1.93
Lumen Technologies Inc,LUMN,2020-12-08,8.21,8.54,8.57,8.01,16039185,161905192.0,6.91,5.3,0.43,1.46
Lumen Technologies Inc,LUMN,2020-12-09,8.63,8.7,8.91,8.63,13571650,142524440.0,3.28,1.87,0.16,1.24
Lumen Technologies Inc,LUMN,2020-12-10,8.55,8.28,8.64,8.21,14166346,142467570.0,4.94,-4.83,-0.42,1.29
Lumen Technologies Inc,LUMN,2020-12-11,8.34,8.44,8.51,8.24,11492502,116816901.0,3.26,1.93,0.16,1.05
Lumen Technologies Inc,LUMN,2020-12-14,8.62,8.67,8.96,8.59,13700322,143953224.0,4.38,2.73,0.23,1.25
Lumen Technologies Inc,LUMN,2020-12-15,8.72,8.75,8.82,8.58,10795388,112997648.0,2.77,0.92,0.08,0.98
Lumen Technologies Inc,LUMN,2020-12-16,8.79,8.6,8.84,8.53,9330190,97040933.0,3.54,-1.71,-0.15,0.85
Lumen Technologies Inc,LUMN,2020-12-17,8.61,8.5,8.65,8.38,11629963,118824907.0,3.14,-1.16,-0.1,1.06
Lumen Technologies Inc,LUMN,2020-12-18,8.51,8.41,8.62,8.36,22170810,226070612.0,3.06,-1.06,-0.09,2.02
Lumen Technologies Inc,LUMN,2020-12-21,8.28,8.17,8.3,8.07,17636743,175023498.0,2.73,-2.85,-0.24,1.61
Lumen Technologies Inc,LUMN,2020-12-22,8.17,8.03,8.24,7.95,13103268,128184620.0,3.55,-1.71,-0.14,1.19
Lumen Technologies Inc,LUMN,2020-12-23,8.07,8.15,8.2,8.05,9480223,93547317.0,1.87,1.49,0.12,0.86
Lumen Technologies Inc,LUMN,2020-12-24,8.25,8.11,8.25,8.05,4775267,47167803.0,2.45,-0.49,-0.04,0.44
Lumen Technologies Inc,LUMN,2020-12-28,8.16,8.09,8.3,8.05,9972608,98539171.0,3.08,-0.25,-0.02,0.91
Lumen Technologies Inc,LUMN,2020-12-29,8.1,8.04,8.12,7.96,9508505,92933656.0,1.98,-0.62,-0.05,0.87
Lumen Technologies Inc,LUMN,2020-12-30,8.03,7.97,8.1,7.96,8638276,84288769.0,1.74,-0.87,-0.07,0.79
Lumen Technologies Inc,LUMN,2020-12-31,7.96,8.0,8.01,7.91,10278047,99821364.0,1.25,0.38,0.03,0.94
Lumen Technologies Inc,LUMN,2021-01-04,8.12,7.97,8.17,7.92,13250909,129379265.0,3.13,-0.38,-0.03,1.21
Lumen Technologies Inc,LUMN,2021-01-05,8.03,8.18,8.32,8.0,11260551,111854189.0,4.02,2.63,0.21,1.03
