股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
金沙集团,LVS,2004-12-15,18.33,22.99,25.88,18.08,2628100,0.0,143.65,323.39,17.56,0.75
金沙集团,LVS,2004-12-16,24.53,25.54,27.03,24.33,7799400,0.0,11.74,11.09,2.55,2.22
金沙集团,LVS,2004-12-17,25.54,29.43,29.68,24.54,4743500,0.0,20.13,15.23,3.89,1.35
金沙集团,LVS,2004-12-20,29.13,25.03,30.41,24.76,6065200,0.0,19.2,-14.95,-4.4,1.73
金沙集团,LVS,2004-12-21,25.03,23.81,25.61,22.03,3205900,0.0,14.3,-4.87,-1.22,0.91
金沙集团,LVS,2004-12-22,23.63,24.94,25.98,23.33,1833600,0.0,11.13,4.75,1.13,0.52
金沙集团,LVS,2004-12-23,25.04,24.93,25.78,24.73,633500,0.0,4.21,-0.04,-0.01,0.18
金沙集团,LVS,2004-12-27,24.94,24.08,25.44,23.34,800200,0.0,8.42,-3.41,-0.85,0.23
金沙集团,LVS,2004-12-28,23.88,24.53,24.73,22.93,1166600,0.0,7.48,1.87,0.45,0.33
金沙集团,LVS,2004-12-29,24.53,24.32,24.63,23.98,566400,0.0,2.65,-0.86,-0.21,0.16
金沙集团,LVS,2004-12-30,24.48,24.28,25.08,23.92,758300,0.0,4.77,-0.16,-0.04,0.22
金沙集团,LVS,2004-12-31,24.33,24.43,24.53,23.88,645000,0.0,2.68,0.62,0.15,0.18
金沙集团,LVS,2007-09-17,96.63,102.03,102.41,95.84,5327700,0.0,26.89,317.64,77.6,1.5
金沙集团,LVS,2007-09-18,102.68,108.08,108.68,101.43,9893300,0.0,7.11,5.93,6.05,2.79
金沙集团,LVS,2007-09-19,107.43,104.37,108.79,103.95,5829400,0.0,4.48,-3.43,-3.71,1.64
金沙集团,LVS,2007-09-20,103.43,107.7,108.62,102.64,4709098,0.0,5.73,3.19,3.33,1.33
金沙集团,LVS,2007-09-21,108.66,106.08,109.8,105.43,3455900,0.0,4.06,-1.5,-1.62,0.97
金沙集团,LVS,2007-09-24,108.39,115.77,116.98,108.13,5902500,0.0,8.34,9.13,9.69,1.66
金沙集团,LVS,2007-09-25,114.43,116.14,118.7,113.36,5397600,0.0,4.61,0.32,0.37,1.52
金沙集团,LVS,2007-09-26,117.27,112.37,117.29,111.98,3922736,0.0,4.57,-3.25,-3.77,1.11
金沙集团,LVS,2007-09-27,112.73,113.43,119.18,111.8,5535550,0.0,6.57,0.94,1.06,1.56
金沙集团,LVS,2007-09-28,113.38,109.85,115.43,106.95,5425300,0.0,7.48,-3.16,-3.58,1.53
金沙集团,LVS,2007-10-01,110.73,114.68,115.05,110.06,2613700,0.0,4.54,4.4,4.83,0.74
金沙集团,LVS,2007-10-02,115.48,120.99,122.0,115.48,5237400,0.0,5.69,5.5,6.31,1.47
金沙集团,LVS,2007-10-03,112.77,103.96,114.43,103.54,11202335,0.0,9.0,-14.08,-17.03,3.15
金沙集团,LVS,2007-10-04,103.44,104.82,106.18,98.38,7509800,0.0,7.5,0.83,0.86,2.11
金沙集团,LVS,2007-10-05,107.26,105.48,110.03,103.16,4401200,0.0,6.55,0.63,0.66,1.24
金沙集团,LVS,2007-10-08,106.03,108.43,109.72,103.73,2797600,0.0,5.68,2.8,2.95,0.79
金沙集团,LVS,2007-10-09,109.42,111.38,111.68,107.43,2914000,0.0,3.92,2.72,2.95,0.82
金沙集团,LVS,2007-10-10,111.42,114.21,115.18,110.93,3549400,0.0,3.82,2.54,2.83,1.0
金沙集团,LVS,2007-10-11,116.22,116.02,120.68,111.76,4438500,0.0,7.81,1.58,1.81,1.25
金沙集团,LVS,2007-10-12,116.45,114.68,117.23,113.02,2613700,0.0,3.63,-1.15,-1.34,0.74
金沙集团,LVS,2007-10-15,115.18,110.68,116.96,108.45,3481000,0.0,7.42,-3.49,-4.0,0.98
金沙集团,LVS,2007-10-16,109.43,108.62,112.73,108.59,3011370,0.0,3.74,-1.86,-2.06,0.85
金沙集团,LVS,2007-10-17,110.93,110.95,112.78,106.98,2474900,0.0,5.34,2.15,2.33,0.7
金沙集团,LVS,2007-10-18,109.43,107.41,109.74,107.1,2043700,0.0,2.38,-3.19,-3.54,0.58
金沙集团,LVS,2007-10-19,107.18,102.55,107.63,101.43,3171000,0.0,5.77,-4.52,-4.86,0.89
金沙集团,LVS,2007-10-22,101.43,105.56,106.15,99.45,1768600,0.0,6.53,2.94,3.01,0.5
金沙集团,LVS,2007-10-23,107.43,110.31,110.53,106.95,1630700,0.0,3.39,4.5,4.75,0.46
金沙集团,LVS,2007-10-24,109.93,110.08,112.23,105.69,2470700,0.0,5.93,-0.21,-0.23,0.7
金沙集团,LVS,2007-10-25,110.03,111.15,113.34,108.66,2345100,0.0,4.25,0.97,1.07,0.66
金沙集团,LVS,2007-10-26,113.08,115.36,115.45,111.93,1882100,0.0,3.17,3.79,4.21,0.53
金沙集团,LVS,2007-10-29,116.38,120.58,125.19,113.91,3315600,0.0,9.78,4.52,5.22,0.93
金沙集团,LVS,2007-10-30,118.09,114.46,120.88,113.55,2744800,0.0,6.08,-5.08,-6.12,0.77
金沙集团,LVS,2007-10-31,107.34,109.51,111.78,106.68,3351600,0.0,4.46,-4.32,-4.95,0.94
金沙集团,LVS,2007-11-01,108.76,101.73,109.32,100.32,5617900,0.0,8.22,-7.1,-7.78,1.58
金沙集团,LVS,2007-11-02,86.74,93.2,93.63,85.32,11262816,0.0,8.17,-8.38,-8.53,3.17
