股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
蓝威斯顿控股,LW,2016-11-10,25.77,24.06,26.08,23.55,34989680,0.0,0.0,0.0,0.0,23.96
蓝威斯顿控股,LW,2016-11-11,23.53,23.62,23.82,22.58,5993313,0.0,5.15,-1.83,-0.44,4.1
蓝威斯顿控股,LW,2016-11-14,23.07,23.92,24.16,22.48,4481901,0.0,7.11,1.27,0.3,3.07
蓝威斯顿控股,LW,2016-11-15,23.37,24.16,24.43,23.35,3667256,0.0,4.52,1.0,0.24,2.51
蓝威斯顿控股,LW,2016-11-16,24.5,25.43,25.77,24.34,4342310,0.0,5.92,5.26,1.27,2.97
蓝威斯顿控股,LW,2016-11-17,25.13,26.24,26.79,24.36,5252133,0.0,9.56,3.19,0.81,3.6
蓝威斯顿控股,LW,2016-11-18,25.87,26.41,26.83,25.52,4253280,0.0,4.99,0.65,0.17,2.91
蓝威斯顿控股,LW,2016-11-21,25.99,25.47,26.23,25.02,5036577,0.0,4.58,-3.56,-0.94,3.45
蓝威斯顿控股,LW,2016-11-22,25.25,26.43,26.88,24.16,5601830,0.0,10.68,3.77,0.96,3.84
蓝威斯顿控股,LW,2016-11-23,26.43,26.75,27.2,26.23,3620409,0.0,3.67,1.21,0.32,2.48
蓝威斯顿控股,LW,2016-11-25,26.49,26.32,26.51,26.0,827809,0.0,1.91,-1.61,-0.43,0.57
蓝威斯顿控股,LW,2016-11-28,26.0,26.47,27.23,25.9,1928533,0.0,5.05,0.57,0.15,1.32
蓝威斯顿控股,LW,2016-11-29,26.78,26.92,27.09,26.45,2139479,0.0,2.42,1.7,0.45,1.46
蓝威斯顿控股,LW,2016-11-30,26.99,27.21,28.03,26.73,2764920,0.0,4.83,1.08,0.29,1.89
蓝威斯顿控股,LW,2016-12-01,26.77,26.24,26.99,25.91,2914939,0.0,3.97,-3.56,-0.97,2.0
蓝威斯顿控股,LW,2016-12-02,25.89,26.72,26.94,25.74,1213120,0.0,4.57,1.83,0.48,0.83
蓝威斯顿控股,LW,2016-12-05,26.6,27.38,27.49,26.48,2004735,0.0,3.78,2.47,0.66,1.37
蓝威斯顿控股,LW,2016-12-06,27.18,27.55,27.59,26.94,1622915,0.0,2.37,0.62,0.17,1.11
蓝威斯顿控股,LW,2016-12-07,27.8,28.48,28.71,27.73,3809431,0.0,3.56,3.38,0.93,2.61
蓝威斯顿控股,LW,2016-12-08,28.64,29.66,29.73,28.34,2602986,0.0,4.88,4.14,1.18,1.78
蓝威斯顿控股,LW,2016-12-09,29.55,30.11,30.24,29.33,1993074,0.0,3.07,1.52,0.45,1.36
蓝威斯顿控股,LW,2016-12-12,30.11,30.46,30.94,30.04,1258339,0.0,2.99,1.16,0.35,0.86
蓝威斯顿控股,LW,2016-12-13,30.7,30.31,30.82,29.4,1814477,0.0,4.66,-0.49,-0.15,1.24
蓝威斯顿控股,LW,2016-12-14,30.35,28.88,30.73,28.7,3886277,0.0,6.7,-4.72,-1.43,2.66
蓝威斯顿控股,LW,2016-12-15,28.79,28.11,28.99,27.88,1555074,0.0,3.84,-2.67,-0.77,1.06
蓝威斯顿控股,LW,2016-12-16,28.07,28.99,29.2,28.01,3783968,0.0,4.23,3.13,0.88,2.59
蓝威斯顿控股,LW,2016-12-19,29.04,28.21,29.57,28.0,1983266,0.0,5.42,-2.69,-0.78,1.36
蓝威斯顿控股,LW,2016-12-20,27.95,28.68,28.84,27.93,944998,0.0,3.23,1.67,0.47,0.65
蓝威斯顿控股,LW,2016-12-21,28.37,28.75,28.95,28.19,703934,0.0,2.65,0.24,0.07,0.48
蓝威斯顿控股,LW,2016-12-22,28.73,30.06,30.35,28.53,1438479,0.0,6.33,4.56,1.31,0.98
蓝威斯顿控股,LW,2016-12-23,30.14,30.58,30.8,29.7,888289,0.0,3.66,1.73,0.52,0.61
蓝威斯顿控股,LW,2016-12-27,30.38,31.07,31.22,30.34,822236,0.0,2.88,1.6,0.49,0.56
蓝威斯顿控股,LW,2016-12-28,30.98,30.96,31.39,30.74,534220,0.0,2.09,-0.35,-0.11,0.37
蓝威斯顿控股,LW,2016-12-29,31.1,31.5,31.69,30.87,658516,0.0,2.65,1.74,0.54,0.45
蓝威斯顿控股,LW,2016-12-30,31.47,31.58,32.25,31.4,773230,0.0,2.7,0.25,0.08,0.53
蓝威斯顿控股,LW,2017-01-03,31.44,31.22,32.33,31.09,2006963,0.0,3.93,-1.14,-0.36,1.37
蓝威斯顿控股,LW,2017-01-04,31.4,30.71,32.14,30.15,1712669,0.0,6.37,-1.63,-0.51,1.17
蓝威斯顿控股,LW,2017-01-05,30.71,30.35,31.44,30.21,1099591,0.0,4.01,-1.17,-0.36,0.75
蓝威斯顿控股,LW,2017-01-06,30.15,30.56,30.69,29.79,1367990,0.0,2.97,0.69,0.21,0.94
蓝威斯顿控股,LW,2017-01-09,30.54,30.62,30.82,29.83,1333756,0.0,3.24,0.2,0.06,0.91
蓝威斯顿控股,LW,2017-01-10,32.52,30.57,32.69,29.92,3712586,0.0,9.05,-0.16,-0.05,2.54
蓝威斯顿控股,LW,2017-01-11,30.43,30.62,30.93,29.75,2184374,0.0,3.86,0.16,0.05,1.5
蓝威斯顿控股,LW,2017-01-12,30.42,30.69,30.74,29.85,1235201,0.0,2.91,0.23,0.07,0.85
蓝威斯顿控股,LW,2017-01-13,30.62,30.95,31.03,30.28,1010164,0.0,2.44,0.85,0.26,0.69
蓝威斯顿控股,LW,2017-01-17,30.87,30.62,30.95,30.48,1907181,0.0,1.52,-1.07,-0.33,1.31
蓝威斯顿控股,LW,2017-01-18,30.48,30.37,30.61,30.14,1214200,0.0,1.53,-0.82,-0.25,0.83
蓝威斯顿控股,LW,2017-01-19,30.52,30.69,30.73,30.06,890406,0.0,2.21,1.05,0.32,0.61
蓝威斯顿控股,LW,2017-01-20,30.68,30.84,31.29,30.5,1337042,0.0,2.57,0.49,0.15,0.92
蓝威斯顿控股,LW,2017-01-23,30.71,30.5,31.15,30.19,2035285,0.0,3.11,-1.1,-0.34,1.39
蓝威斯顿控股,LW,2017-01-24,30.39,31.22,31.4,30.32,1199629,0.0,3.54,2.36,0.72,0.82
蓝威斯顿控股,LW,2017-01-25,31.18,30.4,31.53,30.17,1183305,0.0,4.36,-2.63,-0.82,0.81
蓝威斯顿控股,LW,2017-01-26,30.3,30.24,30.78,30.16,1015269,0.0,2.04,-0.53,-0.16,0.7
蓝威斯顿控股,LW,2017-01-27,30.31,30.35,30.45,29.72,1088390,0.0,2.41,0.36,0.11,0.75
蓝威斯顿控股,LW,2017-01-30,30.11,30.69,30.84,30.11,912896,0.0,2.41,1.12,0.34,0.63
蓝威斯顿控股,LW,2017-01-31,30.59,31.27,31.46,30.59,1625296,0.0,2.83,1.89,0.58,1.11
蓝威斯顿控股,LW,2017-02-01,31.49,31.68,31.88,31.07,2212174,0.0,2.59,1.31,0.41,1.51
蓝威斯顿控股,LW,2017-02-02,31.61,32.33,32.72,31.52,2496332,0.0,3.79,2.05,0.65,1.71
蓝威斯顿控股,LW,2017-02-03,32.4,32.81,33.38,32.37,1495201,0.0,3.12,1.48,0.48,1.02
蓝威斯顿控股,LW,2017-02-06,33.04,33.15,33.26,32.63,1097753,0.0,1.92,1.04,0.34,0.75
蓝威斯顿控股,LW,2017-02-07,33.16,33.32,33.71,32.89,1362245,0.0,2.47,0.51,0.17,0.93
蓝威斯顿控股,LW,2017-02-08,33.19,33.07,33.6,32.49,1575213,0.0,3.33,-0.75,-0.25,1.08
蓝威斯顿控股,LW,2017-02-09,32.97,32.99,33.43,32.6,1138886,0.0,2.51,-0.24,-0.08,0.78
蓝威斯顿控股,LW,2017-02-10,32.91,33.18,33.48,32.51,868909,0.0,2.94,0.58,0.19,0.59
蓝威斯顿控股,LW,2017-02-13,33.15,33.34,33.62,32.74,1128260,0.0,2.65,0.48,0.16,0.77
蓝威斯顿控股,LW,2017-02-14,33.24,33.56,33.65,33.16,1098381,0.0,1.47,0.66,0.22,0.75
