股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
利安德巴塞尔工业,LYB,2011-01-26,-19.72,-19.5,-19.25,-19.96,2305522,0.0,0.0,0.0,0.0,0.41
利安德巴塞尔工业,LYB,2011-01-27,-19.44,-19.3,-18.99,-19.68,2713380,0.0,-3.54,1.03,0.2,0.48
利安德巴塞尔工业,LYB,2011-01-28,-19.2,-20.64,-19.02,-20.88,1954556,0.0,-9.64,-6.94,-1.34,0.35
利安德巴塞尔工业,LYB,2011-01-31,-20.73,-19.56,-19.46,-20.73,2237049,0.0,-6.15,5.23,1.08,0.4
利安德巴塞尔工业,LYB,2011-02-01,-19.31,-18.66,-18.5,-19.53,2814403,0.0,-5.27,4.6,0.9,0.5
利安德巴塞尔工业,LYB,2011-02-02,-18.99,-18.95,-18.62,-19.33,1494182,0.0,-3.8,-1.55,-0.29,0.26
利安德巴塞尔工业,LYB,2011-02-03,-18.67,-19.38,-18.06,-19.5,3665477,0.0,-7.6,-2.27,-0.43,0.65
利安德巴塞尔工业,LYB,2011-02-04,-19.06,-19.33,-18.74,-20.16,4084884,0.0,-7.33,0.26,0.05,0.72
利安德巴塞尔工业,LYB,2011-02-07,-19.01,-19.98,-18.73,-20.21,4454843,0.0,-7.66,-3.36,-0.65,0.79
利安德巴塞尔工业,LYB,2011-02-08,-19.73,-20.02,-19.65,-21.14,5050274,0.0,-7.46,-0.2,-0.04,0.89
利安德巴塞尔工业,LYB,2011-02-09,-20.26,-19.66,-19.55,-20.91,5175381,0.0,-6.79,1.8,0.36,0.92
利安德巴塞尔工业,LYB,2011-02-10,-20.17,-18.75,-18.67,-20.17,2787505,0.0,-7.63,4.63,0.91,0.49
利安德巴塞尔工业,LYB,2011-02-11,-19.33,-18.43,-16.61,-19.74,4582436,0.0,-16.69,1.71,0.32,0.81
利安德巴塞尔工业,LYB,2011-02-14,-18.08,-18.1,-18.06,-18.69,2721125,0.0,-3.42,1.79,0.33,0.48
