股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Live Nation Entertainment Inc,LYV,2009-09-16,7.17,7.39,7.41,7.09,640255,0.0,0.0,0.0,0.0,0.82
Live Nation Entertainment Inc,LYV,2009-09-17,7.17,7.39,7.41,7.09,640255,0.0,4.33,0.0,0.0,0.82
Live Nation Entertainment Inc,LYV,2009-09-18,7.17,7.39,7.41,7.09,640255,0.0,4.33,0.0,0.0,0.82
Live Nation Entertainment Inc,LYV,2009-09-21,8.49,8.5,8.67,8.33,317603,0.0,4.6,15.02,1.11,0.41
Live Nation Entertainment Inc,LYV,2009-09-22,8.62,8.62,8.88,8.49,377890,0.0,4.59,1.41,0.12,0.48
Live Nation Entertainment Inc,LYV,2009-09-23,8.61,8.54,8.81,8.52,412570,0.0,3.36,-0.93,-0.08,0.53
Live Nation Entertainment Inc,LYV,2009-09-24,8.51,8.2,8.58,8.02,585345,0.0,6.56,-3.98,-0.34,0.75
Live Nation Entertainment Inc,LYV,2009-09-25,8.1,8.11,8.23,7.81,227512,0.0,5.12,-1.1,-0.09,0.29
Live Nation Entertainment Inc,LYV,2009-09-28,8.1,8.11,8.23,7.81,227512,0.0,5.18,0.0,0.0,0.29
Live Nation Entertainment Inc,LYV,2009-09-29,8.27,8.35,8.43,8.17,357923,0.0,3.21,2.96,0.24,0.46
Live Nation Entertainment Inc,LYV,2009-09-30,8.33,8.19,8.38,7.92,694088,0.0,5.51,-1.92,-0.16,0.89
Live Nation Entertainment Inc,LYV,2009-10-01,8.08,7.6,8.19,7.59,617435,0.0,7.33,-7.2,-0.59,0.79
Live Nation Entertainment Inc,LYV,2009-10-02,7.48,7.7,7.87,7.38,519931,0.0,6.45,1.32,0.1,0.66
Live Nation Entertainment Inc,LYV,2009-10-05,7.77,8.27,8.31,7.58,679179,0.0,9.48,7.4,0.57,0.87
Live Nation Entertainment Inc,LYV,2009-10-06,8.27,8.44,8.58,8.26,793379,0.0,3.87,2.06,0.17,1.01
Live Nation Entertainment Inc,LYV,2009-10-07,8.4,8.62,8.64,8.37,475584,0.0,3.2,2.13,0.18,0.61
Live Nation Entertainment Inc,LYV,2009-10-08,8.33,8.14,8.84,7.86,3347888,0.0,11.37,-5.57,-0.48,4.28
Live Nation Entertainment Inc,LYV,2009-10-09,8.05,8.25,8.25,7.93,1104433,0.0,3.93,1.35,0.11,1.41
Live Nation Entertainment Inc,LYV,2009-10-12,8.39,8.3,8.63,8.29,420812,0.0,4.12,0.61,0.05,0.54
Live Nation Entertainment Inc,LYV,2009-10-13,8.3,8.32,8.44,8.24,490857,0.0,2.41,0.24,0.02,0.63
Live Nation Entertainment Inc,LYV,2009-10-14,8.48,8.16,8.49,7.99,954416,0.0,6.01,-1.92,-0.16,1.22
Live Nation Entertainment Inc,LYV,2009-10-15,8.1,7.96,8.19,7.95,911569,0.0,2.94,-2.45,-0.2,1.16
Live Nation Entertainment Inc,LYV,2009-10-16,7.86,7.87,7.98,7.79,747481,0.0,2.39,-1.13,-0.09,0.95
Live Nation Entertainment Inc,LYV,2009-10-19,7.82,7.82,7.94,7.67,711278,0.0,3.43,-0.64,-0.05,0.91
Live Nation Entertainment Inc,LYV,2009-10-20,7.8,7.66,7.87,7.64,383852,0.0,2.94,-2.05,-0.16,0.49
Live Nation Entertainment Inc,LYV,2009-10-21,7.64,7.43,8.09,7.39,475140,0.0,9.14,-3.0,-0.23,0.61
Live Nation Entertainment Inc,LYV,2009-10-22,7.43,7.73,7.83,7.25,594522,0.0,7.81,4.04,0.3,0.76
Live Nation Entertainment Inc,LYV,2009-10-23,7.74,7.38,7.98,7.33,641479,0.0,8.41,-4.53,-0.35,0.82
Live Nation Entertainment Inc,LYV,2009-10-26,7.41,7.19,7.71,7.19,686006,0.0,7.05,-2.57,-0.19,0.88
Live Nation Entertainment Inc,LYV,2009-10-27,7.25,7.21,7.4,7.17,566709,0.0,3.2,0.28,0.02,0.72
Live Nation Entertainment Inc,LYV,2009-10-28,7.18,6.78,7.34,6.76,782404,0.0,8.04,-5.96,-0.43,1.0
Live Nation Entertainment Inc,LYV,2009-10-29,6.85,6.95,7.02,6.64,1029693,0.0,5.6,2.51,0.17,1.32
Live Nation Entertainment Inc,LYV,2009-10-30,6.89,6.66,6.94,6.59,717620,0.0,5.04,-4.17,-0.29,0.92
Live Nation Entertainment Inc,LYV,2009-11-02,6.74,6.63,6.95,6.49,465927,0.0,6.91,-0.45,-0.03,0.6
Live Nation Entertainment Inc,LYV,2009-11-03,6.63,6.87,6.94,6.33,392643,0.0,9.2,3.62,0.24,0.5
Live Nation Entertainment Inc,LYV,2009-11-04,6.95,6.79,7.06,6.77,353915,0.0,4.22,-1.16,-0.08,0.45
Live Nation Entertainment Inc,LYV,2009-11-05,6.86,7.1,7.12,6.81,244394,0.0,4.57,4.57,0.31,0.31
Live Nation Entertainment Inc,LYV,2009-11-06,7.0,6.95,7.22,6.88,455305,0.0,4.79,-2.11,-0.15,0.58
Live Nation Entertainment Inc,LYV,2009-11-09,7.15,7.26,7.29,7.03,305325,0.0,3.74,4.46,0.31,0.39
Live Nation Entertainment Inc,LYV,2009-11-10,7.29,7.96,8.15,7.27,668322,0.0,12.12,9.64,0.7,0.85
Live Nation Entertainment Inc,LYV,2009-11-11,8.0,7.94,8.13,7.77,373780,0.0,4.52,-0.25,-0.02,0.48
Live Nation Entertainment Inc,LYV,2009-11-12,7.93,7.71,7.99,7.58,418309,0.0,5.16,-2.9,-0.23,0.53
Live Nation Entertainment Inc,LYV,2009-11-13,7.75,7.67,7.83,7.58,304612,0.0,3.24,-0.52,-0.04,0.39
Live Nation Entertainment Inc,LYV,2009-11-16,7.82,7.93,8.03,7.71,496410,0.0,4.17,3.39,0.26,0.63
Live Nation Entertainment Inc,LYV,2009-11-17,7.81,7.99,8.07,7.8,599483,0.0,3.4,0.76,0.06,0.77
Live Nation Entertainment Inc,LYV,2009-11-18,7.95,7.77,8.01,7.68,378862,0.0,4.13,-2.75,-0.22,0.48
Live Nation Entertainment Inc,LYV,2009-11-19,7.67,7.45,7.75,7.4,522674,0.0,4.5,-4.12,-0.32,0.67
Live Nation Entertainment Inc,LYV,2009-11-20,7.38,7.36,7.46,7.27,359339,0.0,2.55,-1.21,-0.09,0.46
Live Nation Entertainment Inc,LYV,2009-11-23,7.53,7.69,7.8,7.53,398258,0.0,3.67,4.48,0.33,0.51
Live Nation Entertainment Inc,LYV,2009-11-24,7.68,7.57,7.68,7.32,657585,0.0,4.68,-1.56,-0.12,0.84
Live Nation Entertainment Inc,LYV,2009-11-25,7.6,7.32,7.67,7.25,434049,0.0,5.55,-3.3,-0.25,0.55
Live Nation Entertainment Inc,LYV,2009-11-27,7.08,7.21,7.4,7.08,338738,0.0,4.37,-1.5,-0.11,0.43
