股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
万事达,MA,2007-03-19,-3.35,-3.21,-3.14,-3.35,2312000,0.0,-2.1,67.96,6.81,1.71
万事达,MA,2007-03-20,-3.2,-3.15,-3.11,-3.26,1620800,0.0,-4.67,1.87,0.06,1.2
万事达,MA,2007-03-21,-3.17,-2.83,-2.67,-3.22,3808500,0.0,-17.46,10.16,0.32,2.82
万事达,MA,2007-03-22,-2.8,-2.94,-2.8,-3.0,1325369,0.0,-7.07,-3.89,-0.11,0.98
万事达,MA,2007-03-23,-2.95,-2.91,-2.9,-3.0,634724,0.0,-3.4,1.02,0.03,0.47
万事达,MA,2007-03-26,-3.03,-3.05,-2.98,-3.14,1704320,0.0,-5.5,-4.81,-0.14,1.26
万事达,MA,2007-03-27,-3.06,-3.18,-3.06,-3.25,1470780,0.0,-6.23,-4.26,-0.13,1.09
万事达,MA,2007-03-28,-3.24,-3.23,-3.11,-3.32,1478051,0.0,-6.6,-1.57,-0.05,1.09
万事达,MA,2007-03-29,-3.16,-3.18,-3.13,-3.33,785589,0.0,-6.19,1.55,0.05,0.58
万事达,MA,2007-03-30,-3.17,-3.28,-3.1,-3.32,757714,0.0,-6.92,-3.14,-0.1,0.56
万事达,MA,2007-04-02,-3.19,-3.2,-3.12,-3.31,1763211,0.0,-5.79,2.44,0.08,1.31
万事达,MA,2007-04-03,-3.03,-3.05,-2.96,-3.09,1540250,0.0,-4.06,4.69,0.15,1.14
万事达,MA,2007-04-04,-3.0,-3.16,-2.99,-3.26,1940300,0.0,-8.85,-3.61,-0.11,1.44
万事达,MA,2007-04-05,-3.13,-3.08,-3.05,-3.15,555948,0.0,-3.16,2.53,0.08,0.41
万事达,MA,2007-04-09,-3.05,-3.05,-3.01,-3.17,612379,0.0,-5.19,0.97,0.03,0.45
万事达,MA,2007-04-10,-3.0,-2.88,-2.75,-3.11,2653064,0.0,-11.8,5.57,0.17,1.96
万事达,MA,2007-04-11,-2.88,-2.9,-2.83,-2.99,1103400,0.0,-5.56,-0.69,-0.02,0.82
万事达,MA,2007-04-12,-2.93,-2.9,-2.86,-3.0,776134,0.0,-4.83,0.0,0.0,0.57
万事达,MA,2007-04-13,-2.89,-2.95,-2.78,-3.0,761166,0.0,-7.59,-1.72,-0.05,0.56
万事达,MA,2007-04-16,-2.89,-2.95,-2.87,-3.03,1202300,0.0,-5.42,0.0,0.0,0.89
万事达,MA,2007-04-17,-2.93,-2.92,-2.81,-2.99,954624,0.0,-6.1,1.02,0.03,0.71
万事达,MA,2007-04-18,-2.92,-2.96,-2.88,-2.98,845860,0.0,-3.42,-1.37,-0.04,0.63
万事达,MA,2007-04-19,-3.0,-2.95,-2.87,-3.07,679993,0.0,-6.76,0.34,0.01,0.5
万事达,MA,2007-04-20,-2.86,-2.88,-2.8,-2.96,1100858,0.0,-5.42,2.37,0.07,0.81
万事达,MA,2007-04-23,-2.89,-2.88,-2.83,-2.94,1349898,0.0,-3.82,0.0,0.0,1.0
万事达,MA,2007-04-24,-2.89,-3.08,-2.88,-3.12,1193000,0.0,-8.33,-6.94,-0.2,0.88
万事达,MA,2007-04-25,-3.06,-2.95,-2.93,-3.12,1020800,0.0,-6.17,4.22,0.13,0.76
万事达,MA,2007-04-26,-2.94,-3.03,-2.84,-3.08,982111,0.0,-8.14,-2.71,-0.08,0.73
万事达,MA,2007-04-27,-3.06,-2.48,-2.42,-3.09,4306488,0.0,-22.11,18.15,0.55,3.19
万事达,MA,2007-04-30,-2.46,-2.72,-2.09,-2.74,3871170,0.0,-26.21,-9.68,-0.24,2.87
万事达,MA,2007-05-01,-2.77,-2.4,-2.33,-2.78,3436166,0.0,-16.54,11.76,0.32,2.54
万事达,MA,2007-05-02,-1.32,-1.25,-0.87,-1.46,16045004,0.0,-24.58,47.92,1.15,11.88
万事达,MA,2007-05-03,-1.18,-0.4,-0.37,-1.24,8502103,0.0,-69.6,68.0,0.85,6.29
万事达,MA,2007-05-04,-0.31,-0.42,-0.29,-0.68,4495230,0.0,-97.5,-5.0,-0.02,3.33
万事达,MA,2007-05-07,-0.46,-0.47,-0.01,-0.6,4431230,0.0,-140.48,-11.9,-0.05,3.28
万事达,MA,2007-05-08,-0.34,-0.18,-0.17,-0.54,3248380,0.0,-78.72,61.7,0.29,2.4
万事达,MA,2007-05-09,-0.19,0.07,0.35,-0.25,4185700,0.0,-333.33,138.89,0.25,3.1
万事达,MA,2007-05-10,0.16,0.0,0.44,-0.09,4998409,0.0,757.14,-100.0,-0.07,3.7
万事达,MA,2007-05-11,0.03,0.0,0.34,-0.37,5975029,0.0,-23567.44,0.0,0.0,4.42
万事达,MA,2007-05-14,0.0,-0.35,0.07,-0.43,3919701,0.0,-25001.23,0.0,-0.35,2.9
万事达,MA,2007-05-15,-0.42,-0.34,-0.04,-0.49,2301293,0.0,-128.57,2.86,0.01,1.7
万事达,MA,2007-05-16,-0.34,-0.27,-0.21,-0.53,2208756,0.0,-94.12,20.59,0.07,1.64
万事达,MA,2007-05-17,-0.26,-0.28,-0.09,-0.37,1515850,0.0,-103.7,-3.7,-0.01,1.12
