股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
麦当劳,MCD,2000-01-03,-24.57,-24.88,-24.45,-25.57,4520600,0.0,-4.63,-2.81,-0.68,0.33
麦当劳,MCD,2000-01-04,-25.2,-25.7,-24.95,-26.13,4216500,0.0,-4.74,-3.3,-0.82,0.31
麦当劳,MCD,2000-01-05,-25.7,-25.07,-24.13,-25.7,5231600,0.0,-6.11,2.45,0.63,0.39
麦当劳,MCD,2000-01-06,-25.38,-25.63,-25.13,-25.82,4809400,0.0,-2.75,-2.23,-0.56,0.36
麦当劳,MCD,2000-01-07,-25.51,-24.63,-24.51,-25.63,5124700,0.0,-4.37,3.9,1.0,0.38
麦当劳,MCD,2000-01-10,-24.51,-24.45,-23.51,-24.76,4113900,0.0,-5.08,0.73,0.18,0.3
麦当劳,MCD,2000-01-11,-24.38,-23.51,-23.01,-24.38,5440200,0.0,-5.6,3.84,0.94,0.4
麦当劳,MCD,2000-01-12,-23.57,-21.76,-21.45,-23.88,8090000,0.0,-10.34,7.44,1.75,0.6
麦当劳,MCD,2000-01-13,-21.82,-22.2,-20.88,-22.63,5700200,0.0,-8.04,-2.02,-0.44,0.42
麦当劳,MCD,2000-01-14,-21.7,-21.9,-21.7,-22.63,3365400,0.0,-4.19,1.35,0.3,0.25
麦当劳,MCD,2000-01-18,-22.13,-23.01,-22.01,-23.32,3401100,0.0,-5.98,-5.07,-1.11,0.25
麦当劳,MCD,2000-01-19,-23.51,-22.13,-21.88,-23.51,3344700,0.0,-7.08,3.82,0.88,0.25
麦当劳,MCD,2000-01-20,-21.95,-21.95,-21.95,-23.51,3309700,0.0,-7.05,0.81,0.18,0.25
麦当劳,MCD,2000-01-21,-22.88,-23.45,-22.63,-24.07,3722600,0.0,-6.56,-6.83,-1.5,0.28
麦当劳,MCD,2000-01-24,-23.26,-25.01,-23.07,-25.01,3593500,0.0,-8.27,-6.65,-1.56,0.27
麦当劳,MCD,2000-01-25,-24.76,-24.7,-24.26,-25.32,3304500,0.0,-4.24,1.24,0.31,0.24
麦当劳,MCD,2000-01-26,-24.88,-28.76,-24.88,-29.82,16703200,0.0,-20.0,-16.44,-4.06,1.24
麦当劳,MCD,2000-01-27,-28.51,-26.88,-26.57,-28.63,12082200,0.0,-7.16,6.54,1.88,0.89
麦当劳,MCD,2000-01-28,-27.38,-27.76,-27.07,-28.13,4444200,0.0,-3.94,-3.27,-0.88,0.33
麦当劳,MCD,2000-01-31,-27.26,-27.13,-26.51,-27.38,4838300,0.0,-3.13,2.27,0.63,0.36
麦当劳,MCD,2000-02-01,-27.07,-27.88,-26.95,-28.01,4679500,0.0,-3.91,-2.76,-0.75,0.35
麦当劳,MCD,2000-02-02,-27.88,-29.01,-27.76,-29.13,5769100,0.0,-4.91,-4.05,-1.13,0.43
麦当劳,MCD,2000-02-03,-28.95,-29.51,-28.32,-30.07,9225700,0.0,-6.03,-1.72,-0.5,0.68
麦当劳,MCD,2000-02-04,-28.63,-29.38,-28.63,-29.88,7752200,0.0,-4.24,0.44,0.13,0.57
麦当劳,MCD,2000-02-07,-29.26,-29.57,-28.88,-30.51,9992900,0.0,-5.55,-0.65,-0.19,0.74
麦当劳,MCD,2000-02-08,-28.51,-28.2,-26.88,-29.01,12144800,0.0,-7.2,4.63,1.37,0.9
麦当劳,MCD,2000-02-09,-27.82,-28.63,-27.82,-29.13,5915400,0.0,-4.65,-1.52,-0.43,0.44
麦当劳,MCD,2000-02-10,-29.01,-29.01,-28.26,-29.38,5353400,0.0,-3.91,-1.33,-0.38,0.4
麦当劳,MCD,2000-02-11,-29.45,-29.57,-29.07,-29.7,3920500,0.0,-2.17,-1.93,-0.56,0.29
麦当劳,MCD,2000-02-14,-29.2,-30.63,-29.2,-31.2,4426400,0.0,-6.76,-3.58,-1.06,0.33
麦当劳,MCD,2000-02-15,-30.76,-30.76,-30.38,-31.07,4669200,0.0,-2.25,-0.42,-0.13,0.35
麦当劳,MCD,2000-02-16,-30.76,-31.13,-30.07,-31.26,3804900,0.0,-3.87,-1.2,-0.37,0.28
麦当劳,MCD,2000-02-17,-30.95,-30.76,-30.45,-31.13,4272000,0.0,-2.18,1.19,0.37,0.32
麦当劳,MCD,2000-02-18,-30.95,-32.01,-30.82,-32.2,5494900,0.0,-4.49,-4.06,-1.25,0.41
麦当劳,MCD,2000-02-22,-32.26,-32.2,-31.32,-32.32,4479500,0.0,-3.12,-0.59,-0.19,0.33
麦当劳,MCD,2000-02-23,-32.07,-31.88,-31.13,-32.13,4927400,0.0,-3.11,0.99,0.32,0.37
麦当劳,MCD,2000-02-24,-32.38,-33.14,-32.13,-33.51,6154300,0.0,-4.33,-3.95,-1.26,0.46
麦当劳,MCD,2000-02-25,-33.01,-33.51,-32.7,-33.76,4551200,0.0,-3.2,-1.12,-0.37,0.34
麦当劳,MCD,2000-02-28,-33.26,-33.39,-32.82,-33.89,3880600,0.0,-3.19,0.36,0.12,0.29
麦当劳,MCD,2000-02-29,-32.76,-32.76,-32.07,-32.95,4883900,0.0,-2.64,1.89,0.63,0.36
麦当劳,MCD,2000-03-01,-32.64,-33.26,-32.57,-33.39,4969800,0.0,-2.5,-1.53,-0.5,0.37
麦当劳,MCD,2000-03-02,-33.39,-33.64,-33.07,-33.76,4884600,0.0,-2.07,-1.14,-0.38,0.36
麦当劳,MCD,2000-03-03,-33.51,-32.2,-32.2,-33.95,5193900,0.0,-5.2,4.28,1.44,0.38
麦当劳,MCD,2000-03-06,-32.01,-32.95,-32.01,-33.39,4175100,0.0,-4.29,-2.33,-0.75,0.31
麦当劳,MCD,2000-03-07,-33.01,-34.64,-32.95,-34.7,6183300,0.0,-5.31,-5.13,-1.69,0.46
麦当劳,MCD,2000-03-08,-34.14,-33.76,-33.26,-34.51,4015900,0.0,-3.61,2.54,0.88,0.3
麦当劳,MCD,2000-03-09,-33.89,-32.51,-32.51,-34.51,4779200,0.0,-5.92,3.7,1.25,0.35
麦当劳,MCD,2000-03-10,-33.07,-32.76,-32.13,-33.51,4819200,0.0,-4.24,-0.77,-0.25,0.36
