股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
麦克森,MCK,2000-01-03,1.79,2.22,2.41,0.98,1810300,0.0,110.85,72.09,0.93,0.64
麦克森,MCK,2000-01-04,1.91,0.73,1.91,0.54,1153400,0.0,61.71,-67.12,-1.49,0.41
麦克森,MCK,2000-01-05,0.85,0.98,1.17,0.29,1309500,0.0,120.55,34.25,0.25,0.47
麦克森,MCK,2000-01-06,0.92,2.54,3.03,0.85,2030600,0.0,222.45,159.18,1.56,0.72
麦克森,MCK,2000-01-07,2.72,2.29,3.03,2.04,1195700,0.0,38.98,-9.84,-0.25,0.43
麦克森,MCK,2000-01-10,4.28,2.79,4.65,2.79,2476300,0.0,81.22,21.83,0.5,0.88
麦克森,MCK,2000-01-11,4.03,5.78,6.84,3.78,5369300,0.0,109.68,107.17,2.99,1.91
麦克森,MCK,2000-01-12,6.21,4.72,6.21,4.28,2052200,0.0,33.39,-18.34,-1.06,0.73
麦克森,MCK,2000-01-13,4.78,5.15,5.46,4.41,1131500,0.0,22.25,9.11,0.43,0.4
麦克森,MCK,2000-01-14,5.78,5.15,5.78,4.84,1055400,0.0,18.25,0.0,0.0,0.38
麦克森,MCK,2000-01-18,5.09,5.59,5.78,4.72,1328700,0.0,20.58,8.54,0.44,0.47
麦克森,MCK,2000-01-19,5.4,4.97,5.65,4.78,889100,0.0,15.56,-11.09,-0.62,0.32
麦克森,MCK,2000-01-20,4.84,4.03,4.9,4.03,1538800,0.0,17.51,-18.91,-0.94,0.55
麦克森,MCK,2000-01-21,4.72,3.91,4.72,3.78,1622000,0.0,23.33,-2.98,-0.12,0.58
麦克森,MCK,2000-01-24,3.91,3.66,4.16,3.6,799200,0.0,14.32,-6.39,-0.25,0.28
麦克森,MCK,2000-01-25,0.79,0.79,1.54,0.04,4931900,0.0,40.98,-78.42,-2.87,1.75
麦克森,MCK,2000-01-26,0.73,0.48,0.79,0.17,1739800,0.0,78.48,-39.24,-0.31,0.62
麦克森,MCK,2000-01-27,0.67,-0.33,0.73,-1.08,3096400,0.0,377.08,-168.75,-0.81,1.1
麦克森,MCK,2000-01-28,-0.27,-1.08,-0.27,-1.08,1084000,0.0,-245.45,-227.27,-0.75,0.39
麦克森,MCK,2000-01-31,-1.14,-0.64,-0.27,-1.2,952200,0.0,-86.11,40.74,0.44,0.34
麦克森,MCK,2000-02-01,-0.33,-0.33,-0.14,-0.7,1244000,0.0,-87.5,48.44,0.31,0.44
麦克森,MCK,2000-02-02,-0.33,-0.83,-0.02,-0.89,1533300,0.0,-263.64,-151.52,-0.5,0.55
麦克森,MCK,2000-02-03,-0.45,-0.64,-0.27,-0.83,1375500,0.0,-67.47,22.89,0.19,0.49
麦克森,MCK,2000-02-04,-0.7,-0.7,-0.33,-0.83,550300,0.0,-78.13,-9.38,-0.06,0.2
麦克森,MCK,2000-02-07,-0.7,-0.89,-0.52,-0.95,574200,0.0,-61.43,-27.14,-0.19,0.2
麦克森,MCK,2000-02-08,-0.52,-0.83,-0.02,-0.83,973700,0.0,-91.01,6.74,0.06,0.35
麦克森,MCK,2000-02-09,-0.77,-0.83,-0.64,-0.95,918900,0.0,-37.35,0.0,0.0,0.33
麦克森,MCK,2000-02-10,-0.7,-2.07,-0.7,-2.26,2522800,0.0,-187.95,-149.4,-1.24,0.9
麦克森,MCK,2000-02-11,-1.76,-2.32,-1.76,-2.39,3993600,0.0,-30.43,-12.08,-0.25,1.42
麦克森,MCK,2000-02-14,-2.51,-2.26,-2.01,-2.57,622200,0.0,-24.14,2.59,0.06,0.22
麦克森,MCK,2000-02-15,-2.32,-2.57,-2.26,-2.88,1196700,0.0,-27.43,-13.72,-0.31,0.43
麦克森,MCK,2000-02-16,-2.14,-1.2,-1.02,-2.2,1167600,0.0,-45.91,53.31,1.37,0.42
麦克森,MCK,2000-02-17,-1.2,-1.2,-0.7,-1.58,1381000,0.0,-73.33,0.0,0.0,0.49
麦克森,MCK,2000-02-18,-0.95,-1.26,-0.77,-1.45,985800,0.0,-56.67,-5.0,-0.06,0.35
麦克森,MCK,2000-02-22,-1.51,-1.45,-1.33,-2.07,762000,0.0,-58.73,-15.08,-0.19,0.27
麦克森,MCK,2000-02-24,-2.07,-1.7,-1.58,-2.57,1044700,0.0,-68.28,-17.24,-0.25,0.37
麦克森,MCK,2000-02-25,-1.76,-1.89,-1.7,-2.14,846300,0.0,-25.88,-11.18,-0.19,0.3
麦克森,MCK,2000-02-28,-2.08,-1.77,-1.58,-2.33,881000,0.0,-39.68,6.35,0.12,0.31
麦克森,MCK,2000-02-29,-1.58,-1.71,-1.39,-1.89,1212200,0.0,-28.25,3.39,0.06,0.43
麦克森,MCK,2000-03-01,-1.71,-1.58,-1.39,-2.02,697900,0.0,-36.84,7.6,0.13,0.25
麦克森,MCK,2000-03-02,-1.96,-2.14,-1.71,-2.39,775500,0.0,-43.04,-35.44,-0.56,0.28
麦克森,MCK,2000-03-03,-2.08,-1.83,-1.39,-2.33,1147600,0.0,-43.93,14.49,0.31,0.41
麦克森,MCK,2000-03-06,-1.45,-1.71,-1.39,-1.83,511600,0.0,-24.04,6.56,0.12,0.18
麦克森,MCK,2000-03-07,-1.96,-2.52,-1.77,-2.58,793900,0.0,-47.37,-47.37,-0.81,0.28
麦克森,MCK,2000-03-08,-2.58,-2.58,-2.27,-2.7,619300,0.0,-17.06,-2.38,-0.06,0.22
麦克森,MCK,2000-03-09,-2.58,-2.02,-1.77,-2.83,1004900,0.0,-41.09,21.71,0.56,0.36
