股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
穆迪,MCO,2000-10-04,-10.32,-10.69,-10.32,-10.88,1306600,0.0,0.0,0.0,0.0,0.81
穆迪,MCO,2000-10-05,-10.69,-10.94,-10.63,-11.1,1273800,0.0,-4.4,-2.34,-0.25,0.79
穆迪,MCO,2000-10-06,-10.98,-11.54,-10.82,-11.54,894000,0.0,-6.58,-5.48,-0.6,0.56
穆迪,MCO,2000-10-09,-11.41,-12.19,-11.41,-12.19,1003200,0.0,-6.76,-5.63,-0.65,0.62
穆迪,MCO,2000-10-10,-12.16,-12.48,-11.82,-12.88,1171400,0.0,-8.7,-2.38,-0.29,0.73
穆迪,MCO,2000-10-11,-12.57,-12.35,-12.35,-12.94,1155000,0.0,-4.73,1.04,0.13,0.72
穆迪,MCO,2000-10-12,-12.32,-11.91,-11.88,-12.44,1144400,0.0,-4.53,3.56,0.44,0.71
穆迪,MCO,2000-10-13,-11.91,-11.66,-11.57,-11.91,625400,0.0,-2.85,2.1,0.25,0.39
穆迪,MCO,2000-10-16,-11.69,-11.38,-11.26,-11.82,764600,0.0,-4.8,2.4,0.28,0.48
穆迪,MCO,2000-10-17,-11.38,-12.1,-11.38,-12.26,847000,0.0,-7.73,-6.33,-0.72,0.53
穆迪,MCO,2000-10-18,-12.13,-12.76,-12.1,-13.07,968800,0.0,-8.02,-5.45,-0.66,0.6
穆迪,MCO,2000-10-19,-12.63,-12.35,-11.82,-12.63,1410000,0.0,-6.35,3.21,0.41,0.88
穆迪,MCO,2000-10-20,-12.38,-12.35,-12.19,-12.41,410800,0.0,-1.78,0.0,0.0,0.26
穆迪,MCO,2000-10-23,-12.32,-12.13,-12.1,-12.35,785600,0.0,-2.02,1.78,0.22,0.49
穆迪,MCO,2000-10-24,-12.01,-11.63,-11.57,-12.04,499600,0.0,-3.87,4.12,0.5,0.31
穆迪,MCO,2000-10-25,-11.66,-11.66,-11.54,-11.82,690600,0.0,-2.41,-0.26,-0.03,0.43
穆迪,MCO,2000-10-26,-11.73,-11.44,-11.38,-11.73,758000,0.0,-3.0,1.89,0.22,0.47
穆迪,MCO,2000-10-27,-11.48,-11.19,-11.16,-11.48,513800,0.0,-2.8,2.19,0.25,0.32
穆迪,MCO,2000-10-30,-11.19,-11.07,-10.94,-11.19,925400,0.0,-2.23,1.07,0.12,0.58
穆迪,MCO,2000-10-31,-11.1,-11.23,-11.07,-11.48,1120200,0.0,-3.7,-1.45,-0.16,0.7
穆迪,MCO,2000-11-01,-11.19,-11.38,-11.16,-11.48,603000,0.0,-2.85,-1.34,-0.15,0.37
穆迪,MCO,2000-11-02,-11.48,-11.51,-11.38,-11.63,448600,0.0,-2.2,-1.14,-0.13,0.28
穆迪,MCO,2000-11-03,-11.69,-11.51,-11.32,-11.69,418600,0.0,-3.21,0.0,0.0,0.26
穆迪,MCO,2000-11-06,-11.48,-11.51,-11.32,-11.57,524600,0.0,-2.17,0.0,0.0,0.33
穆迪,MCO,2000-11-07,-11.38,-11.48,-11.32,-11.57,666200,0.0,-2.17,0.26,0.03,0.41
穆迪,MCO,2000-11-08,-11.69,-11.54,-11.44,-11.69,315400,0.0,-2.18,-0.52,-0.06,0.2
穆迪,MCO,2000-11-09,-11.73,-11.44,-11.41,-11.73,263000,0.0,-2.77,0.87,0.1,0.16
穆迪,MCO,2000-11-10,-11.44,-11.51,-11.29,-11.6,501600,0.0,-2.71,-0.61,-0.07,0.31
穆迪,MCO,2000-11-13,-11.51,-11.51,-11.41,-11.6,708800,0.0,-1.65,0.0,0.0,0.44
穆迪,MCO,2000-11-14,-11.51,-11.41,-11.29,-11.51,536800,0.0,-1.91,0.87,0.1,0.33
穆迪,MCO,2000-11-15,-11.51,-11.6,-11.51,-11.66,503200,0.0,-1.31,-1.67,-0.19,0.31
穆迪,MCO,2000-11-16,-11.58,-11.67,-11.51,-11.7,582000,0.0,-1.64,-0.6,-0.07,0.36
穆迪,MCO,2000-11-17,-11.55,-11.45,-11.39,-11.64,898000,0.0,-2.14,1.89,0.22,0.56
穆迪,MCO,2000-11-20,-11.51,-11.48,-11.39,-11.7,461800,0.0,-2.71,-0.26,-0.03,0.29
穆迪,MCO,2000-11-21,-11.61,-11.55,-11.42,-11.7,579200,0.0,-2.44,-0.61,-0.07,0.36
穆迪,MCO,2000-11-22,-11.58,-11.67,-11.55,-11.7,301200,0.0,-1.3,-1.04,-0.12,0.19
穆迪,MCO,2000-11-24,-11.67,-11.64,-11.55,-11.67,152200,0.0,-1.03,0.26,0.03,0.09
穆迪,MCO,2000-11-27,-11.61,-11.7,-11.42,-11.7,514000,0.0,-2.41,-0.52,-0.06,0.32
穆迪,MCO,2000-11-28,-11.7,-11.64,-11.36,-11.7,569000,0.0,-2.91,0.51,0.06,0.35
穆迪,MCO,2000-11-29,-11.73,-11.55,-11.48,-11.73,447600,0.0,-2.15,0.77,0.09,0.28
穆迪,MCO,2000-11-30,-11.48,-11.39,-11.2,-11.73,506400,0.0,-4.59,1.39,0.16,0.31
穆迪,MCO,2000-12-01,-11.45,-11.26,-11.26,-11.55,415400,0.0,-2.55,1.14,0.13,0.26
穆迪,MCO,2000-12-04,-11.26,-11.2,-11.11,-11.39,392400,0.0,-2.49,0.53,0.06,0.24
穆迪,MCO,2000-12-05,-11.26,-11.05,-10.86,-11.26,285600,0.0,-3.57,1.34,0.15,0.18
穆迪,MCO,2000-12-06,-11.11,-11.08,-10.67,-11.11,266600,0.0,-3.98,-0.27,-0.03,0.17
穆迪,MCO,2000-12-07,-11.05,-11.2,-10.95,-11.2,218800,0.0,-2.26,-1.08,-0.12,0.14
穆迪,MCO,2000-12-08,-11.2,-10.83,-10.67,-11.23,417200,0.0,-5.0,3.3,0.37,0.26
穆迪,MCO,2000-12-11,-10.86,-10.95,-10.8,-10.95,475000,0.0,-1.39,-1.11,-0.12,0.3
穆迪,MCO,2000-12-12,-10.92,-10.98,-10.86,-11.11,480800,0.0,-2.28,-0.27,-0.03,0.3
穆迪,MCO,2000-12-13,-10.95,-10.98,-10.89,-11.01,511600,0.0,-1.09,0.0,0.0,0.32
穆迪,MCO,2000-12-14,-10.98,-10.86,-10.64,-11.01,473800,0.0,-3.37,1.09,0.12,0.29
