股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
亿滋国际,MDLZ,2013-07-25,19.86,20.43,20.48,19.82,6261584,0.0,3.42,5.75,1.11,0.35
亿滋国际,MDLZ,2013-07-26,20.12,20.87,20.88,20.09,9684257,0.0,3.87,2.15,0.44,0.54
亿滋国际,MDLZ,2013-07-29,20.74,20.9,20.99,20.55,7935483,0.0,2.11,0.14,0.03,0.44
亿滋国际,MDLZ,2013-07-30,21.1,20.34,21.15,20.28,11777504,0.0,4.16,-2.68,-0.56,0.66
亿滋国际,MDLZ,2013-07-31,20.33,20.56,20.79,20.29,8421087,0.0,2.46,1.08,0.22,0.47
亿滋国际,MDLZ,2013-08-01,20.86,21.0,21.07,20.6,6575976,0.0,2.29,2.14,0.44,0.37
亿滋国际,MDLZ,2013-08-02,20.96,21.23,21.29,20.77,6154705,0.0,2.48,1.1,0.23,0.35
亿滋国际,MDLZ,2013-08-05,21.05,21.06,21.15,20.77,5360411,0.0,1.79,-0.8,-0.17,0.3
亿滋国际,MDLZ,2013-08-06,20.82,21.15,21.21,20.79,6696129,0.0,1.99,0.43,0.09,0.38
亿滋国际,MDLZ,2013-08-07,21.2,20.55,21.2,20.43,10774168,0.0,3.64,-2.84,-0.6,0.61
亿滋国际,MDLZ,2013-08-08,21.24,21.99,22.2,20.86,19184463,0.0,6.52,7.01,1.44,1.08
亿滋国际,MDLZ,2013-08-09,21.79,21.45,21.99,21.26,6977268,0.0,3.32,-2.46,-0.54,0.39
亿滋国际,MDLZ,2013-08-12,21.25,21.17,21.38,20.88,8374505,0.0,2.33,-1.31,-0.28,0.47
亿滋国际,MDLZ,2013-08-13,21.29,21.37,21.61,21.18,6960021,0.0,2.03,0.94,0.2,0.39
亿滋国际,MDLZ,2013-08-14,21.25,20.89,21.28,20.88,7536720,0.0,1.87,-2.25,-0.48,0.42
亿滋国际,MDLZ,2013-08-15,20.55,20.46,20.63,20.2,13443977,0.0,2.06,-2.06,-0.43,0.75
亿滋国际,MDLZ,2013-08-16,20.35,20.25,20.46,20.02,10802163,0.0,2.15,-1.03,-0.21,0.61
亿滋国际,MDLZ,2013-08-19,20.28,19.95,20.31,19.89,8261831,0.0,2.07,-1.48,-0.3,0.46
亿滋国际,MDLZ,2013-08-20,19.99,20.04,20.32,19.88,6759997,0.0,2.21,0.45,0.09,0.38
亿滋国际,MDLZ,2013-08-21,19.99,19.81,20.3,19.75,9596118,0.0,2.74,-1.15,-0.23,0.54
亿滋国际,MDLZ,2013-08-22,19.86,20.39,21.85,19.69,8751159,0.0,10.9,2.93,0.58,0.49
亿滋国际,MDLZ,2013-08-23,20.49,20.61,20.74,20.24,7501785,0.0,2.45,1.08,0.22,0.42
亿滋国际,MDLZ,2013-08-26,20.51,20.0,20.59,19.93,7370310,0.0,3.2,-2.96,-0.61,0.41
亿滋国际,MDLZ,2013-08-27,19.79,19.99,20.1,19.69,6610174,0.0,2.05,-0.05,-0.01,0.37
亿滋国际,MDLZ,2013-08-28,19.89,19.84,20.19,19.47,7846732,0.0,3.6,-0.75,-0.15,0.44
亿滋国际,MDLZ,2013-08-29,19.63,19.99,20.16,19.44,7853980,0.0,3.63,0.76,0.15,0.44
亿滋国际,MDLZ,2013-08-30,19.93,19.96,20.27,19.84,7074367,0.0,2.15,-0.15,-0.03,0.4
亿滋国际,MDLZ,2013-09-03,20.43,20.08,20.53,19.82,8797452,0.0,3.56,0.6,0.12,0.49
亿滋国际,MDLZ,2013-09-04,19.98,20.17,20.48,19.95,10755071,0.0,2.64,0.45,0.09,0.6
亿滋国际,MDLZ,2013-09-05,20.17,20.03,20.24,19.99,6454285,0.0,1.24,-0.69,-0.14,0.36
亿滋国际,MDLZ,2013-09-06,20.19,20.23,20.5,19.72,7505064,0.0,3.89,1.0,0.2,0.42
亿滋国际,MDLZ,2013-09-09,20.2,20.4,20.44,20.08,6149078,0.0,1.78,0.84,0.17,0.35
亿滋国际,MDLZ,2013-09-10,20.62,20.33,20.75,19.98,7238199,0.0,3.77,-0.34,-0.07,0.41
亿滋国际,MDLZ,2013-09-11,20.58,20.58,20.63,20.04,7817259,0.0,2.9,1.23,0.25,0.44
亿滋国际,MDLZ,2013-09-12,20.63,20.56,20.66,20.37,8244764,0.0,1.41,-0.1,-0.02,0.46
亿滋国际,MDLZ,2013-09-13,20.62,20.84,20.86,20.5,6413701,0.0,1.75,1.36,0.28,0.36
亿滋国际,MDLZ,2013-09-16,21.02,21.15,21.25,20.93,9362222,0.0,1.54,1.49,0.31,0.53
亿滋国际,MDLZ,2013-09-17,21.07,21.27,21.38,20.96,7037409,0.0,1.99,0.57,0.12,0.4
亿滋国际,MDLZ,2013-09-18,21.19,22.02,22.22,21.13,9610933,0.0,5.12,3.53,0.75,0.54
亿滋国际,MDLZ,2013-09-19,22.06,22.23,22.37,21.79,10966147,0.0,2.63,0.95,0.21,0.62
亿滋国际,MDLZ,2013-09-20,22.19,21.59,22.19,21.54,13788905,0.0,2.92,-2.88,-0.64,0.77
亿滋国际,MDLZ,2013-09-23,21.06,21.23,21.63,20.99,9345500,0.0,2.96,-1.67,-0.36,0.52
亿滋国际,MDLZ,2013-09-24,21.24,21.34,21.64,21.19,6386992,0.0,2.12,0.52,0.11,0.36
亿滋国际,MDLZ,2013-09-25,19.34,21.39,21.64,19.34,9245556,0.0,10.78,0.23,0.05,0.52
亿滋国际,MDLZ,2013-09-26,21.47,21.4,21.55,21.25,4814072,0.0,1.4,0.05,0.01,0.27
亿滋国际,MDLZ,2013-09-27,21.15,21.23,21.54,21.09,6117713,0.0,2.1,-0.79,-0.17,0.34
亿滋国际,MDLZ,2013-09-30,20.92,20.85,21.23,20.31,9312352,0.0,4.33,-1.79,-0.38,0.52
亿滋国际,MDLZ,2013-10-01,20.74,20.28,20.84,20.09,13295911,0.0,3.6,-2.73,-0.57,0.75
亿滋国际,MDLZ,2013-10-02,20.15,20.08,20.28,19.49,12444400,0.0,3.9,-0.99,-0.2,0.7
亿滋国际,MDLZ,2013-10-03,19.97,19.97,20.12,19.77,7673924,0.0,1.74,-0.55,-0.11,0.43
亿滋国际,MDLZ,2013-10-04,19.91,20.29,20.56,19.91,7586433,0.0,3.25,1.6,0.32,0.43
亿滋国际,MDLZ,2013-10-07,19.92,20.19,20.34,19.76,5538386,0.0,2.86,-0.49,-0.1,0.31
亿滋国际,MDLZ,2013-10-08,20.22,20.12,20.48,20.11,7420943,0.0,1.83,-0.35,-0.07,0.42
亿滋国际,MDLZ,2013-10-09,20.27,20.04,20.42,19.98,6382855,0.0,2.19,-0.4,-0.08,0.36
亿滋国际,MDLZ,2013-10-10,20.35,20.63,20.78,20.19,6802097,0.0,2.94,2.94,0.59,0.38
亿滋国际,MDLZ,2013-10-11,20.6,20.28,20.65,20.12,11680346,0.0,2.57,-1.7,-0.35,0.66
亿滋国际,MDLZ,2013-10-14,20.19,20.11,20.34,19.85,13221826,0.0,2.42,-0.84,-0.17,0.74
亿滋国际,MDLZ,2013-10-15,20.16,19.99,20.27,19.85,7327171,0.0,2.09,-0.6,-0.12,0.41
亿滋国际,MDLZ,2013-10-16,20.28,20.86,20.93,20.15,9201846,0.0,3.9,4.35,0.87,0.52
亿滋国际,MDLZ,2013-10-17,20.76,21.72,21.77,20.6,9984099,0.0,5.61,4.12,0.86,0.56
亿滋国际,MDLZ,2013-10-18,21.71,21.87,21.92,21.51,9648134,0.0,1.89,0.69,0.15,0.54
亿滋国际,MDLZ,2013-10-21,21.79,21.92,21.93,21.71,6225365,0.0,1.01,0.23,0.05,0.35
亿滋国际,MDLZ,2013-10-22,22.01,22.69,23.01,21.91,10314778,0.0,5.02,3.51,0.77,0.58
亿滋国际,MDLZ,2013-10-23,22.53,22.53,22.78,22.48,9391815,0.0,1.32,-0.71,-0.16,0.53
亿滋国际,MDLZ,2013-10-24,22.52,22.68,22.71,22.25,6186680,0.0,2.04,0.67,0.15,0.35
亿滋国际,MDLZ,2013-10-25,22.79,22.91,22.93,22.44,5974556,0.0,2.16,1.01,0.23,0.34
亿滋国际,MDLZ,2013-10-28,22.77,23.0,23.32,22.75,8031970,0.0,2.49,0.39,0.09,0.45
亿滋国际,MDLZ,2013-10-29,23.15,23.33,23.36,22.98,6166914,0.0,1.65,1.43,0.33,0.35
亿滋国际,MDLZ,2013-10-30,23.43,23.26,23.53,23.07,8489817,0.0,1.97,-0.3,-0.07,0.48
亿滋国际,MDLZ,2013-10-31,23.18,23.08,23.4,22.72,11708200,0.0,2.92,-0.77,-0.18,0.67
亿滋国际,MDLZ,2013-11-01,23.18,23.02,23.22,22.85,7890037,0.0,1.6,-0.26,-0.06,0.45
亿滋国际,MDLZ,2013-11-04,23.06,23.04,23.3,22.76,7152951,0.0,2.35,0.09,0.02,0.41
亿滋国际,MDLZ,2013-11-05,22.84,22.87,23.09,22.67,5168479,0.0,1.82,-0.74,-0.17,0.29
亿滋国际,MDLZ,2013-11-06,22.59,22.87,22.92,22.42,8739082,0.0,2.19,0.0,0.0,0.5
亿滋国际,MDLZ,2013-11-07,22.66,21.52,22.66,21.22,20954449,0.0,6.3,-5.9,-1.35,1.19
亿滋国际,MDLZ,2013-11-08,21.46,22.11,22.25,21.19,13419455,0.0,4.93,2.74,0.59,0.77
亿滋国际,MDLZ,2013-11-11,22.15,21.79,22.32,21.72,11407921,0.0,2.71,-1.45,-0.32,0.65
亿滋国际,MDLZ,2013-11-12,21.76,21.86,21.94,21.5,6889862,0.0,2.02,0.32,0.07,0.39
亿滋国际,MDLZ,2013-11-13,22.67,22.74,22.76,22.11,12740702,0.0,2.97,4.03,0.88,0.73
亿滋国际,MDLZ,2013-11-14,22.85,23.59,23.68,22.74,12942093,0.0,4.13,3.74,0.85,0.74
亿滋国际,MDLZ,2013-11-15,23.42,23.48,23.73,23.27,11386997,0.0,1.95,-0.47,-0.11,0.65
亿滋国际,MDLZ,2013-11-18,23.41,23.39,23.64,23.26,7306444,0.0,1.62,-0.38,-0.09,0.42
亿滋国际,MDLZ,2013-11-19,23.09,23.15,23.49,22.95,5317327,0.0,2.31,-1.03,-0.24,0.3
亿滋国际,MDLZ,2013-11-20,23.2,22.92,23.44,22.86,6343076,0.0,2.51,-0.99,-0.23,0.36
亿滋国际,MDLZ,2013-11-21,22.96,23.28,23.38,22.81,5842236,0.0,2.49,1.57,0.36,0.33
亿滋国际,MDLZ,2013-11-22,23.05,23.32,23.59,23.01,7131724,0.0,2.49,0.17,0.04,0.41
亿滋国际,MDLZ,2013-11-25,23.52,23.04,23.57,22.97,6454130,0.0,2.57,-1.2,-0.28,0.37
亿滋国际,MDLZ,2013-11-26,23.11,23.32,23.63,23.03,7248184,0.0,2.6,1.22,0.28,0.41
