股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
大都会人寿,MET,2000-06-23,-6.0,-5.69,-5.5,-6.25,2161600,0.0,-6.98,47.07,5.06,0.29
大都会人寿,MET,2000-06-26,-5.0,-5.81,-4.88,-5.88,1691700,0.0,-17.57,-2.11,-0.12,0.22
大都会人寿,MET,2000-06-27,-5.56,-5.12,-4.5,-5.81,2042300,0.0,-22.55,11.88,0.69,0.27
大都会人寿,MET,2000-06-28,-4.75,-5.38,-4.56,-5.62,3522900,0.0,-20.7,-5.08,-0.26,0.47
大都会人寿,MET,2000-06-29,-5.12,-3.69,-3.44,-5.38,4914700,0.0,-36.06,31.41,1.69,0.65
大都会人寿,MET,2000-06-30,-3.25,-4.03,-3.06,-6.0,4415400,0.0,-79.67,-9.21,-0.34,0.58
大都会人寿,MET,2000-07-03,-4.25,-3.62,-3.5,-4.31,822000,0.0,-20.1,10.17,0.41,0.11
大都会人寿,MET,2000-07-05,-3.75,-3.88,-3.75,-4.5,2048000,0.0,-20.72,-7.18,-0.26,0.27
大都会人寿,MET,2000-07-06,-4.38,-3.12,-3.0,-4.44,1572300,0.0,-37.11,19.59,0.76,0.21
大都会人寿,MET,2000-07-07,-3.25,-3.12,-2.94,-3.31,1490500,0.0,-11.86,0.0,0.0,0.2
大都会人寿,MET,2000-07-10,-3.25,-3.56,-3.12,-3.56,822700,0.0,-14.1,-14.1,-0.44,0.11
大都会人寿,MET,2000-07-11,-3.69,-4.19,-3.62,-4.5,1453500,0.0,-24.72,-17.7,-0.63,0.19
大都会人寿,MET,2000-07-12,-4.25,-4.56,-4.12,-4.94,1984300,0.0,-19.57,-8.83,-0.37,0.26
大都会人寿,MET,2000-07-13,-4.56,-5.19,-4.56,-5.19,1893400,0.0,-13.82,-13.82,-0.63,0.25
大都会人寿,MET,2000-07-14,-5.19,-4.12,-3.88,-5.19,1291500,0.0,-25.24,20.62,1.07,0.17
大都会人寿,MET,2000-07-17,-4.25,-4.69,-4.25,-4.81,558300,0.0,-13.59,-13.83,-0.57,0.07
大都会人寿,MET,2000-07-18,-4.94,-4.62,-4.56,-4.94,2396300,0.0,-8.1,1.49,0.07,0.32
大都会人寿,MET,2000-07-19,-4.56,-4.56,-4.19,-4.88,1351900,0.0,-14.94,1.3,0.06,0.18
大都会人寿,MET,2000-07-20,-4.44,-4.44,-3.81,-4.44,2199800,0.0,-13.82,2.63,0.12,0.29
大都会人寿,MET,2000-07-21,-4.25,-4.25,-4.0,-4.44,793500,0.0,-9.91,4.28,0.19,0.1
大都会人寿,MET,2000-07-24,-4.69,-4.5,-4.5,-5.0,766500,0.0,-11.76,-5.88,-0.25,0.1
大都会人寿,MET,2000-07-25,-4.62,-4.0,-3.81,-4.75,1307300,0.0,-20.89,11.11,0.5,0.17
大都会人寿,MET,2000-07-26,-4.0,-4.19,-3.75,-4.31,1239700,0.0,-14.0,-4.75,-0.19,0.16
大都会人寿,MET,2000-07-27,-4.19,-4.56,-3.75,-4.75,1393200,0.0,-23.87,-8.83,-0.37,0.18
大都会人寿,MET,2000-07-28,-4.94,-4.69,-4.56,-5.0,812800,0.0,-9.65,-2.85,-0.13,0.11
大都会人寿,MET,2000-07-31,-4.5,-4.0,-3.88,-4.81,2433200,0.0,-19.83,14.71,0.69,0.32
大都会人寿,MET,2000-08-01,-4.06,-3.88,-3.75,-4.25,2038800,0.0,-12.5,3.0,0.12,0.27
大都会人寿,MET,2000-08-02,-4.0,-4.12,-3.88,-4.31,1364300,0.0,-11.08,-6.19,-0.24,0.18
大都会人寿,MET,2000-08-03,-4.12,-4.88,-4.06,-5.19,3358100,0.0,-27.43,-18.45,-0.76,0.44
大都会人寿,MET,2000-08-04,-4.88,-4.69,-4.69,-5.62,4205200,0.0,-19.06,3.89,0.19,0.56
大都会人寿,MET,2000-08-07,-4.31,-2.62,-2.62,-4.38,3796400,0.0,-37.53,44.14,2.07,0.5
大都会人寿,MET,2000-08-08,-1.12,-1.69,-0.62,-1.75,10165000,0.0,-43.13,35.5,0.93,1.34
大都会人寿,MET,2000-08-09,-1.75,-2.25,-1.25,-2.38,3494400,0.0,-66.86,-33.14,-0.56,0.46
大都会人寿,MET,2000-08-10,-2.0,-2.0,-1.0,-2.25,4341200,0.0,-55.56,11.11,0.25,0.57
大都会人寿,MET,2000-08-11,-1.0,-1.0,-0.75,-1.56,2278400,0.0,-40.5,50.0,1.0,0.3
大都会人寿,MET,2000-08-14,-1.0,-2.0,-0.88,-2.0,1313700,0.0,-112.0,-100.0,-1.0,0.17
大都会人寿,MET,2000-08-15,-1.06,-1.19,-0.94,-1.44,1556700,0.0,-25.0,40.5,0.81,0.21
大都会人寿,MET,2000-08-16,-1.06,-1.5,-1.0,-1.81,808500,0.0,-68.07,-26.05,-0.31,0.11
大都会人寿,MET,2000-08-17,-1.12,-1.06,-0.88,-1.5,939400,0.0,-41.33,29.33,0.44,0.12
大都会人寿,MET,2000-08-18,-1.44,-1.06,-0.94,-1.5,1061700,0.0,-52.83,0.0,0.0,0.14
大都会人寿,MET,2000-08-21,-1.19,-1.5,-0.94,-1.88,918600,0.0,-88.68,-41.51,-0.44,0.12
大都会人寿,MET,2000-08-22,-1.12,-1.0,-0.81,-1.62,1839100,0.0,-54.0,33.33,0.5,0.24
大都会人寿,MET,2000-08-23,-1.25,-0.06,0.01,-1.31,1360600,0.0,-132.0,94.0,0.94,0.18
大都会人寿,MET,2000-08-24,-0.12,-0.75,0.13,-0.88,1484000,0.0,-1683.33,-1150.0,-0.69,0.2
大都会人寿,MET,2000-08-25,-0.69,-1.38,-0.69,-1.44,720600,0.0,-100.0,-84.0,-0.63,0.1
大都会人寿,MET,2000-08-30,-1.0,-0.19,-0.12,-1.06,1845700,0.0,-68.12,86.23,1.19,0.24
大都会人寿,MET,2000-08-31,-0.19,-0.69,-0.06,-0.81,1176800,0.0,-394.74,-263.16,-0.5,0.16
大都会人寿,MET,2000-09-01,-0.5,-0.12,0.2,-1.0,1658600,0.0,-173.91,82.61,0.57,0.22
大都会人寿,MET,2000-09-05,-0.62,-0.75,-0.06,-1.25,1913700,0.0,-991.67,-525.0,-0.63,0.25
大都会人寿,MET,2000-09-06,-0.5,-0.5,-0.25,-0.56,1245000,0.0,-41.33,33.33,0.25,0.16
大都会人寿,MET,2000-09-07,-0.25,-0.38,-0.06,-0.62,1393900,0.0,-112.0,24.0,0.12,0.18
大都会人寿,MET,2000-09-08,-0.31,0.07,0.32,-0.44,428000,0.0,-200.0,118.42,0.45,0.06
