股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
味好美,MKC,2000-01-03,-13.33,-13.85,-13.33,-13.99,416400,0.0,-4.93,-3.44,-0.46,0.17
味好美,MKC,2000-01-04,-13.86,-13.75,-13.74,-13.94,129800,0.0,-1.44,0.72,0.1,0.05
味好美,MKC,2000-01-05,-13.82,-13.69,-13.66,-13.88,229600,0.0,-1.6,0.44,0.06,0.09
味好美,MKC,2000-01-06,-13.75,-13.78,-13.72,-14.0,150800,0.0,-2.05,-0.66,-0.09,0.06
味好美,MKC,2000-01-07,-13.82,-13.82,-13.75,-13.86,80800,0.0,-0.8,-0.29,-0.04,0.03
味好美,MKC,2000-01-10,-13.88,-14.13,-13.88,-14.14,228200,0.0,-1.88,-2.24,-0.31,0.09
味好美,MKC,2000-01-11,-14.11,-14.18,-13.99,-14.19,324200,0.0,-1.42,-0.35,-0.05,0.13
味好美,MKC,2000-01-12,-14.24,-14.18,-14.14,-14.55,413200,0.0,-2.89,0.0,0.0,0.16
味好美,MKC,2000-01-13,-14.11,-14.02,-13.74,-14.11,519800,0.0,-2.61,1.13,0.16,0.21
味好美,MKC,2000-01-14,-13.99,-13.96,-13.8,-13.99,497600,0.0,-1.36,0.43,0.06,0.2
味好美,MKC,2000-01-18,-13.96,-14.33,-13.93,-14.33,510200,0.0,-2.87,-2.65,-0.37,0.2
味好美,MKC,2000-01-19,-14.33,-14.47,-14.28,-14.64,480200,0.0,-2.51,-0.98,-0.14,0.19
味好美,MKC,2000-01-20,-14.49,-14.55,-14.47,-14.58,221800,0.0,-0.76,-0.55,-0.08,0.09
味好美,MKC,2000-01-21,-14.49,-14.58,-14.47,-14.69,267400,0.0,-1.51,-0.21,-0.03,0.11
味好美,MKC,2000-01-24,-14.61,-14.8,-14.57,-14.88,419400,0.0,-2.13,-1.51,-0.22,0.17
味好美,MKC,2000-01-25,-14.77,-14.82,-14.68,-14.89,408200,0.0,-1.42,-0.14,-0.02,0.16
味好美,MKC,2000-01-26,-14.77,-14.68,-14.36,-14.77,823600,0.0,-2.77,0.94,0.14,0.33
味好美,MKC,2000-01-27,-14.49,-14.49,-14.27,-14.53,389600,0.0,-1.77,1.29,0.19,0.15
味好美,MKC,2000-01-28,-14.52,-14.36,-14.33,-14.64,369000,0.0,-2.14,0.9,0.13,0.15
味好美,MKC,2000-01-31,-14.39,-14.22,-14.16,-14.39,239800,0.0,-1.6,0.97,0.14,0.35
味好美,MKC,2000-02-01,-14.21,-14.28,-14.21,-14.47,213200,0.0,-1.83,-0.42,-0.06,0.31
味好美,MKC,2000-02-02,-14.33,-14.64,-14.32,-14.75,313400,0.0,-3.01,-2.52,-0.36,0.45
味好美,MKC,2000-02-03,-14.52,-14.33,-14.27,-14.55,545200,0.0,-1.91,2.12,0.31,0.79
味好美,MKC,2000-02-04,-14.24,-14.02,-13.96,-14.33,520800,0.0,-2.58,2.16,0.31,0.75
味好美,MKC,2000-02-07,-14.07,-14.22,-14.07,-14.3,308800,0.0,-1.64,-1.43,-0.2,0.45
味好美,MKC,2000-02-08,-14.24,-14.08,-13.99,-14.24,248600,0.0,-1.76,0.98,0.14,0.36
味好美,MKC,2000-02-09,-14.13,-14.07,-14.07,-14.16,194800,0.0,-0.64,0.07,0.01,0.28
味好美,MKC,2000-02-10,-14.07,-14.05,-13.96,-14.08,280600,0.0,-0.85,0.14,0.02,0.41
味好美,MKC,2000-02-11,-14.02,-14.05,-13.93,-14.07,411800,0.0,-1.0,0.0,0.0,0.6
味好美,MKC,2000-02-14,-14.07,-14.07,-14.03,-14.1,212400,0.0,-0.5,-0.14,-0.02,0.31
味好美,MKC,2000-02-15,-14.08,-13.82,-13.82,-14.08,380800,0.0,-1.85,1.78,0.25,0.55
味好美,MKC,2000-02-16,-13.88,-13.96,-13.86,-13.99,362600,0.0,-0.94,-1.01,-0.14,0.52
味好美,MKC,2000-02-17,-13.97,-14.0,-13.93,-14.02,212000,0.0,-0.64,-0.29,-0.04,0.31
味好美,MKC,2000-02-18,-14.05,-13.96,-13.93,-14.05,772400,0.0,-0.86,0.29,0.04,1.12
味好美,MKC,2000-02-22,-14.08,-13.97,-13.93,-14.08,124200,0.0,-1.07,-0.07,-0.01,0.18
味好美,MKC,2000-02-23,-13.97,-13.82,-13.82,-13.99,239000,0.0,-1.22,1.07,0.15,0.35
味好美,MKC,2000-02-24,-13.94,-14.19,-13.94,-14.25,318400,0.0,-2.24,-2.68,-0.37,0.46
味好美,MKC,2000-02-25,-14.25,-14.25,-14.21,-14.28,88200,0.0,-0.49,-0.42,-0.06,0.13
味好美,MKC,2000-02-28,-14.27,-14.22,-14.14,-14.44,189400,0.0,-2.11,0.21,0.03,0.27
味好美,MKC,2000-02-29,-14.19,-13.99,-13.99,-14.25,300200,0.0,-1.83,1.62,0.23,0.43
味好美,MKC,2000-03-01,-14.02,-13.97,-13.97,-14.13,235200,0.0,-1.14,0.14,0.02,0.34
味好美,MKC,2000-03-02,-14.0,-14.16,-13.97,-14.18,284000,0.0,-1.5,-1.36,-0.19,0.41
味好美,MKC,2000-03-03,-14.13,-14.22,-14.08,-14.25,112600,0.0,-1.2,-0.42,-0.06,0.16
味好美,MKC,2000-03-06,-14.28,-14.39,-14.27,-14.52,198400,0.0,-1.76,-1.2,-0.17,0.29
味好美,MKC,2000-03-07,-14.38,-14.43,-14.38,-14.59,312400,0.0,-1.46,-0.28,-0.04,0.45
味好美,MKC,2000-03-08,-14.49,-14.27,-14.21,-14.61,259200,0.0,-2.77,1.11,0.16,0.37
味好美,MKC,2000-03-09,-14.28,-14.16,-14.16,-14.28,138000,0.0,-0.84,0.77,0.11,0.2
味好美,MKC,2000-03-10,-14.19,-14.22,-14.1,-14.24,283200,0.0,-0.99,-0.42,-0.06,0.41
味好美,MKC,2000-03-13,-14.25,-14.41,-14.25,-14.47,361600,0.0,-1.55,-1.34,-0.19,0.52
味好美,MKC,2000-03-14,-14.33,-14.28,-14.14,-14.41,877000,0.0,-1.87,0.9,0.13,1.27
味好美,MKC,2000-03-15,-14.28,-13.25,-13.24,-14.36,1048000,0.0,-7.84,7.21,1.03,1.51
味好美,MKC,2000-03-16,-13.36,-13.11,-13.08,-13.49,1524800,0.0,-3.09,1.06,0.14,2.2
味好美,MKC,2000-03-17,-13.39,-13.28,-13.08,-13.74,810800,0.0,-5.03,-1.3,-0.17,1.17
味好美,MKC,2000-03-20,-13.28,-13.22,-12.96,-13.28,614400,0.0,-2.41,0.45,0.06,0.89
味好美,MKC,2000-03-21,-13.24,-12.89,-12.77,-13.27,674800,0.0,-3.78,2.5,0.33,0.98
味好美,MKC,2000-03-22,-12.89,-12.85,-12.67,-12.89,667400,0.0,-1.71,0.31,0.04,0.96
味好美,MKC,2000-03-23,-12.85,-13.1,-12.85,-13.21,223400,0.0,-2.8,-1.95,-0.25,0.32
味好美,MKC,2000-03-24,-13.13,-13.39,-13.13,-13.46,483600,0.0,-2.52,-2.21,-0.29,0.7
味好美,MKC,2000-03-27,-13.33,-13.55,-13.3,-13.63,348800,0.0,-2.46,-1.19,-0.16,0.5
味好美,MKC,2000-03-28,-13.52,-13.46,-13.41,-13.58,838000,0.0,-1.25,0.66,0.09,1.21
味好美,MKC,2000-03-29,-13.44,-13.1,-13.05,-13.44,743800,0.0,-2.9,2.67,0.36,1.07
味好美,MKC,2000-03-30,-13.16,-12.97,-12.89,-13.16,496800,0.0,-2.06,0.99,0.13,0.72
味好美,MKC,2000-03-31,-12.91,-12.72,-12.72,-12.92,816000,0.0,-1.54,1.93,0.25,1.18
味好美,MKC,2000-04-03,-12.72,-13.03,-12.72,-13.13,1111800,0.0,-3.22,-2.44,-0.31,1.61
味好美,MKC,2000-04-04,-13.03,-12.97,-12.97,-13.28,1305600,0.0,-2.38,0.46,0.06,1.89
味好美,MKC,2000-04-05,-12.88,-12.74,-12.41,-12.88,513400,0.0,-3.62,1.77,0.23,0.74
味好美,MKC,2000-04-06,-12.69,-12.44,-12.38,-12.72,489200,0.0,-2.67,2.35,0.3,0.71
味好美,MKC,2000-04-07,-12.46,-12.31,-12.3,-12.52,302400,0.0,-1.77,1.05,0.13,0.44
味好美,MKC,2000-04-10,-12.38,-12.49,-12.33,-12.49,219200,0.0,-1.3,-1.46,-0.18,0.32
味好美,MKC,2000-04-11,-12.46,-12.33,-12.31,-12.53,214200,0.0,-1.76,1.28,0.16,0.31
味好美,MKC,2000-04-12,-12.36,-12.0,-11.94,-12.36,328200,0.0,-3.41,2.68,0.33,0.47
味好美,MKC,2000-04-13,-11.66,-11.78,-11.64,-11.86,660600,0.0,-1.83,1.83,0.22,0.95
味好美,MKC,2000-04-14,-11.97,-12.33,-11.97,-12.35,334200,0.0,-3.23,-4.67,-0.55,0.48
味好美,MKC,2000-04-17,-12.38,-12.11,-12.11,-12.66,403600,0.0,-4.46,1.78,0.22,0.58
味好美,MKC,2000-04-18,-12.11,-12.53,-12.11,-12.6,352600,0.0,-4.05,-3.47,-0.42,0.51
