股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
马丁-玛丽埃塔材料,MLM,2001-01-02,6.71,5.17,6.75,4.81,99500,0.0,0.0,0.0,0.0,0.16
马丁-玛丽埃塔材料,MLM,2001-01-03,5.11,7.63,7.75,5.11,89800,0.0,51.06,47.58,2.46,0.15
马丁-玛丽埃塔材料,MLM,2001-01-04,7.63,7.7,7.99,7.26,104100,0.0,9.57,0.92,0.07,0.17
马丁-玛丽埃塔材料,MLM,2001-01-05,9.16,7.71,9.16,7.31,264000,0.0,24.03,0.13,0.01,0.43
马丁-玛丽埃塔材料,MLM,2001-01-08,7.46,6.88,8.87,6.66,161500,0.0,28.66,-10.77,-0.83,0.26
马丁-玛丽埃塔材料,MLM,2001-01-09,6.91,6.79,7.11,6.71,81300,0.0,5.81,-1.31,-0.09,0.13
马丁-玛丽埃塔材料,MLM,2001-01-10,2.91,5.16,5.31,2.91,596000,0.0,35.35,-24.01,-1.63,0.96
马丁-玛丽埃塔材料,MLM,2001-01-11,5.01,4.92,5.31,4.3,203300,0.0,19.57,-4.65,-0.24,0.33
马丁-玛丽埃塔材料,MLM,2001-01-12,4.96,5.16,5.26,4.4,82400,0.0,17.48,4.88,0.24,0.13
马丁-玛丽埃塔材料,MLM,2001-01-16,4.91,5.83,6.55,4.91,131100,0.0,31.78,12.98,0.67,0.21
马丁-玛丽埃塔材料,MLM,2001-01-17,5.58,5.82,6.26,5.41,61900,0.0,14.58,-0.17,-0.01,0.1
马丁-玛丽埃塔材料,MLM,2001-01-18,6.07,4.87,6.26,4.86,56500,0.0,24.05,-16.32,-0.95,0.09
马丁-玛丽埃塔材料,MLM,2001-01-19,5.12,3.86,5.28,3.71,152900,0.0,32.24,-20.74,-1.01,0.25
马丁-玛丽埃塔材料,MLM,2001-01-22,3.86,2.91,4.06,2.87,99700,0.0,30.83,-24.61,-0.95,0.16
马丁-玛丽埃塔材料,MLM,2001-01-23,2.91,3.41,3.41,2.41,136500,0.0,34.36,17.18,0.5,0.22
马丁-玛丽埃塔材料,MLM,2001-01-24,3.41,4.41,4.73,3.41,99700,0.0,38.71,29.33,1.0,0.16
马丁-玛丽埃塔材料,MLM,2001-01-25,4.43,5.46,6.01,4.43,138600,0.0,35.83,23.81,1.05,0.22
马丁-玛丽埃塔材料,MLM,2001-01-26,5.47,5.43,5.56,5.24,121800,0.0,5.86,-0.55,-0.03,0.2
马丁-玛丽埃塔材料,MLM,2001-01-29,5.43,5.54,6.33,5.43,114700,0.0,16.57,2.03,0.11,0.19
马丁-玛丽埃塔材料,MLM,2001-01-30,5.41,6.41,6.61,5.31,190400,0.0,23.47,15.7,0.87,0.31
马丁-玛丽埃塔材料,MLM,2001-01-31,6.42,6.78,7.21,6.42,127800,0.0,12.32,5.77,0.37,0.21
马丁-玛丽埃塔材料,MLM,2001-02-01,6.81,6.56,6.96,6.42,107700,0.0,7.96,-3.24,-0.22,0.17
马丁-玛丽埃塔材料,MLM,2001-02-02,6.46,6.43,6.76,6.42,142100,0.0,5.18,-1.98,-0.13,0.23
马丁-玛丽埃塔材料,MLM,2001-02-05,6.68,7.44,7.71,6.68,77100,0.0,16.02,15.71,1.01,0.12
马丁-玛丽埃塔材料,MLM,2001-02-06,8.01,8.03,8.21,7.61,106200,0.0,8.06,7.93,0.59,0.17
马丁-玛丽埃塔材料,MLM,2001-02-07,8.12,8.15,8.36,7.91,111800,0.0,5.6,1.49,0.12,0.18
马丁-玛丽埃塔材料,MLM,2001-02-08,8.15,7.8,8.18,7.61,131900,0.0,6.99,-4.29,-0.35,0.21
马丁-玛丽埃塔材料,MLM,2001-02-09,7.8,7.87,8.36,7.61,74700,0.0,9.62,0.9,0.07,0.12
马丁-玛丽埃塔材料,MLM,2001-02-12,7.91,8.29,8.36,7.78,44900,0.0,7.37,5.34,0.42,0.07
马丁-玛丽埃塔材料,MLM,2001-02-13,8.41,8.96,9.51,8.31,182300,0.0,14.48,8.08,0.67,0.29
马丁-玛丽埃塔材料,MLM,2001-02-14,9.21,8.52,9.41,7.41,151700,0.0,22.32,-4.91,-0.44,0.25
马丁-玛丽埃塔材料,MLM,2001-02-15,8.52,9.36,9.41,8.51,86700,0.0,10.56,9.86,0.84,0.14
马丁-玛丽埃塔材料,MLM,2001-02-16,9.36,9.54,9.71,9.21,285500,0.0,5.34,1.92,0.18,0.46
马丁-玛丽埃塔材料,MLM,2001-02-20,9.91,10.17,10.39,9.9,99200,0.0,5.14,6.6,0.63,0.16
马丁-玛丽埃塔材料,MLM,2001-02-21,10.01,9.28,10.11,9.11,84300,0.0,9.83,-8.75,-0.89,0.14
马丁-玛丽埃塔材料,MLM,2001-02-22,9.28,9.11,9.87,8.56,117100,0.0,14.12,-1.83,-0.17,0.19
马丁-玛丽埃塔材料,MLM,2001-02-23,8.96,9.22,9.3,8.48,95500,0.0,9.0,1.21,0.11,0.15
马丁-玛丽埃塔材料,MLM,2001-02-26,9.22,11.41,11.81,9.22,393800,0.0,28.09,23.75,2.19,0.64
马丁-玛丽埃塔材料,MLM,2001-02-27,11.16,11.17,11.45,11.04,127000,0.0,3.59,-2.1,-0.24,0.21
马丁-玛丽埃塔材料,MLM,2001-02-28,11.42,10.5,11.53,9.99,154800,0.0,13.79,-6.0,-0.67,0.25
马丁-玛丽埃塔材料,MLM,2001-03-01,10.45,10.15,10.55,9.73,95200,0.0,7.81,-3.33,-0.35,0.15
马丁-玛丽埃塔材料,MLM,2001-03-02,10.3,11.45,11.47,10.3,175500,0.0,11.53,12.81,1.3,0.28
马丁-玛丽埃塔材料,MLM,2001-03-05,11.55,11.45,11.55,11.11,148700,0.0,3.84,0.0,0.0,0.24
马丁-玛丽埃塔材料,MLM,2001-03-06,11.46,11.87,12.0,11.33,184200,0.0,5.85,3.67,0.42,0.3
马丁-玛丽埃塔材料,MLM,2001-03-07,11.8,11.54,11.81,11.0,191300,0.0,6.82,-2.78,-0.33,0.31
马丁-玛丽埃塔材料,MLM,2001-03-08,11.55,11.65,11.85,11.26,138800,0.0,5.11,0.95,0.11,0.22
马丁-玛丽埃塔材料,MLM,2001-03-09,11.65,11.25,11.85,11.24,59400,0.0,5.24,-3.43,-0.4,0.1
马丁-玛丽埃塔材料,MLM,2001-03-12,11.0,11.15,11.55,10.55,122900,0.0,8.89,-0.89,-0.1,0.2
马丁-玛丽埃塔材料,MLM,2001-03-13,11.15,10.44,11.16,10.0,153300,0.0,10.4,-6.37,-0.71,0.25
马丁-玛丽埃塔材料,MLM,2001-03-14,9.55,9.25,9.95,9.05,154800,0.0,8.62,-11.4,-1.19,0.25
马丁-玛丽埃塔材料,MLM,2001-03-15,9.05,9.55,9.55,8.79,104700,0.0,8.22,3.24,0.3,0.17
马丁-玛丽埃塔材料,MLM,2001-03-16,9.3,7.92,9.31,7.85,130300,0.0,15.29,-17.07,-1.63,0.21
马丁-玛丽埃塔材料,MLM,2001-03-19,8.08,9.21,9.25,8.05,124900,0.0,15.15,16.29,1.29,0.2
