股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
威达信,MMC,2000-01-03,16.91,16.94,16.97,16.26,2166400,0.0,4.05,-3.26,-0.57,0.81
威达信,MMC,2000-01-04,16.66,14.82,17.38,14.04,4277200,0.0,19.72,-12.51,-2.12,1.6
威达信,MMC,2000-01-05,14.82,13.19,15.1,12.72,3737600,0.0,16.06,-11.0,-1.63,1.4
威达信,MMC,2000-01-06,13.89,16.11,16.26,13.14,1836400,0.0,23.65,22.14,2.92,0.69
威达信,MMC,2000-01-07,16.07,17.57,17.76,15.57,1594400,0.0,13.59,9.06,1.46,0.6
威达信,MMC,2000-01-10,17.7,17.76,18.23,16.7,2670000,0.0,8.71,1.08,0.19,1.0
威达信,MMC,2000-01-11,17.51,18.2,18.36,17.48,1653200,0.0,4.95,2.48,0.44,0.62
威达信,MMC,2000-01-12,18.39,17.79,18.57,17.14,2809000,0.0,7.86,-2.25,-0.41,1.05
威达信,MMC,2000-01-13,17.89,18.64,18.82,17.76,2752000,0.0,5.96,4.78,0.85,1.03
威达信,MMC,2000-01-14,18.89,21.82,22.26,18.89,2783600,0.0,18.08,17.06,3.18,1.04
威达信,MMC,2000-01-18,21.7,20.92,21.7,20.07,1629400,0.0,7.47,-4.12,-0.9,0.61
威达信,MMC,2000-01-19,20.79,21.32,22.07,20.76,2943400,0.0,6.26,1.91,0.4,1.1
威达信,MMC,2000-01-20,21.45,20.42,21.7,19.51,2499000,0.0,10.27,-4.22,-0.9,0.94
威达信,MMC,2000-01-21,21.39,20.64,21.39,19.92,2096600,0.0,7.2,1.08,0.22,0.79
威达信,MMC,2000-01-24,21.01,21.04,21.48,20.76,1509800,0.0,3.49,1.94,0.4,0.57
威达信,MMC,2000-01-25,20.92,20.36,21.01,19.95,1800200,0.0,5.04,-3.23,-0.68,0.67
威达信,MMC,2000-01-26,20.39,20.26,20.89,19.7,1641400,0.0,5.84,-0.49,-0.1,0.61
威达信,MMC,2000-01-27,20.64,20.26,20.82,18.48,2561600,0.0,11.55,0.0,0.0,0.96
威达信,MMC,2000-01-28,17.89,17.89,18.45,17.2,3298400,0.0,6.17,-11.7,-2.37,1.24
威达信,MMC,2000-01-31,17.26,16.89,17.29,14.64,2802800,0.0,14.81,-5.59,-1.0,1.05
威达信,MMC,2000-02-01,16.86,18.67,19.51,16.51,2163200,0.0,17.76,10.54,1.78,0.81
威达信,MMC,2000-02-02,18.67,17.23,19.23,16.76,2407200,0.0,13.23,-7.71,-1.44,0.9
威达信,MMC,2000-02-03,17.57,18.2,18.2,17.14,1698200,0.0,6.15,5.63,0.97,0.64
威达信,MMC,2000-02-04,17.57,18.23,18.45,17.14,1069000,0.0,7.2,0.16,0.03,0.4
威达信,MMC,2000-02-07,17.79,17.48,17.79,16.57,1446400,0.0,6.69,-4.11,-0.75,0.54
威达信,MMC,2000-02-08,17.7,17.39,18.45,17.11,1393200,0.0,7.67,-0.51,-0.09,0.52
威达信,MMC,2000-02-09,17.45,15.86,17.48,14.51,1969400,0.0,17.08,-8.8,-1.53,0.74
威达信,MMC,2000-02-10,15.67,13.54,15.67,12.07,2713000,0.0,22.7,-14.63,-2.32,1.02
威达信,MMC,2000-02-11,13.79,12.11,13.79,11.57,2267000,0.0,16.4,-10.56,-1.43,0.85
威达信,MMC,2000-02-14,12.11,11.57,12.32,11.17,1806000,0.0,9.5,-4.46,-0.54,0.68
威达信,MMC,2000-02-15,11.54,12.14,12.57,10.79,2192000,0.0,15.38,4.93,0.57,0.82
威达信,MMC,2000-02-16,12.07,11.26,12.86,11.17,1420800,0.0,13.92,-7.25,-0.88,0.53
威达信,MMC,2000-02-17,12.14,12.95,12.95,11.26,2051800,0.0,15.01,15.01,1.69,0.77
威达信,MMC,2000-02-18,12.95,11.32,13.2,10.95,2002400,0.0,17.37,-12.59,-1.63,0.75
威达信,MMC,2000-02-22,11.01,10.61,11.82,9.98,1552800,0.0,16.25,-6.27,-0.71,0.58
威达信,MMC,2000-02-23,10.89,10.39,10.89,9.89,1310600,0.0,9.43,-2.07,-0.22,0.49
威达信,MMC,2000-02-24,10.64,9.79,10.89,9.14,1742400,0.0,16.84,-5.77,-0.6,0.65
威达信,MMC,2000-02-25,9.92,8.7,10.57,7.76,1976800,0.0,28.7,-11.13,-1.09,0.74
威达信,MMC,2000-02-28,8.95,8.51,9.32,8.11,2620400,0.0,13.91,-2.18,-0.19,0.98
威达信,MMC,2000-02-29,7.26,8.57,8.76,7.26,3786800,0.0,17.63,0.71,0.06,1.41
威达信,MMC,2000-03-01,8.26,8.92,9.17,8.04,1725800,0.0,13.19,4.08,0.35,0.64
威达信,MMC,2000-03-02,9.39,9.89,10.2,8.89,1961000,0.0,14.69,10.87,0.97,0.73
威达信,MMC,2000-03-03,9.79,9.7,10.45,9.26,1448600,0.0,12.03,-1.92,-0.19,0.54
威达信,MMC,2000-03-06,9.7,8.89,9.7,8.67,918400,0.0,10.62,-8.35,-0.81,0.34
威达信,MMC,2000-03-07,9.64,6.67,9.7,6.64,1534600,0.0,34.42,-24.97,-2.22,0.57
威达信,MMC,2000-03-08,6.76,6.51,7.2,5.61,1372600,0.0,23.84,-2.4,-0.16,0.51
威达信,MMC,2000-03-09,6.39,6.39,7.51,5.14,1550800,0.0,36.41,-1.84,-0.12,0.58
威达信,MMC,2000-03-10,6.51,7.17,7.73,6.36,1058800,0.0,21.44,12.21,0.78,0.4
威达信,MMC,2000-03-13,6.45,7.73,8.26,6.32,1425400,0.0,27.06,7.81,0.56,0.53
威达信,MMC,2000-03-14,8.64,9.7,9.79,8.64,3709800,0.0,14.88,25.49,1.97,1.38
威达信,MMC,2000-03-15,11.76,15.17,15.89,11.57,4259200,0.0,44.54,56.39,5.47,1.59
威达信,MMC,2000-03-16,15.39,19.67,19.86,14.76,4027400,0.0,33.62,29.66,4.5,1.5
威达信,MMC,2000-03-17,18.39,17.07,18.51,17.01,3181400,0.0,7.63,-13.22,-2.6,1.19
威达信,MMC,2000-03-20,16.57,15.92,17.07,14.92,1434600,0.0,12.6,-6.74,-1.15,0.54
威达信,MMC,2000-03-21,15.2,16.7,17.04,15.07,1687800,0.0,12.37,4.9,0.78,0.63
威达信,MMC,2000-03-22,16.14,17.32,17.32,16.11,1666800,0.0,7.25,3.71,0.62,0.62
威达信,MMC,2000-03-23,16.82,18.36,18.36,16.36,1485200,0.0,11.55,6.0,1.04,0.55
威达信,MMC,2000-03-24,17.89,17.89,18.76,17.17,1962000,0.0,8.66,-2.56,-0.47,0.73
威达信,MMC,2000-03-27,17.92,16.14,17.92,15.51,1351200,0.0,13.47,-9.78,-1.75,0.5
威达信,MMC,2000-03-28,15.89,17.2,18.26,15.7,2051800,0.0,15.86,6.57,1.06,0.77
威达信,MMC,2000-03-29,17.2,16.82,17.64,16.29,1214000,0.0,7.85,-2.21,-0.38,0.45
