股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
奥驰亚集团,MO,2000-01-03,-37.37,-37.49,-36.99,-37.74,7386600,0.0,-1.98,1.16,0.44,0.32
奥驰亚集团,MO,2000-01-04,-37.68,-37.31,-36.68,-37.68,10538200,0.0,-2.67,0.48,0.18,0.45
奥驰亚集团,MO,2000-01-05,-37.12,-37.43,-36.87,-37.49,11697300,0.0,-1.66,-0.32,-0.12,0.5
奥驰亚集团,MO,2000-01-06,-37.43,-37.87,-37.24,-37.93,7152800,0.0,-1.84,-1.18,-0.44,0.31
奥驰亚集团,MO,2000-01-07,-37.68,-37.24,-37.12,-37.81,7972100,0.0,-1.82,1.66,0.63,0.34
奥驰亚集团,MO,2000-01-10,-37.18,-36.93,-36.87,-37.18,7711300,0.0,-0.83,0.83,0.31,0.33
奥驰亚集团,MO,2000-01-11,-36.81,-36.81,-36.31,-36.87,7451400,0.0,-1.52,0.32,0.12,0.32
奥驰亚集团,MO,2000-01-12,-36.68,-36.68,-36.37,-36.93,9609400,0.0,-1.52,0.35,0.13,0.41
奥驰亚集团,MO,2000-01-13,-36.43,-36.43,-36.37,-36.68,6263900,0.0,-0.85,0.68,0.25,0.27
奥驰亚集团,MO,2000-01-14,-36.37,-36.68,-36.31,-37.18,7813300,0.0,-2.39,-0.69,-0.25,0.33
奥驰亚集团,MO,2000-01-18,-36.87,-37.93,-36.74,-37.93,7998600,0.0,-3.24,-3.41,-1.25,0.34
奥驰亚集团,MO,2000-01-19,-37.81,-37.56,-37.43,-37.93,8731100,0.0,-1.32,0.98,0.37,0.37
奥驰亚集团,MO,2000-01-20,-37.56,-38.35,-37.56,-38.87,9977700,0.0,-3.49,-2.1,-0.79,0.43
奥驰亚集团,MO,2000-01-21,-38.74,-38.93,-38.43,-39.12,13976300,0.0,-1.8,-1.51,-0.58,0.6
奥驰亚集团,MO,2000-01-24,-38.18,-38.93,-37.93,-39.06,15344200,0.0,-2.9,0.0,0.0,0.66
奥驰亚集团,MO,2000-01-25,-38.93,-38.99,-38.06,-39.56,11046800,0.0,-3.85,-0.15,-0.06,0.47
奥驰亚集团,MO,2000-01-26,-39.18,-39.87,-39.12,-40.06,18969200,0.0,-2.41,-2.26,-0.88,0.81
奥驰亚集团,MO,2000-01-27,-39.43,-39.93,-39.06,-40.12,14734700,0.0,-2.66,-0.15,-0.06,0.63
奥驰亚集团,MO,2000-01-28,-39.81,-40.18,-39.62,-40.18,12021300,0.0,-1.4,-0.63,-0.25,0.51
奥驰亚集团,MO,2000-01-31,-39.99,-40.06,-39.81,-40.09,11594900,0.0,-0.7,0.3,0.12,0.5
奥驰亚集团,MO,2000-02-01,-39.81,-39.93,-39.81,-40.18,13301800,0.0,-0.92,0.32,0.13,0.57
奥驰亚集团,MO,2000-02-02,-39.99,-40.31,-39.82,-40.37,13933200,0.0,-1.38,-0.95,-0.38,0.6
奥驰亚集团,MO,2000-02-03,-39.99,-39.93,-39.49,-40.06,20018200,0.0,-1.41,0.94,0.38,0.86
奥驰亚集团,MO,2000-02-04,-39.81,-40.31,-39.81,-40.56,16675500,0.0,-1.88,-0.95,-0.38,0.71
奥驰亚集团,MO,2000-02-07,-40.06,-40.37,-39.99,-40.56,12752400,0.0,-1.41,-0.15,-0.06,0.55
奥驰亚集团,MO,2000-02-08,-40.68,-41.43,-40.62,-41.81,26653500,0.0,-2.95,-2.63,-1.06,1.14
奥驰亚集团,MO,2000-02-09,-41.49,-41.31,-40.93,-41.49,18374200,0.0,-1.35,0.29,0.12,0.79
奥驰亚集团,MO,2000-02-10,-40.93,-41.06,-40.62,-41.12,15253200,0.0,-1.21,0.61,0.25,0.65
奥驰亚集团,MO,2000-02-11,-40.99,-41.87,-40.81,-41.87,15365500,0.0,-2.58,-1.97,-0.81,0.66
奥驰亚集团,MO,2000-02-14,-41.62,-41.99,-41.49,-42.18,21123700,0.0,-1.65,-0.29,-0.12,0.9
奥驰亚集团,MO,2000-02-15,-41.87,-41.81,-41.81,-42.24,15218000,0.0,-1.02,0.43,0.18,0.65
奥驰亚集团,MO,2000-02-16,-41.87,-41.93,-41.68,-42.12,13799900,0.0,-1.05,-0.29,-0.12,0.59
奥驰亚集团,MO,2000-02-17,-41.06,-41.43,-40.93,-41.62,16060300,0.0,-1.65,1.19,0.5,0.69
奥驰亚集团,MO,2000-02-18,-41.43,-41.31,-41.06,-41.56,11121500,0.0,-1.21,0.29,0.12,0.48
奥驰亚集团,MO,2000-02-22,-40.99,-40.06,-39.74,-41.06,17008800,0.0,-3.2,3.03,1.25,0.73
奥驰亚集团,MO,2000-02-23,-39.68,-40.62,-39.24,-40.74,14797000,0.0,-3.74,-1.4,-0.56,0.63
奥驰亚集团,MO,2000-02-24,-40.43,-40.87,-40.37,-41.18,12097700,0.0,-1.99,-0.62,-0.25,0.52
奥驰亚集团,MO,2000-02-25,-40.81,-41.31,-40.74,-41.31,11480500,0.0,-1.39,-1.08,-0.44,0.5
奥驰亚集团,MO,2000-02-28,-41.12,-40.87,-40.62,-41.12,10884600,0.0,-1.21,1.07,0.44,0.47
奥驰亚集团,MO,2000-02-29,-40.87,-40.74,-40.49,-40.87,13524800,0.0,-0.93,0.32,0.13,0.58
奥驰亚集团,MO,2000-03-01,-40.74,-40.49,-39.43,-41.31,21707100,0.0,-4.61,0.61,0.25,0.94
奥驰亚集团,MO,2000-03-02,-40.49,-40.81,-40.12,-40.93,11165200,0.0,-2.0,-0.79,-0.32,0.48
奥驰亚集团,MO,2000-03-03,-40.93,-40.62,-40.31,-41.18,13358800,0.0,-2.13,0.47,0.19,0.58
奥驰亚集团,MO,2000-03-06,-40.18,-41.06,-40.06,-41.37,13047100,0.0,-3.23,-1.08,-0.44,0.56
奥驰亚集团,MO,2000-03-07,-41.06,-41.37,-40.93,-41.43,12009900,0.0,-1.22,-0.75,-0.31,0.52
奥驰亚集团,MO,2000-03-08,-41.31,-41.68,-41.18,-41.74,11810100,0.0,-1.35,-0.75,-0.31,0.51
奥驰亚集团,MO,2000-03-09,-41.68,-41.43,-41.43,-41.81,8739200,0.0,-0.91,0.6,0.25,0.38
奥驰亚集团,MO,2000-03-10,-41.56,-41.87,-41.49,-41.87,10848100,0.0,-0.92,-1.06,-0.44,0.47
奥驰亚集团,MO,2000-03-13,-41.68,-41.06,-40.93,-41.81,10914000,0.0,-2.1,1.93,0.81,0.47
奥驰亚集团,MO,2000-03-14,-41.12,-41.46,-41.12,-41.68,11983600,0.0,-1.36,-0.97,-0.4,0.52
奥驰亚集团,MO,2000-03-15,-41.62,-40.81,-40.56,-41.68,13071300,0.0,-2.7,1.57,0.65,0.56
奥驰亚集团,MO,2000-03-16,-40.33,-40.2,-39.95,-40.39,13253000,0.0,-1.08,1.49,0.61,0.57
奥驰亚集团,MO,2000-03-17,-40.08,-40.2,-40.08,-40.95,16220400,0.0,-2.16,0.0,0.0,0.7
奥驰亚集团,MO,2000-03-20,-40.58,-40.51,-40.2,-40.64,14039000,0.0,-1.09,-0.77,-0.31,0.61
奥驰亚集团,MO,2000-03-21,-40.95,-40.14,-38.33,-41.45,34490700,0.0,-7.7,0.91,0.37,1.49
奥驰亚集团,MO,2000-03-22,-40.14,-41.01,-39.89,-41.14,16078100,0.0,-3.11,-2.17,-0.87,0.69
奥驰亚集团,MO,2000-03-23,-40.95,-40.95,-40.76,-41.14,13839800,0.0,-0.93,0.15,0.06,0.6
奥驰亚集团,MO,2000-03-24,-40.89,-40.64,-40.58,-40.95,10308500,0.0,-0.9,0.76,0.31,0.45
奥驰亚集团,MO,2000-03-27,-40.64,-40.84,-40.58,-40.95,8924600,0.0,-0.91,-0.49,-0.2,0.39
奥驰亚集团,MO,2000-03-28,-40.95,-40.89,-40.7,-41.14,12453400,0.0,-1.08,-0.12,-0.05,0.54
奥驰亚集团,MO,2000-03-29,-40.89,-41.33,-40.83,-41.33,11687300,0.0,-1.22,-1.08,-0.44,0.5
奥驰亚集团,MO,2000-03-30,-40.45,-38.95,-38.89,-40.72,27460700,0.0,-4.43,5.76,2.38,1.19
