股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美盛,MOS,2001-01-02,5.94,5.94,6.13,5.88,183200,0.0,0.0,0.0,0.0,0.06
美盛,MOS,2001-01-03,5.69,5.57,6.0,4.75,627800,0.0,21.04,-6.23,-0.37,0.19
美盛,MOS,2001-01-04,5.31,5.38,5.69,5.0,737300,0.0,12.39,-3.41,-0.19,0.23
美盛,MOS,2001-01-05,5.25,4.94,5.31,4.63,372000,0.0,12.64,-8.18,-0.44,0.11
美盛,MOS,2001-01-08,4.94,5.63,5.63,4.75,373200,0.0,17.81,13.97,0.69,0.11
美盛,MOS,2001-01-09,5.31,5.13,5.31,4.75,260600,0.0,9.95,-8.88,-0.5,0.08
美盛,MOS,2001-01-10,5.19,5.25,5.31,5.07,236500,0.0,4.68,2.34,0.12,0.07
美盛,MOS,2001-01-11,5.25,5.19,5.25,4.94,207000,0.0,5.9,-1.14,-0.06,0.06
美盛,MOS,2001-01-12,5.07,5.0,5.13,4.75,266100,0.0,7.32,-3.66,-0.19,0.08
美盛,MOS,2001-01-16,5.0,5.0,5.19,4.81,261300,0.0,7.6,0.0,0.0,0.08
美盛,MOS,2001-01-17,5.0,5.38,5.57,5.0,270600,0.0,11.4,7.6,0.38,0.08
美盛,MOS,2001-01-18,5.38,5.0,5.38,4.94,184500,0.0,8.18,-7.06,-0.38,0.06
美盛,MOS,2001-01-19,5.07,5.19,5.25,4.88,512800,0.0,7.4,3.8,0.19,0.16
美盛,MOS,2001-01-22,5.19,5.44,5.63,5.07,356000,0.0,10.79,4.82,0.25,0.11
美盛,MOS,2001-01-23,5.38,6.38,6.88,5.38,511600,0.0,27.57,17.28,0.94,0.16
美盛,MOS,2001-01-24,6.13,5.57,6.19,5.57,674800,0.0,9.72,-12.7,-0.81,0.21
美盛,MOS,2001-01-25,5.69,5.5,5.75,5.44,218700,0.0,5.57,-1.26,-0.07,0.07
美盛,MOS,2001-01-26,5.44,5.25,5.44,4.69,415400,0.0,13.64,-4.55,-0.25,0.13
美盛,MOS,2001-01-29,5.49,5.31,5.93,5.24,309800,0.0,13.14,1.14,0.06,0.09
美盛,MOS,2001-01-30,5.49,6.03,6.33,5.44,347900,0.0,16.76,13.56,0.72,0.11
美盛,MOS,2001-01-31,5.89,6.01,6.09,5.89,356300,0.0,3.32,-0.33,-0.02,0.11
美盛,MOS,2001-02-01,5.89,6.0,6.07,5.89,329300,0.0,3.0,-0.17,-0.01,0.1
美盛,MOS,2001-02-02,5.91,5.96,6.05,5.91,179300,0.0,2.33,-0.67,-0.04,0.05
美盛,MOS,2001-02-05,6.04,6.04,6.09,5.74,221600,0.0,5.87,1.34,0.08,0.07
美盛,MOS,2001-02-06,6.04,6.38,6.54,5.81,372000,0.0,12.09,5.63,0.34,0.11
美盛,MOS,2001-02-07,6.19,6.28,6.59,5.99,254500,0.0,9.4,-1.57,-0.1,0.08
美盛,MOS,2001-02-08,6.28,6.22,6.35,6.16,197200,0.0,3.03,-0.96,-0.06,0.06
美盛,MOS,2001-02-09,6.22,6.01,6.48,5.81,380900,0.0,10.77,-3.38,-0.21,0.12
美盛,MOS,2001-02-12,6.01,5.81,6.01,5.65,299700,0.0,5.99,-3.33,-0.2,0.09
美盛,MOS,2001-02-13,5.64,5.43,5.87,5.39,538900,0.0,8.26,-6.54,-0.38,0.16
美盛,MOS,2001-02-14,5.44,5.24,5.44,4.94,352300,0.0,9.21,-3.5,-0.19,0.11
美盛,MOS,2001-02-15,4.94,5.02,5.34,4.94,744200,0.0,7.63,-4.2,-0.22,0.23
美盛,MOS,2001-02-16,5.09,4.49,5.16,4.34,510600,0.0,16.33,-10.56,-0.53,0.16
美盛,MOS,2001-02-20,4.69,4.49,4.84,4.49,304900,0.0,7.8,0.0,0.0,0.09
美盛,MOS,2001-02-21,4.44,3.91,4.44,3.69,315800,0.0,16.7,-12.92,-0.58,0.1
美盛,MOS,2001-02-22,3.91,4.21,4.24,3.79,314500,0.0,11.51,7.67,0.3,0.1
美盛,MOS,2001-02-23,4.24,4.69,4.69,3.99,342600,0.0,16.63,11.4,0.48,0.1
美盛,MOS,2001-02-26,4.34,4.48,5.14,4.19,389600,0.0,20.26,-4.48,-0.21,0.12
