股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
马拉松原油,MPC,2011-07-14,-0.72,-1.38,-0.69,-1.6,5695796,0.0,0.0,0.0,0.0,1.6
马拉松原油,MPC,2011-07-15,-1.2,-1.12,-0.97,-1.65,4968238,0.0,-49.28,18.84,0.26,1.39
马拉松原油,MPC,2011-07-18,-1.34,-1.14,-0.91,-1.83,3551300,0.0,-82.14,-1.79,-0.02,1.0
马拉松原油,MPC,2011-07-19,-1.07,-0.83,-0.73,-1.14,3199587,0.0,-35.96,27.19,0.31,0.9
马拉松原油,MPC,2011-07-20,-0.81,-0.94,-0.73,-1.0,2712408,0.0,-32.53,-13.25,-0.11,0.76
马拉松原油,MPC,2011-07-21,-0.94,-0.65,-0.58,-1.15,3224846,0.0,-60.64,30.85,0.29,0.9
马拉松原油,MPC,2011-07-22,-0.56,-0.42,-0.29,-0.75,3304548,0.0,-70.77,35.38,0.23,0.93
马拉松原油,MPC,2011-07-25,-0.08,-0.02,0.36,-0.38,4431735,0.0,-176.19,95.24,0.4,1.24
马拉松原油,MPC,2011-07-26,-0.01,0.83,1.16,-0.07,5632451,0.0,-6150.0,4250.0,0.85,1.58
马拉松原油,MPC,2011-07-27,0.81,0.33,0.95,0.29,3490236,0.0,79.52,-60.24,-0.5,0.98
马拉松原油,MPC,2011-07-28,0.52,0.69,0.77,0.4,3228117,0.0,112.12,109.09,0.36,0.91
马拉松原油,MPC,2011-07-29,0.48,1.2,1.61,0.29,5320629,0.0,191.3,73.91,0.51,1.49
马拉松原油,MPC,2011-08-01,1.82,1.79,1.99,1.3,5745572,0.0,57.5,49.17,0.59,1.61
马拉松原油,MPC,2011-08-02,1.57,0.47,1.75,0.43,5480895,0.0,73.74,-73.74,-1.32,1.54
马拉松原油,MPC,2011-08-03,0.94,0.02,2.0,-1.19,6690987,0.0,678.72,-95.74,-0.45,1.88
马拉松原油,MPC,2011-08-04,-0.35,-0.35,-0.35,-0.35,902,0.0,0.0,-1850.0,-0.37,0.0
马拉松原油,MPC,2011-08-05,-0.35,-0.35,-0.35,-0.35,902,0.0,0.0,0.0,0.0,0.0
马拉松原油,MPC,2011-08-08,-0.35,-0.35,-0.35,-0.35,902,0.0,0.0,0.0,0.0,0.0
