股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美森,MATX,2012-07-25,15.31,13.75,15.65,13.55,104655,0.0,0.0,0.0,0.0,0.3
美森,MATX,2012-07-26,14.86,14.55,14.86,13.95,152086,0.0,6.62,5.82,0.8,0.44
美森,MATX,2012-07-27,15.01,15.43,15.56,14.61,227314,0.0,6.53,6.05,0.88,0.65
美森,MATX,2012-07-30,15.74,14.7,15.74,14.53,176120,0.0,7.84,-4.73,-0.73,0.5
美森,MATX,2012-07-31,14.45,14.79,14.87,14.42,261563,0.0,3.06,0.61,0.09,0.75
美森,MATX,2012-08-01,14.88,14.86,14.95,14.53,398867,0.0,2.84,0.47,0.07,1.14
美森,MATX,2012-08-02,14.65,14.98,15.06,14.44,202977,0.0,4.17,0.81,0.12,0.58
美森,MATX,2012-08-03,15.08,15.78,15.9,14.93,535064,0.0,6.48,5.34,0.8,1.53
美森,MATX,2012-08-06,16.05,16.23,16.53,15.92,546326,0.0,3.87,2.85,0.45,1.56
美森,MATX,2012-08-07,16.38,16.23,16.85,16.16,315271,0.0,4.25,0.0,0.0,0.9
美森,MATX,2012-08-08,16.14,16.15,16.4,16.0,207770,0.0,2.46,-0.49,-0.08,0.59
美森,MATX,2012-08-09,16.09,16.23,16.96,15.83,245002,0.0,7.0,0.5,0.08,0.7
美森,MATX,2012-08-10,16.12,16.07,16.32,15.83,140186,0.0,3.02,-0.99,-0.16,0.4
美森,MATX,2012-08-13,15.98,16.0,16.09,15.72,88684,0.0,2.3,-0.44,-0.07,0.25
美森,MATX,2012-08-14,17.09,16.13,17.09,16.08,172006,0.0,6.31,0.81,0.13,0.49
美森,MATX,2012-08-15,16.4,16.24,16.4,15.73,144522,0.0,4.15,0.68,0.11,0.41
美森,MATX,2012-08-16,16.28,16.21,16.29,15.5,247833,0.0,4.86,-0.18,-0.03,0.71
美森,MATX,2012-08-17,15.94,15.96,16.17,15.78,129521,0.0,2.41,-1.54,-0.25,0.37
美森,MATX,2012-08-20,15.96,15.8,15.96,15.59,206090,0.0,2.32,-1.0,-0.16,0.59
美森,MATX,2012-08-21,15.64,15.48,15.82,15.33,173923,0.0,3.1,-2.03,-0.32,0.5
美森,MATX,2012-08-22,15.36,15.27,15.47,15.18,144247,0.0,1.87,-1.36,-0.21,0.41
美森,MATX,2012-08-23,15.27,14.68,15.27,14.62,150271,0.0,4.26,-3.86,-0.59,0.43
美森,MATX,2012-08-24,14.61,14.16,14.81,14.11,148580,0.0,4.77,-3.54,-0.52,0.43
美森,MATX,2012-08-27,14.2,13.84,14.58,13.76,149272,0.0,5.79,-2.26,-0.32,0.43
美森,MATX,2012-08-28,13.78,13.76,13.91,13.67,150294,0.0,1.73,-0.58,-0.08,0.43
美森,MATX,2012-08-29,13.78,13.42,14.01,13.42,107659,0.0,4.29,-2.47,-0.34,0.31
美森,MATX,2012-08-30,13.51,12.83,13.51,12.79,132022,0.0,5.37,-4.4,-0.59,0.38
美森,MATX,2012-08-31,13.01,12.92,13.13,12.75,204805,0.0,2.96,0.7,0.09,0.59
美森,MATX,2012-09-04,12.92,13.03,13.15,12.69,288678,0.0,3.56,0.85,0.11,0.83
美森,MATX,2012-09-05,13.06,12.91,13.23,12.63,272494,0.0,4.6,-0.92,-0.12,0.78
美森,MATX,2012-09-06,13.23,13.41,13.61,13.12,286651,0.0,3.8,3.87,0.5,0.82
美森,MATX,2012-09-07,13.45,13.57,13.73,13.19,197604,0.0,4.03,1.19,0.16,0.57
