股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
明晟,MSCI,2011-01-26,7.17,6.92,7.43,6.85,711443,0.0,-5.81,169.34,16.9,0.59
明晟,MSCI,2011-01-27,6.97,6.85,7.31,6.68,481260,0.0,9.1,-1.01,-0.07,0.4
明晟,MSCI,2011-01-28,6.95,6.02,7.16,6.02,788834,0.0,16.64,-12.12,-0.83,0.66
明晟,MSCI,2011-01-31,6.27,6.25,6.34,6.04,1039557,0.0,4.98,3.82,0.23,0.87
明晟,MSCI,2011-02-01,6.54,6.66,6.89,6.19,1048643,0.0,11.2,6.56,0.41,0.88
明晟,MSCI,2011-02-02,6.52,6.69,6.97,6.43,807729,0.0,8.11,0.45,0.03,0.67
明晟,MSCI,2011-02-03,6.51,6.13,6.53,5.86,1345141,0.0,10.01,-8.37,-0.56,1.12
明晟,MSCI,2011-02-04,6.25,6.82,6.92,6.1,856757,0.0,13.38,11.26,0.69,0.72
明晟,MSCI,2011-02-07,6.82,8.11,8.23,6.82,1149424,0.0,20.67,18.91,1.29,0.96
明晟,MSCI,2011-02-08,8.1,7.82,8.13,7.46,1467498,0.0,8.26,-3.58,-0.29,1.23
明晟,MSCI,2011-02-09,7.66,7.97,8.19,7.61,1340319,0.0,7.42,1.92,0.15,1.12
明晟,MSCI,2011-02-10,7.76,8.02,8.33,7.58,822663,0.0,9.41,0.63,0.05,0.69
明晟,MSCI,2011-02-11,7.85,8.13,8.34,7.64,757299,0.0,8.73,1.37,0.11,0.63
明晟,MSCI,2011-02-14,8.15,8.29,8.31,7.92,400711,0.0,4.8,1.97,0.16,0.33
明晟,MSCI,2011-02-28,8.44,7.52,8.46,7.42,1065664,0.0,12.55,-9.29,-0.77,0.89
明晟,MSCI,2011-03-01,7.55,6.81,7.73,6.58,1066470,0.0,15.29,-9.44,-0.71,0.89
明晟,MSCI,2011-03-02,6.79,7.03,7.36,6.79,939335,0.0,8.37,3.23,0.22,0.78
明晟,MSCI,2011-03-03,7.24,7.75,7.84,7.24,657049,0.0,8.53,10.24,0.72,0.55
明晟,MSCI,2011-03-04,7.85,7.27,7.85,7.01,555176,0.0,10.84,-6.19,-0.48,0.46
明晟,MSCI,2011-03-07,7.4,6.98,7.68,6.6,617608,0.0,14.86,-3.99,-0.29,0.52
明晟,MSCI,2011-03-08,6.98,7.48,7.88,6.89,525016,0.0,14.18,7.16,0.5,0.44
明晟,MSCI,2011-03-25,8.08,8.58,8.71,7.9,527956,0.0,10.83,14.71,1.1,0.44
明晟,MSCI,2011-03-28,8.59,8.48,8.73,8.33,370981,0.0,4.66,-1.17,-0.1,0.31
明晟,MSCI,2011-03-29,8.37,8.72,8.91,8.28,316131,0.0,7.43,2.83,0.24,0.26
明晟,MSCI,2011-03-30,8.86,8.29,8.86,8.19,546206,0.0,7.68,-4.93,-0.43,0.46
明晟,MSCI,2011-03-31,8.24,8.84,8.84,8.12,689923,0.0,8.69,6.63,0.55,0.57
明晟,MSCI,2011-04-01,9.01,10.2,10.24,8.84,826996,0.0,15.84,15.38,1.36,0.69
明晟,MSCI,2011-04-04,10.2,10.24,10.53,9.83,760252,0.0,6.86,0.39,0.04,0.63
明晟,MSCI,2011-04-05,10.23,9.48,10.25,9.42,707457,0.0,8.11,-7.42,-0.76,0.59
明晟,MSCI,2011-04-06,9.57,9.61,9.69,9.42,493118,0.0,2.85,1.37,0.13,0.41
明晟,MSCI,2011-04-07,9.5,9.44,10.11,9.42,666481,0.0,7.18,-1.77,-0.17,0.55
明晟,MSCI,2011-04-08,9.5,8.66,9.64,8.66,363679,0.0,10.38,-8.26,-0.78,0.3
明晟,MSCI,2011-04-11,8.86,8.46,8.99,8.21,307224,0.0,9.01,-2.31,-0.2,0.26
明晟,MSCI,2011-04-12,8.29,8.19,8.37,7.96,349002,0.0,4.85,-3.19,-0.27,0.29
明晟,MSCI,2011-04-13,8.34,7.75,8.45,7.69,219631,0.0,9.28,-5.37,-0.44,0.18
明晟,MSCI,2011-04-14,7.45,6.97,7.48,6.97,630066,0.0,6.58,-10.06,-0.78,0.52
明晟,MSCI,2011-04-15,7.03,6.85,7.14,6.7,408697,0.0,6.31,-1.72,-0.12,0.34
明晟,MSCI,2011-04-18,6.45,5.88,6.45,5.72,643517,0.0,10.66,-14.16,-0.97,0.54
明晟,MSCI,2011-04-19,5.9,6.03,6.15,5.66,763815,0.0,8.33,2.55,0.15,0.64
明晟,MSCI,2011-04-20,6.61,5.97,6.61,5.91,472053,0.0,11.61,-1.0,-0.06,0.39
明晟,MSCI,2011-04-21,6.07,6.08,6.13,5.9,514945,0.0,3.85,1.84,0.11,0.43
明晟,MSCI,2011-04-25,6.01,6.28,6.33,5.93,501043,0.0,6.58,3.29,0.2,0.42
明晟,MSCI,2011-04-26,6.29,6.62,6.7,6.28,625070,0.0,6.69,5.41,0.34,0.52
明晟,MSCI,2011-04-27,6.72,7.28,7.36,6.33,809530,0.0,15.56,9.97,0.66,0.67
明晟,MSCI,2011-04-28,7.28,7.45,7.71,7.19,691095,0.0,7.14,2.34,0.17,0.58
明晟,MSCI,2011-04-29,7.39,7.49,7.72,7.27,470651,0.0,6.04,0.54,0.04,0.39
明晟,MSCI,2011-05-02,7.68,7.38,7.79,7.32,450068,0.0,6.28,-1.47,-0.11,0.37
明晟,MSCI,2011-05-03,7.25,6.99,7.38,6.62,533397,0.0,10.3,-5.28,-0.39,0.44
明晟,MSCI,2011-05-04,6.94,7.79,7.81,6.81,1309798,0.0,14.31,11.44,0.8,1.09
明晟,MSCI,2011-05-05,7.52,8.63,9.03,7.36,1179186,0.0,21.44,10.78,0.84,0.98
明晟,MSCI,2011-05-06,9.2,9.44,10.64,9.2,845303,0.0,16.69,9.39,0.81,0.7
明晟,MSCI,2011-05-09,9.45,9.65,9.87,9.3,387820,0.0,6.04,2.22,0.21,0.32
明晟,MSCI,2011-05-10,9.69,10.02,10.11,9.66,304995,0.0,4.66,3.83,0.37,0.25
明晟,MSCI,2011-05-11,10.03,9.82,10.11,9.32,350882,0.0,7.88,-2.0,-0.2,0.29
明晟,MSCI,2011-05-12,9.59,9.97,10.02,9.41,345872,0.0,6.21,1.53,0.15,0.29
明晟,MSCI,2011-05-13,9.93,9.02,10.12,8.99,587909,0.0,11.33,-9.53,-0.95,0.49
明晟,MSCI,2011-05-16,8.94,8.71,9.22,8.64,374931,0.0,6.43,-3.44,-0.31,0.31
明晟,MSCI,2011-05-17,8.5,8.3,8.54,7.96,436800,0.0,6.66,-4.71,-0.41,0.36
明晟,MSCI,2011-05-18,8.31,9.13,9.17,8.29,243315,0.0,10.6,10.0,0.83,0.2
明晟,MSCI,2011-05-19,9.25,8.81,9.35,8.56,348689,0.0,8.65,-3.5,-0.32,0.29
明晟,MSCI,2011-05-20,8.79,8.58,8.99,8.42,744309,0.0,6.47,-2.61,-0.23,0.62
明晟,MSCI,2011-05-23,8.09,8.3,8.46,7.75,431062,0.0,8.28,-3.26,-0.28,0.36
明晟,MSCI,2011-05-24,8.44,8.36,8.44,8.09,457593,0.0,4.22,0.72,0.06,0.38
明晟,MSCI,2011-05-25,8.2,8.63,8.71,8.09,404404,0.0,7.42,3.23,0.27,0.34
明晟,MSCI,2011-05-26,8.46,8.87,8.87,8.35,337279,0.0,6.03,2.78,0.24,0.28
明晟,MSCI,2011-05-27,8.93,9.06,9.1,8.87,264048,0.0,2.59,2.14,0.19,0.22
明晟,MSCI,2011-05-31,9.38,9.79,9.79,8.87,698650,0.0,10.15,8.06,0.73,0.58
明晟,MSCI,2011-06-01,9.66,9.07,9.66,9.01,553034,0.0,6.64,-7.35,-0.72,0.46
明晟,MSCI,2011-06-02,9.21,9.21,9.3,8.95,253215,0.0,3.86,1.54,0.14,0.21
明晟,MSCI,2011-06-03,8.71,8.55,8.93,8.53,440072,0.0,4.34,-7.17,-0.66,0.37
明晟,MSCI,2011-06-06,8.4,8.17,8.6,7.99,347185,0.0,7.13,-4.44,-0.38,0.29
明晟,MSCI,2011-06-07,8.26,8.67,8.84,7.82,539406,0.0,12.48,6.12,0.5,0.45
明晟,MSCI,2011-06-08,8.5,8.39,8.6,8.29,391913,0.0,3.58,-3.23,-0.28,0.33
明晟,MSCI,2011-06-09,8.51,8.98,9.01,8.17,481413,0.0,10.01,7.03,0.59,0.4
明晟,MSCI,2011-06-10,8.7,9.05,9.16,8.61,586642,0.0,6.12,0.78,0.07,0.49
明晟,MSCI,2011-06-13,9.02,9.38,9.53,8.85,691141,0.0,7.51,3.65,0.33,0.58
明晟,MSCI,2011-06-14,9.9,9.79,10.06,9.55,606959,0.0,5.44,4.37,0.41,0.51
明晟,MSCI,2011-06-15,9.49,9.64,9.92,9.35,1231982,0.0,5.82,-1.53,-0.15,1.03
明晟,MSCI,2011-06-16,9.58,9.94,10.19,9.41,888264,0.0,8.09,3.11,0.3,0.74
明晟,MSCI,2011-06-17,10.27,9.32,10.27,9.17,662895,0.0,11.07,-6.24,-0.62,0.55
明晟,MSCI,2011-06-20,9.13,9.48,9.68,9.07,520006,0.0,6.55,1.72,0.16,0.43
明晟,MSCI,2011-06-21,9.61,10.21,10.49,9.57,682254,0.0,9.7,7.7,0.73,0.57
明晟,MSCI,2011-06-22,9.96,9.83,10.36,9.83,574417,0.0,5.19,-3.72,-0.38,0.48
明晟,MSCI,2011-06-23,9.43,9.36,9.59,8.98,598312,0.0,6.21,-4.78,-0.47,0.5
明晟,MSCI,2011-06-24,9.42,8.9,9.48,8.83,902930,0.0,6.94,-4.91,-0.46,0.75
明晟,MSCI,2011-06-27,8.98,9.6,9.7,8.72,391255,0.0,11.01,7.87,0.7,0.33
明晟,MSCI,2011-06-28,9.6,9.94,10.04,9.5,492330,0.0,5.63,3.54,0.34,0.41
明晟,MSCI,2011-06-29,10.13,9.92,10.2,9.8,511820,0.0,4.02,-0.2,-0.02,0.43
明晟,MSCI,2011-06-30,9.96,9.7,10.15,9.7,793287,0.0,4.54,-2.22,-0.22,0.66
明晟,MSCI,2011-07-01,9.84,9.93,10.1,9.79,809573,0.0,3.2,2.37,0.23,0.67
明晟,MSCI,2011-07-05,9.95,10.03,10.08,9.83,799462,0.0,2.52,1.01,0.1,0.66
明晟,MSCI,2011-07-06,10.06,10.62,10.74,9.84,782068,0.0,8.97,5.88,0.59,0.65
明晟,MSCI,2011-07-07,10.94,10.77,11.04,10.64,611454,0.0,3.77,1.41,0.15,0.51
明晟,MSCI,2011-07-08,10.31,10.91,10.94,10.15,337636,0.0,7.34,1.3,0.14,0.28
明晟,MSCI,2011-07-11,10.42,9.73,10.42,9.64,469116,0.0,7.15,-10.82,-1.18,0.39
明晟,MSCI,2011-07-12,9.64,9.77,10.0,9.52,297997,0.0,4.93,0.41,0.04,0.25
明晟,MSCI,2011-07-13,9.89,9.91,10.29,9.62,421943,0.0,6.86,1.43,0.14,0.35
明晟,MSCI,2011-07-14,9.87,9.17,10.26,9.16,323902,0.0,11.1,-7.47,-0.74,0.27
明晟,MSCI,2011-07-15,9.39,9.19,9.42,8.84,307655,0.0,6.32,0.22,0.02,0.26
明晟,MSCI,2011-07-18,9.1,8.52,9.1,8.32,279195,0.0,8.49,-7.29,-0.67,0.23
明晟,MSCI,2011-07-19,8.67,9.42,9.45,8.67,342017,0.0,9.15,10.56,0.9,0.28
明晟,MSCI,2011-07-20,9.52,9.52,9.58,9.16,339907,0.0,4.46,1.06,0.1,0.28
明晟,MSCI,2011-07-21,9.64,10.2,10.4,9.6,278548,0.0,8.4,7.14,0.68,0.23
明晟,MSCI,2011-07-22,10.08,9.95,10.11,9.83,125823,0.0,2.75,-2.45,-0.25,0.1
明晟,MSCI,2011-07-25,9.58,9.75,10.11,9.32,229946,0.0,7.94,-2.01,-0.2,0.19
明晟,MSCI,2011-07-26,9.78,9.14,9.78,9.1,284467,0.0,6.97,-6.26,-0.61,0.24
明晟,MSCI,2011-07-27,8.92,7.47,8.93,7.47,505877,0.0,15.97,-18.27,-1.67,0.42
明晟,MSCI,2011-07-28,7.47,7.92,8.18,7.34,945441,0.0,11.24,6.02,0.45,0.78
明晟,MSCI,2011-07-29,7.5,7.51,8.48,7.28,1019332,0.0,15.15,-5.18,-0.41,0.85
明晟,MSCI,2011-08-01,7.88,7.81,7.91,7.25,975547,0.0,8.79,3.99,0.3,0.81
明晟,MSCI,2011-08-02,7.52,6.43,8.05,6.43,652646,0.0,20.74,-17.67,-1.38,0.54
明晟,MSCI,2011-08-03,6.29,6.94,7.19,5.97,670562,0.0,18.97,7.93,0.51,0.56
明晟,MSCI,2011-08-04,6.49,5.98,7.12,5.77,1316235,0.0,19.45,-13.83,-0.96,1.09
明晟,MSCI,2011-08-05,6.44,4.99,6.44,4.14,1379832,0.0,38.46,-16.56,-0.99,1.15
明晟,MSCI,2011-08-08,4.08,2.38,4.68,2.13,1551096,0.0,51.1,-52.3,-2.61,1.29
明晟,MSCI,2011-08-09,3.0,5.71,5.71,2.69,1937732,0.0,126.89,139.92,3.33,1.61
明晟,MSCI,2011-08-10,4.82,4.33,5.52,3.99,1528996,0.0,26.8,-24.17,-1.38,1.27
明晟,MSCI,2011-08-11,4.52,5.71,6.06,4.36,1127757,0.0,39.26,31.87,1.38,0.94
明晟,MSCI,2011-08-12,5.74,5.65,6.04,5.25,535472,0.0,13.84,-1.05,-0.06,0.44
明晟,MSCI,2011-08-15,5.95,7.15,7.15,5.95,856577,0.0,21.24,26.55,1.5,0.71
明晟,MSCI,2011-08-16,6.76,6.65,6.98,6.31,1192112,0.0,9.37,-6.99,-0.5,0.99
明晟,MSCI,2011-08-17,6.74,6.07,6.89,5.78,387050,0.0,16.69,-8.72,-0.58,0.32
明晟,MSCI,2011-08-18,4.89,4.25,5.0,3.97,1611126,0.0,16.97,-29.98,-1.82,1.34
