股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
微软,MSFT,2000-01-03,31.35,30.94,31.97,28.66,53228400,0.0,10.66,-0.32,-0.1,1.04
微软,MSFT,2000-01-04,29.44,28.97,31.22,28.79,54119000,0.0,7.85,-6.37,-1.97,1.05
微软,MSFT,2000-01-05,28.22,29.57,30.85,27.35,64059600,0.0,12.08,2.07,0.6,1.25
微软,MSFT,2000-01-06,28.76,27.66,29.6,26.85,54976600,0.0,9.3,-6.46,-1.91,1.07
微软,MSFT,2000-01-07,26.97,28.38,28.79,26.32,62013600,0.0,8.93,2.6,0.72,1.21
微软,MSFT,2000-01-10,29.38,28.79,29.51,28.35,44963600,0.0,4.09,1.44,0.41,0.87
微软,MSFT,2000-01-11,28.41,27.35,29.79,27.01,46743600,0.0,9.66,-5.0,-1.44,0.91
微软,MSFT,2000-01-12,26.91,25.57,27.1,24.88,66532400,0.0,8.12,-6.51,-1.78,1.29
微软,MSFT,2000-01-13,24.85,26.57,26.97,23.41,83144000,0.0,13.92,3.91,1.0,1.62
微软,MSFT,2000-01-14,26.26,28.79,29.63,25.54,73416400,0.0,15.39,8.36,2.22,1.43
微软,MSFT,2000-01-18,28.57,30.32,30.91,28.54,81483600,0.0,8.23,5.31,1.53,1.58
微软,MSFT,2000-01-19,27.91,26.16,28.41,25.66,97568200,0.0,9.07,-13.72,-4.16,1.9
微软,MSFT,2000-01-20,26.19,25.66,27.51,25.6,56349800,0.0,7.3,-1.91,-0.5,1.1
微软,MSFT,2000-01-21,26.16,24.54,26.29,24.29,68416200,0.0,7.79,-4.36,-1.12,1.33
微软,MSFT,2000-01-24,24.56,23.29,25.51,23.07,63597600,0.0,9.94,-5.09,-1.25,1.24
微软,MSFT,2000-01-25,23.16,24.07,24.6,22.44,59823200,0.0,9.27,3.35,0.78,1.16
微软,MSFT,2000-01-26,23.88,22.35,24.41,22.22,49365000,0.0,9.1,-7.15,-1.72,0.96
微软,MSFT,2000-01-27,22.61,22.04,23.26,21.29,63654800,0.0,8.81,-1.39,-0.31,1.24
微软,MSFT,2000-01-28,21.72,21.79,22.79,21.29,58225400,0.0,6.81,-1.13,-0.25,1.13
微软,MSFT,2000-01-31,21.47,21.6,21.76,20.1,73194200,0.0,7.62,-0.87,-0.19,1.42
微软,MSFT,2000-02-01,21.91,24.13,24.29,21.51,70196600,0.0,12.87,11.71,2.53,1.37
微软,MSFT,2000-02-02,23.88,23.07,24.63,22.91,49915600,0.0,7.13,-4.39,-1.06,0.97
微软,MSFT,2000-02-03,23.69,24.47,24.76,22.72,49186000,0.0,8.84,6.07,1.4,0.96
微软,MSFT,2000-02-04,24.85,25.94,26.66,24.73,55365400,0.0,7.89,6.01,1.47,1.08
微软,MSFT,2000-02-07,26.07,25.97,26.1,24.79,40005800,0.0,5.05,0.12,0.03,0.78
微软,MSFT,2000-02-08,25.88,27.63,27.66,25.88,56229000,0.0,6.85,6.39,1.66,1.09
微软,MSFT,2000-02-09,27.38,24.66,27.38,24.6,55090000,0.0,10.06,-10.75,-2.97,1.07
微软,MSFT,2000-02-10,24.61,25.66,25.94,23.91,54527800,0.0,8.23,4.06,1.0,1.06
微软,MSFT,2000-02-11,25.1,22.63,25.1,22.22,115559000,0.0,11.22,-11.81,-3.03,2.25
微软,MSFT,2000-02-14,23.28,22.47,23.54,22.19,81028600,0.0,5.97,-0.71,-0.16,1.58
微软,MSFT,2000-02-15,22.54,21.94,22.66,21.72,71027600,0.0,4.18,-2.36,-0.53,1.38
微软,MSFT,2000-02-16,22.29,21.47,22.76,21.22,65202600,0.0,7.02,-2.14,-0.47,1.27
微软,MSFT,2000-02-17,21.91,22.47,22.51,21.23,80343400,0.0,5.96,4.66,1.0,1.56
微软,MSFT,2000-02-18,22.66,20.19,22.69,20.1,79063000,0.0,11.53,-10.15,-2.28,1.54
微软,MSFT,2000-02-22,20.22,19.57,21.22,19.07,66296200,0.0,10.65,-3.07,-0.62,1.29
微软,MSFT,2000-02-23,19.41,19.79,20.54,18.69,75847200,0.0,9.45,1.12,0.22,1.48
微软,MSFT,2000-02-24,19.79,20.04,20.6,18.66,69733200,0.0,9.8,1.26,0.25,1.36
微软,MSFT,2000-02-25,20.01,18.32,20.01,17.91,65301400,0.0,10.48,-8.58,-1.72,1.27
微软,MSFT,2000-02-28,17.79,18.44,18.72,16.72,76131800,0.0,10.92,0.66,0.12,1.48
微软,MSFT,2000-02-29,18.54,17.35,18.54,17.1,58437400,0.0,7.81,-5.91,-1.09,1.14
微软,MSFT,2000-03-01,17.47,18.07,19.71,17.13,106889800,0.0,14.87,4.15,0.72,2.08
微软,MSFT,2000-03-02,18.57,19.35,20.35,18.22,106932600,0.0,11.79,7.08,1.28,2.08
