股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
摩托罗拉解决方案,MSI,2000-01-03,155.61,152.55,158.87,148.79,1768200,0.0,6.71,1.6,2.4,0.29
摩托罗拉解决方案,MSI,2000-01-04,145.04,137.36,148.12,136.17,2138900,0.0,7.83,-9.96,-15.19,0.36
摩托罗拉解决方案,MSI,2000-01-05,136.17,132.41,136.68,127.63,2421300,0.0,6.59,-3.6,-4.95,0.4
摩托罗拉解决方案,MSI,2000-01-06,131.39,111.58,132.06,110.22,2469000,0.0,16.49,-15.73,-20.83,0.41
摩托罗拉解决方案,MSI,2000-01-07,117.04,124.97,125.41,115.59,3387600,0.0,8.8,12.0,13.39,0.56
摩托罗拉解决方案,MSI,2000-01-10,129.85,139.9,145.2,128.49,2653900,0.0,13.37,11.95,14.93,0.44
摩托罗拉解决方案,MSI,2000-01-11,133.6,130.36,141.47,129.94,1796400,0.0,8.24,-6.82,-9.54,0.3
摩托罗拉解决方案,MSI,2000-01-12,133.28,131.81,138.81,130.36,1799000,0.0,6.48,1.11,1.45,0.3
摩托罗拉解决方案,MSI,2000-01-13,135.31,138.29,140.93,132.41,1318400,0.0,6.46,4.92,6.48,0.22
摩托罗拉解决方案,MSI,2000-01-14,145.71,155.28,159.55,145.71,2713900,0.0,10.01,12.29,16.99,0.45
摩托罗拉解决方案,MSI,2000-01-18,145.04,145.71,150.24,143.85,3557400,0.0,4.12,-6.16,-9.57,0.59
摩托罗拉解决方案,MSI,2000-01-19,145.36,141.28,147.67,140.25,1793900,0.0,5.09,-3.04,-4.43,0.3
摩托罗拉解决方案,MSI,2000-01-20,142.47,141.63,147.77,140.77,1964700,0.0,4.95,0.25,0.35,0.33
摩托罗拉解决方案,MSI,2000-01-21,150.15,146.23,150.75,144.87,1581100,0.0,4.15,3.25,4.6,0.26
摩托罗拉解决方案,MSI,2000-01-24,149.12,139.23,150.4,139.23,1368300,0.0,7.64,-4.79,-7.0,0.23
摩托罗拉解决方案,MSI,2000-01-25,140.77,143.17,143.4,136.59,1598400,0.0,4.89,2.83,3.94,0.27
摩托罗拉解决方案,MSI,2000-01-26,142.82,139.58,148.44,135.14,1720900,0.0,9.29,-2.51,-3.59,0.29
摩托罗拉解决方案,MSI,2000-01-27,140.25,134.79,141.12,134.44,1837100,0.0,4.79,-3.43,-4.79,0.31
摩托罗拉解决方案,MSI,2000-01-28,138.2,124.22,140.93,119.77,2440000,0.0,15.7,-7.84,-10.57,0.41
摩托罗拉解决方案,MSI,2000-01-31,124.55,134.79,135.82,121.56,2195800,0.0,11.48,8.51,10.57,0.31
摩托罗拉解决方案,MSI,2000-02-01,137.17,136.01,139.58,130.97,1795100,0.0,6.39,0.91,1.22,0.25
摩托罗拉解决方案,MSI,2000-02-02,136.17,146.58,150.68,136.08,2125700,0.0,10.73,7.77,10.57,0.3
摩托罗拉解决方案,MSI,2000-02-03,148.63,157.66,157.92,148.63,2293900,0.0,6.34,7.56,11.08,0.32
摩托罗拉解决方案,MSI,2000-02-04,157.92,162.09,164.22,154.42,2255000,0.0,6.22,2.81,4.43,0.32
摩托罗拉解决方案,MSI,2000-02-07,160.23,166.04,166.27,158.27,1059400,0.0,4.94,2.44,3.95,0.15
摩托罗拉解决方案,MSI,2000-02-08,167.55,167.39,169.44,162.86,1684300,0.0,3.96,0.81,1.35,0.24
摩托罗拉解决方案,MSI,2000-02-09,167.55,158.76,167.55,156.82,1637000,0.0,6.41,-5.16,-8.63,0.23
摩托罗拉解决方案,MSI,2000-02-10,159.11,161.11,164.05,158.87,1719700,0.0,3.26,1.48,2.35,0.24
摩托罗拉解决方案,MSI,2000-02-11,160.04,155.61,161.07,151.85,1559900,0.0,5.72,-3.41,-5.5,0.22
摩托罗拉解决方案,MSI,2000-02-14,157.5,150.15,157.5,148.86,1558400,0.0,5.55,-3.51,-5.46,0.22
摩托罗拉解决方案,MSI,2000-02-15,151.59,152.46,153.83,144.43,1858500,0.0,6.26,1.54,2.31,0.26
摩托罗拉解决方案,MSI,2000-02-16,152.46,151.01,155.28,149.98,1291700,0.0,3.48,-0.95,-1.45,0.18
摩托罗拉解决方案,MSI,2000-02-17,147.77,150.15,152.04,144.36,1757100,0.0,5.09,-0.57,-0.86,0.25
摩托罗拉解决方案,MSI,2000-02-18,149.98,147.0,151.17,146.58,1315500,0.0,3.06,-2.1,-3.15,0.18
摩托罗拉解决方案,MSI,2000-02-22,148.44,163.12,165.34,146.48,2118200,0.0,12.83,10.97,16.12,0.3
摩托罗拉解决方案,MSI,2000-02-23,159.2,168.58,170.03,155.86,2086200,0.0,8.69,3.35,5.46,0.29
摩托罗拉解决方案,MSI,2000-02-24,167.23,173.36,174.04,164.22,2247800,0.0,5.83,2.84,4.78,0.31
摩托罗拉解决方案,MSI,2000-02-25,170.28,166.53,172.34,164.82,1476300,0.0,4.34,-3.94,-6.83,0.21
摩托罗拉解决方案,MSI,2000-02-28,167.81,165.5,169.96,160.32,1458300,0.0,5.79,-0.62,-1.03,0.2
摩托罗拉解决方案,MSI,2000-02-29,167.55,183.93,188.37,167.13,2950200,0.0,12.83,11.14,18.43,0.41
摩托罗拉解决方案,MSI,2000-03-01,183.26,181.39,183.51,174.04,1981400,0.0,5.15,-1.38,-2.54,0.28
摩托罗拉解决方案,MSI,2000-03-02,181.2,186.92,188.04,176.28,2090200,0.0,6.48,3.05,5.53,0.29
摩托罗拉解决方案,MSI,2000-03-03,188.72,188.46,195.46,187.36,1636600,0.0,4.33,0.82,1.54,0.23
摩托罗拉解决方案,MSI,2000-03-06,190.09,195.72,200.15,190.09,1425300,0.0,5.34,3.85,7.26,0.2
摩托罗拉解决方案,MSI,2000-03-07,200.31,191.19,201.18,190.77,1866400,0.0,5.32,-2.31,-4.53,0.26
