股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美国制商银行,MTB,2000-01-03,-25.33,-26.17,-25.33,-26.33,130000,0.0,-3.94,-3.03,-0.77,1.68
美国制商银行,MTB,2000-01-04,-26.19,-27.48,-26.19,-28.43,105000,0.0,-8.56,-5.01,-1.31,1.36
美国制商银行,MTB,2000-01-05,-27.29,-27.3,-27.29,-27.95,77000,0.0,-2.4,0.66,0.18,1.0
美国制商银行,MTB,2000-01-06,-27.3,-26.84,-26.43,-27.73,333000,0.0,-4.76,1.68,0.46,4.31
美国制商银行,MTB,2000-01-07,-26.83,-26.13,-25.48,-26.98,347000,0.0,-5.59,2.65,0.71,4.49
美国制商银行,MTB,2000-01-10,-26.28,-26.1,-25.72,-26.4,95000,0.0,-2.6,0.11,0.03,1.23
美国制商银行,MTB,2000-01-11,-26.13,-27.3,-26.0,-27.83,87000,0.0,-7.01,-4.6,-1.2,1.13
美国制商银行,MTB,2000-01-12,-27.38,-26.84,-26.68,-27.43,144000,0.0,-2.75,1.68,0.46,1.86
美国制商银行,MTB,2000-01-13,-26.84,-25.8,-25.8,-26.84,44000,0.0,-3.87,3.87,1.04,0.57
美国制商银行,MTB,2000-01-14,-25.83,-24.8,-24.28,-25.83,87000,0.0,-6.01,3.88,1.0,1.13
美国制商银行,MTB,2000-01-18,-24.53,-24.83,-24.35,-24.83,87000,0.0,-1.94,-0.12,-0.03,1.13
美国制商银行,MTB,2000-01-19,-25.23,-25.63,-25.08,-25.7,117000,0.0,-2.5,-3.22,-0.8,1.51
美国制商银行,MTB,2000-01-20,-25.53,-25.95,-25.53,-25.95,44000,0.0,-1.64,-1.25,-0.32,0.57
美国制商银行,MTB,2000-01-21,-25.81,-25.64,-25.43,-25.83,103000,0.0,-1.54,1.19,0.31,1.33
美国制商银行,MTB,2000-01-24,-25.63,-26.33,-25.6,-26.33,234000,0.0,-2.85,-2.69,-0.69,3.03
美国制商银行,MTB,2000-01-25,-26.13,-26.33,-26.13,-26.82,211000,0.0,-2.62,0.0,0.0,2.73
美国制商银行,MTB,2000-01-26,-26.83,-24.88,-24.88,-26.83,238000,0.0,-7.41,5.51,1.45,3.08
美国制商银行,MTB,2000-01-27,-24.65,-24.83,-24.63,-25.25,208000,0.0,-2.49,0.2,0.05,2.69
美国制商银行,MTB,2000-01-28,-25.18,-26.18,-25.18,-26.63,75000,0.0,-5.84,-5.44,-1.35,0.97
美国制商银行,MTB,2000-01-31,-26.23,-25.73,-25.38,-26.63,109000,0.0,-4.77,1.72,0.45,1.41
美国制商银行,MTB,2000-02-01,-26.03,-26.68,-25.2,-26.78,78000,0.0,-6.14,-3.69,-0.95,1.01
美国制商银行,MTB,2000-02-02,-26.65,-26.43,-26.15,-26.78,114000,0.0,-2.36,0.94,0.25,1.48
美国制商银行,MTB,2000-02-03,-26.13,-26.81,-26.13,-26.83,144000,0.0,-2.65,-1.44,-0.38,1.86
美国制商银行,MTB,2000-02-04,-26.81,-26.3,-26.13,-26.83,131000,0.0,-2.61,1.9,0.51,1.7
美国制商银行,MTB,2000-02-07,-26.28,-26.6,-26.18,-26.65,116000,0.0,-1.79,-1.14,-0.3,1.5
美国制商银行,MTB,2000-02-08,-26.58,-26.48,-26.33,-26.58,150000,0.0,-0.94,0.45,0.12,1.94
美国制商银行,MTB,2000-02-09,-26.73,-26.71,-26.28,-26.78,152000,0.0,-1.89,-0.87,-0.23,1.97
美国制商银行,MTB,2000-02-10,-26.68,-26.73,-26.65,-26.73,217000,0.0,-0.3,-0.07,-0.02,2.81
美国制商银行,MTB,2000-02-11,-26.72,-26.83,-26.24,-26.83,170000,0.0,-2.21,-0.37,-0.1,2.2
美国制商银行,MTB,2000-02-14,-26.83,-26.83,-26.68,-27.25,123000,0.0,-2.12,0.0,0.0,1.59
美国制商银行,MTB,2000-02-15,-27.13,-27.63,-27.13,-28.1,72000,0.0,-3.62,-2.98,-0.8,0.93
美国制商银行,MTB,2000-02-16,-27.63,-27.98,-27.63,-28.0,250000,0.0,-1.34,-1.27,-0.35,3.24
美国制商银行,MTB,2000-02-17,-27.98,-28.35,-27.98,-29.13,136000,0.0,-4.11,-1.32,-0.37,1.76
美国制商银行,MTB,2000-02-18,-28.5,-29.23,-27.73,-29.78,136000,0.0,-7.23,-3.1,-0.88,1.77
美国制商银行,MTB,2000-02-22,-29.33,-29.63,-29.33,-29.95,117000,0.0,-2.12,-1.37,-0.4,1.52
美国制商银行,MTB,2000-02-23,-29.63,-30.03,-29.63,-30.33,75000,0.0,-2.36,-1.35,-0.4,0.98
美国制商银行,MTB,2000-02-24,-30.13,-29.88,-29.88,-31.03,139000,0.0,-3.83,0.5,0.15,1.81
美国制商银行,MTB,2000-02-25,-30.43,-29.89,-29.83,-31.13,238000,0.0,-4.35,-0.03,-0.01,3.1
美国制商银行,MTB,2000-02-28,-29.89,-29.96,-29.89,-30.7,277000,0.0,-2.71,-0.23,-0.07,3.6
美国制商银行,MTB,2000-02-29,-29.8,-29.8,-29.05,-30.19,120000,0.0,-3.81,0.53,0.16,1.56
美国制商银行,MTB,2000-03-01,-29.8,-29.71,-29.55,-30.1,142000,0.0,-1.85,0.3,0.09,1.85
美国制商银行,MTB,2000-03-02,-29.43,-29.7,-29.2,-29.75,298000,0.0,-1.85,0.03,0.01,3.88
美国制商银行,MTB,2000-03-03,-29.7,-29.7,-29.6,-29.8,256000,0.0,-0.67,0.0,0.0,3.33
美国制商银行,MTB,2000-03-06,-29.7,-29.2,-29.1,-29.7,120000,0.0,-2.02,1.68,0.5,1.56
美国制商银行,MTB,2000-03-07,-29.25,-29.9,-29.25,-30.6,108000,0.0,-4.62,-2.4,-0.7,1.4
美国制商银行,MTB,2000-03-08,-30.0,-30.3,-30.0,-30.7,92000,0.0,-2.34,-1.34,-0.4,1.2
美国制商银行,MTB,2000-03-09,-29.58,-29.85,-29.38,-29.88,238000,0.0,-1.65,1.49,0.45,3.1
美国制商银行,MTB,2000-03-10,-29.84,-29.33,-29.15,-30.6,70000,0.0,-4.86,1.74,0.52,0.91
美国制商银行,MTB,2000-03-13,-28.85,-28.56,-28.5,-29.2,123000,0.0,-2.39,2.63,0.77,1.6
美国制商银行,MTB,2000-03-14,-28.46,-28.34,-28.3,-28.48,119000,0.0,-0.63,0.77,0.22,1.55
美国制商银行,MTB,2000-03-15,-28.34,-27.35,-27.35,-29.1,162000,0.0,-6.18,3.49,0.99,2.11
美国制商银行,MTB,2000-03-16,-27.3,-24.25,-24.25,-27.49,181000,0.0,-11.85,11.33,3.1,2.35
美国制商银行,MTB,2000-03-17,-24.06,-21.74,-21.72,-24.06,223000,0.0,-9.65,10.35,2.51,2.9
美国制商银行,MTB,2000-03-20,-22.2,-22.91,-22.2,-23.5,103000,0.0,-5.98,-5.38,-1.17,1.34
美国制商银行,MTB,2000-03-21,-23.2,-23.0,-22.33,-23.7,112000,0.0,-5.98,-0.39,-0.09,1.46
美国制商银行,MTB,2000-03-22,-20.89,-22.35,-20.89,-23.44,244000,0.0,-11.09,2.83,0.65,3.17
美国制商银行,MTB,2000-03-23,-22.6,-22.88,-22.23,-23.28,206000,0.0,-4.7,-2.37,-0.53,2.68
美国制商银行,MTB,2000-03-24,-22.58,-21.83,-21.8,-22.6,84000,0.0,-3.5,4.59,1.05,1.09
美国制商银行,MTB,2000-03-27,-21.83,-22.2,-21.83,-22.4,48000,0.0,-2.61,-1.69,-0.37,0.62
美国制商银行,MTB,2000-03-28,-22.3,-22.48,-21.95,-22.63,12000,0.0,-3.06,-1.26,-0.28,0.16
美国制商银行,MTB,2000-03-29,-22.48,-21.71,-21.71,-22.53,103000,0.0,-3.65,3.43,0.77,1.34
美国制商银行,MTB,2000-03-30,-21.76,-22.35,-21.76,-22.35,102000,0.0,-2.72,-2.95,-0.64,1.33
美国制商银行,MTB,2000-03-31,-22.35,-22.05,-21.7,-23.5,206000,0.0,-8.05,1.34,0.3,2.68
美国制商银行,MTB,2000-04-03,-21.9,-20.1,-19.5,-21.98,217000,0.0,-11.25,8.84,1.95,2.82
美国制商银行,MTB,2000-04-04,-20.35,-20.49,-20.35,-20.5,100000,0.0,-0.75,-1.94,-0.39,1.3
美国制商银行,MTB,2000-04-05,-20.54,-21.2,-20.51,-21.7,10300000,0.0,-5.81,-3.47,-0.71,133.99
美国制商银行,MTB,2000-04-06,-21.3,-21.1,-20.7,-21.3,55000,0.0,-2.83,0.47,0.1,0.72
美国制商银行,MTB,2000-04-07,-21.1,-22.05,-21.1,-22.39,134000,0.0,-6.11,-4.5,-0.95,1.74
美国制商银行,MTB,2000-04-10,-22.24,-22.74,-22.24,-23.2,91000,0.0,-4.35,-3.13,-0.69,1.18
美国制商银行,MTB,2000-04-11,-22.94,-20.9,-20.7,-22.94,70000,0.0,-9.85,8.09,1.84,0.91
美国制商银行,MTB,2000-04-12,-21.09,-20.7,-20.65,-21.15,20000,0.0,-2.39,0.96,0.2,0.26
美国制商银行,MTB,2000-04-13,-19.8,-19.93,-19.8,-19.93,75000,0.0,-0.63,3.72,0.77,0.98
美国制商银行,MTB,2000-04-14,-20.13,-21.8,-20.13,-22.03,103000,0.0,-9.53,-9.38,-1.87,1.34
美国制商银行,MTB,2000-04-17,-21.9,-23.2,-21.9,-23.7,209000,0.0,-8.26,-6.42,-1.4,2.72
美国制商银行,MTB,2000-04-18,-22.9,-22.0,-22.0,-23.61,102000,0.0,-6.94,5.17,1.2,1.33
美国制商银行,MTB,2000-04-19,-22.4,-23.04,-22.4,-23.1,117000,0.0,-3.18,-4.73,-1.04,1.52
美国制商银行,MTB,2000-04-20,-22.65,-22.19,-21.71,-22.65,36000,0.0,-4.08,3.69,0.85,0.47
美国制商银行,MTB,2000-04-24,-21.71,-22.06,-21.71,-22.1,34000,0.0,-1.76,0.59,0.13,0.44
美国制商银行,MTB,2000-04-25,-21.8,-21.54,-20.0,-22.0,752000,0.0,-9.07,2.36,0.52,9.78
美国制商银行,MTB,2000-04-26,-21.7,-23.2,-21.7,-23.2,131000,0.0,-6.96,-7.71,-1.66,1.7
美国制商银行,MTB,2000-04-27,-22.73,-23.1,-22.73,-23.7,141000,0.0,-4.18,0.43,0.1,1.83
美国制商银行,MTB,2000-04-28,-23.2,-22.78,-22.78,-23.2,30000,0.0,-1.82,1.39,0.32,0.39
美国制商银行,MTB,2000-05-01,-23.23,-22.9,-22.8,-23.23,111000,0.0,-1.89,-0.53,-0.12,1.44
美国制商银行,MTB,2000-05-02,-22.7,-23.05,-22.43,-23.05,56000,0.0,-2.71,-0.66,-0.15,0.73
美国制商银行,MTB,2000-05-03,-23.05,-24.01,-23.03,-24.2,94000,0.0,-5.08,-4.16,-0.96,1.22
