股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
梅特勒-托利多,MTD,2001-01-02,53.62,52.0,53.69,51.25,134100,0.0,17.43,271.43,38.0,0.34
梅特勒-托利多,MTD,2001-01-03,52.19,52.94,53.0,51.38,114500,0.0,3.12,1.81,0.94,0.29
梅特勒-托利多,MTD,2001-01-04,52.94,52.0,53.81,52.0,140400,0.0,3.42,-1.78,-0.94,0.36
梅特勒-托利多,MTD,2001-01-05,52.19,52.31,53.19,52.0,136400,0.0,2.29,0.6,0.31,0.35
梅特勒-托利多,MTD,2001-01-08,52.06,50.75,52.06,50.62,163100,0.0,2.75,-2.98,-1.56,0.41
梅特勒-托利多,MTD,2001-01-09,50.94,50.62,51.25,50.0,123900,0.0,2.46,-0.26,-0.13,0.31
梅特勒-托利多,MTD,2001-01-10,50.69,50.5,51.25,50.25,153100,0.0,1.98,-0.24,-0.12,0.39
梅特勒-托利多,MTD,2001-01-11,50.69,53.06,53.25,50.56,95800,0.0,5.33,5.07,2.56,0.24
梅特勒-托利多,MTD,2001-01-12,53.06,51.56,53.19,51.06,295700,0.0,4.01,-2.83,-1.5,0.75
梅特勒-托利多,MTD,2001-01-16,51.31,49.75,51.31,49.38,299800,0.0,3.74,-3.51,-1.81,0.76
梅特勒-托利多,MTD,2001-01-17,49.75,47.0,50.0,46.69,200000,0.0,6.65,-5.53,-2.75,0.51
梅特勒-托利多,MTD,2001-01-18,47.12,48.81,49.12,47.12,195200,0.0,4.26,3.85,1.81,0.5
梅特勒-托利多,MTD,2001-01-19,48.5,48.69,49.12,48.25,125300,0.0,1.78,-0.25,-0.12,0.32
梅特勒-托利多,MTD,2001-01-22,48.5,49.0,49.5,48.12,154700,0.0,2.83,0.64,0.31,0.39
梅特勒-托利多,MTD,2001-01-23,49.0,50.25,50.25,49.0,133300,0.0,2.55,2.55,1.25,0.34
梅特勒-托利多,MTD,2001-01-24,50.25,51.69,52.94,49.88,186400,0.0,6.09,2.87,1.44,0.47
梅特勒-托利多,MTD,2001-01-25,51.5,51.31,52.62,51.06,96600,0.0,3.02,-0.74,-0.38,0.25
梅特勒-托利多,MTD,2001-01-26,51.56,51.31,51.69,49.25,102300,0.0,4.76,0.0,0.0,0.26
梅特勒-托利多,MTD,2001-01-29,51.06,51.6,52.0,50.85,79400,0.0,2.24,0.57,0.29,0.2
梅特勒-托利多,MTD,2001-01-30,51.7,52.74,53.7,51.6,161000,0.0,4.07,2.21,1.14,0.41
梅特勒-托利多,MTD,2001-01-31,52.85,51.8,53.92,51.74,124600,0.0,4.13,-1.78,-0.94,0.32
梅特勒-托利多,MTD,2001-02-01,52.0,53.05,53.29,51.5,92300,0.0,3.46,2.41,1.25,0.23
梅特勒-托利多,MTD,2001-02-02,53.0,52.15,53.15,52.15,133500,0.0,1.89,-1.7,-0.9,0.34
梅特勒-托利多,MTD,2001-02-05,52.4,51.42,52.4,51.35,33700,0.0,2.01,-1.4,-0.73,0.09
梅特勒-托利多,MTD,2001-02-06,51.5,50.66,51.6,50.66,90600,0.0,1.83,-1.48,-0.76,0.23
梅特勒-托利多,MTD,2001-02-07,50.66,50.14,50.66,49.25,130800,0.0,2.78,-1.03,-0.52,0.33
梅特勒-托利多,MTD,2001-02-08,50.12,50.7,51.7,50.12,76600,0.0,3.15,1.12,0.56,0.19
梅特勒-托利多,MTD,2001-02-09,50.9,49.39,52.25,49.33,246400,0.0,5.76,-2.58,-1.31,0.63
梅特勒-托利多,MTD,2001-02-12,49.5,48.2,49.6,47.95,354400,0.0,3.34,-2.41,-1.19,0.9
梅特勒-托利多,MTD,2001-02-13,48.45,49.5,49.98,48.45,104100,0.0,3.17,2.7,1.3,0.26
梅特勒-托利多,MTD,2001-02-14,49.5,50.05,50.1,49.5,92200,0.0,1.21,1.11,0.55,0.23
梅特勒-托利多,MTD,2001-02-15,50.15,49.97,50.2,49.75,231100,0.0,0.9,-0.16,-0.08,0.59
梅特勒-托利多,MTD,2001-02-16,49.77,49.95,50.65,49.47,235600,0.0,2.36,-0.04,-0.02,0.6
梅特勒-托利多,MTD,2001-02-20,50.05,49.9,50.3,49.83,146600,0.0,0.94,-0.1,-0.05,0.37
梅特勒-托利多,MTD,2001-02-21,49.75,49.0,49.75,48.24,266800,0.0,3.03,-1.8,-0.9,0.68
梅特勒-托利多,MTD,2001-02-22,49.0,47.16,49.05,46.85,170100,0.0,4.49,-3.76,-1.84,0.43
梅特勒-托利多,MTD,2001-02-23,47.35,47.72,47.85,46.11,99100,0.0,3.69,1.19,0.56,0.25
梅特勒-托利多,MTD,2001-02-26,47.8,45.32,47.85,45.32,197100,0.0,5.3,-5.03,-2.4,0.5
梅特勒-托利多,MTD,2001-02-27,45.35,44.5,45.5,43.4,237600,0.0,4.63,-1.81,-0.82,0.6
梅特勒-托利多,MTD,2001-02-28,44.35,45.38,45.41,42.5,230200,0.0,6.54,1.98,0.88,0.58
梅特勒-托利多,MTD,2001-03-01,45.3,45.25,45.85,44.65,145300,0.0,2.64,-0.29,-0.13,0.37
梅特勒-托利多,MTD,2001-03-02,45.35,46.2,46.8,45.18,110400,0.0,3.58,2.1,0.95,0.28
梅特勒-托利多,MTD,2001-03-05,46.21,47.69,47.7,46.2,166600,0.0,3.25,3.23,1.49,0.42
梅特勒-托利多,MTD,2001-03-06,48.35,47.75,49.33,47.75,172900,0.0,3.31,0.13,0.06,0.44
梅特勒-托利多,MTD,2001-03-07,47.8,47.5,47.89,47.15,188500,0.0,1.55,-0.52,-0.25,0.48
梅特勒-托利多,MTD,2001-03-08,47.6,47.1,48.0,47.05,49500,0.0,2.0,-0.84,-0.4,0.13
梅特勒-托利多,MTD,2001-03-09,47.5,45.91,47.5,45.6,138100,0.0,4.03,-2.53,-1.19,0.35
梅特勒-托利多,MTD,2001-03-12,45.91,43.68,45.95,43.6,158800,0.0,5.12,-4.86,-2.23,0.4
梅特勒-托利多,MTD,2001-03-13,43.68,42.6,43.75,41.35,223000,0.0,5.49,-2.47,-1.08,0.57
梅特勒-托利多,MTD,2001-03-14,42.2,43.4,43.5,42.2,240000,0.0,3.05,1.88,0.8,0.61
梅特勒-托利多,MTD,2001-03-15,43.5,44.64,44.64,43.45,173700,0.0,2.74,2.86,1.24,0.44
梅特勒-托利多,MTD,2001-03-16,44.55,42.79,44.55,42.55,237800,0.0,4.48,-4.14,-1.85,0.6
梅特勒-托利多,MTD,2001-03-19,42.9,42.32,42.9,41.3,117800,0.0,3.74,-1.1,-0.47,0.3
梅特勒-托利多,MTD,2001-03-20,42.32,41.6,43.7,41.6,226800,0.0,4.96,-1.7,-0.72,0.57
梅特勒-托利多,MTD,2001-03-21,41.75,42.27,42.3,41.42,117800,0.0,2.12,1.61,0.67,0.3
梅特勒-托利多,MTD,2001-03-22,42.0,38.0,42.0,36.5,715300,0.0,13.01,-10.1,-4.27,1.8
