股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
诺信,NDSN,2001-01-02,-13.23,-13.35,-13.17,-13.37,217400,0.0,0.0,0.0,0.0,0.67
诺信,NDSN,2001-01-03,-13.35,-12.52,-12.48,-13.4,244800,0.0,-6.89,6.22,0.83,0.75
诺信,NDSN,2001-01-04,-12.47,-12.74,-12.02,-12.85,443400,0.0,-6.63,-1.76,-0.22,1.36
诺信,NDSN,2001-01-05,-12.79,-12.84,-12.62,-12.88,195600,0.0,-2.04,-0.78,-0.1,0.6
诺信,NDSN,2001-01-08,-12.73,-12.73,-12.7,-12.85,207400,0.0,-1.17,0.86,0.11,0.64
诺信,NDSN,2001-01-09,-12.73,-12.71,-12.63,-12.76,252400,0.0,-1.02,0.16,0.02,0.78
诺信,NDSN,2001-01-10,-12.67,-12.63,-12.63,-12.82,216600,0.0,-1.49,0.63,0.08,0.67
诺信,NDSN,2001-01-11,-12.62,-12.54,-12.52,-12.71,74400,0.0,-1.5,0.71,0.09,0.23
诺信,NDSN,2001-01-12,-12.54,-12.29,-12.29,-12.63,205600,0.0,-2.71,1.99,0.25,0.63
诺信,NDSN,2001-01-16,-12.32,-12.52,-12.32,-12.63,232000,0.0,-2.52,-1.87,-0.23,0.71
诺信,NDSN,2001-01-17,-12.54,-12.67,-12.51,-12.7,256600,0.0,-1.52,-1.2,-0.15,0.79
诺信,NDSN,2001-01-18,-12.71,-12.54,-12.51,-12.84,113600,0.0,-2.6,1.03,0.13,0.35
诺信,NDSN,2001-01-19,-12.63,-12.4,-12.21,-12.63,135600,0.0,-3.35,1.12,0.14,0.42
诺信,NDSN,2001-01-22,-12.39,-12.51,-12.39,-12.73,136000,0.0,-2.74,-0.89,-0.11,0.42
诺信,NDSN,2001-01-23,-12.52,-12.36,-12.29,-12.63,76000,0.0,-2.72,1.2,0.15,0.23
诺信,NDSN,2001-01-24,-12.43,-12.56,-12.33,-12.63,79000,0.0,-2.43,-1.62,-0.2,0.24
诺信,NDSN,2001-01-25,-12.56,-12.56,-12.29,-12.57,85200,0.0,-2.23,0.0,0.0,0.26
诺信,NDSN,2001-01-26,-12.54,-12.45,-12.38,-12.59,65200,0.0,-1.67,0.88,0.11,0.2
诺信,NDSN,2001-01-29,-12.42,-12.4,-12.26,-12.65,83600,0.0,-3.13,0.4,0.05,0.26
诺信,NDSN,2001-01-30,-12.47,-12.38,-12.35,-12.51,84400,0.0,-1.29,0.16,0.02,0.26
诺信,NDSN,2001-01-31,-12.46,-12.67,-12.18,-12.85,161200,0.0,-5.41,-2.34,-0.29,0.5
诺信,NDSN,2001-02-01,-12.85,-12.49,-12.49,-12.85,115000,0.0,-2.84,1.42,0.18,0.35
诺信,NDSN,2001-02-02,-12.51,-12.6,-12.4,-12.6,128000,0.0,-1.6,-0.88,-0.11,0.39
诺信,NDSN,2001-02-05,-12.59,-12.35,-12.35,-12.59,24600,0.0,-1.9,1.98,0.25,0.08
诺信,NDSN,2001-02-06,-12.27,-12.15,-12.04,-12.42,54800,0.0,-3.08,1.62,0.2,0.17
