股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
纽蒙特,NEM,2000-01-03,7.28,7.34,8.15,7.03,906900,0.0,14.4,-5.66,-0.44,0.11
纽蒙特,NEM,2000-01-04,6.53,5.53,6.9,5.47,1783800,0.0,19.48,-24.66,-1.81,0.22
纽蒙特,NEM,2000-01-05,5.78,5.78,6.47,5.78,1180300,0.0,12.48,4.52,0.25,0.15
纽蒙特,NEM,2000-01-06,5.34,5.53,5.65,5.22,1688400,0.0,7.44,-4.33,-0.25,0.21
纽蒙特,NEM,2000-01-07,5.78,4.72,5.97,4.53,1528800,0.0,26.04,-14.65,-0.81,0.19
纽蒙特,NEM,2000-01-10,4.78,4.66,4.97,4.59,1222900,0.0,8.05,-1.27,-0.06,0.15
纽蒙特,NEM,2000-01-11,4.9,5.9,5.9,4.78,1595500,0.0,24.03,26.61,1.24,0.2
纽蒙特,NEM,2000-01-12,5.47,5.4,5.59,5.09,2195200,0.0,8.47,-8.47,-0.5,0.28
纽蒙特,NEM,2000-01-13,5.4,4.66,5.4,4.53,3962600,0.0,16.11,-13.7,-0.74,0.5
纽蒙特,NEM,2000-01-14,4.66,4.09,4.72,3.78,3470900,0.0,20.17,-12.23,-0.57,0.44
纽蒙特,NEM,2000-01-18,4.34,5.4,5.4,4.22,3087200,0.0,28.85,32.03,1.31,0.39
纽蒙特,NEM,2000-01-19,5.4,5.15,5.47,4.84,1759200,0.0,11.67,-4.63,-0.25,0.22
纽蒙特,NEM,2000-01-20,4.47,4.34,4.53,3.97,1913300,0.0,10.87,-15.73,-0.81,0.24
纽蒙特,NEM,2000-01-21,4.22,4.47,4.66,4.09,1359300,0.0,13.13,3.0,0.13,0.17
纽蒙特,NEM,2000-01-24,3.53,3.78,3.97,3.41,1240000,0.0,12.53,-15.44,-0.69,0.16
纽蒙特,NEM,2000-01-25,3.78,2.66,3.78,2.41,1482500,0.0,36.24,-29.63,-1.12,0.19
纽蒙特,NEM,2000-01-26,3.22,2.91,3.22,2.72,1015800,0.0,18.8,9.4,0.25,0.13
纽蒙特,NEM,2000-01-27,3.41,4.72,4.72,3.03,1753900,0.0,58.08,62.2,1.81,0.22
