股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
尼索思,NI,2000-01-03,-4.65,-4.83,-4.58,-5.08,413300,0.0,-10.92,-5.46,-0.25,0.1
尼索思,NI,2000-01-04,-4.95,-4.65,-4.46,-5.02,343900,0.0,-11.59,3.73,0.18,0.08
尼索思,NI,2000-01-05,-4.46,-3.91,-3.72,-4.58,426800,0.0,-18.49,15.91,0.74,0.1
尼索思,NI,2000-01-06,-3.97,-4.03,-3.91,-4.46,188300,0.0,-14.07,-3.07,-0.12,0.05
尼索思,NI,2000-01-07,-4.09,-4.09,-3.72,-4.28,245100,0.0,-13.9,-1.49,-0.06,0.06
尼索思,NI,2000-01-10,-3.91,-3.66,-3.6,-3.91,335400,0.0,-7.58,10.51,0.43,0.08
尼索思,NI,2000-01-11,-3.78,-4.21,-3.72,-4.34,405500,0.0,-16.94,-15.03,-0.55,0.1
尼索思,NI,2000-01-12,-4.34,-3.91,-3.91,-4.46,197700,0.0,-13.06,7.13,0.3,0.05
尼索思,NI,2000-01-13,-4.09,-4.09,-3.97,-4.46,172700,0.0,-12.53,-4.6,-0.18,0.04
尼索思,NI,2000-01-14,-4.09,-4.4,-4.03,-4.46,166800,0.0,-10.51,-7.58,-0.31,0.04
尼索思,NI,2000-01-18,-4.65,-4.95,-4.58,-4.95,356400,0.0,-8.41,-12.5,-0.55,0.09
尼索思,NI,2000-01-19,-5.02,-4.46,-4.4,-5.08,203200,0.0,-13.74,9.9,0.49,0.05
尼索思,NI,2000-01-20,-4.52,-3.97,-3.97,-4.71,312600,0.0,-16.59,10.99,0.49,0.08
尼索思,NI,2000-01-21,-4.21,-2.55,-2.55,-4.28,653800,0.0,-43.58,35.77,1.42,0.16
尼索思,NI,2000-01-24,-2.49,-1.19,-0.82,-2.49,924900,0.0,-65.49,53.33,1.36,0.22
尼索思,NI,2000-01-25,-1.19,-2.74,-0.89,-2.86,625200,0.0,-165.55,-130.25,-1.55,0.15
尼索思,NI,2000-01-26,-2.74,-3.11,-2.67,-3.29,746500,0.0,-22.63,-13.5,-0.37,0.18
尼索思,NI,2000-01-27,-2.63,-2.82,-2.5,-3.13,757200,0.0,-20.26,9.32,0.29,0.18
尼索思,NI,2000-01-28,-2.88,-3.56,-2.57,-3.75,1800500,0.0,-41.84,-26.24,-0.74,0.44
尼索思,NI,2000-01-31,-3.56,-3.56,-3.38,-3.63,545700,0.0,-7.02,0.0,0.0,0.13
尼索思,NI,2000-02-01,-3.38,-3.13,-3.13,-3.56,944800,0.0,-12.08,12.08,0.43,0.23
尼索思,NI,2000-02-02,-3.13,-3.38,-2.88,-3.44,184100,0.0,-17.89,-7.99,-0.25,0.04
尼索思,NI,2000-02-03,-3.32,-2.94,-2.0,-3.32,323600,0.0,-39.05,13.02,0.44,0.08
尼索思,NI,2000-02-04,-2.69,-3.13,-2.44,-3.32,316700,0.0,-29.93,-6.46,-0.19,0.08
尼索思,NI,2000-02-07,-2.94,-3.94,-2.94,-4.0,149900,0.0,-33.87,-25.88,-0.81,0.04
尼索思,NI,2000-02-08,-3.75,-4.13,-3.56,-4.19,230900,0.0,-15.99,-4.82,-0.19,0.06
尼索思,NI,2000-02-09,-3.94,-4.13,-3.44,-4.13,167800,0.0,-16.71,0.0,0.0,0.04
尼索思,NI,2000-02-10,-4.32,-4.38,-3.75,-4.56,178300,0.0,-19.61,-6.05,-0.25,0.04
尼索思,NI,2000-02-11,-4.25,-4.5,-4.25,-4.56,169800,0.0,-7.08,-2.74,-0.12,0.04
尼索思,NI,2000-02-14,-4.5,-4.5,-4.0,-4.63,150600,0.0,-14.0,0.0,0.0,0.04
尼索思,NI,2000-02-15,-4.25,-4.38,-4.13,-4.5,213800,0.0,-8.22,2.67,0.12,0.05
尼索思,NI,2000-02-16,-4.5,-4.44,-4.32,-4.56,125100,0.0,-5.48,-1.37,-0.06,0.03
尼索思,NI,2000-02-17,-4.63,-4.88,-4.5,-5.13,294000,0.0,-14.19,-9.91,-0.44,0.07
尼索思,NI,2000-02-18,-4.63,-5.19,-4.63,-5.25,659700,0.0,-12.7,-6.35,-0.31,0.16
尼索思,NI,2000-02-22,-4.82,-5.19,-4.82,-5.44,358300,0.0,-11.95,0.0,0.0,0.09
尼索思,NI,2000-02-24,-5.44,-5.88,-5.44,-6.25,321800,0.0,-15.61,-13.29,-0.69,0.08
尼索思,NI,2000-02-25,-6.0,-6.38,-5.94,-6.44,157400,0.0,-8.5,-8.5,-0.5,0.04
尼索思,NI,2000-02-28,-7.44,-8.94,-7.38,-9.19,2851500,0.0,-28.37,-40.13,-2.56,0.69
尼索思,NI,2000-02-29,-8.31,-9.0,-8.06,-9.19,1312700,0.0,-12.64,-0.67,-0.06,0.32
尼索思,NI,2000-03-01,-8.94,-9.06,-8.88,-9.13,525700,0.0,-2.78,-0.67,-0.06,0.13
尼索思,NI,2000-03-02,-8.82,-8.94,-8.82,-9.13,715000,0.0,-3.42,1.32,0.12,0.17
尼索思,NI,2000-03-03,-8.94,-8.63,-8.44,-9.0,3100000,0.0,-6.26,3.47,0.31,0.75
尼索思,NI,2000-03-06,-7.94,-8.57,-7.88,-8.63,1125300,0.0,-8.69,0.7,0.06,0.27
尼索思,NI,2000-03-07,-8.57,-8.25,-8.25,-8.57,873000,0.0,-3.73,3.73,0.32,0.21
尼索思,NI,2000-03-08,-7.94,-7.94,-7.69,-8.06,693700,0.0,-4.48,3.76,0.31,0.17
