股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
诺斯罗普-格鲁曼(US),NOC,2000-01-03,-41.42,-42.14,-41.42,-42.51,304200,0.0,-2.62,-1.42,-0.59,0.2
诺斯罗普-格鲁曼(US),NOC,2000-01-04,-41.76,-41.79,-41.08,-41.89,600400,0.0,-1.92,0.83,0.35,0.4
诺斯罗普-格鲁曼(US),NOC,2000-01-05,-41.79,-41.83,-41.17,-41.89,554400,0.0,-1.72,-0.1,-0.04,0.37
诺斯罗普-格鲁曼(US),NOC,2000-01-06,-42.07,-42.32,-42.07,-42.57,591000,0.0,-1.2,-1.17,-0.49,0.39
诺斯罗普-格鲁曼(US),NOC,2000-01-07,-42.2,-41.7,-41.33,-42.2,853600,0.0,-2.06,1.47,0.62,0.57
诺斯罗普-格鲁曼(US),NOC,2000-01-10,-41.58,-42.01,-41.45,-42.07,597200,0.0,-1.49,-0.74,-0.31,0.4
诺斯罗普-格鲁曼(US),NOC,2000-01-11,-42.07,-41.55,-40.9,-42.1,466400,0.0,-2.86,1.09,0.46,0.31
诺斯罗普-格鲁曼(US),NOC,2000-01-12,-41.42,-41.83,-41.33,-41.83,276200,0.0,-1.2,-0.67,-0.28,0.18
诺斯罗普-格鲁曼(US),NOC,2000-01-13,-41.76,-41.83,-41.48,-41.92,251000,0.0,-1.05,0.0,0.0,0.17
诺斯罗普-格鲁曼(US),NOC,2000-01-14,-41.83,-41.95,-41.58,-41.95,334600,0.0,-0.88,-0.29,-0.12,0.22
诺斯罗普-格鲁曼(US),NOC,2000-01-18,-42.63,-42.51,-42.32,-43.1,393600,0.0,-1.86,-1.33,-0.56,0.26
诺斯罗普-格鲁曼(US),NOC,2000-01-19,-42.69,-43.31,-42.6,-43.47,641200,0.0,-2.05,-1.88,-0.8,0.43
诺斯罗普-格鲁曼(US),NOC,2000-01-20,-43.19,-43.19,-42.85,-43.99,669800,0.0,-2.63,0.28,0.12,0.45
诺斯罗普-格鲁曼(US),NOC,2000-01-21,-42.94,-42.48,-42.48,-43.41,535600,0.0,-2.15,1.64,0.71,0.36
诺斯罗普-格鲁曼(US),NOC,2000-01-24,-42.48,-44.18,-42.2,-44.24,611800,0.0,-4.8,-4.0,-1.7,0.41
诺斯罗普-格鲁曼(US),NOC,2000-01-25,-43.99,-44.68,-43.9,-45.29,584400,0.0,-3.15,-1.13,-0.5,0.39
诺斯罗普-格鲁曼(US),NOC,2000-01-26,-44.49,-44.61,-44.43,-45.91,939400,0.0,-3.31,0.16,0.07,0.63
诺斯罗普-格鲁曼(US),NOC,2000-01-27,-44.55,-43.56,-43.37,-44.55,1214400,0.0,-2.65,2.35,1.05,0.81
诺斯罗普-格鲁曼(US),NOC,2000-01-28,-43.5,-43.53,-43.1,-43.81,593400,0.0,-1.63,0.07,0.03,0.4
诺斯罗普-格鲁曼(US),NOC,2000-01-31,-43.5,-43.44,-43.44,-44.18,475800,0.0,-1.7,0.21,0.09,0.32
诺斯罗普-格鲁曼(US),NOC,2000-02-01,-43.19,-43.44,-43.19,-43.99,884400,0.0,-1.84,0.0,0.0,0.59
诺斯罗普-格鲁曼(US),NOC,2000-02-02,-43.31,-43.56,-43.28,-43.93,703400,0.0,-1.5,-0.28,-0.12,0.47
诺斯罗普-格鲁曼(US),NOC,2000-02-03,-43.25,-43.59,-43.16,-43.84,603200,0.0,-1.56,-0.07,-0.03,0.4
诺斯罗普-格鲁曼(US),NOC,2000-02-04,-43.5,-42.69,-42.69,-43.5,614000,0.0,-1.86,2.06,0.9,0.41
诺斯罗普-格鲁曼(US),NOC,2000-02-07,-42.32,-43.62,-41.52,-43.81,1074600,0.0,-5.36,-2.18,-0.93,0.72
诺斯罗普-格鲁曼(US),NOC,2000-02-08,-43.75,-43.84,-43.56,-44.06,395400,0.0,-1.15,-0.5,-0.22,0.26
诺斯罗普-格鲁曼(US),NOC,2000-02-09,-43.84,-44.37,-43.81,-44.61,431200,0.0,-1.82,-1.21,-0.53,0.29
诺斯罗普-格鲁曼(US),NOC,2000-02-10,-44.4,-44.89,-44.3,-44.99,774800,0.0,-1.56,-1.17,-0.52,0.52
诺斯罗普-格鲁曼(US),NOC,2000-02-11,-44.89,-45.11,-44.77,-45.29,1151200,0.0,-1.16,-0.49,-0.22,0.77
诺斯罗普-格鲁曼(US),NOC,2000-02-14,-45.08,-45.26,-44.95,-45.26,819800,0.0,-0.69,-0.33,-0.15,0.55
诺斯罗普-格鲁曼(US),NOC,2000-02-15,-45.36,-45.95,-45.29,-46.16,1426400,0.0,-1.92,-1.52,-0.69,0.95
诺斯罗普-格鲁曼(US),NOC,2000-02-16,-46.04,-45.42,-45.2,-46.04,631600,0.0,-1.83,1.15,0.53,0.42
诺斯罗普-格鲁曼(US),NOC,2000-02-17,-45.54,-45.39,-45.26,-45.6,215800,0.0,-0.75,0.07,0.03,0.14
诺斯罗普-格鲁曼(US),NOC,2000-02-18,-45.54,-46.04,-45.51,-46.22,762400,0.0,-1.56,-1.43,-0.65,0.51
诺斯罗普-格鲁曼(US),NOC,2000-02-22,-46.04,-45.57,-45.29,-46.04,502200,0.0,-1.63,1.02,0.47,0.33
诺斯罗普-格鲁曼(US),NOC,2000-02-24,-45.2,-45.17,-45.14,-45.55,739000,0.0,-0.9,0.88,0.4,0.49
诺斯罗普-格鲁曼(US),NOC,2000-02-25,-45.17,-45.45,-45.02,-45.8,667200,0.0,-1.73,-0.62,-0.28,0.44
诺斯罗普-格鲁曼(US),NOC,2000-02-28,-45.45,-45.71,-45.14,-45.74,377800,0.0,-1.32,-0.57,-0.26,0.25
诺斯罗普-格鲁曼(US),NOC,2000-02-29,-45.64,-45.49,-45.17,-45.64,330400,0.0,-1.03,0.48,0.22,0.22
诺斯罗普-格鲁曼(US),NOC,2000-03-01,-45.55,-46.24,-45.55,-46.36,444400,0.0,-1.78,-1.65,-0.75,0.3
诺斯罗普-格鲁曼(US),NOC,2000-03-02,-46.61,-46.36,-46.2,-46.83,1302400,0.0,-1.36,-0.26,-0.12,0.87
诺斯罗普-格鲁曼(US),NOC,2000-03-03,-46.24,-45.95,-45.95,-46.24,557600,0.0,-0.63,0.88,0.41,0.37
诺斯罗普-格鲁曼(US),NOC,2000-03-06,-45.64,-44.14,-43.95,-45.64,1140600,0.0,-3.68,3.94,1.81,0.76
诺斯罗普-格鲁曼(US),NOC,2000-03-07,-44.14,-44.8,-43.74,-44.86,1442600,0.0,-2.54,-1.5,-0.66,0.96
诺斯罗普-格鲁曼(US),NOC,2000-03-08,-44.64,-44.52,-44.21,-44.86,638000,0.0,-1.45,0.63,0.28,0.43
