股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
现在服务公司,NOW,2012-07-25,25.06,24.93,25.47,24.84,110704,0.0,3.5,38.5,6.93,0.38
现在服务公司,NOW,2012-07-26,24.93,24.42,25.35,24.0,157915,0.0,5.42,-2.05,-0.51,0.54
现在服务公司,NOW,2012-07-27,24.48,25.33,25.44,24.32,100051,0.0,4.59,3.73,0.91,0.35
现在服务公司,NOW,2012-07-30,25.25,25.39,25.45,25.05,84203,0.0,1.58,0.24,0.06,0.29
现在服务公司,NOW,2012-07-31,25.44,27.0,27.56,25.41,283297,0.0,8.47,6.34,1.61,0.98
现在服务公司,NOW,2012-08-01,27.32,27.71,27.98,26.76,109934,0.0,4.52,2.63,0.71,0.38
现在服务公司,NOW,2012-08-02,27.5,29.08,29.3,27.0,556879,0.0,8.3,4.94,1.37,1.92
现在服务公司,NOW,2012-08-03,29.43,28.67,31.43,28.58,430928,0.0,9.8,-1.41,-0.41,1.49
现在服务公司,NOW,2012-08-06,29.0,28.02,29.16,27.23,580420,0.0,6.73,-2.27,-0.65,0.47
现在服务公司,NOW,2012-08-07,28.3,28.0,28.75,27.79,197093,0.0,3.43,-0.07,-0.02,0.16
现在服务公司,NOW,2012-08-08,27.91,27.57,27.91,27.01,295086,0.0,3.21,-1.54,-0.43,0.24
现在服务公司,NOW,2012-08-09,27.48,29.51,30.02,27.3,135146,0.0,9.87,7.04,1.94,0.11
现在服务公司,NOW,2012-08-10,29.37,31.65,32.0,29.37,219939,0.0,8.91,7.25,2.14,0.18
现在服务公司,NOW,2012-08-13,32.03,32.43,32.55,31.72,214803,0.0,2.62,2.46,0.78,0.17
现在服务公司,NOW,2012-08-14,32.65,32.28,33.96,32.2,551307,0.0,5.43,-0.46,-0.15,0.45
现在服务公司,NOW,2012-08-15,32.11,29.68,32.11,29.47,467614,0.0,8.18,-8.05,-2.6,0.38
现在服务公司,NOW,2012-08-16,30.06,29.75,30.57,29.6,300501,0.0,3.27,0.24,0.07,0.24
现在服务公司,NOW,2012-08-17,30.0,29.6,30.04,29.44,389247,0.0,2.02,-0.5,-0.15,0.32
现在服务公司,NOW,2012-08-20,29.55,29.89,29.95,29.55,277662,0.0,1.35,0.98,0.29,0.23
现在服务公司,NOW,2012-08-21,30.19,30.26,30.61,29.95,196645,0.0,2.21,1.24,0.37,0.16
现在服务公司,NOW,2012-08-22,30.27,29.85,30.52,29.82,617755,0.0,2.31,-1.35,-0.41,0.5
现在服务公司,NOW,2012-08-23,29.93,29.03,30.67,28.81,291594,0.0,6.23,-2.75,-0.82,0.24
现在服务公司,NOW,2012-08-24,28.79,29.7,29.94,28.79,145544,0.0,3.96,2.31,0.67,0.12
现在服务公司,NOW,2012-08-27,29.7,29.27,31.31,29.13,259951,0.0,7.34,-1.45,-0.43,0.21
现在服务公司,NOW,2012-08-28,29.27,29.32,29.7,29.05,152466,0.0,2.22,0.17,0.05,0.12
现在服务公司,NOW,2012-08-29,29.39,29.49,29.79,29.25,116549,0.0,1.84,0.58,0.17,0.09
现在服务公司,NOW,2012-08-30,29.24,29.78,31.0,29.03,186469,0.0,6.68,0.98,0.29,0.15
现在服务公司,NOW,2012-08-31,30.24,31.1,31.5,29.92,285934,0.0,5.31,4.43,1.32,0.23
现在服务公司,NOW,2012-09-04,31.11,33.67,33.84,31.1,332776,0.0,8.81,8.26,2.57,0.27
现在服务公司,NOW,2012-09-05,33.66,34.19,34.33,33.01,331630,0.0,3.92,1.54,0.52,0.27
现在服务公司,NOW,2012-09-06,34.2,36.06,36.08,34.11,396188,0.0,5.76,5.47,1.87,0.32
现在服务公司,NOW,2012-09-07,36.5,36.55,37.31,35.62,410974,0.0,4.69,1.36,0.49,0.33
现在服务公司,NOW,2012-09-10,37.0,34.39,37.0,34.24,457163,0.0,7.55,-5.91,-2.16,0.37
现在服务公司,NOW,2012-09-11,34.8,33.01,35.17,32.84,288458,0.0,6.78,-4.01,-1.38,0.23
现在服务公司,NOW,2012-09-12,33.54,35.05,35.43,33.26,332991,0.0,6.57,6.18,2.04,0.27
现在服务公司,NOW,2012-09-13,35.13,37.51,38.32,34.71,456311,0.0,10.3,7.02,2.46,0.37
